time,Oklahoma City,pts.away,score,pts.home,San Antonio
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. T. Duncan (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. T. Duncan (R. Westbrook gains possession)
11:38.0,Shooting foul by T. Parker (drawn by R. Westbrook),,0-0,,
11:38.0,R. Westbrook makes free throw 1 of 2,1,1-0,,
11:38.0,R. Westbrook makes free throw 2 of 2,1,2-0,,
11:21.0,,,2-0,,T. Duncan misses 2-pt shot from 15 ft
11:20.0,Defensive rebound by R. Westbrook,,2-0,,
11:09.0,S. Ibaka makes 2-pt shot from 16 ft (assist by A. Roberson),2,4-0,,
10:44.0,,,4-2,2,T. Duncan makes 2-pt shot from 5 ft (assist by T. Parker)
10:35.0,Turnover by R. Westbrook (bad pass; steal by M. Belinelli),,4-2,,
10:20.0,,,4-2,,D. Green misses 3-pt shot from 25 ft
10:19.0,Defensive rebound by R. Westbrook,,4-2,,
10:12.0,Shooting foul by D. Green (drawn by R. Westbrook),,4-2,,
10:12.0,R. Westbrook makes free throw 1 of 2,1,5-2,,
10:12.0,R. Westbrook makes free throw 2 of 2,1,6-2,,
9:54.0,,,6-4,2,T. Parker makes 2-pt shot from 14 ft (assist by D. Green)
9:43.0,S. Ibaka makes 3-pt shot from 25 ft (assist by R. Westbrook),3,9-4,,
9:29.0,,,9-6,2,T. Parker makes 2-pt shot from 18 ft (assist by T. Duncan)
9:15.0,P. Jones makes 3-pt shot from 23 ft (assist by R. Westbrook),3,12-6,,
9:02.0,,,12-6,,Turnover by D. Green (bad pass)
8:46.0,Turnover by S. Ibaka (lost ball; steal by T. Parker),,12-6,,
8:40.0,,,12-6,,D. Green misses 2-pt shot from 1 ft (block by S. Ibaka)
8:36.0,Defensive rebound by S. Ibaka,,12-6,,
8:27.0,Turnover by R. Westbrook (bad pass; steal by D. Green),,12-6,,
8:21.0,,,12-8,2,T. Splitter makes 2-pt shot from 1 ft (assist by D. Green)
8:02.0,S. Adams makes 2-pt shot from 1 ft,2,14-8,,
7:48.0,,,14-8,,Shooting foul by P. Jones (drawn by D. Green)
7:48.0,,,14-8,,D. Green misses free throw 1 of 2
7:48.0,,,14-8,,Offensive rebound by Team
7:48.0,,,14-8,,D. Green misses free throw 2 of 2
7:47.0,Defensive rebound by A. Roberson,,14-8,,
7:33.0,S. Adams makes 2-pt shot from 5 ft,2,16-8,,
7:14.0,,,16-8,,Turnover by M. Belinelli (bad pass; steal by R. Westbrook)
7:09.0,Shooting foul by D. Green (drawn by P. Jones),,16-8,,
7:09.0,P. Jones misses free throw 1 of 2,,16-8,,
7:09.0,Offensive rebound by Team,,16-8,,
7:09.0,,,16-8,,M. Ginobili enters the game for D. Green
7:09.0,P. Jones makes free throw 2 of 2,1,17-8,,
6:58.0,,,17-8,,Shooting foul by S. Ibaka (drawn by T. Duncan)
6:58.0,,,17-10,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
6:58.0,,,17-11,1,T. Duncan makes free throw 1 of 1
6:44.0,S. Adams makes 2-pt shot from 7 ft,2,19-11,,
6:34.0,,,19-11,,Turnover by T. Splitter (bad pass; steal by A. Roberson)
6:31.0,Shooting foul by M. Ginobili (drawn by A. Roberson),,19-11,,
6:31.0,A. Roberson misses free throw 1 of 2,,19-11,,
6:31.0,Offensive rebound by Team,,19-11,,
6:31.0,,,19-11,,M. Bonner enters the game for T. Splitter
6:31.0,,,19-11,,San Antonio full timeout
6:31.0,A. Roberson misses free throw 2 of 2,,19-11,,
6:30.0,,,19-11,,Defensive rebound by M. Belinelli
6:12.0,,,19-14,3,M. Bonner makes 3-pt shot from 25 ft (assist by M. Ginobili)
5:53.0,S. Adams misses 2-pt shot at rim (block by T. Duncan),,19-14,,
5:51.0,Offensive rebound by S. Adams,,19-14,,
5:48.0,R. Westbrook misses 2-pt shot from 19 ft,,19-14,,
5:47.0,Offensive rebound by A. Roberson,,19-14,,
5:40.0,P. Jones makes 3-pt shot from 24 ft (assist by R. Westbrook),3,22-14,,
5:34.0,Personal foul by A. Roberson (drawn by M. Ginobili),,22-14,,
5:34.0,,,22-14,,C. Joseph enters the game for T. Parker
5:26.0,,,22-16,2,T. Duncan makes 2-pt shot at rim (assist by M. Ginobili)
5:15.0,Shooting foul by T. Duncan (drawn by R. Westbrook),,22-16,,
5:15.0,R. Westbrook makes free throw 1 of 2,1,23-16,,
5:15.0,,,23-16,,A. Baynes enters the game for T. Duncan
5:15.0,R. Westbrook misses free throw 2 of 2,,23-16,,
5:14.0,Offensive rebound by A. Roberson,,23-16,,
5:04.0,R. Westbrook misses 2-pt shot at rim,,23-16,,
5:03.0,,,23-16,,Defensive rebound by M. Bonner
4:48.0,,,23-18,2,M. Belinelli makes 2-pt shot from 12 ft (assist by C. Joseph)
4:30.0,S. Ibaka misses 2-pt shot from 3 ft,,23-18,,
4:29.0,Offensive rebound by A. Roberson,,23-18,,
4:29.0,A. Roberson makes 2-pt shot from 1 ft,2,25-18,,
4:17.0,,,25-20,2,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili)
3:58.0,S. Ibaka misses 2-pt shot from 17 ft,,25-20,,
3:57.0,Offensive rebound by S. Adams,,25-20,,
3:57.0,,,25-20,,Personal foul by M. Ginobili (drawn by S. Adams)
3:57.0,S. Adams misses free throw 1 of 2,,25-20,,
3:57.0,Offensive rebound by Team,,25-20,,
3:57.0,R. Jackson enters the game for A. Roberson,,25-20,,
3:57.0,S. Adams misses free throw 2 of 2,,25-20,,
3:56.0,,,25-20,,Defensive rebound by C. Joseph
3:44.0,,,25-20,,A. Baynes misses 2-pt shot at rim
3:43.0,Defensive rebound by S. Ibaka,,25-20,,
3:34.0,R. Westbrook misses 2-pt shot from 3 ft,,25-20,,
3:33.0,,,25-20,,Defensive rebound by M. Ginobili
3:27.0,,,25-20,,Turnover by M. Ginobili (bad pass; steal by R. Jackson)
3:17.0,Offensive foul by S. Adams,,25-20,,
3:17.0,Turnover by S. Adams (offensive foul),,25-20,,
3:17.0,K. Perkins enters the game for S. Adams,,25-20,,
3:17.0,I. Smith enters the game for R. Westbrook,,25-20,,
3:01.0,,,25-22,2,A. Baynes makes 2-pt shot at rim (assist by M. Ginobili)
2:40.0,Offensive foul by K. Perkins,,25-22,,
2:40.0,Turnover by K. Perkins (offensive foul),,25-22,,
2:40.0,Oklahoma City full timeout,,25-22,,
2:40.0,A. Morrow enters the game for P. Jones,,25-22,,
2:18.0,,,25-25,3,M. Bonner makes 3-pt shot from 25 ft (assist by M. Ginobili)
2:01.0,R. Jackson misses 2-pt shot from 10 ft,,25-25,,
1:59.0,,,25-25,,Defensive rebound by M. Ginobili
1:54.0,,,25-27,2,C. Joseph makes 2-pt shot from 1 ft (assist by M. Ginobili)
1:37.0,A. Morrow misses 2-pt shot from 11 ft,,25-27,,
1:36.0,Offensive rebound by Team,,25-27,,
1:36.0,,,25-27,,K. Anderson enters the game for M. Belinelli
1:32.0,A. Morrow makes 2-pt shot from 17 ft (assist by I. Smith),2,27-27,,
1:13.0,,,27-27,,A. Baynes misses 2-pt shot at rim
1:12.0,Defensive rebound by R. Jackson,,27-27,,
1:04.0,R. Jackson makes 2-pt shot from 11 ft,2,29-27,,
0:50.0,,,29-27,,M. Bonner misses 3-pt shot from 24 ft
0:49.0,Defensive rebound by K. Perkins,,29-27,,
0:38.0,S. Ibaka misses 2-pt shot from 18 ft,,29-27,,
0:37.0,,,29-27,,Defensive rebound by A. Baynes
0:26.0,,,29-27,,M. Ginobili misses 3-pt shot from 24 ft
0:25.0,Defensive rebound by I. Smith,,29-27,,
0:03.0,A. Morrow misses 3-pt shot from 24 ft,,29-27,,
0:02.0,,,29-27,,Defensive rebound by A. Baynes
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,,,29-27,,Offensive foul by A. Baynes
11:51.0,,,29-27,,Turnover by A. Baynes (offensive foul)
11:33.0,P. Jones makes 2-pt shot from 7 ft (assist by I. Smith),2,31-27,,
11:09.0,,,31-29,2,D. Green makes 2-pt shot from 13 ft
10:42.0,R. Jackson makes 2-pt shot from 20 ft (assist by I. Smith),2,33-29,,
10:32.0,,,33-31,2,C. Joseph makes 2-pt shot at rim
10:22.0,P. Jones misses 2-pt shot from 6 ft,,33-31,,
10:21.0,,,33-31,,Defensive rebound by T. Parker
10:13.0,,,33-33,2,T. Parker makes 2-pt shot from 7 ft
9:52.0,Turnover by I. Smith (bad pass; steal by C. Joseph),,33-33,,
9:43.0,,,33-33,,M. Bonner misses 3-pt shot from 24 ft
9:41.0,,,33-33,,Offensive rebound by A. Baynes
9:28.0,,,33-35,2,A. Baynes makes 2-pt shot from 10 ft (assist by T. Parker)
9:10.0,P. Jones makes 2-pt shot from 1 ft (assist by R. Jackson),2,35-35,,
8:50.0,,,35-38,3,D. Green makes 3-pt shot from 23 ft (assist by T. Parker)
8:35.0,A. Morrow misses 2-pt shot from 10 ft,,35-38,,
8:33.0,,,35-38,,Defensive rebound by C. Joseph
8:21.0,,,35-40,2,T. Parker makes 2-pt shot from 16 ft
8:16.0,Oklahoma City full timeout,,35-40,,
8:16.0,R. Westbrook enters the game for I. Smith,,35-40,,
8:16.0,,,35-40,,K. Anderson enters the game for M. Bonner
8:16.0,,,35-40,,T. Duncan enters the game for A. Baynes
8:11.0,R. Jackson misses 3-pt shot from 25 ft,,35-40,,
8:10.0,Offensive rebound by A. Morrow,,35-40,,
7:59.0,R. Westbrook makes 2-pt shot from 1 ft,2,37-40,,
7:45.0,,,37-40,,Turnover by T. Duncan (bad pass; steal by R. Westbrook)
7:40.0,R. Westbrook misses 2-pt shot at rim,,37-40,,
7:37.0,Offensive rebound by K. Perkins,,37-40,,
7:37.0,Shooting foul by T. Duncan (drawn by K. Perkins),,37-40,,
7:37.0,K. Perkins misses free throw 1 of 2,,37-40,,
7:37.0,Offensive rebound by Team,,37-40,,
7:37.0,K. Perkins makes free throw 2 of 2,1,38-40,,
7:19.0,Personal foul by R. Jackson (drawn by C. Joseph),,38-40,,
7:19.0,S. Adams enters the game for K. Perkins,,38-40,,
7:06.0,,,38-40,,T. Parker misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by S. Adams,,38-40,,
6:59.0,R. Westbrook misses 2-pt shot from 19 ft,,38-40,,
6:57.0,Offensive rebound by S. Adams,,38-40,,
6:56.0,Turnover by S. Adams (lost ball; steal by D. Green),,38-40,,
6:42.0,,,38-40,,T. Parker misses 2-pt shot from 7 ft
6:41.0,Defensive rebound by R. Jackson,,38-40,,
6:31.0,R. Westbrook misses 2-pt shot from 6 ft (block by D. Green),,38-40,,
6:30.0,Offensive rebound by S. Adams,,38-40,,
6:30.0,Shooting foul by C. Joseph (drawn by S. Adams),,38-40,,
6:30.0,S. Adams misses free throw 1 of 2,,38-40,,
6:30.0,Offensive rebound by Team,,38-40,,
6:30.0,S. Ibaka enters the game for P. Jones,,38-40,,
6:30.0,,,38-40,,T. Splitter enters the game for C. Joseph
6:30.0,S. Adams makes free throw 2 of 2,1,39-40,,
6:19.0,,,39-40,,Offensive foul by T. Splitter
6:19.0,,,39-40,,Turnover by T. Splitter (offensive foul)
6:19.0,,,39-40,,M. Ginobili enters the game for K. Anderson
6:01.0,Turnover by R. Jackson (bad pass; steal by M. Ginobili),,39-40,,
5:52.0,,,39-40,,Turnover by M. Ginobili (bad pass; steal by R. Westbrook)
5:47.0,R. Westbrook misses 2-pt shot from 2 ft,,39-40,,
5:45.0,,,39-40,,Defensive rebound by M. Ginobili
5:43.0,Violation by S. Adams (kicked ball),,39-40,,
5:43.0,Official timeout,,39-40,,
5:43.0,Violation by Team (delay of game),,39-40,,
5:43.0,A. Roberson enters the game for R. Jackson,,39-40,,
5:28.0,,,39-40,,D. Green misses 3-pt shot from 24 ft
5:27.0,,,39-40,,Offensive rebound by T. Duncan
5:20.0,Personal foul by A. Roberson (drawn by M. Ginobili),,39-40,,
5:12.0,,,39-40,,T. Splitter misses 2-pt shot from 5 ft (block by S. Adams)
5:10.0,,,39-40,,Offensive rebound by T. Splitter
5:08.0,,,39-40,,T. Splitter misses 2-pt shot from 2 ft
