time,Boston,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Jordan vs. T. Zeller (C. Paul gains possession),,,,Jump ball: D. Jordan vs. T. Zeller (C. Paul gains possession)
11:43.0,,,0-0,,J. Redick misses 2-pt shot from 20 ft
11:41.0,,,0-0,,Offensive rebound by J. Redick
11:35.0,,,0-2,2,J. Redick makes 2-pt shot from 19 ft (assist by B. Griffin)
11:18.0,A. Bradley misses 2-pt shot from 18 ft,,0-2,,
11:17.0,,,0-2,,Defensive rebound by D. Jordan
11:07.0,,,0-2,,B. Griffin misses 2-pt shot from 5 ft
11:03.0,Defensive rebound by J. Sullinger,,0-2,,
10:57.0,T. Zeller makes 2-pt shot from 4 ft,2,2-2,,
10:34.0,,,2-2,,B. Griffin misses 2-pt shot from 17 ft
10:33.0,Defensive rebound by E. Turner,,2-2,,
10:20.0,J. Sullinger misses 2-pt shot from 12 ft,,2-2,,
10:18.0,,,2-2,,Defensive rebound by D. Jordan
9:59.0,,,2-2,,Shooting foul by A. Bradley (drawn by J. Redick)
9:59.0,,,2-3,1,J. Redick makes free throw 1 of 3
9:59.0,,,2-4,1,J. Redick makes free throw 2 of 3
9:59.0,,,2-5,1,J. Redick makes free throw 3 of 3
9:44.0,Turnover by A. Bradley (bad pass; steal by D. Jordan),,2-5,,
9:33.0,,,2-5,,J. Redick misses 2-pt shot from 19 ft
9:33.0,,,2-5,,Offensive rebound by Team
9:33.0,Loose ball foul by T. Zeller (drawn by D. Jordan),,2-5,,
9:24.0,,,2-5,,M. Barnes misses 3-pt shot from 24 ft
9:22.0,Defensive rebound by T. Zeller,,2-5,,
9:09.0,T. Zeller misses 2-pt shot from 1 ft (block by D. Jordan),,2-5,,
9:07.0,Offensive rebound by T. Zeller,,2-5,,
9:05.0,T. Zeller misses 2-pt shot at rim,,2-5,,
9:03.0,,,2-5,,Defensive rebound by Team
8:57.0,,,2-5,,C. Paul misses 2-pt shot from 9 ft
8:55.0,Defensive rebound by T. Zeller,,2-5,,
8:46.0,J. Sullinger misses 3-pt shot from 24 ft,,2-5,,
8:45.0,,,2-5,,Defensive rebound by J. Redick
8:31.0,,,2-7,2,B. Griffin makes 2-pt shot from 18 ft (assist by M. Barnes)
8:13.0,J. Sullinger misses 2-pt shot from 18 ft,,2-7,,
8:12.0,,,2-7,,Defensive rebound by D. Jordan
8:03.0,,,2-7,,B. Griffin misses 2-pt shot from 18 ft
8:01.0,Defensive rebound by J. Crowder,,2-7,,
7:59.0,Turnover by J. Crowder (bad pass),,2-7,,
7:47.0,,,2-7,,B. Griffin misses 2-pt shot from 1 ft
7:44.0,Defensive rebound by T. Zeller,,2-7,,
7:37.0,E. Turner misses 2-pt shot from 17 ft,,2-7,,
7:36.0,,,2-7,,Defensive rebound by B. Griffin
7:26.0,,,2-9,2,D. Jordan makes 2-pt shot at rim (assist by M. Barnes)
7:12.0,A. Bradley misses 2-pt shot from 20 ft,,2-9,,
7:11.0,,,2-9,,Defensive rebound by D. Jordan
6:59.0,B. Bass enters the game for J. Sullinger,,2-9,,
6:47.0,,,2-9,,C. Paul misses 2-pt shot from 18 ft
6:45.0,Defensive rebound by E. Turner,,2-9,,
6:37.0,Turnover by B. Bass (lost ball; steal by B. Griffin),,2-9,,
6:32.0,,,2-11,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
6:31.0,Boston full timeout,,2-11,,
6:17.0,J. Crowder misses 3-pt shot from 25 ft,,2-11,,
6:15.0,Offensive rebound by T. Zeller,,2-11,,
6:13.0,T. Zeller misses 2-pt shot from 2 ft (block by D. Jordan),,2-11,,
6:10.0,Offensive rebound by A. Bradley,,2-11,,
6:08.0,E. Turner misses 2-pt shot from 1 ft,,2-11,,
6:08.0,Offensive rebound by B. Bass,,2-11,,
6:08.0,Shooting foul by M. Barnes (drawn by B. Bass),,2-11,,
6:08.0,B. Bass makes free throw 1 of 2,1,3-11,,
6:08.0,B. Bass makes free throw 2 of 2,1,4-11,,
5:53.0,,,4-13,2,D. Jordan makes 2-pt shot from 1 ft (assist by J. Redick)
5:33.0,Turnover by J. Crowder (bad pass),,4-13,,
5:17.0,,,4-15,2,J. Redick makes 2-pt shot from 15 ft (assist by C. Paul)
5:02.0,B. Bass makes 2-pt shot at rim (assist by T. Zeller),2,6-15,,
4:38.0,,,6-15,,Turnover by C. Paul (bad pass; steal by B. Bass)
4:29.0,A. Bradley misses 3-pt shot from 23 ft,,6-15,,
4:26.0,Offensive rebound by E. Turner,,6-15,,
4:24.0,E. Turner makes 2-pt shot from 2 ft,2,8-15,,
4:20.0,,,8-15,,Turnover by D. Jordan (bad pass)
4:20.0,M. Thornton enters the game for J. Crowder,,8-15,,
4:05.0,M. Thornton makes 2-pt shot from 19 ft (assist by T. Zeller),2,10-15,,
3:51.0,,,10-17,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
3:33.0,B. Bass misses 2-pt shot from 16 ft,,10-17,,
3:32.0,,,10-17,,Defensive rebound by M. Barnes
3:16.0,,,10-17,,C. Paul misses 2-pt shot from 15 ft
3:15.0,Defensive rebound by E. Turner,,10-17,,
3:05.0,M. Thornton misses 2-pt shot from 13 ft,,10-17,,
3:04.0,,,10-17,,Defensive rebound by D. Jordan
2:54.0,,,10-17,,Shooting foul by T. Zeller (drawn by D. Jordan)
2:54.0,,,10-17,,LA Clippers full timeout
2:54.0,M. Smart enters the game for A. Bradley,,10-17,,
2:54.0,K. Olynyk enters the game for B. Bass,,10-17,,
2:54.0,,,10-17,,J. Crawford enters the game for M. Barnes
2:54.0,,,10-17,,S. Hawes enters the game for B. Griffin
2:54.0,B. Bass enters the game for T. Zeller,,10-17,,
2:54.0,,,10-18,1,D. Jordan makes free throw 1 of 2
2:54.0,,,10-19,1,D. Jordan makes free throw 2 of 2
2:38.0,Shooting foul by J. Redick (drawn by E. Turner),,10-19,,
2:38.0,E. Turner makes free throw 1 of 2,1,11-19,,
2:38.0,,,11-19,,A. Rivers enters the game for J. Redick
2:38.0,,,11-19,,G. Davis enters the game for D. Jordan
2:38.0,E. Turner makes free throw 2 of 2,1,12-19,,
