time,Washington,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. J. Valanciunas (N. Hilario gains possession)
11:41.0,M. Gortat misses 2-pt shot from 4 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by J. Valanciunas
11:31.0,,,0-0,,Shooting foul by P. Pierce (drawn by D. DeRozan)
11:31.0,,,0-1,1,D. DeRozan makes free throw 1 of 2
11:31.0,,,0-2,1,D. DeRozan makes free throw 2 of 2
11:18.0,N. Hilario makes 2-pt shot from 2 ft,2,2-2,,
10:56.0,,,2-4,2,D. DeRozan makes 2-pt shot from 20 ft (assist by K. Lowry)
10:48.0,Turnover by J. Wall (bad pass; steal by K. Lowry),,2-4,,
10:43.0,,,2-6,2,A. Johnson makes 2-pt shot at rim (assist by K. Lowry)
10:43.0,,,2-6,,Shooting foul by J. Wall (drawn by A. Johnson)
10:43.0,,,2-6,,A. Johnson misses free throw 1 of 1
10:43.0,Defensive rebound by M. Gortat,,2-6,,
10:21.0,Turnover by N. Hilario (bad pass; steal by D. DeRozan),,2-6,,
10:07.0,,,2-6,,Turnover by D. DeRozan (bad pass; steal by N. Hilario)
10:00.0,M. Gortat makes 2-pt shot at rim (assist by P. Pierce),2,4-6,,
9:41.0,,,4-6,,Turnover by J. Valanciunas (traveling)
9:28.0,J. Wall misses 3-pt shot from 23 ft,,4-6,,
9:27.0,,,4-6,,Defensive rebound by J. Johnson
9:21.0,,,4-6,,Turnover by K. Lowry (bad pass; steal by N. Hilario)
9:16.0,O. Porter makes 2-pt shot at rim (assist by J. Wall),2,6-6,,
8:53.0,,,6-6,,K. Lowry misses 3-pt shot from 27 ft
8:52.0,,,6-6,,Offensive rebound by J. Johnson
8:44.0,,,6-6,,K. Lowry misses 2-pt shot from 2 ft (block by M. Gortat)
8:42.0,Defensive rebound by M. Gortat,,6-6,,
8:39.0,Shooting foul by J. Johnson (drawn by O. Porter),,6-6,,
8:39.0,O. Porter makes free throw 1 of 2,1,7-6,,
8:39.0,O. Porter makes free throw 2 of 2,1,8-6,,
8:20.0,,,8-6,,D. DeRozan misses 2-pt shot from 15 ft
8:19.0,Defensive rebound by O. Porter,,8-6,,
8:08.0,M. Gortat misses 2-pt shot from 15 ft,,8-6,,
8:07.0,,,8-6,,Defensive rebound by A. Johnson
7:59.0,,,8-8,2,J. Johnson makes 2-pt shot from 2 ft
7:51.0,Shooting foul by J. Johnson (drawn by N. Hilario),,8-8,,
7:51.0,N. Hilario misses free throw 1 of 2,,8-8,,
7:51.0,Offensive rebound by Team,,8-8,,
7:51.0,,,8-8,,L. Williams enters the game for J. Johnson
7:51.0,N. Hilario misses free throw 2 of 2,,8-8,,
7:50.0,Offensive rebound by O. Porter,,8-8,,
7:42.0,P. Pierce misses 3-pt shot from 25 ft,,8-8,,
7:41.0,,,8-8,,Defensive rebound by L. Williams
7:34.0,,,8-10,2,L. Williams makes 2-pt shot from 18 ft
7:29.0,Turnover by P. Pierce (lost ball),,8-10,,
7:26.0,Shooting block foul by O. Porter (drawn by L. Williams),,8-10,,
7:26.0,,,8-11,1,L. Williams makes free throw 1 of 2
7:26.0,,,8-12,1,L. Williams makes free throw 2 of 2
7:17.0,P. Pierce makes 2-pt shot at rim (assist by O. Porter),2,10-12,,
7:00.0,Shooting block foul by N. Hilario (drawn by A. Johnson),,10-12,,
7:00.0,,,10-13,1,A. Johnson makes free throw 1 of 2
7:00.0,,,10-14,1,A. Johnson makes free throw 2 of 2
6:42.0,O. Porter misses 3-pt shot from 25 ft,,10-14,,
6:41.0,,,10-14,,Defensive rebound by K. Lowry
6:25.0,,,10-14,,J. Valanciunas misses 2-pt shot from 5 ft
6:24.0,Defensive rebound by N. Hilario,,10-14,,
6:17.0,N. Hilario makes 2-pt shot at rim (assist by J. Wall),2,12-14,,
6:09.0,,,12-14,,Toronto full timeout
5:59.0,,,12-16,2,D. DeRozan makes 2-pt shot from 16 ft (assist by K. Lowry)
5:39.0,O. Porter misses 2-pt shot from 14 ft,,12-16,,
5:38.0,,,12-16,,Defensive rebound by J. Valanciunas
5:27.0,,,12-16,,D. DeRozan misses 2-pt shot from 21 ft
5:26.0,Defensive rebound by N. Hilario,,12-16,,
5:14.0,N. Hilario misses 2-pt shot from 15 ft,,12-16,,
5:13.0,,,12-16,,Defensive rebound by A. Johnson
5:07.0,,,12-16,,L. Williams misses 3-pt shot from 24 ft
5:06.0,Defensive rebound by O. Porter,,12-16,,
5:00.0,P. Pierce misses 2-pt shot from 1 ft,,12-16,,
4:59.0,Offensive rebound by J. Wall,,12-16,,
4:55.0,J. Wall makes 2-pt shot at rim,2,14-16,,
4:41.0,,,14-16,,D. DeRozan misses 2-pt shot from 19 ft
4:40.0,,,14-16,,Offensive rebound by J. Valanciunas
4:32.0,,,14-16,,Turnover by D. DeRozan (bad pass; steal by J. Wall)
4:24.0,O. Porter misses 3-pt shot from 25 ft,,14-16,,
4:23.0,Offensive rebound by N. Hilario,,14-16,,
4:20.0,N. Hilario makes 2-pt shot from 3 ft,2,16-16,,
4:07.0,,,16-19,3,K. Lowry makes 3-pt shot from 24 ft
3:56.0,J. Wall misses 2-pt shot from 16 ft,,16-19,,
3:54.0,,,16-19,,Defensive rebound by J. Valanciunas
3:44.0,D. Gooden enters the game for N. Hilario,,16-19,,
3:44.0,G. Temple enters the game for O. Porter,,16-19,,
3:44.0,,,16-19,,P. Patterson enters the game for A. Johnson
3:30.0,,,16-19,,D. DeRozan misses 2-pt shot from 10 ft (block by M. Gortat)
3:29.0,Defensive rebound by G. Temple,,16-19,,
3:23.0,P. Pierce makes 2-pt shot from 3 ft (assist by J. Wall),2,18-19,,
3:04.0,,,18-21,2,J. Valanciunas makes 2-pt shot from 2 ft (assist by D. DeRozan)
2:55.0,J. Wall makes 2-pt shot at rim,2,20-21,,
2:30.0,,,20-21,,Turnover by J. Valanciunas (lost ball; steal by G. Temple)
2:24.0,J. Wall makes 2-pt shot from 1 ft (assist by G. Temple),2,22-21,,
2:02.0,,,22-21,,P. Patterson misses 2-pt shot from 6 ft
2:01.0,Defensive rebound by M. Gortat,,22-21,,
1:59.0,Turnover by M. Gortat (bad pass; steal by P. Patterson),,22-21,,
1:56.0,,,22-23,2,J. Valanciunas makes 2-pt shot at rim (assist by P. Patterson)
1:47.0,Washington full timeout,,22-23,,
1:47.0,,,22-23,,T. Ross enters the game for J. Valanciunas
1:47.0,,,22-23,,T. Hansbrough enters the game for D. DeRozan
1:47.0,R. Butler enters the game for P. Pierce,,22-23,,
1:37.0,R. Butler misses 2-pt shot from 16 ft,,22-23,,
1:36.0,,,22-23,,Defensive rebound by P. Patterson
1:21.0,,,22-23,,K. Lowry misses 3-pt shot from 26 ft
1:20.0,Defensive rebound by D. Gooden,,22-23,,
1:11.0,Shooting foul by K. Lowry (drawn by M. Gortat),,22-23,,
1:11.0,M. Gortat misses free throw 1 of 2,,22-23,,
1:11.0,Offensive rebound by Team,,22-23,,
1:11.0,M. Gortat makes free throw 2 of 2,1,23-23,,
0:53.0,,,23-23,,Turnover by K. Lowry (lost ball; steal by G. Temple)
0:49.0,J. Wall makes 2-pt shot at rim (assist by R. Butler),2,25-23,,
0:43.0,,,25-23,,Shooting foul by G. Temple (drawn by L. Williams)
0:43.0,,,25-24,1,L. Williams makes free throw 1 of 2
0:43.0,K. Seraphin enters the game for M. Gortat,,25-24,,
0:43.0,,,25-24,,G. Vasquez enters the game for K. Lowry
0:43.0,,,25-25,1,L. Williams makes free throw 2 of 2
0:31.0,J. Wall misses 3-pt shot from 25 ft,,25-25,,
0:30.0,,,25-25,,Defensive rebound by L. Williams
0:07.0,,,25-27,2,L. Williams makes 2-pt shot from 11 ft
0:02.0,Turnover by J. Wall (bad pass; steal by P. Patterson),,25-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,25-30,3,L. Williams makes 3-pt shot from 25 ft
11:19.0,A. Miller misses 2-pt shot from 7 ft,,25-30,,
11:18.0,,,25-30,,Defensive rebound by T. Hansbrough
11:00.0,,,25-33,3,G. Vasquez makes 3-pt shot from 25 ft (assist by T. Ross)
10:38.0,K. Seraphin makes 2-pt shot from 6 ft,2,27-33,,
10:17.0,,,27-36,3,L. Williams makes 3-pt shot from 26 ft
9:50.0,R. Butler makes 3-pt shot from 26 ft (assist by K. Seraphin),3,30-36,,
9:27.0,,,30-36,,P. Patterson misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by R. Butler,,30-36,,
9:19.0,,,30-36,,Personal foul by T. Hansbrough (drawn by K. Seraphin)
9:14.0,Offensive foul by R. Butler,,30-36,,
9:14.0,Turnover by R. Butler (offensive foul),,30-36,,
8:57.0,,,30-36,,T. Hansbrough misses 2-pt shot from 5 ft
8:56.0,,,30-36,,Offensive rebound by T. Hansbrough
8:54.0,,,30-36,,T. Hansbrough misses 2-pt shot from 1 ft
8:53.0,Defensive rebound by A. Miller,,30-36,,
8:47.0,K. Seraphin makes 2-pt shot from 2 ft (assist by A. Miller),2,32-36,,
8:28.0,,,32-36,,G. Vasquez misses 2-pt shot from 21 ft
8:27.0,Defensive rebound by D. Gooden,,32-36,,
8:13.0,K. Seraphin misses 2-pt shot from 6 ft,,32-36,,
8:11.0,Offensive rebound by D. Gooden,,32-36,,
8:09.0,D. Gooden misses 2-pt shot from 1 ft,,32-36,,
8:08.0,Offensive rebound by D. Gooden,,32-36,,
8:07.0,D. Gooden misses 2-pt shot from 2 ft,,32-36,,
8:06.0,,,32-36,,Defensive rebound by P. Patterson
7:54.0,,,32-36,,Shooting foul by K. Seraphin (drawn by T. Hansbrough)
7:54.0,Official timeout,,32-36,,
7:54.0,,,32-37,1,T. Hansbrough makes free throw 1 of 2
7:54.0,,,32-37,,T. Hansbrough misses free throw 2 of 2
7:53.0,Defensive rebound by K. Seraphin,,32-37,,
7:35.0,K. Seraphin makes 2-pt shot from 1 ft (assist by D. Gooden),2,34-37,,
7:09.0,,,34-37,,T. Ross misses 2-pt shot from 17 ft (block by R. Butler)
7:07.0,Defensive rebound by G. Temple,,34-37,,
6:58.0,D. Gooden makes 2-pt shot from 21 ft (assist by G. Temple),2,36-37,,
6:38.0,,,36-37,,L. Williams misses 2-pt shot from 2 ft (block by K. Seraphin)
6:36.0,Defensive rebound by K. Seraphin,,36-37,,
6:23.0,K. Seraphin misses 2-pt shot from 5 ft,,36-37,,
6:22.0,Offensive rebound by G. Temple,,36-37,,
6:20.0,G. Temple misses 2-pt shot from 2 ft (block by L. Williams),,36-37,,
6:18.0,,,36-37,,Defensive rebound by L. Williams
6:13.0,,,36-37,,Turnover by T. Hansbrough (lost ball)
6:13.0,,,36-37,,A. Johnson enters the game for T. Hansbrough
6:13.0,,,36-37,,D. DeRozan enters the game for L. Williams
5:57.0,R. Butler misses 2-pt shot from 6 ft,,36-37,,
5:56.0,Offensive rebound by D. Gooden,,36-37,,
5:54.0,D. Gooden misses 2-pt shot at rim,,36-37,,
5:53.0,,,36-37,,Defensive rebound by G. Vasquez
5:47.0,,,36-37,,T. Ross misses 3-pt shot from 22 ft
5:45.0,,,36-37,,Offensive rebound by P. Patterson
5:44.0,,,36-37,,P. Patterson misses 2-pt shot from 1 ft
5:43.0,,,36-37,,Offensive rebound by P. Patterson
5:41.0,,,36-37,,P. Patterson misses 2-pt shot from 1 ft
5:39.0,Defensive rebound by K. Seraphin,,36-37,,
5:32.0,A. Miller makes 2-pt shot from 1 ft,2,38-37,,
5:26.0,,,38-37,,Toronto full timeout
5:26.0,,,38-37,,K. Lowry enters the game for T. Ross
5:26.0,O. Porter enters the game for G. Temple,,38-37,,
5:26.0,J. Wall enters the game for A. Miller,,38-37,,
5:17.0,,,38-37,,D. DeRozan misses 2-pt shot from 19 ft
5:16.0,Defensive rebound by D. Gooden,,38-37,,
5:06.0,D. Gooden misses 2-pt shot from 3 ft,,38-37,,
5:05.0,,,38-37,,Defensive rebound by K. Lowry
4:59.0,,,38-37,,G. Vasquez misses 3-pt shot from 25 ft
4:58.0,Defensive rebound by J. Wall,,38-37,,
4:50.0,D. Gooden makes 2-pt shot from 13 ft (assist by O. Porter),2,40-37,,
4:35.0,,,40-37,,Shooting foul by R. Butler (drawn by D. DeRozan)
4:35.0,,,40-38,1,D. DeRozan makes free throw 1 of 2
4:35.0,,,40-39,1,D. DeRozan makes free throw 2 of 2
4:16.0,R. Butler misses 3-pt shot from 25 ft,,40-39,,
4:15.0,Offensive rebound by K. Seraphin,,40-39,,
4:06.0,Turnover by D. Gooden (bad pass),,40-39,,
4:06.0,,,40-39,,J. Johnson enters the game for P. Patterson
3:45.0,,,40-39,,D. DeRozan misses 2-pt shot from 3 ft (block by K. Seraphin)
3:44.0,Defensive rebound by R. Butler,,40-39,,
3:37.0,R. Butler misses 3-pt shot from 26 ft,,40-39,,
3:36.0,,,40-39,,Defensive rebound by G. Vasquez
3:31.0,,,40-41,2,D. DeRozan makes 2-pt shot from 1 ft (assist by G. Vasquez)
3:07.0,Shooting foul by K. Lowry (drawn by J. Wall),,40-41,,
3:07.0,J. Wall misses free throw 1 of 2,,40-41,,
3:07.0,Offensive rebound by Team,,40-41,,
3:07.0,N. Hilario enters the game for D. Gooden,,40-41,,
3:07.0,P. Pierce enters the game for R. Butler,,40-41,,
3:07.0,J. Wall makes free throw 2 of 2,1,41-41,,
2:52.0,,,41-43,2,K. Lowry makes 2-pt shot from 20 ft
2:31.0,P. Pierce misses 2-pt shot from 19 ft (block by J. Johnson),,41-43,,
2:29.0,,,41-43,,Defensive rebound by K. Lowry
2:25.0,,,41-45,2,K. Lowry makes 2-pt shot from 5 ft (assist by J. Johnson)
2:19.0,Washington full timeout,,41-45,,
2:19.0,,,41-45,,L. Williams enters the game for G. Vasquez
2:19.0,M. Gortat enters the game for K. Seraphin,,41-45,,
2:11.0,J. Wall makes 2-pt shot from 1 ft,2,43-45,,
1:59.0,G. Temple enters the game for O. Porter,,43-45,,
1:50.0,,,43-45,,D. DeRozan misses 3-pt shot from 25 ft
1:49.0,,,43-45,,Offensive rebound by D. DeRozan
1:46.0,,,43-45,,D. DeRozan misses 2-pt shot from 1 ft
1:45.0,,,43-45,,Offensive rebound by A. Johnson
1:34.0,,,43-45,,Shooting foul by N. Hilario (drawn by D. DeRozan)
1:34.0,,,43-46,1,D. DeRozan makes free throw 1 of 2
1:34.0,D. Gooden enters the game for N. Hilario,,43-46,,
1:34.0,,,43-47,1,D. DeRozan makes free throw 2 of 2
1:20.0,P. Pierce makes 2-pt shot from 16 ft (assist by J. Wall),2,45-47,,
1:10.0,,,45-47,,A. Johnson misses 2-pt shot from 4 ft
1:09.0,,,45-47,,Offensive rebound by K. Lowry
1:00.0,,,45-49,2,J. Johnson makes 2-pt shot from 1 ft (assist by K. Lowry)
0:54.0,Turnover by J. Wall (bad pass),,45-49,,
0:35.0,,,45-49,,L. Williams misses 3-pt shot from 27 ft
0:34.0,Defensive rebound by G. Temple,,45-49,,
0:33.0,,,45-49,,Personal foul by K. Lowry (drawn by G. Temple)
0:33.0,,,45-49,,G. Vasquez enters the game for K. Lowry
0:17.0,,,45-49,,Personal block foul by A. Johnson (drawn by J. Wall)
0:17.0,J. Wall makes free throw 1 of 2,1,46-49,,
0:17.0,J. Wall makes free throw 2 of 2,1,47-49,,
0:01.0,,,47-49,,D. DeRozan misses 2-pt shot from 9 ft
0:00.0,Defensive rebound by D. Gooden,,47-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,47-51,2,D. DeRozan makes 2-pt shot from 4 ft
11:27.0,Turnover by M. Gortat (bad pass; steal by A. Johnson),,47-51,,
