time,Sacramento,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Cousins vs. A. Len (E. Bledsoe gains possession),,,,Jump ball: D. Cousins vs. A. Len (E. Bledsoe gains possession)
11:39.0,,,0-2,2,M. Morris makes 2-pt shot from 9 ft
11:25.0,D. Cousins misses 2-pt shot from 13 ft,,0-2,,
11:22.0,,,0-2,,Defensive rebound by P. Tucker
11:19.0,,,0-2,,Offensive foul by M. Morris
11:19.0,,,0-2,,Turnover by M. Morris (offensive foul)
11:07.0,Shooting foul by M. Morris (drawn by R. Gay),,0-2,,
11:07.0,,,0-2,,Technical foul by Team
11:07.0,R. Gay makes technical free throw,1,1-2,,
11:07.0,R. Gay makes free throw 1 of 2,1,2-2,,
11:07.0,R. Gay makes free throw 2 of 2,1,3-2,,
10:51.0,,,3-2,,P. Tucker misses 2-pt shot from 6 ft
10:47.0,,,3-2,,Offensive rebound by A. Len
10:47.0,,,3-2,,A. Len misses 2-pt shot at rim
10:46.0,,,3-2,,Offensive rebound by A. Len
10:45.0,,,3-2,,Turnover by A. Len (lost ball; steal by R. McCallum)
10:38.0,B. McLemore misses 3-pt shot from 25 ft,,3-2,,
10:35.0,,,3-2,,Defensive rebound by P. Tucker
10:30.0,,,3-2,,Turnover by E. Bledsoe (lost ball; steal by B. McLemore)
10:18.0,D. Cousins makes 2-pt shot from 19 ft (assist by O. Casspi),2,5-2,,
10:01.0,,,5-2,,Shooting foul by R. Gay (drawn by M. Morris)
10:01.0,,,5-2,,M. Morris misses free throw 1 of 2
10:01.0,,,5-2,,Offensive rebound by Team
10:01.0,,,5-3,1,M. Morris makes free throw 2 of 2
9:44.0,D. Cousins misses 2-pt shot from 1 ft (block by A. Len),,5-3,,
9:42.0,,,5-3,,Defensive rebound by E. Bledsoe
9:35.0,,,5-6,3,M. Morris makes 3-pt shot from 22 ft (assist by E. Bledsoe)
9:24.0,O. Casspi misses 2-pt shot from 4 ft,,5-6,,
9:22.0,,,5-6,,Defensive rebound by E. Bledsoe
9:18.0,,,5-6,,Turnover by E. Bledsoe (bad pass)
9:08.0,R. McCallum misses 2-pt shot from 3 ft,,5-6,,
9:06.0,Offensive rebound by R. McCallum,,5-6,,
9:06.0,R. McCallum makes 2-pt shot at rim,2,7-6,,
8:56.0,,,7-8,2,E. Bledsoe makes 2-pt shot from 2 ft
8:56.0,,,7-8,,Shooting foul by D. Cousins (drawn by E. Bledsoe)
8:56.0,,,7-8,,E. Bledsoe misses free throw 1 of 1
8:55.0,Defensive rebound by R. Gay,,7-8,,
8:48.0,R. McCallum makes 2-pt shot from 1 ft (assist by R. Gay),2,9-8,,
8:38.0,,,9-10,2,E. Bledsoe makes 2-pt shot from 22 ft
8:26.0,R. McCallum misses 2-pt shot from 16 ft,,9-10,,
8:24.0,,,9-10,,Defensive rebound by M. Morris
8:19.0,,,9-10,,E. Bledsoe misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by R. McCallum,,9-10,,
8:14.0,O. Casspi makes 2-pt shot at rim (assist by R. McCallum),2,11-10,,
7:56.0,,,11-10,,Shooting foul by R. Gay (drawn by A. Len)
7:56.0,,,11-11,1,A. Len makes free throw 1 of 2
7:56.0,D. Williams enters the game for R. Gay,,11-11,,
7:56.0,,,11-11,,A. Goodwin enters the game for E. Bledsoe
7:56.0,,,11-12,1,A. Len makes free throw 2 of 2
7:34.0,D. Williams misses 3-pt shot from 24 ft,,11-12,,
7:34.0,,,11-12,,Defensive rebound by Team
7:22.0,,,11-12,,A. Goodwin misses 2-pt shot from 4 ft (block by D. Cousins)
7:20.0,,,11-12,,Offensive rebound by P. Tucker
7:15.0,,,11-12,,M. Morris misses 2-pt shot from 13 ft
7:14.0,Defensive rebound by Team,,11-12,,
7:02.0,D. Cousins misses 2-pt shot from 10 ft,,11-12,,
6:59.0,Offensive rebound by D. Cousins,,11-12,,
6:59.0,D. Cousins makes 2-pt shot from 2 ft,2,13-12,,
6:40.0,,,13-14,2,M. Morris makes 2-pt shot from 14 ft (assist by M. Morris)
6:31.0,,,13-14,,Personal foul by M. Morris (drawn by O. Casspi)
6:31.0,,,13-14,,T. Warren enters the game for M. Morris
6:20.0,O. Casspi misses 2-pt shot from 3 ft,,13-14,,
6:18.0,,,13-14,,Defensive rebound by A. Len
6:17.0,,,13-14,,Turnover by A. Len (lost ball; steal by D. Cousins)
6:13.0,R. McCallum makes 2-pt shot at rim (assist by D. Cousins),2,15-14,,
5:59.0,,,15-14,,P. Tucker misses 3-pt shot from 24 ft
5:56.0,,,15-14,,Offensive rebound by M. Morris
5:56.0,,,15-14,,M. Morris misses 2-pt shot from 1 ft
5:55.0,,,15-14,,Offensive rebound by A. Len
5:54.0,,,15-16,2,M. Morris makes 2-pt shot from 1 ft
5:48.0,,,15-16,,Personal foul by A. Len (drawn by D. Cousins)
5:48.0,,,15-16,,Phoenix full timeout
5:48.0,,,15-16,,B. Wright enters the game for A. Len
5:38.0,B. McLemore misses 3-pt shot from 24 ft,,15-16,,
5:36.0,,,15-16,,Defensive rebound by B. Wright
5:17.0,,,15-16,,Turnover by T. Warren (bad pass; steal by O. Casspi)
5:13.0,D. Williams misses 2-pt shot at rim,,15-16,,
5:09.0,Offensive rebound by O. Casspi,,15-16,,
5:06.0,D. Williams misses 2-pt shot from 1 ft,,15-16,,
5:04.0,,,15-16,,Defensive rebound by B. Wright
4:57.0,,,15-18,2,M. Morris makes 2-pt shot at rim (assist by A. Goodwin)
4:42.0,B. McLemore makes 2-pt shot from 1 ft,2,17-18,,
4:30.0,,,17-20,2,M. Morris makes 2-pt shot from 15 ft (assist by A. Goodwin)
4:17.0,O. Casspi makes 3-pt shot from 26 ft (assist by R. McCallum),3,20-20,,
3:57.0,,,20-22,2,P. Tucker makes 2-pt shot from 2 ft
3:45.0,B. McLemore makes 2-pt shot at rim (assist by R. McCallum),2,22-22,,
3:25.0,Personal foul by D. Williams (drawn by A. Goodwin),,22-22,,
3:25.0,N. Stauskas enters the game for B. McLemore,,22-22,,
3:25.0,J. Thompson enters the game for D. Cousins,,22-22,,
3:21.0,,,22-22,,P. Tucker misses 3-pt shot from 23 ft
3:19.0,Defensive rebound by N. Stauskas,,22-22,,
3:07.0,J. Thompson makes 2-pt shot from 15 ft (assist by N. Stauskas),2,24-22,,
2:57.0,,,24-22,,Phoenix full timeout
2:57.0,Sacramento full timeout,,24-22,,
2:57.0,,,24-22,,E. Bledsoe enters the game for P. Tucker
2:49.0,,,24-24,2,A. Goodwin makes 2-pt shot from 1 ft
2:32.0,O. Casspi misses 3-pt shot from 25 ft,,24-24,,
2:30.0,,,24-24,,Defensive rebound by B. Wright
2:23.0,,,24-26,2,A. Goodwin makes 2-pt shot from 1 ft
2:06.0,J. Thompson misses 2-pt shot from 7 ft,,24-26,,
2:03.0,,,24-26,,Defensive rebound by M. Morris
1:52.0,,,24-26,,B. Wright misses 2-pt shot from 11 ft
1:51.0,Defensive rebound by J. Thompson,,24-26,,
1:46.0,O. Casspi misses 2-pt shot from 6 ft (block by M. Morris),,24-26,,
1:43.0,,,24-26,,Defensive rebound by M. Morris
1:38.0,,,24-26,,E. Bledsoe misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by O. Casspi,,24-26,,
1:25.0,Turnover by R. McCallum (lost ball; steal by A. Goodwin),,24-26,,
1:21.0,,,24-26,,Turnover by A. Goodwin (lost ball)
