time,Charlotte,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. A. Jefferson (A. Payne gains possession),,,,Jump ball: G. Dieng vs. A. Jefferson (A. Payne gains possession)
11:40.0,,,0-2,2,Z. LaVine makes 2-pt shot from 20 ft
11:25.0,M. Williams misses 3-pt shot from 24 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by Z. LaVine
11:12.0,,,0-5,3,Z. LaVine makes 3-pt shot from 24 ft (assist by K. Martin)
10:59.0,K. Walker misses 2-pt shot from 1 ft,,0-5,,
10:57.0,,,0-5,,Defensive rebound by Z. LaVine
10:52.0,,,0-5,,Z. LaVine misses 2-pt shot from 1 ft
10:51.0,Defensive rebound by A. Jefferson,,0-5,,
10:42.0,G. Henderson makes 2-pt shot from 18 ft,2,2-5,,
10:16.0,,,2-5,,A. Wiggins misses 2-pt shot from 20 ft
10:15.0,,,2-5,,Offensive rebound by A. Payne
10:12.0,,,2-5,,A. Payne misses 2-pt shot from 5 ft
10:11.0,Defensive rebound by M. Williams,,2-5,,
9:58.0,A. Jefferson misses 2-pt shot from 5 ft,,2-5,,
9:56.0,,,2-5,,Defensive rebound by A. Payne
9:49.0,,,2-7,2,K. Martin makes 2-pt shot from 17 ft
9:29.0,M. Williams misses 2-pt shot from 15 ft,,2-7,,
9:28.0,Offensive rebound by M. Williams,,2-7,,
9:26.0,M. Williams misses 2-pt shot from 16 ft,,2-7,,
9:25.0,Offensive rebound by M. Kidd-Gilchrist,,2-7,,
9:18.0,A. Jefferson misses 2-pt shot from 5 ft,,2-7,,
9:17.0,,,2-7,,Defensive rebound by K. Martin
9:08.0,,,2-9,2,A. Payne makes 2-pt shot from 14 ft (assist by K. Martin)
8:46.0,G. Henderson misses 2-pt shot from 4 ft (block by G. Dieng),,2-9,,
8:44.0,Offensive rebound by M. Williams,,2-9,,
8:40.0,Turnover by Team (shot clock),,2-9,,
8:22.0,,,2-9,,K. Martin misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by M. Williams,,2-9,,
8:09.0,K. Walker makes 2-pt shot from 1 ft,2,4-9,,
7:56.0,,,4-11,2,G. Dieng makes 2-pt shot from 17 ft (assist by Z. LaVine)
7:41.0,A. Jefferson misses 2-pt shot from 16 ft,,4-11,,
7:39.0,Offensive rebound by M. Williams,,4-11,,
7:33.0,G. Henderson misses 3-pt shot from 24 ft,,4-11,,
7:31.0,,,4-11,,Defensive rebound by A. Payne
7:22.0,,,4-11,,A. Wiggins misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist)
7:21.0,Defensive rebound by A. Jefferson,,4-11,,
7:02.0,Turnover by G. Henderson (lost ball; steal by K. Martin),,4-11,,
6:58.0,,,4-13,2,Z. LaVine makes 2-pt shot at rim (assist by K. Martin)
6:47.0,Charlotte full timeout,,4-13,,
6:31.0,A. Jefferson makes 2-pt shot from 13 ft (assist by M. Williams),2,6-13,,
6:14.0,,,6-15,2,G. Dieng makes 2-pt shot from 4 ft
5:59.0,A. Jefferson misses 2-pt shot from 12 ft,,6-15,,
5:58.0,,,6-15,,Defensive rebound by G. Dieng
5:49.0,,,6-15,,A. Payne misses 2-pt shot from 14 ft
5:48.0,Defensive rebound by G. Henderson,,6-15,,
5:29.0,G. Henderson misses 3-pt shot from 22 ft,,6-15,,
5:27.0,Offensive rebound by Team,,6-15,,
5:27.0,,,6-15,,Loose ball foul by G. Dieng (drawn by M. Kidd-Gilchrist)
5:27.0,,,6-15,,G. Neal enters the game for K. Martin
5:18.0,G. Henderson makes 2-pt shot at rim,2,8-15,,
4:58.0,,,8-17,2,G. Dieng makes 2-pt shot from 15 ft (assist by Z. LaVine)
4:44.0,K. Walker misses 2-pt shot from 13 ft,,8-17,,
4:43.0,Offensive rebound by A. Jefferson,,8-17,,
4:33.0,M. Williams misses 3-pt shot from 24 ft,,8-17,,
4:32.0,,,8-17,,Defensive rebound by G. Neal
4:16.0,,,8-19,2,Z. LaVine makes 2-pt shot from 15 ft
4:02.0,Turnover by A. Jefferson (bad pass; steal by A. Payne),,8-19,,
3:54.0,,,8-19,,Z. LaVine misses 3-pt shot from 24 ft
3:53.0,Defensive rebound by M. Kidd-Gilchrist,,8-19,,
3:39.0,A. Jefferson makes 2-pt shot from 1 ft (assist by G. Henderson),2,10-19,,
3:22.0,,,10-21,2,A. Wiggins makes 2-pt shot from 8 ft
3:08.0,A. Jefferson misses 2-pt shot from 3 ft,,10-21,,
3:07.0,Offensive rebound by Team,,10-21,,
3:07.0,,,10-21,,C. Budinger enters the game for A. Payne
3:07.0,B. Biyombo enters the game for A. Jefferson,,10-21,,
3:07.0,M. Williams enters the game for G. Henderson,,10-21,,
3:04.0,K. Walker misses 2-pt shot from 16 ft,,10-21,,
3:02.0,,,10-21,,Defensive rebound by G. Neal
2:44.0,,,10-21,,G. Dieng misses 2-pt shot from 17 ft
2:43.0,Defensive rebound by M. Kidd-Gilchrist,,10-21,,
2:38.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,12-21,,
2:29.0,,,12-21,,Minnesota full timeout
2:29.0,L. Stephenson enters the game for M. Williams,,12-21,,
2:14.0,,,12-21,,Turnover by Z. LaVine (traveling)
2:02.0,M. Kidd-Gilchrist misses 2-pt shot from 20 ft,,12-21,,
2:01.0,,,12-21,,Defensive rebound by A. Wiggins
1:50.0,,,12-21,,Shooting foul by B. Biyombo (drawn by G. Dieng)
1:50.0,,,12-22,1,G. Dieng makes free throw 1 of 2
1:50.0,,,12-23,1,G. Dieng makes free throw 2 of 2
1:40.0,M. Williams makes 2-pt shot from 20 ft,2,14-23,,
1:26.0,,,14-25,2,G. Neal makes 2-pt shot from 19 ft (assist by Z. LaVine)
1:09.0,,,14-25,,Personal block foul by A. Wiggins (drawn by B. Biyombo)
1:01.0,M. Williams makes 2-pt shot from 5 ft,2,16-25,,
0:49.0,,,16-25,,Turnover by G. Neal (lost ball; steal by K. Walker)
0:41.0,K. Walker misses 3-pt shot from 24 ft,,16-25,,
0:40.0,,,16-25,,Defensive rebound by G. Dieng
0:33.0,,,16-25,,Z. LaVine misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by L. Stephenson,,16-25,,
0:24.0,L. Stephenson makes 2-pt shot from 12 ft,2,18-25,,
0:02.0,,,18-27,2,G. Neal makes 2-pt shot from 16 ft (assist by Z. LaVine)
0:00.0,M. Williams misses 3-pt shot from 59 ft,,18-27,,
0:00.0,Offensive rebound by Team,,18-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,L. Stephenson misses 3-pt shot from 24 ft,,18-27,,
11:43.0,,,18-27,,Defensive rebound by G. Dieng
11:31.0,,,18-27,,K. Martin misses 2-pt shot from 21 ft
11:30.0,Defensive rebound by B. Biyombo,,18-27,,
