time,Houston,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. J. Hill (P. Beverley gains possession),,,,Jump ball: J. Dorsey vs. J. Hill (P. Beverley gains possession)
11:44.0,T. Ariza misses 3-pt shot from 25 ft,,0-0,,
11:43.0,Offensive rebound by P. Beverley,,0-0,,
11:27.0,J. Harden makes 2-pt shot at rim (assist by T. Ariza),2,2-0,,
11:05.0,,,2-2,2,J. Hill makes 2-pt shot from 3 ft
10:55.0,J. Harden misses 3-pt shot from 25 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by R. Sacre
10:34.0,,,2-2,,J. Clarkson misses 2-pt shot from 10 ft
10:33.0,Defensive rebound by J. Harden,,2-2,,
10:25.0,Turnover by J. Harden (bad pass),,2-2,,
10:07.0,,,2-4,2,R. Sacre makes 2-pt shot from 2 ft (assist by J. Hill)
9:47.0,D. Motiejunas makes 2-pt shot from 7 ft,2,4-4,,
9:27.0,,,4-4,,W. Ellington misses 2-pt shot from 18 ft
9:26.0,Defensive rebound by J. Harden,,4-4,,
9:19.0,P. Beverley misses 3-pt shot from 27 ft,,4-4,,
9:18.0,,,4-4,,Defensive rebound by J. Hill
9:12.0,,,4-4,,Offensive foul by R. Sacre
9:12.0,,,4-4,,Turnover by R. Sacre (offensive foul)
9:00.0,D. Motiejunas misses 2-pt shot from 5 ft,,4-4,,
8:57.0,Offensive rebound by J. Dorsey,,4-4,,
8:55.0,T. Ariza misses 3-pt shot from 25 ft,,4-4,,
8:53.0,,,4-4,,Defensive rebound by R. Sacre
8:46.0,,,4-4,,Turnover by J. Clarkson (step out of bounds)
8:40.0,J. Harden makes 2-pt shot from 3 ft,2,6-4,,
8:40.0,Shooting foul by J. Clarkson (drawn by J. Harden),,6-4,,
8:40.0,J. Harden makes free throw 1 of 1,1,7-4,,
8:27.0,Personal foul by D. Motiejunas (drawn by R. Sacre),,7-4,,
8:20.0,,,7-4,,R. Kelly misses 2-pt shot from 3 ft
8:17.0,Defensive rebound by D. Motiejunas,,7-4,,
8:14.0,J. Dorsey misses 2-pt shot from 2 ft,,7-4,,
8:09.0,,,7-4,,Defensive rebound by R. Sacre
8:02.0,,,7-4,,R. Kelly misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by T. Ariza,,7-4,,
7:55.0,T. Ariza misses 2-pt shot from 3 ft,,7-4,,
7:51.0,Offensive rebound by J. Dorsey,,7-4,,
7:40.0,D. Motiejunas makes 2-pt shot from 5 ft,2,9-4,,
7:27.0,,,9-4,,Turnover by J. Clarkson (lost ball; steal by P. Beverley)
7:23.0,J. Harden makes 2-pt shot from 1 ft,2,11-4,,
7:03.0,,,11-6,2,J. Hill makes 2-pt shot from 19 ft (assist by R. Kelly)
6:51.0,T. Ariza misses 3-pt shot from 25 ft,,11-6,,
6:50.0,,,11-6,,Defensive rebound by R. Sacre
6:33.0,,,11-6,,J. Clarkson misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by D. Motiejunas,,11-6,,
6:15.0,P. Beverley makes 3-pt shot from 24 ft (assist by J. Harden),3,14-6,,
5:51.0,,,14-6,,Turnover by J. Hill (lost ball; steal by T. Ariza)
5:48.0,Turnover by T. Ariza (bad pass; steal by J. Clarkson),,14-6,,
5:47.0,,,14-6,,Shooting foul by D. Motiejunas (drawn by J. Clarkson)
5:47.0,,,14-6,,LA Lakers full timeout
5:47.0,,,14-6,,C. Boozer enters the game for R. Sacre
5:47.0,J. Smith enters the game for D. Motiejunas,,14-6,,
5:47.0,,,14-7,1,J. Clarkson makes free throw 1 of 2
5:47.0,,,14-8,1,J. Clarkson makes free throw 2 of 2
5:36.0,J. Dorsey makes 2-pt shot at rim (assist by J. Harden),2,16-8,,
5:11.0,,,16-8,,W. Ellington misses 3-pt shot from 22 ft
