time,Boston,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. J. Nurkic (E. Turner gains possession),,,,Jump ball: B. Bass vs. J. Nurkic (E. Turner gains possession)
11:36.0,A. Bradley misses 2-pt shot from 16 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by K. Faried
11:16.0,,,0-3,3,J. Nelson makes 3-pt shot from 27 ft (assist by A. Afflalo)
10:58.0,B. Bass makes 2-pt shot from 14 ft,2,2-3,,
10:46.0,,,2-3,,J. Nelson misses 2-pt shot from 17 ft (block by E. Turner)
10:43.0,Defensive rebound by J. Crowder,,2-3,,
10:35.0,E. Turner makes 2-pt shot from 13 ft,2,4-3,,
10:29.0,,,4-3,,Denver full timeout
10:19.0,,,4-5,2,J. Nurkic makes 2-pt shot from 1 ft (assist by J. Nelson)
10:03.0,J. Sullinger misses 2-pt shot from 6 ft,,4-5,,
10:00.0,,,4-5,,Defensive rebound by J. Nurkic
9:52.0,,,4-5,,J. Nurkic misses 2-pt shot from 1 ft
9:50.0,,,4-5,,Offensive rebound by J. Nurkic
9:50.0,,,4-7,2,J. Nurkic makes 2-pt shot from 1 ft
9:35.0,B. Bass makes 2-pt shot from 9 ft (assist by E. Turner),2,6-7,,
9:16.0,,,6-9,2,W. Chandler makes 2-pt shot from 14 ft
8:58.0,B. Bass makes 2-pt shot from 5 ft,2,8-9,,
8:45.0,,,8-9,,K. Faried misses 2-pt shot from 4 ft
8:44.0,,,8-9,,Offensive rebound by Team
8:37.0,,,8-9,,W. Chandler misses 2-pt shot from 20 ft
8:35.0,Defensive rebound by A. Bradley,,8-9,,
8:22.0,A. Bradley misses 2-pt shot from 2 ft,,8-9,,
8:20.0,,,8-9,,Defensive rebound by K. Faried
8:09.0,,,8-12,3,W. Chandler makes 3-pt shot from 26 ft (assist by A. Afflalo)
7:54.0,Turnover by E. Turner (lost ball),,8-12,,
7:43.0,,,8-12,,Turnover by J. Nurkic (traveling)
7:29.0,B. Bass misses 2-pt shot from 17 ft,,8-12,,
7:27.0,Offensive rebound by J. Sullinger,,8-12,,
7:24.0,J. Sullinger makes 2-pt shot from 1 ft,2,10-12,,
7:07.0,,,10-12,,A. Afflalo misses 3-pt shot from 23 ft
7:06.0,Defensive rebound by A. Bradley,,10-12,,
7:04.0,Turnover by A. Bradley (lost ball; steal by J. Nelson),,10-12,,
7:00.0,,,10-12,,J. Nelson misses 2-pt shot from 2 ft (block by E. Turner)
6:59.0,Defensive rebound by E. Turner,,10-12,,
6:59.0,,,10-12,,Personal foul by W. Chandler (drawn by J. Crowder)
6:59.0,,,10-12,,J. Hickson enters the game for J. Nurkic
6:47.0,J. Sullinger makes 2-pt shot from 8 ft (assist by B. Bass),2,12-12,,
6:24.0,,,12-15,3,J. Nelson makes 3-pt shot from 26 ft (assist by K. Faried)
6:10.0,B. Bass misses 2-pt shot from 18 ft,,12-15,,
6:09.0,,,12-15,,Defensive rebound by W. Chandler
5:59.0,,,12-15,,J. Nelson misses 3-pt shot from 24 ft
5:58.0,,,12-15,,Offensive rebound by K. Faried
5:55.0,,,12-15,,K. Faried misses 2-pt shot at rim
5:55.0,,,12-15,,Offensive rebound by J. Hickson
5:55.0,,,12-17,2,J. Hickson makes 2-pt shot from 1 ft
5:55.0,Boston full timeout,,12-17,,
5:55.0,T. Zeller enters the game for J. Crowder,,12-17,,
5:55.0,M. Smart enters the game for A. Bradley,,12-17,,
5:55.0,M. Thornton enters the game for J. Sullinger,,12-17,,
5:43.0,E. Turner misses 3-pt shot from 25 ft,,12-17,,
5:42.0,,,12-17,,Defensive rebound by W. Chandler
5:28.0,Personal foul by M. Thornton (drawn by W. Chandler),,12-17,,
5:18.0,,,12-19,2,J. Nelson makes 2-pt shot from 21 ft
4:54.0,T. Zeller misses 2-pt shot from 5 ft,,12-19,,
4:53.0,,,12-19,,Defensive rebound by J. Hickson
4:45.0,,,12-19,,Turnover by J. Nelson (bad pass; steal by B. Bass)
4:34.0,T. Zeller misses 2-pt shot from 6 ft,,12-19,,
4:33.0,,,12-19,,Defensive rebound by J. Hickson
4:25.0,,,12-19,,W. Chandler misses 2-pt shot from 2 ft
4:24.0,Defensive rebound by B. Bass,,12-19,,
4:09.0,M. Thornton misses 3-pt shot from 24 ft,,12-19,,
4:08.0,Offensive rebound by B. Bass,,12-19,,
3:57.0,M. Thornton makes 2-pt shot from 2 ft (assist by E. Turner),2,14-19,,
3:43.0,,,14-22,3,J. Nelson makes 3-pt shot from 25 ft
3:28.0,,,14-22,,D. Gallinari enters the game for W. Chandler
3:12.0,M. Smart misses 3-pt shot from 24 ft,,14-22,,
3:10.0,,,14-22,,Defensive rebound by K. Faried
2:57.0,,,14-22,,Denver full timeout
2:57.0,T. Prince enters the game for E. Turner,,14-22,,
2:48.0,,,14-22,,Turnover by Team (shot clock)
