time,Portland,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Black vs. R. Lopez (W. Johnson gains possession),,,,Jump ball: T. Black vs. R. Lopez (W. Johnson gains possession)
11:47.0,,,0-0,,J. Lin misses 2-pt shot from 14 ft
11:46.0,Defensive rebound by N. Batum,,0-0,,
11:35.0,R. Lopez makes 2-pt shot at rim (assist by N. Batum),2,2-0,,
11:10.0,,,2-0,,W. Johnson misses 2-pt shot from 20 ft
11:09.0,Defensive rebound by N. Batum,,2-0,,
11:02.0,D. Lillard makes 2-pt shot from 16 ft,2,4-0,,
10:51.0,,,4-0,,J. Clarkson misses 2-pt shot from 17 ft
10:50.0,,,4-0,,Offensive rebound by T. Black
10:36.0,,,4-0,,J. Lin misses 2-pt shot from 6 ft
10:35.0,Defensive rebound by N. Batum,,4-0,,
10:23.0,L. Aldridge misses 3-pt shot from 25 ft,,4-0,,
10:22.0,,,4-0,,Defensive rebound by W. Johnson
10:13.0,,,4-2,2,J. Clarkson makes 2-pt shot from 1 ft
9:55.0,Turnover by L. Aldridge (lost ball; steal by R. Kelly),,4-2,,
9:44.0,,,4-2,,W. Johnson misses 2-pt shot from 19 ft
9:42.0,Defensive rebound by D. Lillard,,4-2,,
9:33.0,A. Afflalo misses 2-pt shot from 10 ft,,4-2,,
9:32.0,,,4-2,,Defensive rebound by R. Kelly
9:24.0,,,4-4,2,J. Clarkson makes 2-pt shot at rim (assist by R. Kelly)
9:08.0,Turnover by L. Aldridge (lost ball),,4-4,,
9:00.0,Personal foul by D. Lillard (drawn by R. Kelly),,4-4,,
8:46.0,,,4-4,,T. Black misses 2-pt shot from 5 ft (block by R. Lopez)
8:44.0,,,4-4,,Offensive rebound by J. Clarkson
8:39.0,,,4-6,2,J. Clarkson makes 2-pt shot from 15 ft
8:29.0,D. Lillard makes 3-pt shot from 26 ft,3,7-6,,
8:10.0,,,7-6,,Turnover by R. Kelly (bad pass; steal by D. Lillard)
7:56.0,N. Batum misses 3-pt shot from 24 ft,,7-6,,
7:54.0,,,7-6,,Defensive rebound by J. Clarkson
7:44.0,,,7-6,,W. Johnson misses 2-pt shot from 2 ft
7:43.0,Defensive rebound by L. Aldridge,,7-6,,
7:35.0,D. Lillard makes 3-pt shot from 25 ft,3,10-6,,
7:10.0,,,10-6,,J. Lin misses 2-pt shot from 3 ft
7:09.0,Defensive rebound by L. Aldridge,,10-6,,
7:03.0,,,10-6,,Personal foul by R. Kelly (drawn by D. Lillard)
6:53.0,D. Lillard makes 3-pt shot from 25 ft,3,13-6,,
6:35.0,,,13-8,2,T. Black makes 2-pt shot from 20 ft (assist by R. Kelly)
6:18.0,L. Aldridge makes 2-pt shot from 16 ft (assist by N. Batum),2,15-8,,
6:03.0,,,15-8,,Turnover by R. Kelly (bad pass; steal by A. Afflalo)
5:48.0,L. Aldridge misses 2-pt shot from 9 ft,,15-8,,
5:47.0,,,15-8,,Defensive rebound by J. Lin
5:34.0,,,15-8,,T. Black misses 2-pt shot from 13 ft
5:33.0,Defensive rebound by L. Aldridge,,15-8,,
5:27.0,A. Afflalo misses 2-pt shot from 4 ft,,15-8,,
5:26.0,,,15-8,,Defensive rebound by J. Clarkson
5:20.0,,,15-10,2,R. Kelly makes 2-pt shot at rim (assist by J. Clarkson)
5:10.0,Portland full timeout,,15-10,,
5:10.0,C. Kaman enters the game for R. Lopez,,15-10,,
5:10.0,C. McCollum enters the game for A. Afflalo,,15-10,,
5:10.0,,,15-10,,J. Brown enters the game for J. Lin
