time,Oklahoma City,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. R. Lopez (N. Collison gains possession),,,,Jump ball: S. Ibaka vs. R. Lopez (N. Collison gains possession)
11:50.0,R. Westbrook misses 2-pt shot from 2 ft,,0-0,,
11:47.0,Offensive rebound by N. Collison,,0-0,,
11:47.0,N. Collison misses 2-pt shot at rim,,0-0,,
11:46.0,,,0-0,,Defensive rebound by D. Lillard
11:41.0,,,0-2,2,D. Lillard makes 2-pt shot from 1 ft
11:27.0,S. Ibaka misses 2-pt shot from 20 ft,,0-2,,
11:26.0,,,0-2,,Defensive rebound by W. Matthews
11:15.0,,,0-4,2,R. Lopez makes 2-pt shot at rim (assist by D. Lillard)
10:57.0,A. Roberson misses 3-pt shot from 26 ft,,0-4,,
10:55.0,Offensive rebound by R. Westbrook,,0-4,,
10:48.0,K. Singler misses 3-pt shot from 25 ft,,0-4,,
10:47.0,,,0-4,,Defensive rebound by L. Aldridge
10:28.0,,,0-4,,L. Aldridge misses 2-pt shot from 21 ft
10:27.0,Defensive rebound by R. Westbrook,,0-4,,
10:20.0,R. Westbrook makes 2-pt shot from 17 ft,2,2-4,,
10:05.0,,,2-4,,Shooting foul by N. Collison (drawn by L. Aldridge)
10:05.0,,,2-5,1,L. Aldridge makes free throw 1 of 2
10:05.0,,,2-6,1,L. Aldridge makes free throw 2 of 2
9:54.0,A. Roberson makes 3-pt shot from 23 ft (assist by K. Singler),3,5-6,,
9:37.0,,,5-9,3,D. Lillard makes 3-pt shot from 24 ft (assist by W. Matthews)
9:26.0,K. Singler misses 2-pt shot from 14 ft,,5-9,,
9:25.0,,,5-9,,Defensive rebound by W. Matthews
9:15.0,,,5-9,,D. Lillard misses 3-pt shot from 25 ft
9:14.0,Defensive rebound by K. Singler,,5-9,,
9:07.0,R. Westbrook misses 2-pt shot from 18 ft,,5-9,,
9:05.0,,,5-9,,Defensive rebound by R. Lopez
8:56.0,,,5-11,2,R. Lopez makes 2-pt shot from 6 ft (assist by D. Lillard)
8:39.0,R. Westbrook makes 2-pt shot at rim (assist by N. Collison),2,7-11,,
8:11.0,,,7-13,2,L. Aldridge makes 2-pt shot from 4 ft
8:00.0,S. Ibaka makes 2-pt shot from 4 ft,2,9-13,,
7:51.0,,,9-13,,Turnover by N. Batum (step out of bounds)
7:41.0,S. Ibaka makes 2-pt shot from 18 ft (assist by R. Westbrook),2,11-13,,
7:21.0,,,11-15,2,L. Aldridge makes 2-pt shot from 13 ft
7:05.0,N. Collison makes 2-pt shot from 2 ft (assist by R. Westbrook),2,13-15,,
6:51.0,,,13-15,,L. Aldridge misses 2-pt shot from 17 ft
6:49.0,Defensive rebound by A. Roberson,,13-15,,
6:45.0,Offensive charge foul by R. Westbrook,,13-15,,
6:45.0,Turnover by R. Westbrook (offensive foul),,13-15,,
6:35.0,,,13-17,2,D. Lillard makes 2-pt shot at rim
6:14.0,Turnover by Team (back court),,13-17,,
6:14.0,,,13-17,,Portland full timeout
6:05.0,,,13-17,,Turnover by N. Batum (bad pass)
5:57.0,Shooting foul by D. Lillard (drawn by R. Westbrook),,13-17,,
5:57.0,R. Westbrook makes free throw 1 of 2,1,14-17,,
5:57.0,,,14-17,,A. Afflalo enters the game for W. Matthews
5:57.0,R. Westbrook makes free throw 2 of 2,1,15-17,,
5:45.0,,,15-17,,L. Aldridge misses 2-pt shot from 21 ft
5:44.0,Defensive rebound by N. Collison,,15-17,,
5:33.0,N. Collison misses 2-pt shot from 18 ft,,15-17,,
5:32.0,,,15-17,,Defensive rebound by L. Aldridge
5:25.0,,,15-19,2,D. Lillard makes 2-pt shot from 5 ft
5:10.0,R. Westbrook makes 2-pt shot from 1 ft,2,17-19,,
4:44.0,,,17-19,,L. Aldridge misses 2-pt shot at rim
4:43.0,,,17-19,,Offensive rebound by L. Aldridge
4:42.0,Personal foul by K. Singler (drawn by L. Aldridge),,17-19,,
4:42.0,D. Waiters enters the game for A. Roberson,,17-19,,
4:42.0,M. McGary enters the game for N. Collison,,17-19,,
4:42.0,A. Morrow enters the game for K. Singler,,17-19,,
4:36.0,,,17-19,,N. Batum misses 3-pt shot from 25 ft
4:35.0,Defensive rebound by S. Ibaka,,17-19,,
4:23.0,D. Waiters misses 3-pt shot from 25 ft,,17-19,,
4:22.0,,,17-19,,Defensive rebound by L. Aldridge
4:01.0,,,17-21,2,R. Lopez makes 2-pt shot from 4 ft (assist by D. Lillard)
3:43.0,R. Westbrook makes 2-pt shot from 12 ft,2,19-21,,
3:26.0,,,19-21,,A. Afflalo misses 3-pt shot from 23 ft
3:25.0,Defensive rebound by M. McGary,,19-21,,
3:17.0,A. Morrow makes 2-pt shot from 1 ft (assist by R. Westbrook),2,21-21,,
2:53.0,,,21-21,,L. Aldridge misses 2-pt shot from 3 ft
2:53.0,,,21-21,,Offensive rebound by L. Aldridge
2:52.0,,,21-21,,Shooting foul by M. McGary (drawn by L. Aldridge)
2:52.0,Oklahoma City full timeout,,21-21,,
2:52.0,,,21-21,,S. Blake enters the game for D. Lillard
2:52.0,,,21-21,,C. Kaman enters the game for R. Lopez
2:52.0,,,21-22,1,L. Aldridge makes free throw 1 of 2
2:52.0,,,21-23,1,L. Aldridge makes free throw 2 of 2
2:40.0,R. Westbrook makes 2-pt shot from 1 ft,2,23-23,,
2:24.0,,,23-23,,C. Kaman misses 2-pt shot from 18 ft
2:23.0,Defensive rebound by D. Waiters,,23-23,,
2:11.0,M. McGary misses 2-pt shot from 14 ft,,23-23,,
2:10.0,,,23-23,,Defensive rebound by L. Aldridge
1:52.0,,,23-26,3,S. Blake makes 3-pt shot from 23 ft (assist by A. Afflalo)
1:27.0,D. Waiters misses 2-pt shot from 11 ft,,23-26,,
1:26.0,Offensive rebound by M. McGary,,23-26,,
1:13.0,R. Westbrook misses 2-pt shot from 13 ft,,23-26,,
1:12.0,,,23-26,,Defensive rebound by N. Batum
1:06.0,,,23-28,2,L. Aldridge makes 2-pt shot at rim (assist by N. Batum)
0:51.0,Turnover by R. Westbrook (bad pass; steal by L. Aldridge),,23-28,,
0:44.0,,,23-28,,N. Batum misses 3-pt shot from 24 ft
0:42.0,Defensive rebound by Team,,23-28,,
0:42.0,D. Augustin enters the game for R. Westbrook,,23-28,,
0:42.0,,,23-28,,W. Matthews enters the game for N. Batum
0:26.0,D. Augustin makes 2-pt shot from 9 ft,2,25-28,,
0:08.0,Personal take foul by D. Augustin (drawn by S. Blake),,25-28,,
0:08.0,A. Roberson enters the game for A. Morrow,,25-28,,
0:03.0,,,25-28,,L. Aldridge misses 3-pt shot from 23 ft
0:01.0,,,25-28,,Offensive rebound by C. Kaman
0:01.0,,,25-28,,C. Kaman misses 2-pt shot at rim
0:00.0,,,25-28,,Offensive rebound by W. Matthews
0:00.0,,,25-28,,W. Matthews misses 2-pt shot at rim
0:00.0,Defensive rebound by Team,,25-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,25-30,2,C. Kaman makes 2-pt shot from 2 ft
11:18.0,S. Ibaka misses 2-pt shot from 5 ft,,25-30,,
11:16.0,,,25-30,,Defensive rebound by C. Kaman
11:00.0,,,25-30,,M. Leonard misses 2-pt shot from 17 ft
10:59.0,Defensive rebound by M. McGary,,25-30,,
10:45.0,A. Morrow makes 3-pt shot from 26 ft (assist by D. Waiters),3,28-30,,
10:31.0,Personal foul by D. Waiters (drawn by W. Matthews),,28-30,,
10:31.0,K. Singler enters the game for S. Ibaka,,28-30,,
10:25.0,,,28-30,,W. Matthews misses 3-pt shot from 25 ft
10:24.0,Defensive rebound by A. Morrow,,28-30,,
10:10.0,D. Waiters misses 2-pt shot from 6 ft,,28-30,,
10:09.0,,,28-30,,Defensive rebound by W. Matthews
10:02.0,,,28-32,2,A. Afflalo makes 2-pt shot from 8 ft (assist by W. Matthews)
9:48.0,,,28-32,,Personal block foul by A. Afflalo (drawn by D. Waiters)
9:39.0,Turnover by K. Singler (lost ball; steal by W. Matthews),,28-32,,
9:27.0,,,28-32,,M. Leonard misses 2-pt shot from 2 ft (block by K. Singler)
9:26.0,Defensive rebound by M. McGary,,28-32,,
9:21.0,Shooting foul by M. Leonard (drawn by A. Morrow),,28-32,,
9:21.0,A. Morrow makes free throw 1 of 3,1,29-32,,
9:21.0,A. Morrow makes free throw 2 of 3,1,30-32,,
9:21.0,A. Morrow makes free throw 3 of 3,1,31-32,,
9:06.0,,,31-32,,Offensive foul by A. Afflalo
9:06.0,,,31-32,,Turnover by A. Afflalo (offensive foul)
8:51.0,K. Singler makes 3-pt shot from 25 ft (assist by A. Morrow),3,34-32,,
8:41.0,,,34-32,,W. Matthews misses 3-pt shot from 25 ft
8:40.0,Defensive rebound by M. McGary,,34-32,,
8:29.0,M. McGary makes 2-pt shot from 2 ft,2,36-32,,
8:29.0,,,36-32,,Portland full timeout
8:29.0,,,36-32,,D. Lillard enters the game for S. Blake
8:20.0,,,36-32,,D. Lillard misses 3-pt shot from 27 ft
