time,Cleveland,pts.away,score,pts.home,Atlanta
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Millsap vs. T. Thompson (D. Carroll gains possession),,,,Jump ball: P. Millsap vs. T. Thompson (D. Carroll gains possession)
11:37.0,,,0-0,,K. Korver misses 3-pt shot from 23 ft
11:36.0,Defensive rebound by K. Irving,,0-0,,
11:19.0,K. Love misses 2-pt shot from 16 ft,,0-0,,
11:18.0,,,0-0,,Defensive rebound by D. Carroll
11:02.0,,,0-0,,P. Millsap misses 2-pt shot from 8 ft
11:01.0,Defensive rebound by T. Thompson,,0-0,,
10:52.0,K. Irving misses 2-pt shot from 1 ft,,0-0,,
10:52.0,Offensive rebound by T. Thompson,,0-0,,
10:52.0,Jump ball: J. Teague vs. T. Thompson (K. Love gains possession),,,,Jump ball: J. Teague vs. T. Thompson (K. Love gains possession)
10:41.0,M. Dellavedova misses 3-pt shot from 22 ft,,0-0,,
10:40.0,,,0-0,,Defensive rebound by K. Korver
10:34.0,,,0-3,3,P. Antic makes 3-pt shot from 24 ft (assist by J. Teague)
10:06.0,Turnover by Team (shot clock),,0-3,,
9:55.0,,,0-3,,Turnover by K. Korver (bad pass)
9:36.0,Turnover by T. Thompson (3 sec),,0-3,,
9:14.0,,,0-5,2,D. Carroll makes 2-pt shot from 6 ft (assist by P. Antic)
9:02.0,K. Love misses 2-pt shot from 21 ft,,0-5,,
9:01.0,,,0-5,,Defensive rebound by D. Carroll
8:53.0,,,0-5,,P. Millsap misses 2-pt shot from 13 ft
8:52.0,Defensive rebound by T. Thompson,,0-5,,
8:44.0,Shooting foul by D. Carroll (drawn by K. Irving),,0-5,,
8:44.0,K. Irving makes 3-pt shot from 24 ft,3,3-5,,
8:44.0,K. Irving makes free throw 1 of 1,1,4-5,,
8:36.0,Personal foul by M. Miller (drawn by P. Antic),,4-5,,
8:28.0,,,4-5,,P. Antic misses 3-pt shot from 24 ft
8:27.0,Defensive rebound by M. Miller,,4-5,,
8:21.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,6-5,,
7:57.0,,,6-5,,P. Millsap misses 2-pt shot from 10 ft
7:55.0,Defensive rebound by Team,,6-5,,
7:43.0,T. Thompson misses 2-pt shot from 4 ft,,6-5,,
7:43.0,Offensive rebound by K. Irving,,6-5,,
7:43.0,K. Irving makes 2-pt shot at rim,2,8-5,,
7:43.0,Shooting foul by D. Carroll (drawn by K. Irving),,8-5,,
7:43.0,,,8-5,,T. Sefolosha enters the game for D. Carroll
7:43.0,K. Irving makes free throw 1 of 1,1,9-5,,
7:34.0,,,9-5,,T. Sefolosha misses 3-pt shot from 23 ft
7:33.0,Defensive rebound by Team,,9-5,,
7:18.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by M. Miller),3,12-5,,
7:17.0,,,12-5,,Atlanta full timeout
7:00.0,,,12-8,3,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap)
6:43.0,Shooting foul by P. Millsap (drawn by K. Love),,12-8,,
6:43.0,K. Love makes free throw 1 of 2,1,13-8,,
6:43.0,K. Love makes free throw 2 of 2,1,14-8,,
6:34.0,Personal foul by M. Dellavedova (drawn by K. Korver),,14-8,,
6:31.0,,,14-10,2,J. Teague makes 2-pt shot from 2 ft (assist by T. Sefolosha)
6:14.0,Turnover by K. Irving (lost ball),,14-10,,
5:52.0,,,14-12,2,P. Antic makes 2-pt shot from 2 ft (assist by J. Teague)
5:36.0,K. Love misses 2-pt shot from 23 ft,,14-12,,
5:34.0,,,14-12,,Defensive rebound by K. Korver
5:22.0,,,14-14,2,P. Millsap makes 2-pt shot from 1 ft (assist by J. Teague)
5:15.0,Cleveland full timeout,,14-14,,
5:15.0,,,14-14,,E. Brand enters the game for P. Antic
5:15.0,D. Waiters enters the game for M. Dellavedova,,14-14,,
5:06.0,K. Irving makes 2-pt shot from 1 ft,2,16-14,,
4:42.0,,,16-14,,P. Millsap misses 2-pt shot from 12 ft
4:42.0,Defensive rebound by Team,,16-14,,
4:42.0,J. Harris enters the game for M. Miller,,16-14,,
4:30.0,D. Waiters makes 3-pt shot from 22 ft (assist by K. Irving),3,19-14,,
4:20.0,,,19-14,,J. Teague misses 3-pt shot from 23 ft
4:18.0,Defensive rebound by K. Love,,19-14,,
4:08.0,J. Harris makes 3-pt shot from 24 ft (assist by K. Irving),3,22-14,,
3:56.0,,,22-17,3,J. Teague makes 3-pt shot from 24 ft
3:40.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,24-17,,
3:23.0,,,24-17,,E. Brand misses 2-pt shot from 16 ft
3:22.0,Defensive rebound by K. Love,,24-17,,
3:14.0,K. Irving misses 3-pt shot from 25 ft,,24-17,,
3:13.0,,,24-17,,Defensive rebound by K. Korver
3:06.0,,,24-17,,Shooting foul by D. Waiters (drawn by J. Teague)
3:06.0,,,24-18,1,J. Teague makes free throw 1 of 2
3:06.0,,,24-18,,M. Scott enters the game for P. Millsap
3:06.0,,,24-18,,D. Schroder enters the game for K. Korver
3:06.0,L. Amundson enters the game for K. Love,,24-18,,
3:06.0,,,24-18,,J. Teague misses free throw 2 of 2
3:05.0,Defensive rebound by J. Harris,,24-18,,
2:41.0,T. Thompson misses 2-pt shot from 16 ft,,24-18,,
2:39.0,,,24-18,,Defensive rebound by T. Sefolosha
2:32.0,,,24-20,2,J. Teague makes 2-pt shot from 8 ft
2:10.0,J. Harris misses 3-pt shot from 22 ft,,24-20,,
2:09.0,Offensive rebound by L. Amundson,,24-20,,
2:02.0,Turnover by K. Irving (lost ball; steal by M. Scott),,24-20,,
1:58.0,,,24-20,,Turnover by T. Sefolosha (traveling)
1:43.0,D. Waiters misses 2-pt shot from 17 ft,,24-20,,
1:41.0,,,24-20,,Defensive rebound by J. Teague
1:25.0,M. Dellavedova enters the game for K. Irving,,24-20,,
1:20.0,,,24-20,,Shooting foul by M. Dellavedova (drawn by J. Teague)
1:20.0,,,24-21,1,J. Teague makes free throw 1 of 2
1:20.0,A. Price enters the game for M. Dellavedova,,24-21,,
1:20.0,,,24-21,,J. Teague misses free throw 2 of 2
1:19.0,Defensive rebound by L. Amundson,,24-21,,
1:03.0,T. Thompson misses 2-pt shot from 14 ft,,24-21,,
1:02.0,Offensive rebound by L. Amundson,,24-21,,
0:59.0,J. Harris misses 2-pt shot from 13 ft,,24-21,,
0:58.0,Offensive rebound by T. Thompson,,24-21,,
0:58.0,Shooting foul by E. Brand (drawn by T. Thompson),,24-21,,
0:58.0,T. Thompson misses free throw 1 of 2,,24-21,,
0:58.0,Offensive rebound by Team,,24-21,,
0:58.0,,,24-21,,K. Korver enters the game for J. Teague
0:58.0,T. Thompson misses free throw 2 of 2,,24-21,,
0:56.0,,,24-21,,Defensive rebound by T. Sefolosha
0:41.0,,,24-23,2,D. Schroder makes 2-pt shot from 17 ft
0:28.0,Turnover by D. Waiters (lost ball; steal by E. Brand),,24-23,,
0:09.0,,,24-26,3,T. Sefolosha makes 3-pt shot from 23 ft (assist by M. Scott)
0:09.0,,,24-26,,Shooting foul by D. Waiters (drawn by T. Sefolosha)
0:09.0,,,24-26,,K. Bazemore enters the game for K. Korver
0:09.0,K. Irving enters the game for D. Waiters,,24-26,,
0:09.0,,,24-26,,T. Sefolosha misses free throw 1 of 1
0:08.0,Defensive rebound by L. Amundson,,24-26,,
0:02.0,,,24-26,,Shooting block foul by E. Brand (drawn by K. Irving)
0:02.0,K. Irving makes free throw 1 of 2,1,25-26,,
0:02.0,K. Irving misses free throw 2 of 2,,25-26,,
