time,Boston,pts.away,score,pts.home,Portland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. C. Kaman (E. Turner gains possession),,,,Jump ball: B. Bass vs. C. Kaman (E. Turner gains possession)
11:49.0,A. Bradley misses 2-pt shot from 21 ft,,0-0,,
11:48.0,,,0-0,,Defensive rebound by W. Matthews
11:37.0,,,0-0,,D. Lillard misses 2-pt shot from 14 ft
11:36.0,Defensive rebound by Team,,0-0,,
11:18.0,B. Bass makes 2-pt shot from 16 ft,2,2-0,,
10:59.0,,,2-0,,C. Kaman misses 2-pt shot from 18 ft
10:58.0,Defensive rebound by J. Crowder,,2-0,,
10:44.0,J. Crowder misses 2-pt shot from 21 ft,,2-0,,
10:43.0,,,2-0,,Defensive rebound by T. Robinson
10:32.0,,,2-2,2,T. Robinson makes 2-pt shot from 2 ft (assist by D. Lillard)
10:32.0,,,2-2,,Shooting foul by J. Crowder (drawn by T. Robinson)
10:32.0,,,2-2,,T. Robinson misses free throw 1 of 1
10:31.0,Defensive rebound by B. Bass,,2-2,,
10:15.0,B. Bass makes 2-pt shot from 14 ft (assist by A. Bradley),2,4-2,,
9:56.0,,,4-4,2,C. Kaman makes 2-pt shot from 18 ft (assist by D. Lillard)
9:27.0,J. Sullinger misses 3-pt shot from 24 ft,,4-4,,
9:24.0,,,4-4,,Defensive rebound by D. Lillard
9:18.0,,,4-6,2,D. Lillard makes 2-pt shot from 12 ft
8:54.0,J. Sullinger makes 2-pt shot from 3 ft (assist by E. Turner),2,6-6,,
8:38.0,,,6-6,,C. Kaman misses 2-pt shot from 3 ft
8:37.0,Defensive rebound by A. Bradley,,6-6,,
8:28.0,,,6-6,,Personal foul by D. Lillard (drawn by A. Bradley)
8:22.0,J. Crowder misses 2-pt shot from 4 ft,,6-6,,
8:21.0,,,6-6,,Defensive rebound by C. Kaman
8:16.0,Personal foul by J. Crowder (drawn by N. Batum),,6-6,,
8:16.0,T. Zeller enters the game for B. Bass,,6-6,,
8:11.0,,,6-8,2,C. Kaman makes 2-pt shot from 15 ft (assist by D. Lillard)
7:50.0,A. Bradley misses 2-pt shot from 20 ft,,6-8,,
7:48.0,,,6-8,,Defensive rebound by D. Lillard
7:40.0,,,6-10,2,T. Robinson makes 2-pt shot from 20 ft (assist by N. Batum)
7:19.0,E. Turner makes 2-pt shot from 18 ft,2,8-10,,
6:56.0,,,8-10,,W. Matthews misses 2-pt shot from 17 ft
6:55.0,Defensive rebound by J. Crowder,,8-10,,
6:51.0,A. Bradley misses 2-pt shot from 1 ft,,8-10,,
6:48.0,,,8-10,,Defensive rebound by T. Robinson
6:46.0,Personal foul by J. Sullinger (drawn by D. Lillard),,8-10,,
