time,Chicago,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: P. Gasol vs. N. Pekovic (K. Hinrich gains possession),,,,Jump ball: P. Gasol vs. N. Pekovic (K. Hinrich gains possession)
11:43.0,P. Gasol misses 2-pt shot from 2 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by N. Pekovic
11:31.0,,,0-2,2,T. Young makes 2-pt shot from 3 ft
11:05.0,Shooting foul by A. Wiggins (drawn by J. Butler),,0-2,,
11:05.0,J. Butler makes free throw 1 of 2,1,1-2,,
11:05.0,J. Butler misses free throw 2 of 2,,1-2,,
11:04.0,,,1-2,,Defensive rebound by A. Wiggins
10:49.0,,,1-2,,A. Wiggins misses 3-pt shot from 24 ft
10:47.0,Defensive rebound by P. Gasol,,1-2,,
10:34.0,M. Dunleavy misses 3-pt shot from 24 ft,,1-2,,
10:33.0,,,1-2,,Defensive rebound by R. Rubio
10:25.0,,,1-2,,N. Pekovic misses 2-pt shot from 1 ft (block by P. Gasol)
10:24.0,Defensive rebound by Team,,1-2,,
10:07.0,J. Butler makes 2-pt shot at rim,2,3-2,,
10:07.0,Shooting foul by R. Rubio (drawn by J. Butler),,3-2,,
10:07.0,J. Butler makes free throw 1 of 1,1,4-2,,
9:57.0,,,4-4,2,R. Rubio makes 2-pt shot at rim (assist by N. Pekovic)
9:50.0,K. Hinrich makes 2-pt shot from 10 ft,2,6-4,,
9:31.0,,,6-6,2,N. Pekovic makes 2-pt shot from 2 ft (assist by R. Rubio)
9:11.0,J. Butler makes 2-pt shot from 15 ft (assist by P. Gasol),2,8-6,,
8:57.0,,,8-8,2,K. Martin makes 2-pt shot from 19 ft (assist by R. Rubio)
8:39.0,K. Hinrich misses 3-pt shot from 23 ft,,8-8,,
8:38.0,,,8-8,,Defensive rebound by T. Young
8:29.0,,,8-8,,T. Young misses 2-pt shot from 17 ft
8:28.0,Defensive rebound by P. Gasol,,8-8,,
8:15.0,J. Noah misses 2-pt shot from 1 ft,,8-8,,
8:13.0,,,8-8,,Defensive rebound by K. Martin
8:09.0,,,8-8,,Shooting foul by M. Dunleavy (drawn by K. Martin)
8:09.0,,,8-9,1,K. Martin makes free throw 1 of 2
8:09.0,,,8-10,1,K. Martin makes free throw 2 of 2
7:51.0,K. Hinrich misses 2-pt shot from 11 ft,,8-10,,
7:50.0,Offensive rebound by J. Noah,,8-10,,
7:47.0,P. Gasol misses 2-pt shot at rim,,8-10,,
7:46.0,Offensive rebound by J. Noah,,8-10,,
7:44.0,J. Noah makes 2-pt shot from 1 ft,2,10-10,,
7:26.0,,,10-12,2,N. Pekovic makes 2-pt shot from 7 ft
7:12.0,M. Dunleavy makes 3-pt shot from 22 ft (assist by J. Butler),3,13-12,,
6:53.0,,,13-12,,R. Rubio misses 2-pt shot from 1 ft
6:52.0,Defensive rebound by P. Gasol,,13-12,,
6:47.0,M. Dunleavy misses 3-pt shot from 24 ft,,13-12,,
6:44.0,,,13-12,,Defensive rebound by K. Martin
6:27.0,,,13-12,,R. Rubio misses 2-pt shot from 18 ft
6:26.0,,,13-12,,Offensive rebound by Team
6:26.0,,,13-12,,Minnesota full timeout
6:23.0,,,13-12,,K. Martin misses 3-pt shot from 24 ft
6:22.0,Defensive rebound by P. Gasol,,13-12,,
6:09.0,M. Dunleavy makes 3-pt shot from 24 ft (assist by K. Hinrich),3,16-12,,
5:46.0,,,16-12,,Turnover by A. Wiggins (lost ball; steal by M. Dunleavy)
5:31.0,J. Noah misses 2-pt shot from 5 ft,,16-12,,
5:29.0,,,16-12,,Defensive rebound by N. Pekovic
5:20.0,,,16-14,2,T. Young makes 2-pt shot from 13 ft (assist by R. Rubio)
4:53.0,P. Gasol misses 2-pt shot from 14 ft,,16-14,,
4:53.0,Offensive rebound by Team,,16-14,,
4:53.0,Turnover by Team (shot clock),,16-14,,
4:53.0,,,16-14,,C. Brewer enters the game for A. Wiggins
4:53.0,,,16-14,,G. Dieng enters the game for N. Pekovic
4:53.0,A. Brooks enters the game for K. Hinrich,,16-14,,
4:53.0,N. Mirotic enters the game for J. Noah,,16-14,,
4:34.0,,,16-14,,R. Rubio misses 2-pt shot from 20 ft
4:33.0,Defensive rebound by N. Mirotic,,16-14,,
4:17.0,P. Gasol makes 2-pt shot from 5 ft,2,18-14,,
4:17.0,Shooting foul by G. Dieng (drawn by P. Gasol),,18-14,,
4:17.0,P. Gasol makes free throw 1 of 1,1,19-14,,
4:00.0,,,19-14,,T. Young misses 2-pt shot from 15 ft
3:59.0,Defensive rebound by J. Butler,,19-14,,
3:49.0,,,19-14,,Personal foul by T. Young (drawn by N. Mirotic)
3:40.0,J. Butler misses 3-pt shot from 24 ft,,19-14,,
3:39.0,,,19-14,,Defensive rebound by Team
3:27.0,,,19-17,3,K. Martin makes 3-pt shot from 24 ft (assist by R. Rubio)
