time,New Orleans,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:37.0,,,0-0,,D. DeRozan misses 3-pt shot from 24 ft
12:00.0,Jump ball: O. Asik vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: O. Asik vs. J. Valanciunas (A. Johnson gains possession)
11:36.0,Defensive rebound by D. Cunningham,,0-0,,
11:15.0,T. Evans misses 2-pt shot from 3 ft,,0-0,,
11:13.0,,,0-0,,Defensive rebound by D. DeRozan
10:56.0,,,0-0,,Turnover by J. Valanciunas (lost ball; steal by O. Asik)
10:40.0,Offensive foul by R. Anderson,,0-0,,
10:40.0,Turnover by R. Anderson (offensive foul),,0-0,,
10:26.0,,,0-0,,T. Ross misses 2-pt shot from 9 ft
10:25.0,Defensive rebound by O. Asik,,0-0,,
10:05.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans),3,3-0,,
9:47.0,,,3-0,,Shooting foul by R. Anderson (drawn by D. DeRozan)
9:47.0,,,3-0,,D. DeRozan misses free throw 1 of 2
9:47.0,,,3-0,,Offensive rebound by Team
9:47.0,Q. Pondexter enters the game for R. Anderson,,3-0,,
9:47.0,,,3-1,1,D. DeRozan makes free throw 2 of 2
9:31.0,E. Gordon misses 2-pt shot from 2 ft,,3-1,,
9:30.0,,,3-1,,Defensive rebound by A. Johnson
9:22.0,Violation by D. Cunningham (kicked ball),,3-1,,
9:17.0,,,3-1,,Turnover by J. Valanciunas (bad pass; steal by T. Evans)
9:13.0,Q. Pondexter misses 2-pt shot from 1 ft,,3-1,,
9:11.0,,,3-1,,Defensive rebound by A. Johnson
9:07.0,Personal foul by D. Cunningham (drawn by K. Lowry),,3-1,,
8:57.0,,,3-1,,D. DeRozan misses 2-pt shot from 14 ft
8:56.0,,,3-1,,Offensive rebound by K. Lowry
8:53.0,,,3-3,2,K. Lowry makes 2-pt shot at rim
8:36.0,Turnover by E. Gordon (bad pass; steal by D. DeRozan),,3-3,,
8:19.0,,,3-3,,K. Lowry misses 3-pt shot from 24 ft
8:18.0,Defensive rebound by E. Gordon,,3-3,,
8:07.0,T. Evans misses 2-pt shot from 19 ft,,3-3,,
8:06.0,,,3-3,,Defensive rebound by T. Ross
7:44.0,,,3-3,,J. Valanciunas misses 2-pt shot from 11 ft
7:42.0,Defensive rebound by T. Evans,,3-3,,
7:37.0,Q. Pondexter misses 3-pt shot from 23 ft,,3-3,,
7:35.0,Offensive rebound by O. Asik,,3-3,,
7:32.0,O. Asik misses 2-pt shot from 3 ft,,3-3,,
7:29.0,,,3-3,,Defensive rebound by J. Valanciunas
7:18.0,,,3-3,,D. DeRozan misses 2-pt shot from 1 ft (block by Q. Pondexter)
7:16.0,Defensive rebound by Q. Pondexter,,3-3,,
7:11.0,T. Evans makes 2-pt shot from 2 ft (assist by E. Gordon),2,5-3,,
6:52.0,,,5-3,,T. Ross misses 3-pt shot from 23 ft
6:51.0,Defensive rebound by O. Asik,,5-3,,
6:33.0,O. Asik misses 2-pt shot from 3 ft (block by J. Valanciunas),,5-3,,
6:30.0,Offensive rebound by O. Asik,,5-3,,
6:28.0,O. Asik misses 2-pt shot from 17 ft,,5-3,,
6:27.0,,,5-3,,Defensive rebound by K. Lowry
6:17.0,,,5-3,,Turnover by K. Lowry (bad pass)
6:17.0,A. Ajinca enters the game for D. Cunningham,,5-3,,
6:08.0,,,5-3,,Personal foul by K. Lowry (drawn by Q. Pondexter)
6:01.0,E. Gordon misses 2-pt shot from 6 ft,,5-3,,
6:00.0,Offensive rebound by O. Asik,,5-3,,
5:56.0,E. Gordon misses 2-pt shot from 5 ft,,5-3,,
5:56.0,,,5-3,,Defensive rebound by A. Johnson
5:56.0,,,5-3,,Toronto full timeout
5:44.0,,,5-5,2,D. DeRozan makes 2-pt shot from 13 ft
5:29.0,O. Asik makes 2-pt shot from 2 ft (assist by T. Evans),2,7-5,,
5:14.0,,,7-5,,Offensive foul by J. Valanciunas
5:14.0,,,7-5,,Turnover by J. Valanciunas (offensive foul)
5:05.0,A. Ajinca makes 2-pt shot from 4 ft (assist by T. Evans),2,9-5,,
4:42.0,,,9-7,2,J. Valanciunas makes 2-pt shot from 5 ft
4:21.0,Turnover by E. Gordon (lost ball; steal by K. Lowry),,9-7,,
4:08.0,,,9-7,,D. DeRozan misses 2-pt shot from 5 ft
4:06.0,Defensive rebound by Q. Pondexter,,9-7,,
3:52.0,A. Ajinca makes 2-pt shot from 5 ft,2,11-7,,
3:32.0,,,11-7,,Toronto full timeout
3:32.0,,,11-7,,L. Williams enters the game for T. Ross
3:32.0,,,11-7,,T. Hansbrough enters the game for J. Valanciunas
3:32.0,N. Wolters enters the game for T. Evans,,11-7,,
3:27.0,,,11-7,,D. DeRozan misses 2-pt shot from 21 ft
3:26.0,Defensive rebound by E. Gordon,,11-7,,
3:04.0,N. Wolters makes 2-pt shot from 7 ft (assist by E. Gordon),2,13-7,,
2:48.0,,,13-7,,Shooting foul by Q. Pondexter (drawn by D. DeRozan)
2:48.0,New Orleans full timeout,,13-7,,
2:48.0,,,13-7,,P. Patterson enters the game for A. Johnson
2:48.0,,,13-8,1,D. DeRozan makes free throw 1 of 2
2:48.0,,,13-9,1,D. DeRozan makes free throw 2 of 2
2:33.0,A. Ajinca makes 2-pt shot from 10 ft,2,15-9,,
2:19.0,,,15-9,,G. Vasquez enters the game for D. DeRozan
2:19.0,J. Fredette enters the game for E. Gordon,,15-9,,
2:12.0,,,15-9,,K. Lowry misses 3-pt shot from 24 ft
2:10.0,Defensive rebound by Q. Pondexter,,15-9,,
1:56.0,O. Asik makes 2-pt shot at rim (assist by A. Ajinca),2,17-9,,
1:45.0,,,17-9,,L. Williams misses 2-pt shot from 9 ft
1:44.0,Defensive rebound by A. Ajinca,,17-9,,
1:34.0,N. Wolters misses 2-pt shot from 6 ft,,17-9,,
1:33.0,,,17-9,,Defensive rebound by G. Vasquez
1:27.0,,,17-9,,G. Vasquez misses 3-pt shot from 24 ft
1:25.0,,,17-9,,Offensive rebound by K. Lowry
1:21.0,,,17-9,,P. Patterson misses 3-pt shot from 24 ft
1:20.0,Defensive rebound by O. Asik,,17-9,,
1:13.0,New Orleans full timeout,,17-9,,
1:13.0,,,17-9,,J. Johnson enters the game for K. Lowry
1:07.0,Offensive foul by A. Ajinca,,17-9,,
1:07.0,Turnover by A. Ajinca (offensive foul),,17-9,,
0:45.0,,,17-9,,P. Patterson misses 3-pt shot from 23 ft
0:44.0,,,17-9,,Offensive rebound by P. Patterson
0:40.0,,,17-12,3,G. Vasquez makes 3-pt shot from 24 ft (assist by P. Patterson)
0:26.0,A. Ajinca misses 2-pt shot from 2 ft,,17-12,,
0:25.0,Offensive rebound by Q. Pondexter,,17-12,,
0:25.0,Q. Pondexter makes 2-pt shot from 1 ft,2,19-12,,
0:25.0,Shooting foul by T. Hansbrough (drawn by Q. Pondexter),,19-12,,
0:25.0,Q. Pondexter misses free throw 1 of 1,,19-12,,
0:25.0,,,19-12,,Defensive rebound by T. Hansbrough
