time,Golden State,pts.away,score,pts.home,Miami
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. C. Bosh (M. Chalmers gains possession),,,,Jump ball: A. Bogut vs. C. Bosh (M. Chalmers gains possession)
11:36.0,,,0-0,,Turnover by C. Bosh (lost ball; steal by S. Curry)
11:27.0,K. Thompson misses 2-pt shot from 6 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by C. Bosh
11:18.0,,,0-0,,M. Chalmers misses 2-pt shot from 1 ft
11:17.0,Defensive rebound by A. Bogut,,0-0,,
11:12.0,S. Curry makes 3-pt shot from 24 ft,3,3-0,,
10:55.0,,,3-0,,L. Deng misses 2-pt shot from 20 ft
10:54.0,Defensive rebound by A. Bogut,,3-0,,
10:43.0,K. Thompson makes 2-pt shot from 4 ft (assist by A. Bogut),2,5-0,,
10:25.0,,,5-3,3,S. Williams makes 3-pt shot from 23 ft (assist by N. Cole)
9:59.0,D. Green makes 2-pt shot from 2 ft (assist by A. Bogut),2,7-3,,
9:46.0,,,7-5,2,L. Deng makes 2-pt shot at rim (assist by N. Cole)
9:31.0,A. Bogut makes 2-pt shot from 1 ft,2,9-5,,
9:19.0,,,9-5,,M. Chalmers misses 2-pt shot from 1 ft (block by D. Green)
9:18.0,Defensive rebound by K. Thompson,,9-5,,
9:11.0,A. Bogut makes 2-pt shot at rim (assist by S. Curry),2,11-5,,
9:06.0,,,11-5,,Miami full timeout
8:47.0,,,11-7,2,C. Bosh makes 2-pt shot from 14 ft
8:31.0,H. Barnes makes 2-pt shot at rim (assist by D. Green),2,13-7,,
8:16.0,,,13-7,,C. Bosh misses 2-pt shot from 18 ft
8:15.0,,,13-7,,Offensive rebound by L. Deng
8:11.0,,,13-7,,S. Williams misses 2-pt shot from 11 ft
8:10.0,Defensive rebound by D. Green,,13-7,,
8:08.0,,,13-7,,Personal block foul by C. Bosh (drawn by D. Green)
7:59.0,H. Barnes makes 3-pt shot from 24 ft (assist by A. Bogut),3,16-7,,
7:41.0,,,16-7,,Shooting foul by S. Curry (drawn by M. Chalmers)
7:41.0,,,16-8,1,M. Chalmers makes free throw 1 of 2
7:41.0,,,16-9,1,M. Chalmers makes free throw 2 of 2
7:23.0,Turnover by D. Green (bad pass; steal by M. Chalmers),,16-9,,
7:14.0,,,16-12,3,L. Deng makes 3-pt shot from 24 ft (assist by M. Chalmers)
7:11.0,Turnover by A. Bogut (bad pass; steal by M. Chalmers),,16-12,,
7:10.0,Personal foul by H. Barnes (drawn by M. Chalmers),,16-12,,
7:10.0,,,16-12,,J. Ennis enters the game for M. Chalmers
6:51.0,,,16-12,,N. Cole misses 2-pt shot from 1 ft
6:50.0,Defensive rebound by A. Bogut,,16-12,,
6:39.0,S. Curry makes 3-pt shot from 24 ft,3,19-12,,
6:17.0,,,19-14,2,C. Bosh makes 2-pt shot from 18 ft (assist by J. Ennis)
6:06.0,D. Green misses 2-pt shot from 1 ft (block by C. Bosh),,19-14,,
6:04.0,,,19-14,,Defensive rebound by N. Cole
5:58.0,,,19-14,,N. Cole misses 3-pt shot from 24 ft
5:57.0,,,19-14,,Offensive rebound by S. Williams
5:37.0,,,19-17,3,C. Bosh makes 3-pt shot from 24 ft (assist by L. Deng)
5:31.0,S. Curry misses 3-pt shot from 25 ft,,19-17,,
5:30.0,,,19-17,,Defensive rebound by C. Bosh
5:06.0,,,19-17,,C. Bosh misses 2-pt shot from 14 ft (block by A. Bogut)
5:05.0,,,19-17,,Offensive rebound by C. Bosh
5:05.0,,,19-17,,Turnover by Team (shot clock)
5:05.0,A. Iguodala enters the game for H. Barnes,,19-17,,
4:46.0,K. Thompson makes 2-pt shot from 13 ft,2,21-17,,
4:32.0,,,21-19,2,N. Cole makes 2-pt shot from 1 ft
4:20.0,D. Green misses 2-pt shot from 1 ft,,21-19,,
4:19.0,,,21-19,,Defensive rebound by N. Cole
