time,New York,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Dalembert vs. A. Drummond (S. Larkin gains possession),,,,Jump ball: S. Dalembert vs. A. Drummond (S. Larkin gains possession)
11:45.0,Turnover by I. Shumpert (step out of bounds),,0-0,,
11:22.0,,,0-3,3,K. Caldwell-Pope makes 3-pt shot from 22 ft (assist by J. Smith)
11:06.0,S. Dalembert makes 2-pt shot from 17 ft,2,2-3,,
10:44.0,,,2-5,2,G. Monroe makes 2-pt shot from 4 ft
10:28.0,C. Anthony misses 2-pt shot from 18 ft,,2-5,,
10:25.0,,,2-5,,Defensive rebound by G. Monroe
10:20.0,,,2-5,,Turnover by B. Jennings (bad pass; steal by S. Dalembert)
10:06.0,S. Dalembert misses 2-pt shot from 14 ft,,2-5,,
10:05.0,,,2-5,,Defensive rebound by G. Monroe
9:56.0,,,2-8,3,K. Caldwell-Pope makes 3-pt shot from 27 ft
9:56.0,New York full timeout,,2-8,,
9:37.0,C. Anthony misses 2-pt shot from 11 ft (block by J. Smith),,2-8,,
9:36.0,,,2-8,,Defensive rebound by G. Monroe
9:20.0,,,2-8,,J. Smith misses 2-pt shot from 21 ft
9:19.0,Defensive rebound by J. Smith,,2-8,,
9:02.0,J. Smith makes 2-pt shot from 19 ft,2,4-8,,
8:46.0,,,4-8,,A. Drummond misses 2-pt shot from 6 ft
8:45.0,Defensive rebound by S. Dalembert,,4-8,,
8:26.0,J. Smith makes 2-pt shot from 16 ft,2,6-8,,
7:57.0,,,6-8,,B. Jennings misses 2-pt shot from 14 ft
7:56.0,Defensive rebound by C. Anthony,,6-8,,
7:36.0,I. Shumpert misses 2-pt shot from 15 ft,,6-8,,
7:35.0,,,6-8,,Defensive rebound by G. Monroe
7:17.0,,,6-8,,G. Monroe misses 2-pt shot from 6 ft
7:16.0,,,6-8,,Offensive rebound by J. Smith
7:15.0,,,6-10,2,J. Smith makes 2-pt shot at rim
6:58.0,J. Smith makes 2-pt shot from 15 ft,2,8-10,,
6:58.0,Shooting foul by G. Monroe (drawn by J. Smith),,8-10,,
6:58.0,J. Smith makes free throw 1 of 1,1,9-10,,
6:44.0,,,9-10,,Shooting foul by S. Dalembert (drawn by B. Jennings)
6:44.0,,,9-11,1,B. Jennings makes free throw 1 of 2
6:44.0,,,9-12,1,B. Jennings makes free throw 2 of 2
6:28.0,I. Shumpert makes 3-pt shot from 26 ft (assist by S. Dalembert),3,12-12,,
6:09.0,Personal foul by C. Anthony (drawn by J. Smith),,12-12,,
6:09.0,A. Stoudemire enters the game for S. Dalembert,,12-12,,
5:59.0,,,12-12,,J. Smith misses 2-pt shot from 13 ft
5:58.0,,,12-12,,Offensive rebound by J. Smith
5:57.0,,,12-12,,J. Smith misses 2-pt shot at rim
5:56.0,,,12-12,,Offensive rebound by J. Smith
5:55.0,,,12-12,,J. Smith misses 2-pt shot at rim
5:54.0,,,12-12,,Offensive rebound by A. Drummond
5:54.0,,,12-12,,Offensive foul by A. Drummond
5:54.0,,,12-12,,Turnover by A. Drummond (offensive foul)
5:41.0,J. Smith makes 2-pt shot from 18 ft (assist by A. Stoudemire),2,14-12,,
5:17.0,,,14-12,,G. Monroe misses 2-pt shot from 6 ft
5:16.0,Defensive rebound by I. Shumpert,,14-12,,
5:13.0,,,14-12,,C. Butler enters the game for A. Drummond
5:11.0,Turnover by S. Larkin (bad pass; steal by J. Smith),,14-12,,
5:06.0,,,14-14,2,B. Jennings makes 2-pt shot at rim (assist by J. Smith)
4:50.0,I. Shumpert makes 2-pt shot at rim,2,16-14,,
4:34.0,,,16-17,3,K. Caldwell-Pope makes 3-pt shot from 24 ft (assist by B. Jennings)
4:21.0,J. Smith makes 2-pt shot at rim (assist by I. Shumpert),2,18-17,,
4:03.0,,,18-17,,B. Jennings misses 2-pt shot at rim
4:01.0,Defensive rebound by A. Stoudemire,,18-17,,
3:58.0,I. Shumpert misses 3-pt shot from 28 ft,,18-17,,
3:57.0,,,18-17,,Defensive rebound by G. Monroe
3:39.0,,,18-17,,J. Smith misses 2-pt shot from 5 ft
3:38.0,,,18-17,,Offensive rebound by G. Monroe
3:32.0,,,18-19,2,K. Caldwell-Pope makes 2-pt shot from 17 ft (assist by G. Monroe)
3:21.0,,,18-19,,Personal foul by K. Caldwell-Pope (drawn by I. Shumpert)
3:21.0,Q. Acy enters the game for J. Smith,,18-19,,
3:21.0,T. Hardaway enters the game for I. Shumpert,,18-19,,
3:21.0,,,18-19,,D. Augustin enters the game for B. Jennings
3:10.0,A. Stoudemire misses 2-pt shot from 16 ft,,18-19,,
3:09.0,,,18-19,,Defensive rebound by J. Smith
3:00.0,,,18-19,,Shooting foul by Q. Acy (drawn by J. Smith)
3:00.0,,,18-19,,J. Smith misses free throw 1 of 2
3:00.0,,,18-19,,Offensive rebound by Team
3:00.0,P. Prigioni enters the game for S. Larkin,,18-19,,
3:00.0,,,18-20,1,J. Smith makes free throw 2 of 2
2:39.0,T. Hardaway makes 2-pt shot from 4 ft (assist by Q. Acy),2,20-20,,
2:20.0,,,20-20,,J. Smith misses 2-pt shot from 3 ft
2:19.0,,,20-20,,Offensive rebound by G. Monroe
2:12.0,,,20-22,2,G. Monroe makes 2-pt shot at rim
2:01.0,C. Anthony misses 2-pt shot from 14 ft,,20-22,,
2:00.0,Offensive rebound by Q. Acy,,20-22,,
1:54.0,Turnover by Q. Acy (3 sec),,20-22,,
1:54.0,,,20-22,,Detroit full timeout
1:54.0,,,20-22,,A. Drummond enters the game for G. Monroe
1:45.0,Personal foul by T. Hardaway (drawn by K. Caldwell-Pope),,20-22,,
1:32.0,,,20-22,,J. Smith misses 2-pt shot from 5 ft
1:30.0,Defensive rebound by Q. Acy,,20-22,,
1:22.0,,,20-22,,Personal foul by C. Butler (drawn by C. Anthony)
1:11.0,C. Anthony misses 2-pt shot from 14 ft,,20-22,,
1:11.0,Offensive rebound by Team,,20-22,,
1:08.0,P. Prigioni misses 3-pt shot from 26 ft,,20-22,,
1:07.0,,,20-22,,Defensive rebound by C. Butler
0:57.0,,,20-22,,Turnover by D. Augustin (lost ball; steal by A. Stoudemire)
0:48.0,T. Hardaway misses 3-pt shot from 23 ft,,20-22,,
0:47.0,Offensive rebound by P. Prigioni,,20-22,,
0:41.0,A. Stoudemire misses 2-pt shot from 4 ft (block by J. Smith),,20-22,,
0:40.0,,,20-22,,Defensive rebound by J. Smith
0:40.0,Personal foul by P. Prigioni (drawn by D. Augustin),,20-22,,
0:40.0,,,20-23,1,D. Augustin makes free throw 1 of 2
0:40.0,,,20-23,,D. Augustin misses free throw 2 of 2
0:40.0,Defensive rebound by Q. Acy,,20-23,,
0:20.0,A. Stoudemire misses 2-pt shot at rim,,20-23,,
0:18.0,,,20-23,,Defensive rebound by J. Smith
0:11.0,,,20-25,2,C. Butler makes 2-pt shot at rim (assist by J. Smith)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,,,20-25,,C. Butler misses 2-pt shot from 15 ft
11:38.0,Defensive rebound by A. Stoudemire,,20-25,,
11:19.0,A. Stoudemire makes 2-pt shot from 3 ft,2,22-25,,
11:01.0,,,22-25,,A. Drummond misses 2-pt shot at rim
10:59.0,,,22-25,,Offensive rebound by J. Jerebko
10:58.0,,,22-27,2,J. Jerebko makes 2-pt shot at rim
10:33.0,T. Hardaway makes 2-pt shot from 8 ft,2,24-27,,
10:18.0,,,24-27,,Turnover by C. Butler (traveling)
10:04.0,Q. Acy misses 2-pt shot from 19 ft,,24-27,,
10:03.0,,,24-27,,Defensive rebound by A. Drummond
9:47.0,,,24-27,,J. Jerebko misses 2-pt shot from 18 ft
9:45.0,Defensive rebound by Q. Acy,,24-27,,
9:38.0,T. Wear misses 2-pt shot from 5 ft,,24-27,,
9:36.0,,,24-27,,Defensive rebound by K. Singler
9:34.0,,,24-27,,Shooting foul by A. Stoudemire (drawn by D. Augustin)
9:34.0,,,24-28,1,D. Augustin makes free throw 1 of 2
9:34.0,S. Dalembert enters the game for A. Stoudemire,,24-28,,
9:34.0,,,24-29,1,D. Augustin makes free throw 2 of 2
9:11.0,T. Wear misses 2-pt shot from 17 ft,,24-29,,
9:10.0,Offensive rebound by Q. Acy,,24-29,,
8:52.0,P. Prigioni misses 2-pt shot from 13 ft,,24-29,,
8:50.0,,,24-29,,Defensive rebound by A. Drummond
8:48.0,,,24-31,2,D. Augustin makes 2-pt shot at rim
8:48.0,,,24-31,,Shooting foul by T. Wear (drawn by D. Augustin)
8:48.0,Official timeout,,24-31,,
8:48.0,S. Larkin enters the game for Q. Acy,,24-31,,
8:48.0,C. Anthony enters the game for P. Prigioni,,24-31,,
8:48.0,J. Smith enters the game for T. Wear,,24-31,,
8:48.0,,,24-32,1,D. Augustin makes free throw 1 of 1
8:26.0,S. Dalembert misses 2-pt shot from 5 ft,,24-32,,
8:25.0,,,24-32,,Defensive rebound by J. Jerebko
