time,Oklahoma City,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. D. Howard (S. Ibaka gains possession),,,,Jump ball: S. Adams vs. D. Howard (S. Ibaka gains possession)
11:43.0,S. Ibaka makes 2-pt shot from 18 ft (assist by K. Durant),2,2-0,,
11:23.0,,,2-0,,Turnover by D. Motiejunas (bad pass; steal by S. Adams)
11:17.0,Turnover by A. Roberson (bad pass; steal by T. Ariza),,2-0,,
11:08.0,Violation by A. Roberson (kicked ball),,2-0,,
10:57.0,,,2-0,,D. Motiejunas misses 2-pt shot from 10 ft
10:56.0,Defensive rebound by K. Durant,,2-0,,
10:41.0,S. Adams makes 2-pt shot from 7 ft (assist by R. Westbrook),2,4-0,,
10:31.0,Violation by S. Adams (kicked ball),,4-0,,
10:12.0,,,4-3,3,J. Harden makes 3-pt shot from 23 ft (assist by T. Ariza)
9:53.0,,,4-3,,Violation by T. Ariza (kicked ball)
9:45.0,S. Adams misses 2-pt shot at rim,,4-3,,
9:44.0,,,4-3,,Defensive rebound by P. Beverley
9:33.0,Def 3 sec tech foul by S. Ibaka,,4-3,,
9:33.0,,,4-4,1,J. Harden makes technical free throw
9:26.0,,,4-7,3,J. Harden makes 3-pt shot from 24 ft (assist by P. Beverley)
9:08.0,K. Durant misses 2-pt shot from 11 ft,,4-7,,
9:07.0,,,4-7,,Defensive rebound by J. Harden
8:54.0,,,4-9,2,D. Motiejunas makes 2-pt shot from 5 ft
8:42.0,A. Roberson misses 3-pt shot from 23 ft,,4-9,,
8:41.0,,,4-9,,Defensive rebound by P. Beverley
8:36.0,,,4-9,,J. Harden misses 2-pt shot from 1 ft (block by A. Roberson)
8:35.0,,,4-9,,Offensive rebound by D. Motiejunas
8:32.0,,,4-12,3,P. Beverley makes 3-pt shot from 24 ft (assist by D. Motiejunas)
8:25.0,Oklahoma City full timeout,,4-12,,
8:14.0,K. Durant misses 3-pt shot from 22 ft,,4-12,,
8:13.0,,,4-12,,Defensive rebound by D. Motiejunas
8:08.0,Personal foul by R. Westbrook (drawn by P. Beverley),,4-12,,
8:01.0,,,4-14,2,D. Howard makes 2-pt shot at rim (assist by D. Motiejunas)
7:42.0,A. Roberson misses 3-pt shot from 23 ft,,4-14,,
7:41.0,,,4-14,,Defensive rebound by P. Beverley
