time,Portland,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. J. Freeland (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. J. Freeland (R. Westbrook gains possession)
11:40.0,,,0-0,,P. Jones misses 2-pt shot from 4 ft
11:39.0,Defensive rebound by J. Freeland,,0-0,,
11:23.0,L. Aldridge misses 2-pt shot from 14 ft,,0-0,,
11:22.0,,,0-0,,Defensive rebound by R. Westbrook
11:14.0,,,0-2,2,R. Westbrook makes 2-pt shot from 13 ft
10:57.0,W. Matthews misses 2-pt shot from 12 ft (block by S. Adams),,0-2,,
10:55.0,,,0-2,,Defensive rebound by P. Jones
10:50.0,,,0-2,,R. Westbrook misses 2-pt shot from 2 ft
10:48.0,Defensive rebound by J. Freeland,,0-2,,
10:40.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,3-2,,
10:25.0,,,3-4,2,S. Ibaka makes 2-pt shot from 19 ft (assist by R. Westbrook)
9:59.0,L. Aldridge misses 2-pt shot from 1 ft,,3-4,,
9:58.0,Offensive rebound by L. Aldridge,,3-4,,
9:58.0,L. Aldridge makes 2-pt shot from 1 ft,2,5-4,,
9:43.0,,,5-4,,S. Ibaka misses 2-pt shot from 20 ft
9:42.0,Defensive rebound by W. Matthews,,5-4,,
9:27.0,L. Aldridge makes 2-pt shot from 11 ft,2,7-4,,
9:11.0,,,7-6,2,S. Ibaka makes 2-pt shot from 15 ft (assist by A. Roberson)
8:46.0,J. Freeland misses 2-pt shot from 16 ft,,7-6,,
8:45.0,,,7-6,,Defensive rebound by A. Roberson
8:36.0,,,7-6,,R. Westbrook misses 2-pt shot from 1 ft
8:35.0,Defensive rebound by D. Lillard,,7-6,,
8:29.0,D. Lillard makes 3-pt shot from 25 ft,3,10-6,,
8:13.0,,,10-8,2,S. Ibaka makes 2-pt shot from 17 ft (assist by R. Westbrook)
7:52.0,A. Crabbe makes 3-pt shot from 25 ft (assist by W. Matthews),3,13-8,,
7:40.0,Personal foul by A. Crabbe (drawn by A. Roberson),,13-8,,
7:32.0,,,13-10,2,R. Westbrook makes 2-pt shot from 1 ft
7:15.0,D. Lillard misses 2-pt shot from 17 ft,,13-10,,
7:14.0,,,13-10,,Defensive rebound by S. Adams
7:07.0,,,13-10,,Turnover by R. Westbrook (lost ball; steal by A. Crabbe)
7:01.0,A. Crabbe misses 3-pt shot from 23 ft,,13-10,,
6:59.0,,,13-10,,Defensive rebound by P. Jones
6:49.0,,,13-10,,S. Ibaka misses 3-pt shot from 24 ft
6:48.0,Defensive rebound by J. Freeland,,13-10,,
6:36.0,L. Aldridge misses 2-pt shot from 12 ft,,13-10,,
6:36.0,,,13-10,,Defensive rebound by P. Jones
6:20.0,,,13-10,,Turnover by P. Jones (bad pass; steal by J. Freeland)
6:14.0,J. Freeland misses 2-pt shot from 2 ft (block by S. Ibaka),,13-10,,
6:13.0,,,13-10,,Defensive rebound by S. Ibaka
5:58.0,,,13-12,2,S. Adams makes 2-pt shot at rim
5:58.0,,,13-12,,Shooting foul by J. Freeland (drawn by S. Adams)
5:58.0,,,13-12,,Oklahoma City full timeout
5:58.0,C. Kaman enters the game for J. Freeland,,13-12,,
5:58.0,S. Blake enters the game for W. Matthews,,13-12,,
5:58.0,,,13-12,,R. Jackson enters the game for A. Roberson
5:58.0,,,13-13,1,S. Adams makes free throw 1 of 1
5:45.0,,,13-13,,Personal foul by R. Westbrook (drawn by D. Lillard)
5:38.0,A. Crabbe makes 2-pt shot from 5 ft (assist by D. Lillard),2,15-13,,
5:25.0,,,15-13,,R. Westbrook misses 2-pt shot from 14 ft
5:24.0,Defensive rebound by D. Lillard,,15-13,,
5:12.0,C. Kaman makes 2-pt shot from 2 ft (assist by S. Blake),2,17-13,,
5:01.0,,,17-13,,Turnover by R. Westbrook (bad pass)
5:01.0,,,17-13,,K. Perkins enters the game for S. Adams
4:49.0,L. Aldridge misses 2-pt shot from 20 ft,,17-13,,
4:48.0,,,17-13,,Defensive rebound by R. Jackson
4:30.0,,,17-15,2,R. Westbrook makes 2-pt shot from 3 ft
4:30.0,,,17-15,,Shooting foul by C. Kaman (drawn by R. Westbrook)
4:30.0,,,17-15,,R. Westbrook misses free throw 1 of 1
4:29.0,Defensive rebound by C. Kaman,,17-15,,
4:20.0,Turnover by C. Kaman (traveling),,17-15,,
4:05.0,,,17-15,,P. Jones misses 3-pt shot from 22 ft
4:04.0,,,17-15,,Offensive rebound by R. Westbrook
3:56.0,,,17-15,,R. Westbrook misses 2-pt shot from 4 ft
3:55.0,Defensive rebound by A. Crabbe,,17-15,,
3:44.0,L. Aldridge misses 2-pt shot from 1 ft,,17-15,,
3:43.0,,,17-15,,Defensive rebound by R. Westbrook
