time,Portland,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Lopez vs. A. Stoudemire (D. Lillard gains possession),,,,Jump ball: R. Lopez vs. A. Stoudemire (D. Lillard gains possession)
11:44.0,L. Aldridge makes 2-pt shot from 19 ft (assist by N. Batum),2,2-0,,
11:24.0,,,2-0,,C. Anthony misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by L. Aldridge,,2-0,,
11:06.0,L. Aldridge makes 2-pt shot from 20 ft,2,4-0,,
10:58.0,,,4-0,,I. Shumpert misses 2-pt shot from 20 ft
10:57.0,Defensive rebound by N. Batum,,4-0,,
10:43.0,Turnover by W. Matthews (lost ball; steal by I. Shumpert),,4-0,,
10:36.0,,,4-2,2,I. Shumpert makes 2-pt shot from 1 ft
10:16.0,R. Lopez misses 2-pt shot from 2 ft,,4-2,,
10:15.0,Offensive rebound by L. Aldridge,,4-2,,
10:10.0,L. Aldridge misses 2-pt shot from 11 ft,,4-2,,
10:09.0,,,4-2,,Defensive rebound by C. Anthony
9:56.0,,,4-2,,I. Shumpert misses 2-pt shot from 8 ft
9:55.0,Defensive rebound by D. Lillard,,4-2,,
9:43.0,D. Lillard misses 3-pt shot from 26 ft,,4-2,,
9:42.0,,,4-2,,Defensive rebound by A. Stoudemire
9:28.0,,,4-2,,J. Calderon misses 3-pt shot from 25 ft
9:27.0,Defensive rebound by L. Aldridge,,4-2,,
9:18.0,W. Matthews misses 2-pt shot from 18 ft,,4-2,,
9:17.0,,,4-2,,Defensive rebound by C. Anthony
9:02.0,,,4-4,2,A. Stoudemire makes 2-pt shot from 3 ft
8:41.0,R. Lopez makes 2-pt shot from 15 ft (assist by W. Matthews),2,6-4,,
8:13.0,,,6-4,,Turnover by A. Stoudemire (bad pass)
7:49.0,Turnover by Team (shot clock),,6-4,,
7:34.0,,,6-4,,J. Calderon misses 2-pt shot from 19 ft
7:33.0,Defensive rebound by L. Aldridge,,6-4,,
7:23.0,W. Matthews makes 2-pt shot from 2 ft,2,8-4,,
7:01.0,,,8-4,,A. Stoudemire misses 2-pt shot from 17 ft
7:00.0,,,8-4,,Offensive rebound by C. Anthony
6:54.0,,,8-4,,New York full timeout
6:54.0,,,8-4,,S. Dalembert enters the game for A. Stoudemire
6:45.0,,,8-4,,Shooting foul by L. Aldridge (drawn by Q. Acy)
6:45.0,,,8-5,1,Q. Acy makes free throw 1 of 2
6:45.0,,,8-6,1,Q. Acy makes free throw 2 of 2
6:26.0,L. Aldridge makes 2-pt shot from 9 ft,2,10-6,,
6:12.0,,,10-6,,S. Dalembert misses 2-pt shot from 10 ft
6:11.0,Defensive rebound by L. Aldridge,,10-6,,
6:07.0,N. Batum misses 2-pt shot from 13 ft,,10-6,,
6:05.0,,,10-6,,Defensive rebound by I. Shumpert
6:00.0,Personal foul by W. Matthews (drawn by I. Shumpert),,10-6,,
6:00.0,,,10-6,,J. Smith enters the game for Q. Acy
6:00.0,A. Crabbe enters the game for W. Matthews,,10-6,,
6:00.0,S. Blake enters the game for N. Batum,,10-6,,
5:48.0,,,10-8,2,C. Anthony makes 2-pt shot from 1 ft
5:30.0,Shooting foul by J. Smith (drawn by L. Aldridge),,10-8,,
5:30.0,L. Aldridge makes free throw 1 of 2,1,11-8,,
5:30.0,L. Aldridge misses free throw 2 of 2,,11-8,,
5:29.0,,,11-8,,Defensive rebound by S. Dalembert
5:14.0,,,11-8,,I. Shumpert misses 2-pt shot from 5 ft
5:13.0,Defensive rebound by Team,,11-8,,
5:02.0,,,11-8,,Personal foul by I. Shumpert (drawn by L. Aldridge)
4:52.0,D. Lillard misses 2-pt shot from 11 ft,,11-8,,
4:50.0,Offensive rebound by R. Lopez,,11-8,,
4:48.0,L. Aldridge misses 3-pt shot from 26 ft,,11-8,,
4:47.0,,,11-8,,Defensive rebound by Team
4:24.0,,,11-8,,C. Anthony misses 2-pt shot from 14 ft
4:23.0,Defensive rebound by L. Aldridge,,11-8,,
4:13.0,R. Lopez makes 2-pt shot from 2 ft (assist by S. Blake),2,13-8,,
4:01.0,,,13-10,2,S. Dalembert makes 2-pt shot at rim (assist by I. Shumpert)
3:42.0,D. Lillard makes 2-pt shot at rim (assist by S. Blake),2,15-10,,
3:31.0,,,15-10,,Turnover by J. Smith (bad pass; steal by A. Crabbe)
3:27.0,Shooting foul by J. Smith (drawn by A. Crabbe),,15-10,,
3:27.0,A. Crabbe misses free throw 1 of 2,,15-10,,
3:27.0,Offensive rebound by Team,,15-10,,
3:27.0,C. Kaman enters the game for R. Lopez,,15-10,,
3:27.0,,,15-10,,A. Stoudemire enters the game for J. Smith
3:27.0,,,15-10,,J. Smith enters the game for I. Shumpert
3:27.0,A. Crabbe makes free throw 2 of 2,1,16-10,,
3:12.0,,,16-10,,J. Calderon misses 2-pt shot from 17 ft
3:11.0,Defensive rebound by D. Lillard,,16-10,,
2:51.0,A. Crabbe makes 3-pt shot from 22 ft (assist by S. Blake),3,19-10,,
2:42.0,,,19-12,2,C. Anthony makes 2-pt shot from 2 ft (assist by J. Calderon)
2:42.0,,,19-12,,Shooting foul by A. Crabbe (drawn by C. Anthony)
2:42.0,Portland full timeout,,19-12,,
2:42.0,,,19-12,,P. Prigioni enters the game for J. Calderon
2:42.0,N. Batum enters the game for D. Lillard,,19-12,,
2:42.0,W. Matthews enters the game for A. Crabbe,,19-12,,
2:42.0,,,19-13,1,C. Anthony makes free throw 1 of 1
2:28.0,Turnover by C. Kaman (lost ball; steal by P. Prigioni),,19-13,,
2:24.0,,,19-13,,Shooting foul by N. Batum (drawn by C. Anthony)
2:24.0,,,19-14,1,C. Anthony makes free throw 1 of 2
2:24.0,,,19-14,,C. Anthony misses free throw 2 of 2
2:24.0,Defensive rebound by L. Aldridge,,19-14,,
2:13.0,,,19-14,,Personal foul by P. Prigioni (drawn by S. Blake)
2:07.0,C. Kaman makes 2-pt shot from 13 ft (assist by N. Batum),2,21-14,,
1:53.0,,,21-16,2,J. Smith makes 2-pt shot from 20 ft
1:39.0,C. Kaman misses 2-pt shot from 9 ft,,21-16,,
1:38.0,,,21-16,,Defensive rebound by C. Anthony
1:31.0,,,21-18,2,C. Anthony makes 2-pt shot from 21 ft
1:18.0,W. Matthews makes 2-pt shot from 17 ft,2,23-18,,
1:06.0,,,23-18,,Offensive foul by S. Dalembert
1:06.0,,,23-18,,Turnover by S. Dalembert (offensive foul)
0:47.0,Turnover by L. Aldridge (lost ball; steal by P. Prigioni),,23-18,,
0:33.0,C. Kaman makes 2-pt shot from 2 ft,2,25-18,,
0:20.0,,,25-20,2,A. Stoudemire makes 2-pt shot from 1 ft
0:04.0,L. Aldridge misses 2-pt shot from 17 ft,,25-20,,
0:03.0,,,25-20,,Defensive rebound by A. Stoudemire
0:01.0,,,25-20,,Turnover by P. Prigioni (bad pass; steal by L. Aldridge)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,25-23,3,J. Smith makes 3-pt shot from 25 ft
11:23.0,W. Matthews misses 3-pt shot from 24 ft,,25-23,,
11:22.0,,,25-23,,Defensive rebound by J. Smith
11:14.0,,,25-25,2,A. Stoudemire makes 2-pt shot at rim (assist by S. Dalembert)
10:57.0,N. Batum misses 3-pt shot from 26 ft,,25-25,,
10:56.0,Offensive rebound by C. Kaman,,25-25,,
10:53.0,J. Freeland makes 2-pt shot from 1 ft (assist by N. Batum),2,27-25,,
10:53.0,Shooting foul by S. Dalembert (drawn by J. Freeland),,27-25,,
10:53.0,A. Crabbe enters the game for N. Batum,,27-25,,
10:53.0,,,27-25,,Q. Acy enters the game for S. Dalembert
10:53.0,J. Freeland misses free throw 1 of 1,,27-25,,
10:52.0,,,27-25,,Defensive rebound by Q. Acy
10:29.0,,,27-27,2,Q. Acy makes 2-pt shot from 22 ft
10:13.0,S. Blake makes 2-pt shot from 16 ft,2,29-27,,
9:59.0,,,29-27,,A. Stoudemire misses 2-pt shot from 8 ft
9:58.0,Defensive rebound by J. Freeland,,29-27,,
9:38.0,C. Kaman makes 2-pt shot from 19 ft (assist by S. Blake),2,31-27,,
9:27.0,,,31-27,,P. Prigioni misses 2-pt shot from 2 ft
9:26.0,,,31-27,,Offensive rebound by P. Prigioni
9:24.0,,,31-27,,J. Smith misses 3-pt shot from 24 ft
9:23.0,Defensive rebound by Team,,31-27,,
9:23.0,,,31-27,,Loose ball foul by A. Stoudemire (drawn by S. Blake)
9:06.0,C. Kaman misses 2-pt shot from 17 ft,,31-27,,
9:05.0,,,31-27,,Defensive rebound by Q. Acy
8:53.0,,,31-30,3,J. Smith makes 3-pt shot from 24 ft (assist by Q. Acy)
8:43.0,S. Blake misses 3-pt shot from 24 ft,,31-30,,
8:42.0,,,31-30,,Defensive rebound by Q. Acy
8:33.0,,,31-30,,T. Hardaway misses 3-pt shot from 25 ft
8:32.0,Defensive rebound by C. Kaman,,31-30,,
8:21.0,S. Blake misses 3-pt shot from 24 ft,,31-30,,
8:20.0,,,31-30,,Defensive rebound by T. Hardaway
8:13.0,,,31-30,,Turnover by T. Hardaway (traveling)
8:13.0,Official timeout,,31-30,,
8:13.0,D. Lillard enters the game for W. Matthews,,31-30,,
8:13.0,N. Batum enters the game for S. Blake,,31-30,,
8:02.0,Turnover by J. Freeland (traveling),,31-30,,
7:52.0,,,31-33,3,J. Smith makes 3-pt shot from 24 ft (assist by A. Stoudemire)
7:37.0,,,31-33,,Personal foul by J. Smith (drawn by D. Lillard)
7:37.0,R. Lopez enters the game for C. Kaman,,31-33,,
7:32.0,D. Lillard misses 2-pt shot from 2 ft,,31-33,,
7:31.0,Offensive rebound by J. Freeland,,31-33,,
7:31.0,J. Freeland misses 2-pt shot from 2 ft,,31-33,,
7:30.0,,,31-33,,Defensive rebound by A. Stoudemire
7:16.0,,,31-35,2,T. Hardaway makes 2-pt shot from 2 ft (assist by A. Stoudemire)
7:02.0,A. Crabbe misses 2-pt shot from 23 ft,,31-35,,
7:01.0,Offensive rebound by J. Freeland,,31-35,,
6:56.0,J. Freeland misses 2-pt shot from 7 ft,,31-35,,
6:55.0,,,31-35,,Defensive rebound by A. Stoudemire
6:47.0,,,31-35,,Shooting foul by N. Batum (drawn by T. Hardaway)
6:47.0,,,31-36,1,T. Hardaway makes free throw 1 of 3
6:47.0,,,31-37,1,T. Hardaway makes free throw 2 of 3
6:47.0,,,31-37,,J. Smith enters the game for A. Stoudemire
6:47.0,,,31-38,1,T. Hardaway makes free throw 3 of 3
6:36.0,D. Lillard makes 2-pt shot from 2 ft (assist by N. Batum),2,33-38,,
6:21.0,,,33-38,,Turnover by J. Smith (bad pass; steal by N. Batum)
6:14.0,D. Lillard misses 3-pt shot from 24 ft,,33-38,,
6:13.0,,,33-38,,Defensive rebound by Q. Acy
5:56.0,,,33-40,2,Q. Acy makes 2-pt shot from 11 ft (assist by P. Prigioni)
5:39.0,D. Lillard makes 3-pt shot from 26 ft,3,36-40,,
5:28.0,,,36-40,,J. Smith misses 3-pt shot from 25 ft
5:27.0,Defensive rebound by D. Lillard,,36-40,,
5:26.0,,,36-40,,Personal foul by Q. Acy (drawn by D. Lillard)
5:26.0,,,36-40,,New York full timeout
5:26.0,L. Aldridge enters the game for A. Crabbe,,36-40,,
5:26.0,W. Matthews enters the game for J. Freeland,,36-40,,
5:26.0,,,36-40,,C. Anthony enters the game for J. Smith
5:26.0,,,36-40,,S. Dalembert enters the game for J. Smith
5:26.0,,,36-40,,I. Shumpert enters the game for P. Prigioni
5:26.0,,,36-40,,J. Calderon enters the game for T. Hardaway
5:10.0,W. Matthews misses 2-pt shot from 10 ft,,36-40,,
5:08.0,Offensive rebound by N. Batum,,36-40,,
5:08.0,N. Batum makes 2-pt shot from 1 ft,2,38-40,,
4:52.0,,,38-42,2,S. Dalembert makes 2-pt shot at rim (assist by J. Calderon)
4:33.0,D. Lillard misses 2-pt shot from 2 ft (block by S. Dalembert),,38-42,,
4:31.0,,,38-42,,Defensive rebound by S. Dalembert
4:16.0,,,38-44,2,I. Shumpert makes 2-pt shot from 20 ft (assist by S. Dalembert)
3:54.0,Shooting foul by Q. Acy (drawn by D. Lillard),,38-44,,
3:54.0,D. Lillard makes free throw 1 of 2,1,39-44,,
3:54.0,,,39-44,,J. Smith enters the game for Q. Acy
3:54.0,D. Lillard makes free throw 2 of 2,1,40-44,,
3:41.0,,,40-44,,Offensive foul by C. Anthony
3:41.0,,,40-44,,Turnover by C. Anthony (offensive foul)
3:32.0,W. Matthews misses 3-pt shot from 23 ft,,40-44,,
3:31.0,Offensive rebound by L. Aldridge,,40-44,,
3:27.0,L. Aldridge misses 2-pt shot from 5 ft (block by S. Dalembert),,40-44,,
3:26.0,Offensive rebound by W. Matthews,,40-44,,
3:12.0,N. Batum misses 3-pt shot from 25 ft,,40-44,,
3:11.0,,,40-44,,Defensive rebound by S. Dalembert
3:05.0,Personal foul by N. Batum (drawn by C. Anthony),,40-44,,
2:54.0,,,40-44,,C. Anthony misses 2-pt shot from 11 ft
2:53.0,Defensive rebound by N. Batum,,40-44,,
2:43.0,N. Batum makes 3-pt shot from 26 ft (assist by R. Lopez),3,43-44,,
2:31.0,,,43-44,,Shooting foul by W. Matthews (drawn by C. Anthony)
2:31.0,Portland full timeout,,43-44,,
2:31.0,D. Wright enters the game for N. Batum,,43-44,,
2:31.0,,,43-44,,C. Anthony misses free throw 1 of 2
2:31.0,,,43-44,,Offensive rebound by Team
2:31.0,,,43-45,1,C. Anthony makes free throw 2 of 2
2:08.0,L. Aldridge makes 2-pt shot from 11 ft,2,45-45,,
1:49.0,,,45-47,2,C. Anthony makes 2-pt shot from 6 ft
1:49.0,,,45-47,,Shooting foul by D. Wright (drawn by C. Anthony)
1:49.0,,,45-48,1,C. Anthony makes free throw 1 of 1
1:39.0,L. Aldridge misses 2-pt shot from 19 ft,,45-48,,
1:38.0,,,45-48,,Defensive rebound by C. Anthony
1:30.0,,,45-48,,C. Anthony misses 2-pt shot from 19 ft
1:29.0,,,45-48,,Offensive rebound by C. Anthony
1:12.0,,,45-48,,S. Dalembert misses 2-pt shot from 10 ft
1:11.0,Defensive rebound by D. Lillard,,45-48,,
0:57.0,D. Wright makes 3-pt shot from 26 ft (assist by W. Matthews),3,48-48,,
0:48.0,,,48-50,2,I. Shumpert makes 2-pt shot from 22 ft (assist by C. Anthony)
0:31.0,W. Matthews makes 3-pt shot from 23 ft (assist by D. Lillard),3,51-50,,
0:18.0,,,51-50,,Offensive foul by S. Dalembert
0:18.0,,,51-50,,Turnover by S. Dalembert (offensive foul)
0:18.0,S. Blake enters the game for R. Lopez,,51-50,,
0:18.0,,,51-50,,A. Stoudemire enters the game for S. Dalembert
0:18.0,,,51-50,,Q. Acy enters the game for J. Smith
0:03.0,Shooting foul by C. Anthony (drawn by D. Lillard),,51-50,,
0:03.0,D. Lillard makes free throw 1 of 2,1,52-50,,
0:03.0,A. Crabbe enters the game for W. Matthews,,52-50,,
0:03.0,D. Lillard makes free throw 2 of 2,1,53-50,,
0:03.0,,,53-50,,New York full timeout
0:03.0,,,53-50,,J. Smith enters the game for A. Stoudemire
0:03.0,W. Matthews enters the game for A. Crabbe,,53-50,,
0:00.0,,,53-50,,C. Anthony misses 3-pt shot from 28 ft
0:00.0,,,53-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-50,,J. Calderon misses 3-pt shot from 26 ft
11:42.0,Defensive rebound by L. Aldridge,,53-50,,
11:30.0,R. Lopez makes 2-pt shot from 2 ft,2,55-50,,
11:21.0,,,55-50,,C. Anthony misses 2-pt shot from 21 ft
11:20.0,Defensive rebound by R. Lopez,,55-50,,
11:11.0,D. Lillard makes 3-pt shot from 25 ft (assist by N. Batum),3,58-50,,
11:10.0,,,58-50,,New York full timeout
10:51.0,,,58-50,,J. Calderon misses 2-pt shot from 18 ft
10:50.0,,,58-50,,Offensive rebound by Team
10:46.0,,,58-50,,Shooting foul by R. Lopez (drawn by A. Stoudemire)
10:46.0,,,58-51,1,A. Stoudemire makes free throw 1 of 2
10:46.0,,,58-52,1,A. Stoudemire makes free throw 2 of 2
10:28.0,L. Aldridge makes 2-pt shot from 15 ft,2,60-52,,
10:04.0,,,60-54,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by I. Shumpert)
9:52.0,D. Lillard misses 3-pt shot from 24 ft,,60-54,,
9:51.0,Offensive rebound by R. Lopez,,60-54,,
9:45.0,,,60-54,,Def 3 sec tech foul by C. Anthony
9:45.0,D. Lillard makes technical free throw,1,61-54,,
9:34.0,Turnover by W. Matthews (bad pass; steal by I. Shumpert),,61-54,,
9:28.0,,,61-56,2,J. Calderon makes 2-pt shot at rim (assist by C. Anthony)
9:21.0,D. Lillard misses 2-pt shot at rim,,61-56,,
9:19.0,,,61-56,,Defensive rebound by J. Calderon
9:10.0,,,61-58,2,J. Calderon makes 2-pt shot from 17 ft (assist by C. Anthony)
8:48.0,L. Aldridge makes 2-pt shot from 3 ft,2,63-58,,
8:38.0,,,63-61,3,I. Shumpert makes 3-pt shot from 25 ft (assist by J. Calderon)
8:22.0,L. Aldridge misses 2-pt shot from 14 ft,,63-61,,
8:21.0,,,63-61,,Defensive rebound by C. Anthony
8:03.0,,,63-63,2,C. Anthony makes 2-pt shot from 11 ft
7:38.0,W. Matthews misses 2-pt shot from 7 ft,,63-63,,
7:36.0,,,63-63,,Defensive rebound by I. Shumpert
7:23.0,,,63-63,,Turnover by C. Anthony (lost ball; steal by W. Matthews)
7:18.0,D. Lillard makes 2-pt shot at rim (assist by N. Batum),2,65-63,,
7:02.0,,,65-63,,I. Shumpert misses 2-pt shot from 15 ft
7:01.0,Defensive rebound by L. Aldridge,,65-63,,
6:44.0,Shooting foul by J. Calderon (drawn by W. Matthews),,65-63,,
6:44.0,W. Matthews misses free throw 1 of 3,,65-63,,
6:44.0,Offensive rebound by Team,,65-63,,
6:44.0,,,65-63,,S. Dalembert enters the game for Q. Acy
6:44.0,W. Matthews misses free throw 2 of 3,,65-63,,
6:44.0,Offensive rebound by Team,,65-63,,
6:44.0,W. Matthews makes free throw 3 of 3,1,66-63,,
6:25.0,Personal foul by W. Matthews (drawn by C. Anthony),,66-63,,
6:20.0,Violation by N. Batum (kicked ball),,66-63,,
6:16.0,,,66-63,,Turnover by I. Shumpert (lost ball; steal by W. Matthews)
6:03.0,L. Aldridge makes 2-pt shot from 14 ft,2,68-63,,
5:51.0,Personal foul by W. Matthews (drawn by I. Shumpert),,68-63,,
5:51.0,,,68-63,,New York full timeout
5:51.0,S. Blake enters the game for W. Matthews,,68-63,,
5:35.0,,,68-65,2,I. Shumpert makes 2-pt shot from 7 ft
5:15.0,R. Lopez misses 2-pt shot from 2 ft (block by A. Stoudemire),,68-65,,
5:14.0,,,68-65,,Defensive rebound by A. Stoudemire
5:09.0,,,68-65,,Turnover by J. Calderon (bad pass; steal by R. Lopez)
4:59.0,D. Lillard misses 3-pt shot from 24 ft,,68-65,,
4:58.0,,,68-65,,Defensive rebound by S. Dalembert
4:50.0,,,68-65,,I. Shumpert misses 3-pt shot from 25 ft
4:49.0,Defensive rebound by N. Batum,,68-65,,
4:38.0,L. Aldridge misses 2-pt shot from 20 ft,,68-65,,
4:37.0,Offensive rebound by R. Lopez,,68-65,,
4:37.0,R. Lopez misses 2-pt shot from 1 ft,,68-65,,
4:36.0,Offensive rebound by R. Lopez,,68-65,,
4:30.0,Turnover by D. Lillard (bad pass; steal by J. Calderon),,68-65,,
4:21.0,,,68-65,,A. Stoudemire misses 2-pt shot from 2 ft (block by R. Lopez)
4:20.0,,,68-65,,Offensive rebound by Team
4:20.0,C. Kaman enters the game for R. Lopez,,68-65,,
4:20.0,,,68-65,,J. Smith enters the game for A. Stoudemire
4:15.0,,,68-65,,Turnover by J. Smith (lost ball; steal by D. Lillard)
4:12.0,Shooting foul by J. Calderon (drawn by D. Lillard),,68-65,,
4:12.0,D. Lillard makes free throw 1 of 2,1,69-65,,
4:12.0,D. Lillard makes free throw 2 of 2,1,70-65,,
3:59.0,,,70-67,2,J. Smith makes 2-pt shot from 20 ft (assist by I. Shumpert)
3:47.0,L. Aldridge misses 2-pt shot from 3 ft,,70-67,,
