time,Milwaukee,pts.away,score,pts.home,Houston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Dorsey vs. J. Henson (J. Dudley gains possession),,,,Jump ball: J. Dorsey vs. J. Henson (J. Dudley gains possession)
11:43.0,J. Dudley makes 2-pt shot from 20 ft (assist by K. Middleton),2,2-0,,
11:21.0,,,2-2,2,D. Motiejunas makes 2-pt shot from 5 ft (assist by P. Beverley)
11:03.0,Turnover by K. Middleton (bad pass; steal by J. Dorsey),,2-2,,
10:57.0,,,2-4,2,T. Ariza makes 2-pt shot at rim (assist by P. Beverley)
10:47.0,Turnover by B. Knight (bad pass; steal by T. Ariza),,2-4,,
10:42.0,,,2-6,2,T. Ariza makes 2-pt shot at rim
10:17.0,J. Henson misses 2-pt shot from 2 ft,,2-6,,
10:16.0,Offensive rebound by J. Dudley,,2-6,,
10:11.0,J. Dudley misses 2-pt shot from 16 ft,,2-6,,
10:10.0,,,2-6,,Defensive rebound by J. Dorsey
10:07.0,,,2-6,,Shooting foul by B. Knight (drawn by J. Harden)
10:07.0,,,2-6,,J. Harden misses free throw 1 of 2
10:07.0,,,2-6,,Offensive rebound by Team
10:07.0,,,2-7,1,J. Harden makes free throw 2 of 2
9:52.0,K. Middleton makes 2-pt shot from 17 ft (assist by J. Henson),2,4-7,,
9:39.0,,,4-7,,J. Dorsey misses 2-pt shot from 2 ft (block by J. Henson)
9:37.0,Defensive rebound by G. Antetokounmpo,,4-7,,
9:33.0,G. Antetokounmpo makes 2-pt shot at rim,2,6-7,,
9:23.0,,,6-9,2,T. Ariza makes 2-pt shot from 20 ft
9:09.0,K. Middleton misses 3-pt shot from 23 ft,,6-9,,
9:09.0,,,6-9,,Defensive rebound by J. Dorsey
9:01.0,,,6-9,,J. Harden misses 3-pt shot from 27 ft
9:00.0,,,6-9,,Offensive rebound by D. Motiejunas
8:52.0,,,6-9,,Turnover by J. Harden (bad pass; steal by K. Middleton)
8:45.0,B. Knight misses 2-pt shot from 16 ft,,6-9,,
8:44.0,,,6-9,,Defensive rebound by J. Dorsey
8:19.0,,,6-9,,D. Motiejunas misses 2-pt shot from 6 ft
8:18.0,Defensive rebound by Team,,6-9,,
8:04.0,J. Henson makes 2-pt shot from 2 ft (assist by J. Dudley),2,8-9,,
7:50.0,,,8-11,2,J. Harden makes 2-pt shot from 1 ft
7:50.0,,,8-11,,Shooting foul by J. Henson (drawn by J. Harden)
7:50.0,O. Mayo enters the game for K. Middleton,,8-11,,
7:50.0,,,8-11,,J. Harden misses free throw 1 of 1
7:50.0,Defensive rebound by G. Antetokounmpo,,8-11,,
7:25.0,Turnover by Team (shot clock),,8-11,,
7:17.0,,,8-11,,Turnover by D. Motiejunas (lost ball)
7:04.0,J. Henson makes 2-pt shot at rim (assist by B. Knight),2,10-11,,
6:46.0,,,10-13,2,J. Dorsey makes 2-pt shot from 2 ft (assist by T. Ariza)
6:35.0,B. Knight misses 2-pt shot from 3 ft,,10-13,,
6:34.0,,,10-13,,Defensive rebound by J. Dorsey
6:26.0,,,10-15,2,D. Motiejunas makes 2-pt shot from 4 ft (assist by J. Harden)
6:09.0,O. Mayo misses 2-pt shot from 18 ft,,10-15,,
6:08.0,,,10-15,,Defensive rebound by T. Ariza
5:59.0,,,10-18,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
5:58.0,Milwaukee full timeout,,10-18,,
5:58.0,J. O'Bryant enters the game for J. Henson,,10-18,,
5:58.0,J. Bayless enters the game for B. Knight,,10-18,,
5:58.0,,,10-18,,J. Smith enters the game for J. Dorsey
5:50.0,,,10-18,,Personal foul by T. Ariza (drawn by G. Antetokounmpo)
5:46.0,Turnover by O. Mayo (lost ball; steal by D. Motiejunas),,10-18,,
5:41.0,,,10-18,,T. Ariza misses 2-pt shot from 1 ft
5:40.0,,,10-18,,Offensive rebound by D. Motiejunas
5:40.0,,,10-20,2,D. Motiejunas makes 2-pt shot at rim
5:15.0,J. Dudley misses 2-pt shot from 1 ft,,10-20,,
5:14.0,,,10-20,,Defensive rebound by D. Motiejunas
4:57.0,,,10-22,2,P. Beverley makes 2-pt shot from 8 ft
4:41.0,,,10-22,,Def 3 sec tech foul by J. Smith
4:41.0,J. Bayless misses technical free throw,,10-22,,
4:41.0,Offensive rebound by Team,,10-22,,
4:41.0,,,10-22,,T. Jones enters the game for D. Motiejunas
4:24.0,G. Antetokounmpo makes 2-pt shot from 12 ft,2,12-22,,
4:02.0,,,12-25,3,J. Harden makes 3-pt shot from 26 ft (assist by J. Smith)
3:45.0,G. Antetokounmpo misses 2-pt shot at rim,,12-25,,
3:44.0,,,12-25,,Defensive rebound by T. Jones
3:36.0,,,12-27,2,J. Harden makes 2-pt shot from 3 ft
3:17.0,G. Antetokounmpo misses 2-pt shot from 5 ft,,12-27,,
3:16.0,Offensive rebound by G. Antetokounmpo,,12-27,,
3:05.0,G. Antetokounmpo makes 2-pt shot from 3 ft (assist by J. Bayless),2,14-27,,
2:56.0,,,14-27,,Houston full timeout
2:56.0,E. Ilyasova enters the game for G. Antetokounmpo,,14-27,,
2:56.0,,,14-27,,C. Brewer enters the game for T. Ariza
2:56.0,,,14-27,,J. Terry enters the game for P. Beverley
2:48.0,,,14-27,,C. Brewer misses 2-pt shot from 2 ft
2:47.0,Defensive rebound by J. Bayless,,14-27,,
2:29.0,O. Mayo makes 2-pt shot from 8 ft,2,16-27,,
2:24.0,,,16-29,2,J. Harden makes 2-pt shot from 2 ft (assist by J. Smith)
2:03.0,O. Mayo makes 2-pt shot from 3 ft,2,18-29,,
1:48.0,,,18-29,,J. Terry misses 3-pt shot from 23 ft
1:47.0,Defensive rebound by J. Bayless,,18-29,,
1:42.0,J. Bayless misses 2-pt shot from 1 ft,,18-29,,
1:41.0,,,18-29,,Defensive rebound by J. Harden
1:33.0,,,18-29,,J. Terry misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by J. O'Bryant,,18-29,,
1:23.0,E. Ilyasova misses 3-pt shot from 24 ft,,18-29,,
1:22.0,Offensive rebound by J. O'Bryant,,18-29,,
1:18.0,J. O'Bryant makes 2-pt shot from 14 ft,2,20-29,,
1:00.0,,,20-29,,Shooting foul by J. O'Bryant (drawn by J. Harden)
1:00.0,,,20-30,1,J. Harden makes free throw 1 of 2
1:00.0,,,20-31,1,J. Harden makes free throw 2 of 2
0:49.0,O. Mayo makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,23-31,,
0:30.0,,,23-34,3,J. Harden makes 3-pt shot from 24 ft
0:11.0,J. O'Bryant misses 2-pt shot from 1 ft,,23-34,,
0:10.0,,,23-34,,Defensive rebound by J. Smith
0:02.0,,,23-36,2,T. Jones makes 2-pt shot from 1 ft (assist by J. Harden)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,23-39,3,J. Smith makes 3-pt shot from 24 ft (assist by C. Brewer)
11:36.0,J. Bayless makes 2-pt shot from 6 ft,2,25-39,,
11:22.0,,,25-42,3,T. Ariza makes 3-pt shot from 25 ft (assist by T. Jones)
11:08.0,Technical foul by J. Bayless,,25-42,,
11:08.0,,,25-43,1,J. Terry makes technical free throw
11:05.0,,,25-43,,Personal foul by C. Brewer (drawn by E. Ilyasova)
11:05.0,,,25-43,,D. Motiejunas enters the game for T. Jones
10:57.0,E. Ilyasova misses 2-pt shot from 7 ft (block by D. Motiejunas),,25-43,,
10:56.0,,,25-43,,Defensive rebound by J. Terry
10:38.0,,,25-43,,C. Brewer misses 2-pt shot from 8 ft (block by J. Dudley)
10:35.0,Defensive rebound by K. Middleton,,25-43,,
10:30.0,J. Bayless misses 2-pt shot from 7 ft,,25-43,,
10:29.0,,,25-43,,Defensive rebound by J. Smith
