time,Charlotte,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. C. Zeller (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. C. Zeller (R. Westbrook gains possession)
11:40.0,,,0-0,,Turnover by P. Jones (lost ball; steal by K. Walker)
11:32.0,K. Walker misses 2-pt shot from 10 ft,,0-0,,
11:31.0,Offensive rebound by M. Kidd-Gilchrist,,0-0,,
11:27.0,C. Zeller makes 2-pt shot from 19 ft (assist by G. Henderson),2,2-0,,
11:03.0,,,2-2,2,R. Westbrook makes 2-pt shot from 7 ft
10:51.0,Offensive foul by M. Kidd-Gilchrist,,2-2,,
10:51.0,Turnover by M. Kidd-Gilchrist (offensive foul),,2-2,,
10:37.0,,,2-4,2,S. Ibaka makes 2-pt shot at rim (assist by R. Westbrook)
10:15.0,C. Zeller misses 2-pt shot from 4 ft,,2-4,,
10:12.0,Offensive rebound by M. Kidd-Gilchrist,,2-4,,
10:07.0,A. Jefferson misses 2-pt shot from 12 ft,,2-4,,
10:06.0,,,2-4,,Defensive rebound by S. Ibaka
10:00.0,,,2-4,,S. Adams misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by M. Kidd-Gilchrist,,2-4,,
9:43.0,A. Jefferson misses 2-pt shot from 3 ft (block by S. Adams),,2-4,,
9:42.0,,,2-4,,Defensive rebound by P. Jones
9:37.0,,,2-6,2,R. Westbrook makes 2-pt shot from 12 ft
9:13.0,K. Walker misses 2-pt shot from 5 ft,,2-6,,
9:12.0,,,2-6,,Defensive rebound by S. Ibaka
9:01.0,,,2-6,,S. Ibaka misses 2-pt shot from 4 ft
9:00.0,Defensive rebound by G. Henderson,,2-6,,
8:51.0,C. Zeller misses 2-pt shot from 8 ft,,2-6,,
8:50.0,,,2-6,,Defensive rebound by S. Adams
8:34.0,,,2-6,,Shooting foul by A. Jefferson (drawn by S. Adams)
8:34.0,,,2-6,,S. Adams misses free throw 1 of 2
8:34.0,,,2-6,,Offensive rebound by Team
8:34.0,,,2-7,1,S. Adams makes free throw 2 of 2
8:19.0,K. Walker misses 3-pt shot from 25 ft,,2-7,,
8:18.0,,,2-7,,Defensive rebound by S. Adams
8:12.0,,,2-7,,R. Westbrook misses 2-pt shot from 17 ft
8:11.0,,,2-7,,Offensive rebound by Team
8:11.0,Loose ball foul by C. Zeller (drawn by S. Ibaka),,2-7,,
8:02.0,,,2-9,2,R. Westbrook makes 2-pt shot at rim
7:49.0,Turnover by K. Walker (lost ball; steal by R. Westbrook),,2-9,,
7:42.0,,,2-9,,S. Ibaka misses 3-pt shot from 24 ft
7:41.0,Defensive rebound by M. Kidd-Gilchrist,,2-9,,
7:38.0,Shooting foul by P. Jones (drawn by M. Kidd-Gilchrist),,2-9,,
7:38.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,3-9,,
7:38.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,4-9,,
7:26.0,,,4-11,2,P. Jones makes 2-pt shot from 5 ft
7:17.0,Turnover by G. Henderson (bad pass),,4-11,,
7:11.0,,,4-13,2,A. Roberson makes 2-pt shot at rim (assist by S. Adams)
7:04.0,Charlotte full timeout,,4-13,,
6:49.0,Turnover by G. Henderson (bad pass),,4-13,,
6:43.0,,,4-13,,S. Ibaka misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by A. Jefferson,,4-13,,
6:34.0,Shooting foul by S. Adams (drawn by K. Walker),,4-13,,
6:34.0,K. Walker makes free throw 1 of 2,1,5-13,,
6:34.0,K. Walker makes free throw 2 of 2,1,6-13,,
6:21.0,,,6-13,,R. Westbrook misses 2-pt shot from 9 ft
6:20.0,Defensive rebound by A. Jefferson,,6-13,,
6:14.0,M. Kidd-Gilchrist makes 2-pt shot from 4 ft (assist by G. Henderson),2,8-13,,
6:14.0,Shooting foul by P. Jones (drawn by M. Kidd-Gilchrist),,8-13,,
6:14.0,,,8-13,,A. Morrow enters the game for P. Jones
6:14.0,M. Kidd-Gilchrist makes free throw 1 of 1,1,9-13,,
6:01.0,,,9-13,,S. Ibaka misses 2-pt shot from 16 ft
6:00.0,,,9-13,,Offensive rebound by S. Ibaka
5:45.0,,,9-16,3,R. Westbrook makes 3-pt shot from 24 ft
5:23.0,G. Henderson misses 2-pt shot from 5 ft,,9-16,,
5:22.0,,,9-16,,Defensive rebound by S. Ibaka
5:19.0,,,9-16,,Shooting foul by A. Jefferson (drawn by R. Westbrook)
5:19.0,,,9-17,1,R. Westbrook makes free throw 1 of 2
5:19.0,M. Williams enters the game for C. Zeller,,9-17,,
5:19.0,B. Biyombo enters the game for A. Jefferson,,9-17,,
5:19.0,,,9-18,1,R. Westbrook makes free throw 2 of 2
5:10.0,K. Walker makes 2-pt shot from 14 ft,2,11-18,,
4:53.0,,,11-20,2,S. Adams makes 2-pt shot from 5 ft (assist by R. Westbrook)
4:26.0,K. Walker misses 2-pt shot from 14 ft (block by A. Roberson),,11-20,,
4:25.0,,,11-20,,Defensive rebound by S. Adams
4:20.0,,,11-20,,A. Morrow misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by B. Biyombo,,11-20,,
4:07.0,M. Williams makes 2-pt shot from 5 ft,2,13-20,,
3:55.0,,,13-23,3,S. Ibaka makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:42.0,M. Williams misses 3-pt shot from 24 ft,,13-23,,
3:41.0,,,13-23,,Defensive rebound by S. Adams
3:34.0,,,13-23,,Turnover by R. Westbrook (bad pass; steal by M. Kidd-Gilchrist)
3:31.0,Shooting foul by A. Roberson (drawn by M. Kidd-Gilchrist),,13-23,,
3:31.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,14-23,,
3:31.0,,,14-23,,K. Perkins enters the game for S. Adams
3:31.0,G. Neal enters the game for G. Henderson,,14-23,,
3:31.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,15-23,,
3:12.0,,,15-25,2,R. Westbrook makes 2-pt shot from 14 ft
2:56.0,Turnover by M. Kidd-Gilchrist (lost ball),,15-25,,
2:56.0,,,15-25,,Oklahoma City full timeout
2:56.0,P. Hairston enters the game for M. Kidd-Gilchrist,,15-25,,
2:56.0,,,15-25,,R. Jackson enters the game for R. Westbrook
2:37.0,,,15-28,3,S. Ibaka makes 3-pt shot from 22 ft (assist by A. Morrow)
2:21.0,B. Biyombo misses 2-pt shot from 3 ft (block by S. Ibaka),,15-28,,
2:20.0,Offensive rebound by M. Williams,,15-28,,
2:20.0,M. Williams makes 2-pt shot at rim,2,17-28,,
2:04.0,,,17-31,3,R. Jackson makes 3-pt shot from 24 ft
1:50.0,K. Walker makes 2-pt shot from 15 ft,2,19-31,,
1:37.0,,,19-31,,K. Perkins misses 2-pt shot from 3 ft
1:36.0,,,19-31,,Offensive rebound by S. Ibaka
1:36.0,,,19-31,,S. Ibaka misses 2-pt shot from 2 ft
1:34.0,,,19-31,,Offensive rebound by S. Ibaka
1:34.0,,,19-31,,S. Ibaka misses 2-pt shot from 1 ft
1:33.0,,,19-31,,Offensive rebound by S. Ibaka
1:33.0,,,19-31,,S. Ibaka misses 2-pt shot from 1 ft
1:31.0,Defensive rebound by M. Williams,,19-31,,
1:24.0,,,19-31,,Personal foul by S. Ibaka (drawn by M. Williams)
1:24.0,M. Williams misses free throw 1 of 2,,19-31,,
1:24.0,Offensive rebound by Team,,19-31,,
1:24.0,B. Roberts enters the game for K. Walker,,19-31,,
1:24.0,,,19-31,,J. Lamb enters the game for S. Ibaka
1:24.0,,,19-31,,N. Collison enters the game for A. Roberson
1:24.0,M. Williams makes free throw 2 of 2,1,20-31,,
1:13.0,,,20-31,,J. Lamb misses 2-pt shot from 17 ft
1:12.0,Defensive rebound by M. Williams,,20-31,,
1:05.0,,,20-31,,Personal foul by R. Jackson (drawn by M. Williams)
1:05.0,M. Williams makes free throw 1 of 2,1,21-31,,
1:05.0,M. Williams misses free throw 2 of 2,,21-31,,
1:04.0,,,21-31,,Defensive rebound by K. Perkins
