time,Minnesota,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Biyombo vs. G. Dieng (C. Zeller gains possession),,,,Jump ball: B. Biyombo vs. G. Dieng (C. Zeller gains possession)
11:39.0,,,0-0,,G. Henderson misses 2-pt shot from 19 ft
11:38.0,Defensive rebound by R. Hummel,,0-0,,
11:20.0,Turnover by M. Williams (lost ball),,0-0,,
10:58.0,,,0-2,2,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by G. Henderson)
10:36.0,M. Williams misses 2-pt shot from 18 ft,,0-2,,
10:34.0,Offensive rebound by R. Hummel,,0-2,,
10:28.0,Turnover by G. Dieng (traveling),,0-2,,
10:15.0,,,0-2,,C. Zeller misses 2-pt shot from 19 ft
10:11.0,,,0-2,,Offensive rebound by M. Kidd-Gilchrist
10:11.0,,,0-2,,M. Kidd-Gilchrist misses 2-pt shot at rim
10:09.0,Defensive rebound by R. Hummel,,0-2,,
9:54.0,A. Wiggins makes 2-pt shot from 15 ft (assist by G. Dieng),2,2-2,,
9:42.0,,,2-4,2,B. Roberts makes 2-pt shot from 19 ft
9:18.0,Turnover by G. Dieng (bad pass),,2-4,,
9:02.0,,,2-6,2,G. Henderson makes 2-pt shot from 20 ft (assist by C. Zeller)
8:45.0,M. Williams misses 2-pt shot from 18 ft,,2-6,,
8:44.0,,,2-6,,Defensive rebound by B. Biyombo
8:34.0,,,2-8,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by B. Roberts)
8:32.0,Minnesota full timeout,,2-8,,
8:21.0,A. Wiggins misses 3-pt shot from 25 ft,,2-8,,
8:20.0,,,2-8,,Defensive rebound by B. Biyombo
8:03.0,,,2-8,,M. Kidd-Gilchrist misses 2-pt shot from 17 ft
8:03.0,,,2-8,,Offensive rebound by Team
8:03.0,Loose ball foul by G. Dieng (drawn by B. Biyombo),,2-8,,
7:56.0,,,2-10,2,C. Zeller makes 2-pt shot at rim (assist by G. Henderson)
7:41.0,G. Dieng misses 2-pt shot from 17 ft,,2-10,,
7:40.0,,,2-10,,Defensive rebound by G. Henderson
7:31.0,,,2-10,,Turnover by G. Henderson (bad pass; steal by R. Hummel)
7:26.0,M. Williams makes 2-pt shot from 16 ft,2,4-10,,
7:06.0,,,4-10,,Turnover by B. Roberts (traveling)
6:49.0,T. Young makes 2-pt shot from 13 ft (assist by M. Williams),2,6-10,,
6:32.0,,,6-12,2,B. Roberts makes 2-pt shot from 17 ft (assist by G. Henderson)
6:13.0,M. Williams misses 2-pt shot from 21 ft,,6-12,,
