time,Boston,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. J. Henson (J. Dudley gains possession),,,,Jump ball: B. Bass vs. J. Henson (J. Dudley gains possession)
11:45.0,,,0-0,,B. Knight misses 2-pt shot from 20 ft
11:44.0,Defensive rebound by B. Bass,,0-0,,
11:30.0,E. Turner makes 2-pt shot from 16 ft (assist by J. Sullinger),2,2-0,,
11:11.0,,,2-0,,K. Middleton misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by J. Sullinger,,2-0,,
11:03.0,M. Smart makes 3-pt shot from 28 ft (assist by J. Sullinger),3,5-0,,
10:51.0,,,5-0,,Turnover by J. Henson (bad pass; steal by J. Sullinger)
10:43.0,A. Bradley misses 2-pt shot from 16 ft (block by B. Knight),,5-0,,
10:41.0,,,5-0,,Defensive rebound by K. Middleton
10:25.0,Personal foul by A. Bradley (drawn by B. Knight),,5-0,,
10:13.0,,,5-2,2,G. Antetokounmpo makes 2-pt shot from 16 ft
9:54.0,E. Turner misses 2-pt shot from 5 ft,,5-2,,
9:53.0,,,5-2,,Defensive rebound by J. Henson
9:36.0,,,5-2,,G. Antetokounmpo misses 2-pt shot from 18 ft
9:35.0,Defensive rebound by A. Bradley,,5-2,,
9:25.0,,,5-2,,Shooting block foul by J. Henson (drawn by B. Bass)
9:25.0,B. Bass makes free throw 1 of 2,1,6-2,,
9:25.0,B. Bass makes free throw 2 of 2,1,7-2,,
9:12.0,,,7-2,,J. Dudley misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by A. Bradley,,7-2,,
8:59.0,A. Bradley makes 2-pt shot from 1 ft,2,9-2,,
8:37.0,,,9-2,,K. Middleton misses 2-pt shot from 3 ft (block by J. Sullinger)
8:36.0,Defensive rebound by M. Smart,,9-2,,
8:21.0,B. Bass misses 2-pt shot from 14 ft,,9-2,,
8:20.0,,,9-2,,Defensive rebound by K. Middleton
8:08.0,Personal foul by E. Turner (drawn by J. Dudley),,9-2,,
8:01.0,,,9-5,3,B. Knight makes 3-pt shot from 26 ft (assist by J. Henson)
7:36.0,J. Sullinger misses 2-pt shot from 10 ft (block by J. Henson),,9-5,,
7:34.0,,,9-5,,Defensive rebound by G. Antetokounmpo
7:32.0,Personal foul by M. Smart (drawn by G. Antetokounmpo),,9-5,,
7:26.0,,,9-8,3,B. Knight makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
7:13.0,J. Sullinger misses 3-pt shot from 25 ft,,9-8,,
7:11.0,,,9-8,,Defensive rebound by B. Knight
7:00.0,,,9-10,2,J. Henson makes 2-pt shot from 4 ft (assist by B. Knight)
6:45.0,A. Bradley misses 2-pt shot from 17 ft,,9-10,,
6:42.0,,,9-10,,Defensive rebound by J. Henson
6:26.0,,,9-10,,J. Dudley misses 2-pt shot from 7 ft
6:24.0,Defensive rebound by B. Bass,,9-10,,
6:09.0,B. Bass misses 2-pt shot at rim (block by G. Antetokounmpo),,9-10,,
6:08.0,Offensive rebound by Team,,9-10,,
6:08.0,,,9-10,,O. Mayo enters the game for J. Dudley
6:08.0,Boston full timeout,,9-10,,
6:05.0,J. Sullinger makes 2-pt shot from 3 ft (assist by E. Turner),2,11-10,,
5:50.0,J. Crowder enters the game for M. Smart,,11-10,,
5:38.0,,,11-13,3,B. Knight makes 3-pt shot from 26 ft
5:19.0,J. Crowder misses 3-pt shot from 24 ft,,11-13,,
5:17.0,Offensive rebound by J. Sullinger,,11-13,,
5:17.0,J. Sullinger makes 2-pt shot at rim,2,13-13,,
5:04.0,,,13-15,2,J. Henson makes 2-pt shot at rim (assist by G. Antetokounmpo)
4:42.0,Turnover by B. Bass (lost ball; steal by K. Middleton),,13-15,,
4:33.0,,,13-15,,B. Knight misses 3-pt shot from 24 ft
4:32.0,Defensive rebound by E. Turner,,13-15,,
4:19.0,E. Turner makes 2-pt shot at rim,2,15-15,,
4:02.0,,,15-17,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
3:43.0,A. Bradley misses 3-pt shot from 23 ft,,15-17,,
3:41.0,Offensive rebound by Team,,15-17,,
3:41.0,T. Zeller enters the game for J. Sullinger,,15-17,,
3:41.0,,,15-17,,E. Ilyasova enters the game for J. Henson
3:41.0,M. Thornton enters the game for B. Bass,,15-17,,
3:30.0,T. Zeller makes 2-pt shot at rim (assist by A. Bradley),2,17-17,,
3:11.0,,,17-17,,O. Mayo misses 2-pt shot from 2 ft
3:09.0,,,17-17,,Offensive rebound by G. Antetokounmpo
3:09.0,,,17-19,2,G. Antetokounmpo makes 2-pt shot at rim
2:56.0,Turnover by E. Turner (bad pass),,17-19,,
2:56.0,,,17-19,,Milwaukee full timeout
2:43.0,,,17-21,2,K. Middleton makes 2-pt shot from 19 ft
2:26.0,M. Thornton makes 3-pt shot from 26 ft (assist by E. Turner),3,20-21,,
2:09.0,,,20-21,,O. Mayo misses 3-pt shot from 23 ft
2:08.0,Defensive rebound by T. Zeller,,20-21,,
1:56.0,T. Zeller misses 2-pt shot from 4 ft,,20-21,,
1:55.0,,,20-21,,Defensive rebound by B. Knight
1:39.0,,,20-21,,Turnover by K. Middleton (lost ball; steal by E. Turner)
1:35.0,E. Turner misses 2-pt shot at rim (block by G. Antetokounmpo),,20-21,,
1:33.0,Offensive rebound by M. Thornton,,20-21,,
1:28.0,J. Crowder makes 2-pt shot from 21 ft (assist by M. Thornton),2,22-21,,
1:09.0,Personal block foul by M. Thornton (drawn by G. Antetokounmpo),,22-21,,
1:09.0,,,22-21,,J. Bayless enters the game for K. Middleton
1:01.0,,,22-21,,B. Knight misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by T. Zeller,,22-21,,
0:55.0,,,22-21,,Personal block foul by E. Ilyasova (drawn by J. Crowder)
0:49.0,T. Zeller misses 2-pt shot from 3 ft,,22-21,,
0:47.0,,,22-21,,Defensive rebound by G. Antetokounmpo
0:39.0,,,22-23,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by G. Antetokounmpo)
0:29.0,,,22-23,,Personal foul by O. Mayo (drawn by E. Turner)
0:29.0,E. Turner misses free throw 1 of 2,,22-23,,
0:29.0,Offensive rebound by Team,,22-23,,
0:29.0,T. Prince enters the game for A. Bradley,,22-23,,
0:29.0,E. Turner makes free throw 2 of 2,1,23-23,,
0:09.0,Jump ball: G. Antetokounmpo vs. J. Crowder (E. Ilyasova gains possession),,,,Jump ball: G. Antetokounmpo vs. J. Crowder (E. Ilyasova gains possession)
