time,New Orleans,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. T. Mozgov (A. Ajinca gains possession),,,,Jump ball: A. Davis vs. T. Mozgov (A. Ajinca gains possession)
11:41.0,E. Gordon misses 2-pt shot from 2 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by W. Chandler
11:34.0,,,0-0,,Turnover by T. Mozgov (bad pass; steal by T. Evans)
11:28.0,T. Evans misses 2-pt shot from 2 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by T. Mozgov
11:19.0,,,0-2,2,A. Afflalo makes 2-pt shot from 14 ft (assist by T. Lawson)
10:57.0,A. Davis makes 2-pt shot from 18 ft (assist by E. Gordon),2,2-2,,
10:42.0,,,2-2,,W. Chandler misses 2-pt shot from 18 ft
10:42.0,Defensive rebound by Team,,2-2,,
10:29.0,J. Holiday makes 2-pt shot from 1 ft,2,4-2,,
10:20.0,,,4-2,,T. Mozgov misses 2-pt shot from 20 ft
10:18.0,Defensive rebound by T. Evans,,4-2,,
10:10.0,Shooting foul by T. Mozgov (drawn by A. Ajinca),,4-2,,
10:10.0,A. Ajinca makes free throw 1 of 2,1,5-2,,
10:10.0,A. Ajinca makes free throw 2 of 2,1,6-2,,
9:51.0,,,6-2,,T. Lawson misses 2-pt shot from 14 ft
9:49.0,Defensive rebound by A. Davis,,6-2,,
9:38.0,T. Evans makes 2-pt shot from 22 ft,2,8-2,,
9:18.0,,,8-2,,A. Afflalo misses 2-pt shot from 8 ft
9:17.0,Defensive rebound by Team,,8-2,,
9:17.0,,,8-2,,Loose ball foul by K. Faried (drawn by A. Davis)
9:01.0,A. Ajinca makes 2-pt shot from 12 ft (assist by T. Evans),2,10-2,,
8:50.0,,,10-2,,W. Chandler misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by J. Holiday,,10-2,,
8:42.0,Shooting foul by A. Afflalo (drawn by A. Davis),,10-2,,
8:42.0,A. Davis makes free throw 1 of 2,1,11-2,,
8:42.0,A. Davis makes free throw 2 of 2,1,12-2,,
8:17.0,,,12-2,,Turnover by W. Chandler (lost ball; steal by E. Gordon)
8:13.0,T. Evans makes 2-pt shot from 2 ft (assist by J. Holiday),2,14-2,,
8:13.0,,,14-2,,Denver full timeout
7:57.0,,,14-4,2,K. Faried makes 2-pt shot from 4 ft
7:32.0,T. Evans misses 3-pt shot from 26 ft,,14-4,,
7:30.0,,,14-4,,Defensive rebound by K. Faried
7:29.0,Personal foul by A. Davis (drawn by K. Faried),,14-4,,
7:11.0,,,14-6,2,T. Mozgov makes 2-pt shot at rim (assist by T. Lawson)
6:52.0,A. Davis makes 2-pt shot from 7 ft (assist by A. Ajinca),2,16-6,,
6:41.0,,,16-9,3,W. Chandler makes 3-pt shot from 24 ft (assist by T. Lawson)
6:20.0,J. Holiday misses 2-pt shot from 1 ft,,16-9,,
6:18.0,,,16-9,,Defensive rebound by T. Lawson
6:07.0,,,16-9,,Turnover by A. Afflalo (bad pass; steal by A. Davis)
6:02.0,Turnover by T. Evans (bad pass; steal by T. Lawson),,16-9,,
5:55.0,,,16-9,,Shooting foul by A. Ajinca (drawn by K. Faried)
5:55.0,,,16-10,1,K. Faried makes free throw 1 of 2
5:55.0,,,16-10,,K. Faried misses free throw 2 of 2
5:53.0,Defensive rebound by E. Gordon,,16-10,,
