time,Detroit,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Thompson (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. T. Thompson (K. Caldwell-Pope gains possession)
11:46.0,B. Jennings misses 2-pt shot from 4 ft,,0-0,,
11:44.0,Offensive rebound by A. Drummond,,0-0,,
11:43.0,A. Drummond makes 2-pt shot from 4 ft,2,2-0,,
11:28.0,,,2-2,2,K. Love makes 2-pt shot from 16 ft (assist by M. Dellavedova)
11:14.0,Offensive charge foul by K. Caldwell-Pope,,2-2,,
11:14.0,Turnover by K. Caldwell-Pope (offensive foul),,2-2,,
11:01.0,,,2-2,,M. Dellavedova misses 3-pt shot from 22 ft
11:00.0,Defensive rebound by A. Drummond,,2-2,,
10:46.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,2-2,,
10:45.0,,,2-2,,Defensive rebound by K. Love
10:33.0,,,2-2,,L. James misses 2-pt shot from 6 ft (block by A. Drummond)
10:30.0,Defensive rebound by B. Jennings,,2-2,,
10:14.0,K. Caldwell-Pope makes 3-pt shot from 23 ft (assist by G. Monroe),3,5-2,,
10:01.0,Personal foul by G. Monroe (drawn by K. Love),,5-2,,
9:48.0,,,5-5,3,M. Miller makes 3-pt shot from 25 ft (assist by K. Love)
9:20.0,G. Monroe misses 2-pt shot from 6 ft,,5-5,,
9:18.0,,,5-5,,Defensive rebound by L. James
9:10.0,,,5-5,,M. Miller misses 3-pt shot from 23 ft
9:09.0,Defensive rebound by B. Jennings,,5-5,,
8:58.0,A. Drummond makes 2-pt shot at rim (assist by B. Jennings),2,7-5,,
8:37.0,,,7-5,,K. Love misses 3-pt shot from 24 ft
8:36.0,,,7-5,,Offensive rebound by T. Thompson
8:36.0,Personal foul by A. Drummond (drawn by T. Thompson),,7-5,,
8:18.0,,,7-7,2,L. James makes 2-pt shot from 15 ft
8:01.0,Turnover by A. Drummond (3 sec),,7-7,,
7:42.0,,,7-7,,L. James misses 2-pt shot from 6 ft (block by A. Drummond)
7:42.0,,,7-7,,Offensive rebound by Team
7:38.0,,,7-9,2,T. Thompson makes 2-pt shot from 13 ft (assist by L. James)
7:26.0,G. Monroe misses 2-pt shot from 15 ft,,7-9,,
7:25.0,,,7-9,,Defensive rebound by L. James
7:20.0,,,7-9,,Offensive charge foul by L. James
7:20.0,,,7-9,,Turnover by L. James (offensive foul)
7:06.0,G. Monroe misses 2-pt shot from 4 ft,,7-9,,
7:05.0,,,7-9,,Defensive rebound by K. Love
6:43.0,,,7-9,,Turnover by K. Love (lost ball; steal by K. Singler)
6:39.0,,,7-9,,Personal foul by M. Dellavedova (drawn by K. Singler)
6:32.0,Offensive foul by B. Jennings,,7-9,,
6:32.0,Turnover by B. Jennings (offensive foul),,7-9,,
6:22.0,,,7-9,,K. Love misses 3-pt shot from 25 ft
6:21.0,Defensive rebound by G. Monroe,,7-9,,
6:14.0,Turnover by B. Jennings (bad pass; steal by L. James),,7-9,,
6:08.0,,,7-11,2,K. Love makes 2-pt shot at rim (assist by L. James)
5:47.0,K. Singler misses 2-pt shot from 13 ft,,7-11,,
5:44.0,,,7-11,,Defensive rebound by T. Thompson
5:40.0,,,7-11,,Shooting foul by K. Singler (drawn by L. James)
5:40.0,,,7-11,,Cleveland full timeout
5:40.0,,,7-12,1,L. James makes free throw 1 of 2
5:40.0,,,7-13,1,L. James makes free throw 2 of 2
5:29.0,K. Singler misses 2-pt shot from 21 ft,,7-13,,
5:28.0,,,7-13,,Defensive rebound by K. Love
5:11.0,,,7-13,,K. Love misses 3-pt shot from 23 ft
5:09.0,Defensive rebound by K. Caldwell-Pope,,7-13,,
4:58.0,K. Singler misses 2-pt shot from 18 ft,,7-13,,
4:55.0,Offensive rebound by G. Monroe,,7-13,,
4:55.0,G. Monroe makes 2-pt shot at rim,2,9-13,,
4:41.0,,,9-13,,Turnover by L. James (bad pass; steal by K. Caldwell-Pope)
4:37.0,K. Caldwell-Pope makes 2-pt shot from 1 ft,2,11-13,,
4:15.0,,,11-16,3,L. James makes 3-pt shot from 26 ft (assist by M. Dellavedova)
4:03.0,B. Jennings makes 2-pt shot from 14 ft,2,13-16,,
3:46.0,,,13-16,,Shooting foul by A. Drummond (drawn by T. Thompson)
3:46.0,,,13-17,1,T. Thompson makes free throw 1 of 2
3:46.0,J. Jerebko enters the game for A. Drummond,,13-17,,
3:46.0,,,13-17,,S. Marion enters the game for M. Miller
3:46.0,,,13-17,,D. Waiters enters the game for K. Love
3:46.0,,,13-18,1,T. Thompson makes free throw 2 of 2
3:29.0,G. Monroe misses 2-pt shot from 8 ft,,13-18,,
3:26.0,,,13-18,,Defensive rebound by L. James
3:19.0,,,13-20,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
3:03.0,B. Jennings makes 3-pt shot from 24 ft,3,16-20,,
2:48.0,,,16-20,,M. Dellavedova misses 2-pt shot from 8 ft
2:45.0,Defensive rebound by K. Caldwell-Pope,,16-20,,
2:35.0,B. Jennings misses 3-pt shot from 25 ft,,16-20,,
2:34.0,Offensive rebound by K. Singler,,16-20,,
2:34.0,Shooting foul by M. Dellavedova (drawn by K. Singler),,16-20,,
2:34.0,Detroit full timeout,,16-20,,
2:34.0,J. Meeks enters the game for K. Caldwell-Pope,,16-20,,
2:34.0,D. Augustin enters the game for B. Jennings,,16-20,,
2:34.0,,,16-20,,A. Price enters the game for M. Dellavedova
2:34.0,K. Singler makes free throw 1 of 2,1,17-20,,
2:34.0,K. Singler misses free throw 2 of 2,,17-20,,
2:33.0,,,17-20,,Defensive rebound by S. Marion
2:19.0,,,17-22,2,S. Marion makes 2-pt shot at rim (assist by L. James)
1:52.0,D. Augustin misses 2-pt shot from 14 ft (block by S. Marion),,17-22,,
1:52.0,Offensive rebound by D. Augustin,,17-22,,
1:52.0,Turnover by Team (shot clock),,17-22,,
1:52.0,,,17-22,,K. Love enters the game for L. James
1:35.0,,,17-24,2,K. Love makes 2-pt shot from 3 ft (assist by S. Marion)
1:22.0,K. Singler misses 2-pt shot from 20 ft,,17-24,,
1:22.0,,,17-24,,Defensive rebound by K. Love
1:14.0,,,17-26,2,D. Waiters makes 2-pt shot at rim (assist by A. Price)
0:50.0,G. Monroe misses 2-pt shot from 10 ft,,17-26,,
0:47.0,,,17-26,,Defensive rebound by T. Thompson
0:37.0,,,17-26,,K. Love misses 2-pt shot from 7 ft
0:35.0,,,17-26,,Offensive rebound by T. Thompson
0:16.0,,,17-26,,A. Price misses 3-pt shot from 24 ft
0:14.0,Defensive rebound by J. Jerebko,,17-26,,
0:05.0,Turnover by D. Augustin (lost ball; steal by A. Price),,17-26,,
0:00.0,,,17-28,2,D. Waiters makes 2-pt shot at rim
