time,Milwaukee,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Lopez vs. L. Sanders (G. Antetokounmpo gains possession),,,,Jump ball: B. Lopez vs. L. Sanders (G. Antetokounmpo gains possession)
11:42.0,L. Sanders misses 2-pt shot from 15 ft,,0-0,,
11:41.0,,,0-0,,Defensive rebound by J. Johnson
11:17.0,,,0-2,2,B. Lopez makes 2-pt shot from 14 ft
11:04.0,K. Middleton misses 3-pt shot from 25 ft,,0-2,,
11:03.0,Offensive rebound by J. Parker,,0-2,,
11:01.0,J. Parker makes 2-pt shot from 12 ft,2,2-2,,
10:48.0,,,2-5,3,B. Bogdanovic makes 3-pt shot from 22 ft (assist by D. Williams)
10:31.0,L. Sanders makes 2-pt shot from 3 ft (assist by K. Middleton),2,4-5,,
10:22.0,Personal foul by B. Knight (drawn by D. Williams),,4-5,,
10:16.0,,,4-5,,J. Johnson misses 2-pt shot from 17 ft
10:15.0,Defensive rebound by G. Antetokounmpo,,4-5,,
10:07.0,J. Parker misses 2-pt shot from 12 ft,,4-5,,
10:06.0,,,4-5,,Defensive rebound by K. Garnett
9:57.0,,,4-5,,Turnover by J. Johnson (bad pass; steal by G. Antetokounmpo)
9:52.0,Shooting foul by B. Lopez (drawn by G. Antetokounmpo),,4-5,,
9:52.0,G. Antetokounmpo misses free throw 1 of 2,,4-5,,
9:52.0,Offensive rebound by Team,,4-5,,
9:52.0,G. Antetokounmpo misses free throw 2 of 2,,4-5,,
9:51.0,,,4-5,,Defensive rebound by K. Garnett
9:41.0,,,4-5,,B. Lopez misses 2-pt shot from 3 ft
9:40.0,Defensive rebound by J. Parker,,4-5,,
9:31.0,Turnover by B. Knight (lost ball; steal by K. Garnett),,4-5,,
9:27.0,,,4-7,2,B. Bogdanovic makes 2-pt shot at rim (assist by D. Williams)
9:09.0,B. Knight misses 3-pt shot from 24 ft,,4-7,,
9:09.0,Offensive rebound by Team,,4-7,,
9:03.0,J. Parker makes 2-pt shot from 21 ft,2,6-7,,
8:48.0,,,6-7,,B. Lopez misses 2-pt shot from 18 ft
8:47.0,Defensive rebound by L. Sanders,,6-7,,
8:40.0,G. Antetokounmpo makes 2-pt shot from 1 ft,2,8-7,,
8:23.0,,,8-9,2,B. Lopez makes 2-pt shot at rim (assist by J. Johnson)
8:01.0,Turnover by L. Sanders (lost ball),,8-9,,
7:51.0,,,8-9,,Turnover by D. Williams (lost ball; steal by J. Parker)
7:48.0,J. Parker makes 2-pt shot at rim,2,10-9,,
7:28.0,,,10-9,,Turnover by B. Lopez (lost ball)
7:11.0,K. Middleton misses 2-pt shot from 17 ft,,10-9,,
7:10.0,,,10-9,,Defensive rebound by J. Johnson
7:01.0,,,10-11,2,J. Johnson makes 2-pt shot from 9 ft
6:41.0,B. Knight misses 3-pt shot from 25 ft,,10-11,,
