time,LA Clippers,pts.away,score,pts.home,Phoenix
0:57.0,B. Griffin misses 2-pt shot from 21 ft,,32-24,,
0:55.0,,,32-24,,Defensive rebound by G. Green
0:39.0,,,32-26,2,E. Barron makes 2-pt shot from 15 ft (assist by T. Warren)
0:31.0,B. Griffin misses 2-pt shot from 21 ft,,32-26,,
0:29.0,,,32-26,,Defensive rebound by E. Bledsoe
0:12.0,,,32-26,,Turnover by E. Bledsoe (bad pass; steal by J. Crawford)
0:02.0,J. Crawford misses 3-pt shot from 24 ft,,32-26,,
0:00.0,,,32-26,,Defensive rebound by M. Morris
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-26,,M. Morris misses 3-pt shot from 24 ft
11:42.0,Defensive rebound by H. Turkoglu,,32-26,,
11:30.0,J. Crawford makes 2-pt shot from 20 ft,2,34-26,,
11:08.0,,,34-26,,M. Morris misses 2-pt shot from 20 ft
11:06.0,Defensive rebound by G. Davis,,34-26,,
10:55.0,S. Hawes makes 2-pt shot from 3 ft (assist by J. Crawford),2,36-26,,
10:46.0,,,36-26,,Turnover by J. McNeal (lost ball; steal by L. Hudson)
10:41.0,L. Hudson makes 2-pt shot from 1 ft (assist by S. Hawes),2,38-26,,
10:18.0,,,38-28,2,G. Green makes 2-pt shot from 16 ft (assist by M. Morris)
9:58.0,H. Turkoglu misses 3-pt shot from 28 ft,,38-28,,
9:55.0,,,38-28,,Defensive rebound by E. Barron
9:39.0,,,38-30,2,M. Morris makes 2-pt shot from 8 ft
9:21.0,J. Crawford misses 2-pt shot from 19 ft,,38-30,,
9:19.0,,,38-30,,Defensive rebound by M. Morris
9:07.0,,,38-32,2,T. Warren makes 2-pt shot from 2 ft (assist by M. Morris)
8:45.0,,,38-32,,Personal block foul by J. McNeal (drawn by L. Hudson)
8:45.0,Official timeout,,38-32,,
8:45.0,,,38-32,,P. Tucker enters the game for T. Warren
8:45.0,,,38-32,,A. Goodwin enters the game for M. Morris
8:39.0,G. Davis makes 2-pt shot at rim (assist by J. Crawford),2,40-32,,
8:13.0,,,40-32,,J. McNeal misses 2-pt shot from 1 ft
8:11.0,,,40-32,,Offensive rebound by E. Barron
8:10.0,,,40-32,,E. Barron misses 2-pt shot from 1 ft
8:08.0,Defensive rebound by H. Turkoglu,,40-32,,
7:51.0,L. Hudson makes 3-pt shot from 25 ft (assist by G. Davis),3,43-32,,
7:36.0,,,43-32,,Offensive foul by A. Goodwin
7:36.0,,,43-32,,Turnover by A. Goodwin (offensive foul)
7:28.0,Offensive foul by G. Davis,,43-32,,
7:28.0,Turnover by G. Davis (offensive foul),,43-32,,
7:28.0,,,43-32,,E. Bledsoe enters the game for J. McNeal
7:12.0,,,43-32,,A. Goodwin misses 3-pt shot from 24 ft
7:10.0,,,43-32,,Offensive rebound by P. Tucker
7:08.0,,,43-32,,P. Tucker misses 2-pt shot from 2 ft (block by L. Hudson)
7:08.0,,,43-32,,Offensive rebound by Team
7:08.0,J. Redick enters the game for H. Turkoglu,,43-32,,
7:06.0,,,43-34,2,A. Goodwin makes 2-pt shot from 1 ft (assist by G. Green)
6:40.0,L. Hudson misses 2-pt shot from 5 ft,,43-34,,
6:38.0,Offensive rebound by L. Hudson,,43-34,,
6:36.0,S. Hawes makes 2-pt shot at rim (assist by L. Hudson),2,45-34,,
6:22.0,,,45-34,,Turnover by G. Green (lost ball)
6:22.0,D. Jordan enters the game for G. Davis,,45-34,,
6:14.0,S. Hawes makes 3-pt shot from 25 ft (assist by L. Hudson),3,48-34,,
6:06.0,Violation by J. Redick (kicked ball),,48-34,,
6:06.0,,,48-34,,Phoenix full timeout
6:06.0,,,48-34,,M. Morris enters the game for E. Barron
5:53.0,,,48-36,2,M. Morris makes 2-pt shot at rim (assist by E. Bledsoe)
5:36.0,D. Jordan makes 2-pt shot at rim (assist by J. Crawford),2,50-36,,
5:24.0,,,50-36,,Shooting foul by L. Hudson (drawn by E. Bledsoe)
5:24.0,,,50-37,1,E. Bledsoe makes free throw 1 of 2
5:24.0,C. Paul enters the game for J. Crawford,,50-37,,
5:24.0,M. Barnes enters the game for S. Hawes,,50-37,,
5:24.0,B. Griffin enters the game for L. Hudson,,50-37,,
5:24.0,,,50-38,1,E. Bledsoe makes free throw 2 of 2
5:18.0,,,50-38,,Shooting block foul by A. Goodwin (drawn by J. Redick)
5:18.0,J. Redick makes free throw 1 of 2,1,51-38,,
5:18.0,J. Redick makes free throw 2 of 2,1,52-38,,
5:04.0,,,52-38,,A. Goodwin misses 2-pt shot from 2 ft (block by D. Jordan)
5:02.0,,,52-38,,Offensive rebound by A. Goodwin
4:59.0,,,52-38,,G. Green misses 3-pt shot from 24 ft
4:57.0,Defensive rebound by D. Jordan,,52-38,,
4:44.0,B. Griffin misses 2-pt shot from 19 ft,,52-38,,
4:42.0,Offensive rebound by D. Jordan,,52-38,,
4:38.0,C. Paul makes 3-pt shot from 25 ft,3,55-38,,
4:23.0,,,55-41,3,A. Goodwin makes 3-pt shot from 25 ft (assist by E. Bledsoe)
3:57.0,C. Paul makes 3-pt shot from 26 ft (assist by B. Griffin),3,58-41,,
3:48.0,,,58-41,,E. Bledsoe misses 3-pt shot from 26 ft
3:47.0,Defensive rebound by Team,,58-41,,
3:47.0,,,58-41,,T. Warren enters the game for G. Green
3:25.0,B. Griffin misses 2-pt shot from 20 ft,,58-41,,
3:23.0,,,58-41,,Defensive rebound by A. Goodwin
3:17.0,,,58-41,,Turnover by T. Warren (bad pass)
2:55.0,M. Barnes misses 3-pt shot from 25 ft,,58-41,,
2:53.0,,,58-41,,Defensive rebound by M. Morris
2:46.0,,,58-41,,P. Tucker misses 3-pt shot from 24 ft
2:44.0,Defensive rebound by D. Jordan,,58-41,,
2:41.0,LA Clippers full timeout,,58-41,,
2:25.0,C. Paul misses 3-pt shot from 26 ft,,58-41,,
2:23.0,Offensive rebound by D. Jordan,,58-41,,
2:22.0,Shooting foul by M. Morris (drawn by D. Jordan),,58-41,,
2:22.0,D. Jordan misses free throw 1 of 2,,58-41,,
2:22.0,Offensive rebound by Team,,58-41,,
2:22.0,D. Jordan misses free throw 2 of 2,,58-41,,
2:22.0,Offensive rebound by M. Barnes,,58-41,,
2:09.0,C. Paul makes 2-pt shot from 14 ft,2,60-41,,
1:48.0,,,60-41,,E. Bledsoe misses 2-pt shot from 5 ft
1:46.0,Defensive rebound by D. Jordan,,60-41,,
1:38.0,J. Redick makes 3-pt shot from 22 ft (assist by M. Barnes),3,63-41,,
1:10.0,,,63-41,,M. Morris misses 2-pt shot from 15 ft
1:07.0,Defensive rebound by B. Griffin,,63-41,,
1:01.0,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes),3,66-41,,
0:49.0,Personal foul by C. Paul (drawn by E. Bledsoe),,66-41,,
0:44.0,,,66-41,,A. Goodwin misses 2-pt shot from 6 ft
0:44.0,,,66-41,,Offensive rebound by M. Morris
0:44.0,,,66-43,2,M. Morris makes 2-pt shot at rim
0:38.0,C. Paul misses 2-pt shot from 15 ft,,66-43,,
0:35.0,,,66-43,,Defensive rebound by A. Goodwin
0:30.0,,,66-43,,E. Bledsoe misses 2-pt shot from 1 ft
0:27.0,Defensive rebound by M. Barnes,,66-43,,
0:05.0,B. Griffin misses 2-pt shot from 19 ft,,66-43,,
0:03.0,Offensive rebound by D. Jordan,,66-43,,
0:02.0,,,66-43,,Personal foul by T. Warren (drawn by C. Paul)
0:02.0,,,66-43,,E. Barron enters the game for M. Morris
0:01.0,Shooting foul by P. Tucker (drawn by B. Griffin),,66-43,,
0:01.0,B. Griffin makes free throw 1 of 3,1,67-43,,
0:01.0,B. Griffin makes free throw 2 of 3,1,68-43,,
0:01.0,B. Griffin makes free throw 3 of 3,1,69-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,,,69-43,,E. Bledsoe misses 3-pt shot from 25 ft
11:31.0,Defensive rebound by M. Barnes,,69-43,,
11:12.0,M. Barnes misses 3-pt shot from 23 ft,,69-43,,
11:10.0,,,69-43,,Defensive rebound by E. Bledsoe
11:03.0,,,69-43,,M. Morris misses 3-pt shot from 24 ft
11:00.0,Defensive rebound by B. Griffin,,69-43,,
10:51.0,J. Redick makes 2-pt shot from 4 ft,2,71-43,,
10:28.0,,,71-43,,A. Goodwin misses 2-pt shot from 19 ft
10:26.0,,,71-43,,Offensive rebound by T. Warren
10:23.0,,,71-43,,Turnover by M. Morris (bad pass; steal by M. Barnes)
10:08.0,C. Paul misses 3-pt shot from 25 ft,,71-43,,
10:06.0,,,71-43,,Defensive rebound by M. Morris
9:58.0,,,71-43,,Shooting foul by D. Jordan (drawn by P. Tucker)
9:58.0,,,71-44,1,P. Tucker makes free throw 1 of 2
9:58.0,,,71-45,1,P. Tucker makes free throw 2 of 2
9:48.0,Turnover by J. Redick (bad pass; steal by E. Bledsoe),,71-45,,
9:44.0,,,71-45,,Turnover by E. Bledsoe (lost ball; steal by C. Paul)
9:38.0,J. Redick misses 3-pt shot from 23 ft,,71-45,,
9:36.0,Offensive rebound by Team,,71-45,,
9:36.0,,,71-45,,J. McNeal enters the game for E. Bledsoe
9:27.0,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul),2,73-45,,
9:08.0,Personal foul by B. Griffin (drawn by P. Tucker),,73-45,,
9:03.0,,,73-47,2,A. Goodwin makes 2-pt shot at rim (assist by T. Warren)
9:03.0,,,73-47,,Shooting foul by M. Barnes (drawn by A. Goodwin)
9:03.0,,,73-47,,A. Goodwin misses free throw 1 of 1
9:03.0,Defensive rebound by B. Griffin,,73-47,,
8:50.0,C. Paul makes 2-pt shot from 7 ft,2,75-47,,
8:43.0,,,75-47,,Turnover by J. McNeal (lost ball; steal by C. Paul)
8:40.0,Shooting foul by M. Morris (drawn by M. Barnes),,75-47,,
8:40.0,M. Barnes makes free throw 1 of 2,1,76-47,,
8:40.0,,,76-47,,E. Bledsoe enters the game for J. McNeal
8:40.0,M. Barnes misses free throw 2 of 2,,76-47,,
8:39.0,,,76-47,,Defensive rebound by M. Morris
8:26.0,,,76-47,,T. Warren misses 2-pt shot from 14 ft
8:24.0,,,76-47,,Offensive rebound by M. Morris
8:15.0,,,76-49,2,M. Morris makes 2-pt shot from 1 ft
8:08.0,C. Paul makes 3-pt shot from 24 ft,3,79-49,,
7:55.0,,,79-51,2,E. Bledsoe makes 2-pt shot from 20 ft
7:34.0,M. Barnes misses 3-pt shot from 23 ft,,79-51,,
7:32.0,,,79-51,,Defensive rebound by E. Bledsoe
7:27.0,Personal foul by C. Paul (drawn by E. Bledsoe),,79-51,,
7:20.0,,,79-53,2,M. Morris makes 2-pt shot from 14 ft
6:55.0,C. Paul misses 3-pt shot from 27 ft,,79-53,,
6:53.0,Offensive rebound by M. Barnes,,79-53,,
6:47.0,C. Paul makes 3-pt shot from 23 ft (assist by B. Griffin),3,82-53,,
6:21.0,,,82-55,2,P. Tucker makes 2-pt shot from 20 ft (assist by A. Goodwin)
6:21.0,,,82-55,,Shooting foul by B. Griffin (drawn by P. Tucker)
6:21.0,,,82-55,,P. Tucker misses free throw 1 of 1
6:20.0,Defensive rebound by B. Griffin,,82-55,,
6:07.0,J. Redick misses 3-pt shot from 25 ft,,82-55,,
6:06.0,,,82-55,,Defensive rebound by M. Morris
5:50.0,,,82-55,,E. Bledsoe misses 3-pt shot from 24 ft
5:48.0,Defensive rebound by B. Griffin,,82-55,,
5:30.0,Turnover by D. Jordan (3 sec),,82-55,,
5:30.0,,,82-55,,Phoenix full timeout
5:30.0,J. Crawford enters the game for M. Barnes,,82-55,,
5:21.0,,,82-57,2,T. Warren makes 2-pt shot from 8 ft (assist by E. Bledsoe)
5:01.0,B. Griffin makes 2-pt shot from 1 ft (assist by J. Crawford),2,84-57,,
4:40.0,,,84-57,,Shooting foul by D. Jordan (drawn by E. Bledsoe)
4:40.0,,,84-57,,E. Bledsoe misses free throw 1 of 2
4:40.0,,,84-57,,Offensive rebound by Team
4:40.0,,,84-57,,E. Bledsoe misses free throw 2 of 2
4:39.0,Defensive rebound by D. Jordan,,84-57,,
4:25.0,J. Redick misses 2-pt shot from 17 ft,,84-57,,
4:24.0,,,84-57,,Defensive rebound by E. Bledsoe
4:02.0,,,84-57,,M. Morris misses 2-pt shot from 19 ft
3:59.0,Defensive rebound by J. Redick,,84-57,,
