time,Indiana,pts.away,score,pts.home,Boston
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. R. Hibbert (D. West gains possession),,,,Jump ball: B. Bass vs. R. Hibbert (D. West gains possession)
11:36.0,D. West misses 2-pt shot from 19 ft,,0-0,,
11:35.0,,,0-0,,Defensive rebound by T. Zeller
11:25.0,,,0-0,,Turnover by E. Turner (bad pass)
11:06.0,R. Hibbert misses 2-pt shot from 5 ft,,0-0,,
11:05.0,,,0-0,,Defensive rebound by E. Turner
10:56.0,,,0-2,2,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner)
10:42.0,Turnover by R. Hibbert (bad pass; steal by M. Smart),,0-2,,
10:28.0,,,0-2,,M. Smart misses 2-pt shot from 13 ft (block by C. Miles)
10:27.0,Defensive rebound by C. Miles,,0-2,,
10:16.0,D. West makes 2-pt shot from 19 ft (assist by G. Hill),2,2-2,,
10:01.0,,,2-2,,A. Bradley misses 2-pt shot from 18 ft
10:00.0,Defensive rebound by C. Miles,,2-2,,
9:55.0,Turnover by G. Hill (bad pass),,2-2,,
9:40.0,,,2-2,,Turnover by A. Bradley (bad pass; steal by C. Miles)
9:36.0,C. Miles makes 2-pt shot at rim,2,4-2,,
9:18.0,,,4-4,2,B. Bass makes 2-pt shot from 17 ft (assist by E. Turner)
9:06.0,Shooting foul by B. Bass (drawn by D. West),,4-4,,
9:06.0,D. West misses free throw 1 of 2,,4-4,,
9:06.0,Offensive rebound by Team,,4-4,,
9:06.0,D. West makes free throw 2 of 2,1,5-4,,
8:53.0,,,5-4,,A. Bradley misses 2-pt shot from 18 ft
8:52.0,Defensive rebound by D. West,,5-4,,
8:39.0,G. Hill makes 2-pt shot from 19 ft,2,7-4,,
8:24.0,,,7-6,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
8:07.0,R. Hibbert misses 2-pt shot from 18 ft,,7-6,,
8:06.0,,,7-6,,Defensive rebound by M. Smart
8:00.0,,,7-8,2,B. Bass makes 2-pt shot at rim (assist by M. Smart)
7:42.0,C. Miles makes 2-pt shot from 21 ft (assist by G. Hill),2,9-8,,
7:24.0,,,9-10,2,E. Turner makes 2-pt shot from 17 ft (assist by T. Zeller)
7:08.0,R. Hibbert misses 2-pt shot at rim,,9-10,,
7:07.0,,,9-10,,Defensive rebound by E. Turner
7:03.0,,,9-12,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
7:03.0,Shooting block foul by C. Miles (drawn by T. Zeller),,9-12,,
7:03.0,,,9-13,1,T. Zeller makes free throw 1 of 1
6:47.0,D. West misses 2-pt shot at rim,,9-13,,
6:46.0,,,9-13,,Defensive rebound by Team
6:37.0,,,9-13,,E. Turner misses 2-pt shot from 15 ft
