time,Boston,pts.away,score,pts.home,Indiana
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. R. Hibbert (G. Hill gains possession),,,,Jump ball: B. Bass vs. R. Hibbert (G. Hill gains possession)
11:38.0,,,0-0,,R. Hibbert misses 2-pt shot from 18 ft
11:36.0,Defensive rebound by Team,,0-0,,
11:26.0,T. Zeller makes 2-pt shot from 18 ft (assist by E. Turner),2,2-0,,
11:00.0,,,2-2,2,C. Miles makes 2-pt shot from 4 ft (assist by G. Hill)
10:36.0,T. Zeller makes 2-pt shot from 7 ft (assist by B. Bass),2,4-2,,
10:22.0,,,4-2,,C. Miles misses 2-pt shot from 11 ft
10:21.0,Defensive rebound by E. Turner,,4-2,,
10:06.0,T. Zeller makes 2-pt shot from 17 ft (assist by E. Turner),2,6-2,,
9:45.0,,,6-2,,G. Hill misses 3-pt shot from 25 ft
9:44.0,Defensive rebound by E. Turner,,6-2,,
9:34.0,E. Turner misses 2-pt shot from 9 ft,,6-2,,
9:33.0,,,6-2,,Defensive rebound by G. Hill
9:21.0,,,6-4,2,D. West makes 2-pt shot from 18 ft (assist by G. Hill)
9:06.0,Turnover by E. Turner (bad pass; steal by D. West),,6-4,,
9:01.0,,,6-6,2,G. Hill makes 2-pt shot from 3 ft
8:45.0,A. Bradley misses 2-pt shot from 19 ft,,6-6,,
8:43.0,Offensive rebound by M. Smart,,6-6,,
8:39.0,A. Bradley misses 3-pt shot from 25 ft,,6-6,,
8:37.0,,,6-6,,Defensive rebound by G. Hill
8:36.0,,,6-6,,Turnover by G. Hill (bad pass)
8:21.0,B. Bass makes 2-pt shot from 7 ft (assist by E. Turner),2,8-6,,
8:08.0,,,8-6,,D. West misses 2-pt shot from 8 ft
8:06.0,,,8-6,,Offensive rebound by R. Hibbert
8:06.0,,,8-6,,R. Hibbert misses 2-pt shot from 1 ft
8:05.0,Defensive rebound by T. Zeller,,8-6,,
7:56.0,E. Turner misses 2-pt shot from 16 ft,,8-6,,
7:55.0,,,8-6,,Defensive rebound by G. Hill
7:50.0,,,8-6,,G. Hill misses 2-pt shot from 4 ft
7:49.0,Defensive rebound by M. Smart,,8-6,,
7:43.0,Turnover by M. Smart (lost ball; steal by G. Hill),,8-6,,
7:35.0,,,8-6,,C. Miles misses 3-pt shot from 26 ft
7:34.0,Defensive rebound by T. Zeller,,8-6,,
7:25.0,A. Bradley misses 2-pt shot from 19 ft,,8-6,,
7:24.0,,,8-6,,Defensive rebound by C. Miles
7:10.0,,,8-6,,Shooting foul by T. Zeller (drawn by R. Hibbert)
7:10.0,,,8-7,1,R. Hibbert makes free throw 1 of 2
7:10.0,,,8-7,,R. Hibbert misses free throw 2 of 2
7:10.0,Defensive rebound by E. Turner,,8-7,,
6:54.0,M. Smart misses 2-pt shot from 15 ft,,8-7,,
6:53.0,,,8-7,,Defensive rebound by D. West
6:36.0,,,8-9,2,R. Hibbert makes 2-pt shot from 12 ft
6:22.0,M. Smart misses 2-pt shot from 2 ft (block by R. Hibbert),,8-9,,
6:21.0,,,8-9,,Defensive rebound by R. Hibbert
6:05.0,,,8-9,,S. Hill misses 3-pt shot from 24 ft
6:04.0,Defensive rebound by B. Bass,,8-9,,
5:51.0,M. Smart misses 3-pt shot from 25 ft,,8-9,,
5:50.0,,,8-9,,Defensive rebound by R. Hibbert
5:43.0,,,8-9,,Indiana full timeout
5:43.0,J. Crowder enters the game for T. Zeller,,8-9,,
5:43.0,K. Olynyk enters the game for M. Smart,,8-9,,
5:31.0,,,8-12,3,C. Miles makes 3-pt shot from 24 ft (assist by D. West)
5:13.0,K. Olynyk misses 3-pt shot from 26 ft,,8-12,,
5:12.0,,,8-12,,Defensive rebound by C. Miles
5:04.0,Personal foul by K. Olynyk (drawn by D. West),,8-12,,
4:54.0,,,8-12,,R. Hibbert misses 2-pt shot from 9 ft
4:53.0,Defensive rebound by A. Bradley,,8-12,,
4:37.0,A. Bradley makes 3-pt shot from 24 ft (assist by B. Bass),3,11-12,,
4:15.0,,,11-12,,D. West misses 2-pt shot from 18 ft
4:14.0,Defensive rebound by E. Turner,,11-12,,
4:10.0,K. Olynyk makes 2-pt shot at rim (assist by E. Turner),2,13-12,,
3:55.0,,,13-14,2,D. West makes 2-pt shot from 17 ft (assist by C. Miles)
3:38.0,E. Turner misses 2-pt shot at rim,,13-14,,
3:37.0,,,13-14,,Defensive rebound by S. Hill
