time,Miami,pts.away,score,pts.home,Charlotte
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Bosh vs. A. Jefferson (K. Walker gains possession),,,,Jump ball: C. Bosh vs. A. Jefferson (K. Walker gains possession)
11:38.0,,,0-0,,A. Jefferson misses 2-pt shot from 13 ft
11:37.0,Defensive rebound by L. Deng,,0-0,,
11:27.0,D. Wade misses 2-pt shot from 14 ft,,0-0,,
11:26.0,,,0-0,,Defensive rebound by M. Williams
11:11.0,,,0-2,2,G. Henderson makes 2-pt shot at rim (assist by A. Jefferson)
10:49.0,Turnover by C. Bosh (lost ball; steal by K. Walker),,0-2,,
10:29.0,,,0-2,,A. Jefferson misses 2-pt shot from 1 ft
10:28.0,Defensive rebound by C. Bosh,,0-2,,
10:20.0,S. Williams makes 3-pt shot from 22 ft (assist by N. Cole),3,3-2,,
10:05.0,,,3-2,,L. Stephenson misses 2-pt shot from 3 ft
10:03.0,,,3-2,,Offensive rebound by Team
9:56.0,,,3-2,,L. Stephenson misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by C. Bosh,,3-2,,
9:43.0,L. Deng misses 2-pt shot from 2 ft (block by A. Jefferson),,3-2,,
9:43.0,,,3-2,,Defensive rebound by Team
9:32.0,Personal foul by S. Williams (drawn by A. Jefferson),,3-2,,
9:20.0,,,3-2,,Turnover by A. Jefferson (bad pass; steal by L. Deng)
9:11.0,N. Cole misses 2-pt shot from 20 ft,,3-2,,
9:10.0,,,3-2,,Defensive rebound by L. Stephenson
9:04.0,,,3-4,2,A. Jefferson makes 2-pt shot from 7 ft (assist by G. Henderson)
8:43.0,C. Bosh misses 2-pt shot from 17 ft,,3-4,,
8:42.0,,,3-4,,Defensive rebound by G. Henderson
8:27.0,,,3-6,2,A. Jefferson makes 2-pt shot from 8 ft (assist by G. Henderson)
8:10.0,D. Wade misses 2-pt shot from 6 ft (block by A. Jefferson),,3-6,,
8:08.0,,,3-6,,Defensive rebound by M. Williams
7:53.0,,,3-8,2,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker)
7:32.0,C. Bosh makes 2-pt shot from 15 ft (assist by D. Wade),2,5-8,,
7:05.0,,,5-8,,G. Henderson misses 3-pt shot from 25 ft
7:04.0,Defensive rebound by N. Cole,,5-8,,
6:53.0,Shooting foul by G. Henderson (drawn by L. Deng),,5-8,,
6:53.0,L. Deng misses free throw 1 of 2,,5-8,,
6:53.0,Offensive rebound by Team,,5-8,,
6:53.0,J. Hamilton enters the game for C. Bosh,,5-8,,
6:53.0,L. Deng makes free throw 2 of 2,1,6-8,,
6:36.0,,,6-8,,A. Jefferson misses 2-pt shot from 9 ft
6:35.0,Defensive rebound by N. Cole,,6-8,,
6:20.0,N. Cole misses 2-pt shot from 5 ft,,6-8,,
6:16.0,,,6-8,,Defensive rebound by A. Jefferson
6:11.0,,,6-10,2,M. Williams makes 2-pt shot at rim (assist by L. Stephenson)
5:59.0,Shooting foul by M. Williams (drawn by D. Wade),,6-10,,
5:59.0,,,6-10,,Charlotte full timeout
5:59.0,,,6-10,,P. Hairston enters the game for G. Henderson
5:59.0,D. Wade makes free throw 1 of 2,1,7-10,,
