time,San Antonio,pts.away,score,pts.home,Minnesota
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: G. Dieng vs. T. Duncan (D. Green gains possession),,,,Jump ball: G. Dieng vs. T. Duncan (D. Green gains possession)
11:40.0,T. Duncan makes 2-pt shot from 1 ft (assist by D. Green),2,2-0,,
11:26.0,,,2-0,,Offensive charge foul by A. Wiggins
11:26.0,,,2-0,,Turnover by A. Wiggins (offensive foul)
11:13.0,Turnover by T. Duncan (lost ball; steal by G. Dieng),,2-0,,
11:03.0,,,2-2,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
10:48.0,B. Diaw misses 2-pt shot from 1 ft,,2-2,,
10:47.0,,,2-2,,Defensive rebound by C. Budinger
10:37.0,,,2-2,,T. Young misses 3-pt shot from 24 ft
10:36.0,Defensive rebound by T. Parker,,2-2,,
10:31.0,T. Parker makes 2-pt shot from 7 ft,2,4-2,,
10:06.0,,,4-2,,C. Budinger misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by T. Parker,,4-2,,
9:55.0,T. Parker misses 2-pt shot from 19 ft,,4-2,,
9:54.0,,,4-2,,Defensive rebound by G. Dieng
9:40.0,,,4-4,2,G. Dieng makes 2-pt shot from 5 ft (assist by T. Young)
9:20.0,D. Green misses 3-pt shot from 26 ft,,4-4,,
9:19.0,Offensive rebound by B. Diaw,,4-4,,
9:16.0,B. Diaw misses 2-pt shot from 1 ft,,4-4,,
9:15.0,,,4-4,,Defensive rebound by A. Wiggins
9:10.0,,,4-4,,C. Budinger misses 2-pt shot at rim
9:09.0,,,4-4,,Offensive rebound by C. Budinger
9:09.0,,,4-6,2,C. Budinger makes 2-pt shot at rim
8:49.0,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan),2,6-6,,
8:27.0,,,6-6,,C. Budinger misses 2-pt shot from 17 ft
8:26.0,Defensive rebound by B. Diaw,,6-6,,
8:11.0,Shooting foul by C. Budinger (drawn by T. Duncan),,6-6,,
8:11.0,T. Duncan makes free throw 1 of 2,1,7-6,,
8:11.0,T. Duncan makes free throw 2 of 2,1,8-6,,
8:03.0,,,8-6,,A. Wiggins misses 2-pt shot from 1 ft (block by T. Duncan)
8:01.0,Defensive rebound by T. Parker,,8-6,,
7:57.0,Turnover by T. Parker (lost ball; steal by C. Budinger),,8-6,,
7:54.0,Personal foul by D. Green (drawn by M. Williams),,8-6,,
7:34.0,,,8-6,,G. Dieng misses 2-pt shot from 1 ft
7:33.0,Defensive rebound by T. Duncan,,8-6,,
7:29.0,Turnover by T. Duncan (bad pass; steal by T. Young),,8-6,,
7:25.0,,,8-8,2,G. Dieng makes 2-pt shot at rim (assist by T. Young)
7:24.0,San Antonio full timeout,,8-8,,
7:11.0,B. Diaw makes 2-pt shot from 1 ft,2,10-8,,
6:46.0,,,10-10,2,G. Dieng makes 2-pt shot at rim (assist by M. Williams)
6:29.0,T. Parker makes 2-pt shot from 1 ft,2,12-10,,
6:18.0,,,12-12,2,A. Wiggins makes 2-pt shot at rim (assist by M. Williams)
6:01.0,T. Parker misses 2-pt shot from 19 ft,,12-12,,
6:00.0,,,12-12,,Defensive rebound by T. Young
5:52.0,,,12-14,2,M. Williams makes 2-pt shot from 17 ft
5:37.0,B. Diaw misses 2-pt shot from 9 ft,,12-14,,
5:36.0,,,12-14,,Defensive rebound by C. Budinger
5:27.0,,,12-14,,T. Young misses 2-pt shot from 16 ft
5:26.0,Defensive rebound by T. Duncan,,12-14,,
5:20.0,T. Parker makes 2-pt shot from 1 ft,2,14-14,,
5:11.0,,,14-14,,M. Williams misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by T. Parker,,14-14,,
5:00.0,A. Daye misses 2-pt shot from 13 ft,,14-14,,
4:58.0,,,14-14,,Defensive rebound by C. Budinger
4:51.0,Personal foul by A. Daye (drawn by C. Budinger),,14-14,,
4:51.0,M. Bonner enters the game for B. Diaw,,14-14,,
4:51.0,P. Mills enters the game for T. Parker,,14-14,,
4:51.0,C. Joseph enters the game for D. Green,,14-14,,
4:51.0,,,14-14,,A. Bennett enters the game for T. Young
4:36.0,,,14-14,,M. Williams misses 3-pt shot from 24 ft
4:35.0,Defensive rebound by T. Duncan,,14-14,,
4:22.0,C. Joseph makes 2-pt shot from 17 ft,2,16-14,,
4:11.0,,,16-14,,Turnover by M. Williams (bad pass; steal by A. Daye)
4:01.0,T. Duncan makes 2-pt shot from 19 ft (assist by P. Mills),2,18-14,,
3:43.0,,,18-14,,A. Wiggins misses 2-pt shot from 13 ft
3:42.0,Defensive rebound by T. Duncan,,18-14,,
3:34.0,M. Bonner misses 3-pt shot from 24 ft,,18-14,,
3:32.0,,,18-14,,Defensive rebound by C. Budinger
3:21.0,,,18-14,,C. Budinger misses 2-pt shot from 11 ft
3:19.0,Defensive rebound by M. Bonner,,18-14,,
3:05.0,T. Duncan misses 2-pt shot from 14 ft,,18-14,,
3:04.0,,,18-14,,Defensive rebound by M. Williams
2:54.0,,,18-14,,G. Dieng misses 2-pt shot from 17 ft
2:52.0,Defensive rebound by A. Daye,,18-14,,
2:42.0,A. Daye makes 2-pt shot from 14 ft (assist by T. Duncan),2,20-14,,
2:42.0,,,20-14,,Minnesota full timeout
2:42.0,T. Splitter enters the game for T. Duncan,,20-14,,
2:42.0,,,20-14,,Z. LaVine enters the game for M. Williams
2:24.0,,,20-14,,A. Bennett misses 2-pt shot from 20 ft
2:23.0,Defensive rebound by C. Joseph,,20-14,,
2:07.0,A. Daye makes 3-pt shot from 24 ft (assist by C. Joseph),3,23-14,,
1:43.0,,,23-16,2,A. Bennett makes 2-pt shot at rim (assist by A. Wiggins)
1:23.0,M. Bonner misses 3-pt shot from 25 ft,,23-16,,
1:21.0,Offensive rebound by A. Daye,,23-16,,
1:06.0,P. Mills makes 2-pt shot from 19 ft,2,25-16,,
0:53.0,Personal foul by A. Daye (drawn by C. Budinger),,25-16,,
0:53.0,,,25-16,,R. Hummel enters the game for C. Budinger
0:42.0,,,25-16,,A. Bennett misses 2-pt shot from 18 ft
0:39.0,,,25-16,,Offensive rebound by G. Dieng
0:38.0,Personal foul by P. Mills (drawn by G. Dieng),,25-16,,
0:38.0,,,25-17,1,G. Dieng makes free throw 1 of 2
0:38.0,,,25-18,1,G. Dieng makes free throw 2 of 2
0:31.0,P. Mills misses 3-pt shot from 24 ft,,25-18,,
0:29.0,,,25-18,,Defensive rebound by G. Dieng
0:06.0,,,25-18,,R. Hummel misses 2-pt shot from 19 ft
0:05.0,Defensive rebound by T. Splitter,,25-18,,
0:01.0,Shooting foul by A. Bennett (drawn by C. Joseph),,25-18,,
0:01.0,C. Joseph makes free throw 1 of 2,1,26-18,,
0:01.0,C. Joseph makes free throw 2 of 2,1,27-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,27-20,2,M. Raduljica makes 2-pt shot from 5 ft (assist by Z. LaVine)
11:34.0,T. Splitter makes 2-pt shot at rim (assist by C. Joseph),2,29-20,,
11:19.0,,,29-20,,M. Raduljica misses 2-pt shot from 6 ft
11:18.0,Defensive rebound by D. Green,,29-20,,
11:13.0,D. Green misses 3-pt shot from 23 ft,,29-20,,
11:12.0,,,29-20,,Defensive rebound by A. Bennett
11:04.0,,,29-20,,M. Williams misses 2-pt shot from 19 ft
11:03.0,Defensive rebound by C. Joseph,,29-20,,
10:41.0,Shooting foul by M. Raduljica (drawn by T. Splitter),,29-20,,
10:41.0,T. Splitter makes free throw 1 of 2,1,30-20,,
10:41.0,T. Parker enters the game for P. Mills,,30-20,,
10:41.0,T. Splitter misses free throw 2 of 2,,30-20,,
10:41.0,,,30-20,,Defensive rebound by A. Bennett
10:29.0,,,30-20,,Z. LaVine misses 2-pt shot from 2 ft (block by T. Splitter)
10:28.0,Defensive rebound by D. Green,,30-20,,
10:19.0,T. Parker misses 3-pt shot from 22 ft,,30-20,,
10:18.0,Offensive rebound by M. Bonner,,30-20,,
10:18.0,M. Bonner makes 2-pt shot at rim,2,32-20,,
9:55.0,,,32-20,,Offensive foul by M. Raduljica
