time,Washington,pts.away,score,pts.home,Orlando
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. K. O'Quinn (K. Humphries gains possession),,,,Jump ball: M. Gortat vs. K. O'Quinn (K. Humphries gains possession)
11:44.0,K. Humphries misses 2-pt shot from 19 ft,,0-0,,
11:43.0,,,0-0,,Defensive rebound by K. O'Quinn
11:27.0,,,0-2,2,C. Frye makes 2-pt shot from 18 ft (assist by K. O'Quinn)
11:09.0,M. Gortat misses 2-pt shot from 13 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by V. Oladipo
10:53.0,,,0-4,2,K. O'Quinn makes 2-pt shot from 1 ft
10:35.0,M. Gortat makes 2-pt shot from 13 ft,2,2-4,,
10:21.0,,,2-4,,E. Fournier misses 2-pt shot from 2 ft (block by B. Beal)
10:20.0,,,2-4,,Offensive rebound by K. O'Quinn
10:18.0,,,2-4,,K. O'Quinn misses 2-pt shot from 1 ft (block by M. Gortat)
10:18.0,,,2-4,,Offensive rebound by Team
10:11.0,,,2-4,,K. O'Quinn misses 2-pt shot from 4 ft
10:10.0,Defensive rebound by M. Gortat,,2-4,,
10:05.0,K. Humphries makes 2-pt shot at rim (assist by J. Wall),2,4-4,,
9:46.0,,,4-4,,K. O'Quinn misses 2-pt shot from 2 ft
9:45.0,Defensive rebound by M. Gortat,,4-4,,
9:26.0,J. Wall misses 2-pt shot from 18 ft,,4-4,,
9:26.0,,,4-4,,Defensive rebound by K. O'Quinn
9:12.0,,,4-6,2,V. Oladipo makes 2-pt shot from 22 ft
9:04.0,K. Humphries misses 2-pt shot from 1 ft (block by C. Frye),,4-6,,
9:03.0,Offensive rebound by B. Beal,,4-6,,
8:59.0,B. Beal makes 3-pt shot from 23 ft (assist by P. Pierce),3,7-6,,
8:42.0,,,7-6,,Turnover by V. Oladipo (3 sec)
8:19.0,M. Gortat misses 2-pt shot from 2 ft (block by K. O'Quinn),,7-6,,
8:18.0,Offensive rebound by P. Pierce,,7-6,,
8:14.0,K. Humphries makes 2-pt shot at rim (assist by P. Pierce),2,9-6,,
8:05.0,,,9-8,2,T. Harris makes 2-pt shot at rim (assist by K. O'Quinn)
7:46.0,J. Wall misses 2-pt shot from 1 ft,,9-8,,
7:46.0,,,9-8,,Defensive rebound by C. Frye
7:40.0,,,9-11,3,E. Fournier makes 3-pt shot from 25 ft (assist by V. Oladipo)
7:23.0,Turnover by P. Pierce (bad pass; steal by V. Oladipo),,9-11,,
7:19.0,,,9-13,2,E. Fournier makes 2-pt shot at rim
6:57.0,J. Wall makes 2-pt shot from 15 ft (assist by B. Beal),2,11-13,,
6:51.0,,,11-13,,Orlando full timeout
6:40.0,,,11-13,,T. Harris misses 3-pt shot from 24 ft
6:39.0,Defensive rebound by J. Wall,,11-13,,
6:29.0,B. Beal makes 2-pt shot from 19 ft (assist by J. Wall),2,13-13,,
6:10.0,,,13-13,,E. Fournier misses 2-pt shot from 19 ft
6:08.0,Defensive rebound by M. Gortat,,13-13,,
5:59.0,P. Pierce makes 3-pt shot from 26 ft (assist by J. Wall),3,16-13,,
5:45.0,,,16-13,,Turnover by E. Fournier (bad pass; steal by M. Gortat)
5:34.0,K. Humphries makes 2-pt shot from 22 ft (assist by B. Beal),2,18-13,,
5:13.0,,,18-13,,V. Oladipo misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by M. Gortat,,18-13,,
4:59.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,20-13,,
4:42.0,,,20-15,2,K. O'Quinn makes 2-pt shot from 20 ft
4:22.0,P. Pierce misses 2-pt shot from 20 ft,,20-15,,
4:22.0,,,20-15,,Defensive rebound by V. Oladipo
4:07.0,Personal foul by K. Humphries (drawn by V. Oladipo),,20-15,,
4:07.0,,,20-15,,D. Dedmon enters the game for K. O'Quinn
4:07.0,,,20-15,,E. Payton enters the game for E. Fournier
3:56.0,,,20-15,,V. Oladipo misses 2-pt shot from 14 ft
3:56.0,Defensive rebound by P. Pierce,,20-15,,
3:48.0,M. Gortat makes 2-pt shot at rim (assist by J. Wall),2,22-15,,
3:34.0,R. Butler enters the game for P. Pierce,,22-15,,
3:22.0,,,22-15,,E. Payton misses 2-pt shot from 14 ft
3:22.0,,,22-15,,Offensive rebound by D. Dedmon
3:22.0,,,22-15,,Turnover by Team (shot clock)
3:06.0,J. Wall misses 2-pt shot from 17 ft,,22-15,,
3:05.0,,,22-15,,Defensive rebound by D. Dedmon
2:53.0,,,22-17,2,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton)
2:42.0,Turnover by B. Beal (bad pass; steal by D. Dedmon),,22-17,,
2:27.0,,,22-17,,E. Payton misses 2-pt shot from 1 ft
2:26.0,,,22-17,,Offensive rebound by D. Dedmon
