time,Sacramento,pts.away,score,pts.home,Philadelphia
7:04.0,Turnover by R. McCallum (bad pass; steal by H. Sims),,89-100,,
6:55.0,,,89-100,,Turnover by I. Smith (bad pass)
6:55.0,D. Williams enters the game for J. Thompson,,89-100,,
6:55.0,A. Miller enters the game for B. McLemore,,89-100,,
6:41.0,R. Gay misses 3-pt shot from 25 ft,,89-100,,
6:40.0,,,89-100,,Defensive rebound by J. Grant
6:33.0,,,89-102,2,J. Grant makes 2-pt shot at rim (assist by I. Smith)
6:32.0,Sacramento full timeout,,89-102,,
6:19.0,D. Williams misses 3-pt shot from 24 ft,,89-102,,
6:18.0,Offensive rebound by D. Cousins,,89-102,,
6:17.0,Shooting foul by H. Sims (drawn by D. Cousins),,89-102,,
6:17.0,D. Cousins makes free throw 1 of 2,1,90-102,,
6:17.0,D. Cousins makes free throw 2 of 2,1,91-102,,
5:57.0,,,91-102,,T. Robinson misses 2-pt shot from 4 ft
5:53.0,,,91-102,,Offensive rebound by T. Robinson
5:33.0,,,91-102,,H. Sims misses 2-pt shot from 17 ft
5:31.0,Defensive rebound by A. Miller,,91-102,,
5:21.0,R. McCallum misses 3-pt shot from 23 ft,,91-102,,
5:16.0,Offensive rebound by D. Williams,,91-102,,
5:12.0,R. McCallum makes 2-pt shot from 1 ft (assist by R. Gay),2,93-102,,
4:58.0,Personal foul by R. McCallum (drawn by H. Sims),,93-102,,
4:50.0,,,93-102,,Turnover by H. Thompson (bad pass; steal by A. Miller)
4:45.0,R. McCallum makes 2-pt shot from 1 ft,2,95-102,,
4:44.0,,,95-102,,Philadelphia full timeout
4:44.0,,,95-102,,L. Mbah a Moute enters the game for T. Robinson
4:22.0,,,95-102,,I. Smith misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by A. Miller,,95-102,,
4:15.0,A. Miller misses 2-pt shot from 4 ft (block by J. Grant),,95-102,,
4:12.0,,,95-102,,Defensive rebound by I. Smith
4:08.0,,,95-102,,I. Smith misses 2-pt shot from 1 ft
4:06.0,,,95-102,,Offensive rebound by H. Sims
4:06.0,,,95-104,2,H. Sims makes 2-pt shot at rim
3:48.0,R. Gay misses 2-pt shot from 14 ft,,95-104,,
3:46.0,,,95-104,,Defensive rebound by L. Mbah a Moute
3:23.0,,,95-104,,Turnover by Team (shot clock)
3:23.0,,,95-104,,I. Canaan enters the game for H. Thompson
3:23.0,,,95-104,,N. Noel enters the game for I. Smith
3:23.0,,,95-104,,R. Covington enters the game for H. Sims
3:16.0,Shooting foul by N. Noel (drawn by D. Cousins),,95-104,,
3:16.0,D. Cousins makes free throw 1 of 2,1,96-104,,
3:16.0,D. Cousins makes free throw 2 of 2,1,97-104,,
2:56.0,,,97-106,2,J. Grant makes 2-pt shot from 15 ft (assist by N. Noel)
2:33.0,D. Cousins makes 2-pt shot from 2 ft,2,99-106,,
2:08.0,,,99-106,,N. Noel misses 2-pt shot from 17 ft
2:07.0,Defensive rebound by A. Miller,,99-106,,
2:00.0,R. Gay misses 3-pt shot from 26 ft,,99-106,,
1:58.0,Offensive rebound by A. Miller,,99-106,,
1:52.0,D. Williams misses 3-pt shot from 24 ft,,99-106,,
1:51.0,Offensive rebound by Team,,99-106,,
1:51.0,,,99-106,,Loose ball foul by I. Canaan (drawn by A. Miller)
1:51.0,A. Miller makes free throw 1 of 2,1,100-106,,
1:51.0,A. Miller makes free throw 2 of 2,1,101-106,,
1:36.0,,,101-106,,R. Covington misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by D. Cousins,,101-106,,
1:27.0,R. Gay misses 2-pt shot from 1 ft,,101-106,,
1:23.0,Offensive rebound by R. McCallum,,101-106,,
1:23.0,R. McCallum misses 2-pt shot at rim,,101-106,,
1:22.0,,,101-106,,Defensive rebound by R. Covington
1:17.0,,,101-106,,Turnover by I. Canaan (bad pass; steal by D. Cousins)
1:15.0,,,101-106,,Violation by J. Grant (def goaltending)
1:15.0,D. Cousins makes 2-pt shot at rim,2,103-106,,
1:00.0,,,103-106,,Turnover by N. Noel (lost ball; steal by D. Cousins)
0:56.0,A. Miller misses 2-pt shot from 1 ft (block by R. Covington),,103-106,,
0:55.0,,,103-106,,Defensive rebound by Team
0:55.0,O. Casspi enters the game for A. Miller,,103-106,,
0:55.0,,,103-106,,I. Smith enters the game for I. Canaan
0:42.0,,,103-108,2,N. Noel makes 2-pt shot at rim (assist by I. Smith)
0:40.0,Sacramento full timeout,,103-108,,
0:40.0,A. Miller enters the game for O. Casspi,,103-108,,
0:37.0,R. Gay misses 2-pt shot from 5 ft,,103-108,,
0:36.0,Offensive rebound by D. Cousins,,103-108,,
0:36.0,D. Cousins misses 2-pt shot at rim,,103-108,,
0:36.0,Offensive rebound by D. Cousins,,103-108,,
0:36.0,D. Cousins misses 2-pt shot at rim,,103-108,,
0:33.0,,,103-108,,Defensive rebound by L. Mbah a Moute
0:28.0,Loose ball foul by A. Miller (drawn by I. Smith),,103-108,,
0:28.0,,,103-109,1,I. Smith makes free throw 1 of 2
0:28.0,,,103-110,1,I. Smith makes free throw 2 of 2
0:28.0,Sacramento full timeout,,103-110,,
0:28.0,O. Casspi enters the game for A. Miller,,103-110,,
0:28.0,,,103-110,,J. Sampson enters the game for I. Smith
0:26.0,D. Cousins misses 2-pt shot from 1 ft,,103-110,,
0:25.0,Offensive rebound by D. Cousins,,103-110,,
0:25.0,D. Cousins misses 2-pt shot from 1 ft,,103-110,,
0:23.0,Offensive rebound by R. Gay,,103-110,,
0:23.0,,,103-110,,I. Smith enters the game for J. Sampson
0:22.0,,,103-110,,Personal foul by J. Grant (drawn by R. Gay)
0:22.0,,,103-110,,J. Sampson enters the game for I. Smith
0:22.0,R. Gay makes free throw 1 of 2,1,104-110,,
0:22.0,,,104-110,,I. Smith enters the game for J. Sampson
0:22.0,R. Gay makes free throw 2 of 2,1,105-110,,
0:20.0,,,105-110,,I. Smith enters the game for J. Sampson
0:20.0,,,105-111,1,R. Covington makes free throw 1 of 2
0:19.0,,,105-112,1,R. Covington makes free throw 2 of 2
0:17.0,Personal foul by R. McCallum (drawn by R. Covington),,105-112,,
0:08.0,,,105-112,,Loose ball foul by J. Sampson (drawn by D. Cousins)
0:08.0,D. Cousins makes free throw 1 of 2,1,106-112,,
0:08.0,D. Cousins makes free throw 2 of 2,1,107-112,,
0:08.0,D. Williams misses 3-pt shot from 24 ft,,107-112,,
0:07.0,Offensive rebound by Team,,107-112,,
0:06.0,Personal foul by O. Casspi (drawn by J. Grant),,107-112,,
0:06.0,,,107-112,,J. Sampson enters the game for I. Smith
0:06.0,,,107-112,,J. Grant misses free throw 1 of 2
0:06.0,,,107-112,,Offensive rebound by Team
0:06.0,,,107-112,,J. Grant misses free throw 2 of 2
0:03.0,,,107-112,,Offensive rebound by N. Noel
0:04.0,Personal foul by D. Cousins (drawn by N. Noel),,107-112,,
0:04.0,,,107-113,1,N. Noel makes free throw 1 of 2
0:04.0,,,107-114,1,N. Noel makes free throw 2 of 2
0:00.0,R. Gay misses 3-pt shot from 37 ft,,107-114,,
0:00.0,Offensive rebound by Team,,107-114,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
