time,Sacramento,pts.away,score,pts.home,Philadelphia
1:43.0,B. McLemore misses 2-pt shot from 1 ft (block by N. Noel),,20-23,,
1:41.0,,,20-23,,Defensive rebound by I. Smith
1:36.0,,,20-23,,I. Smith misses 2-pt shot from 3 ft
1:34.0,,,20-23,,Offensive rebound by T. Robinson
1:34.0,,,20-25,2,T. Robinson makes 2-pt shot at rim
1:26.0,Sacramento full timeout,,20-25,,
1:26.0,J. Thompson enters the game for D. Cousins,,20-25,,
1:26.0,,,20-25,,F. Aldemir enters the game for N. Noel
1:14.0,A. Miller misses 2-pt shot from 6 ft,,20-25,,
1:12.0,Offensive rebound by J. Thompson,,20-25,,
1:08.0,Shooting foul by F. Aldemir (drawn by D. Williams),,20-25,,
1:08.0,D. Williams makes free throw 1 of 2,1,21-25,,
1:08.0,D. Williams makes free throw 2 of 2,1,22-25,,
0:54.0,,,22-27,2,H. Thompson makes 2-pt shot from 19 ft (assist by I. Smith)
0:42.0,Turnover by O. Casspi (lost ball; steal by J. Grant),,22-27,,
0:38.0,,,22-29,2,J. Grant makes 2-pt shot from 1 ft
0:23.0,B. McLemore misses 2-pt shot from 3 ft,,22-29,,
0:22.0,,,22-29,,Defensive rebound by Team
0:22.0,Loose ball foul by J. Thompson (drawn by T. Robinson),,22-29,,
0:02.0,,,22-29,,I. Smith misses 2-pt shot from 5 ft
0:01.0,,,22-29,,Offensive rebound by T. Robinson
0:01.0,,,22-29,,T. Robinson misses 2-pt shot from 2 ft
0:00.0,,,22-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,Shooting foul by I. Smith (drawn by O. Casspi),,22-29,,
11:45.0,O. Casspi makes free throw 1 of 2,1,23-29,,
11:45.0,O. Casspi makes free throw 2 of 2,1,24-29,,
11:23.0,,,24-31,2,T. Robinson makes 2-pt shot from 1 ft (assist by J. Grant)
11:01.0,J. Thompson misses 2-pt shot from 18 ft,,24-31,,
10:59.0,,,24-31,,Defensive rebound by I. Smith
10:42.0,,,24-31,,Turnover by F. Aldemir (bad pass; steal by D. Williams)
10:32.0,D. Williams makes 2-pt shot at rim,2,26-31,,
10:14.0,,,26-31,,H. Thompson misses 2-pt shot from 7 ft
10:12.0,Defensive rebound by J. Thompson,,26-31,,
10:07.0,Turnover by O. Casspi (lost ball; steal by I. Smith),,26-31,,
10:04.0,,,26-31,,Shooting foul by A. Miller (drawn by T. Robinson)
10:04.0,,,26-32,1,T. Robinson makes free throw 1 of 2
10:04.0,,,26-33,1,T. Robinson makes free throw 2 of 2
9:51.0,R. Gay misses 2-pt shot from 8 ft (block by F. Aldemir),,26-33,,
9:47.0,,,26-33,,Defensive rebound by T. Robinson
9:40.0,,,26-33,,T. Robinson misses 2-pt shot from 16 ft
9:38.0,Defensive rebound by J. Thompson,,26-33,,
9:33.0,,,26-33,,Personal foul by T. Robinson (drawn by J. Thompson)
9:22.0,D. Williams makes 3-pt shot from 26 ft (assist by A. Miller),3,29-33,,
9:17.0,,,29-33,,Philadelphia full timeout
9:17.0,D. Cousins enters the game for O. Casspi,,29-33,,
9:00.0,,,29-33,,Turnover by J. Grant (bad pass; steal by A. Miller)
8:56.0,R. Gay makes 2-pt shot at rim (assist by A. Miller),2,31-33,,
8:36.0,,,31-33,,J. Grant misses 3-pt shot from 25 ft
