time,Golden State,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: D. Green vs. T. Mozgov (H. Barnes gains possession),,,,Jump ball: D. Green vs. T. Mozgov (H. Barnes gains possession)
11:41.0,D. Green misses 2-pt shot from 21 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by I. Shumpert
11:31.0,,,0-0,,Shooting foul by S. Curry (drawn by I. Shumpert)
11:31.0,,,0-1,1,I. Shumpert makes free throw 1 of 2
11:31.0,,,0-1,,I. Shumpert misses free throw 2 of 2
11:30.0,Defensive rebound by H. Barnes,,0-1,,
11:14.0,S. Curry misses 2-pt shot from 21 ft,,0-1,,
11:13.0,,,0-1,,Defensive rebound by T. Mozgov
10:50.0,,,0-3,2,T. Mozgov makes 2-pt shot from 1 ft (assist by L. James)
10:25.0,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green),2,2-3,,
10:00.0,,,2-3,,L. James misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by K. Thompson,,2-3,,
9:38.0,Turnover by S. Curry (bad pass; steal by L. James),,2-3,,
9:31.0,,,2-5,2,L. James makes 2-pt shot from 1 ft
9:26.0,,,2-5,,Personal foul by M. Dellavedova (drawn by S. Curry)
9:18.0,A. Iguodala misses 3-pt shot from 23 ft,,2-5,,
9:16.0,,,2-5,,Defensive rebound by L. James
9:04.0,,,2-7,2,T. Thompson makes 2-pt shot from 9 ft
8:53.0,,,2-7,,Personal foul by I. Shumpert (drawn by K. Thompson)
8:43.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,4-7,,
8:24.0,,,4-7,,Turnover by I. Shumpert (bad pass; steal by S. Curry)
8:09.0,S. Curry misses 3-pt shot from 26 ft,,4-7,,
8:08.0,,,4-7,,Defensive rebound by L. James
8:04.0,,,4-7,,Offensive charge foul by L. James
8:04.0,,,4-7,,Turnover by L. James (offensive foul)
7:50.0,D. Green makes 2-pt shot from 7 ft (assist by H. Barnes),2,6-7,,
7:24.0,,,6-7,,M. Dellavedova misses 2-pt shot from 8 ft
7:24.0,,,6-7,,Offensive rebound by Team
7:24.0,,,6-7,,Turnover by Team (shot clock)
7:07.0,A. Iguodala misses 3-pt shot from 25 ft,,6-7,,
7:06.0,,,6-7,,Defensive rebound by T. Thompson
6:59.0,,,6-7,,Shooting foul by A. Iguodala (drawn by T. Mozgov)
6:59.0,,,6-7,,T. Mozgov misses free throw 1 of 2
6:59.0,,,6-7,,Offensive rebound by Team
6:59.0,,,6-7,,J. Smith enters the game for M. Dellavedova
6:59.0,,,6-8,1,T. Mozgov makes free throw 2 of 2
6:43.0,A. Iguodala misses 2-pt shot from 15 ft,,6-8,,
6:42.0,,,6-8,,Defensive rebound by L. James
6:33.0,,,6-8,,I. Shumpert misses 3-pt shot from 23 ft
6:31.0,Defensive rebound by S. Curry,,6-8,,
6:19.0,H. Barnes misses 2-pt shot from 17 ft,,6-8,,
6:17.0,,,6-8,,Defensive rebound by L. James
6:06.0,,,6-8,,Turnover by L. James (lost ball; steal by A. Iguodala)
6:00.0,S. Curry makes 2-pt shot from 1 ft (assist by A. Iguodala),2,8-8,,
5:33.0,,,8-8,,Turnover by Team (shot clock)
5:33.0,,,8-8,,Cleveland full timeout
5:15.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala),3,11-8,,
4:50.0,,,11-8,,L. James misses 2-pt shot from 1 ft
4:48.0,,,11-8,,Offensive rebound by I. Shumpert
4:46.0,,,11-8,,I. Shumpert misses 3-pt shot from 25 ft
4:46.0,,,11-8,,Offensive rebound by Team
4:46.0,,,11-8,,Turnover by Team (shot clock)
4:28.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,13-8,,
4:04.0,,,13-10,2,T. Thompson makes 2-pt shot from 12 ft
3:52.0,A. Iguodala makes 2-pt shot from 16 ft (assist by S. Curry),2,15-10,,
3:37.0,,,15-10,,Shooting foul by K. Thompson (drawn by J. Smith)
3:37.0,,,15-10,,J. Smith misses free throw 1 of 2
3:37.0,,,15-10,,Offensive rebound by Team
3:37.0,,,15-10,,M. Dellavedova enters the game for I. Shumpert
3:37.0,S. Livingston enters the game for K. Thompson,,15-10,,
3:37.0,,,15-11,1,J. Smith makes free throw 2 of 2
3:24.0,A. Iguodala makes 2-pt shot from 18 ft (assist by S. Curry),2,17-11,,
3:05.0,,,17-13,2,T. Thompson makes 2-pt shot from 2 ft (assist by T. Mozgov)
2:53.0,A. Iguodala misses 2-pt shot from 16 ft,,17-13,,
2:52.0,,,17-13,,Defensive rebound by L. James
2:43.0,,,17-13,,L. James misses 2-pt shot from 1 ft
2:41.0,Defensive rebound by D. Green,,17-13,,
2:33.0,D. Green makes 3-pt shot from 25 ft (assist by A. Iguodala),3,20-13,,
2:20.0,,,20-15,2,L. James makes 2-pt shot from 1 ft
2:07.0,A. Iguodala makes 3-pt shot from 24 ft (assist by D. Green),3,23-15,,
1:45.0,,,23-15,,J. Smith misses 2-pt shot from 2 ft
1:42.0,,,23-15,,Offensive rebound by T. Mozgov
1:42.0,,,23-15,,Turnover by T. Mozgov (lost ball)
1:42.0,Golden State full timeout,,23-15,,
1:42.0,,,23-15,,J. Jones enters the game for T. Mozgov
1:42.0,F. Ezeli enters the game for D. Green,,23-15,,
1:32.0,Turnover by F. Ezeli (traveling),,23-15,,
1:15.0,,,23-15,,L. James misses 2-pt shot from 4 ft
1:13.0,,,23-15,,Offensive rebound by T. Thompson
1:07.0,,,23-15,,Turnover by M. Dellavedova (bad pass)
1:07.0,,,23-15,,I. Shumpert enters the game for L. James
1:07.0,L. Barbosa enters the game for A. Iguodala,,23-15,,
0:57.0,S. Curry misses 3-pt shot from 26 ft,,23-15,,
0:56.0,Offensive rebound by F. Ezeli,,23-15,,
0:56.0,F. Ezeli makes 2-pt shot at rim,2,25-15,,
0:43.0,,,25-15,,Turnover by T. Thompson (lost ball; steal by S. Curry)
0:35.0,H. Barnes makes 3-pt shot from 24 ft (assist by S. Curry),3,28-15,,
0:24.0,Personal foul by S. Livingston (drawn by J. Smith),,28-15,,
0:08.0,,,28-15,,J. Smith misses 2-pt shot from 18 ft
0:05.0,Defensive rebound by L. Barbosa,,28-15,,
0:00.0,S. Curry misses 3-pt shot from 35 ft,,28-15,,
0:00.0,Offensive rebound by Team,,28-15,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,28-15,,Shooting foul by S. Livingston (drawn by J. Jones)
11:45.0,,,28-16,1,J. Jones makes free throw 1 of 3
11:45.0,,,28-17,1,J. Jones makes free throw 2 of 3
11:45.0,,,28-18,1,J. Jones makes free throw 3 of 3
11:33.0,K. Thompson misses 2-pt shot from 14 ft,,28-18,,
11:32.0,,,28-18,,Defensive rebound by L. James
11:18.0,,,28-18,,L. James misses 2-pt shot from 6 ft
11:16.0,,,28-18,,Offensive rebound by T. Mozgov
11:14.0,,,28-18,,T. Mozgov misses 2-pt shot from 1 ft (block by K. Thompson)
11:12.0,,,28-18,,Offensive rebound by T. Mozgov
11:04.0,,,28-21,3,L. James makes 3-pt shot from 24 ft
10:55.0,L. Barbosa makes 3-pt shot from 25 ft (assist by K. Thompson),3,31-21,,
10:43.0,Personal foul by F. Ezeli (drawn by T. Mozgov),,31-21,,
10:34.0,,,31-21,,J. Smith misses 2-pt shot from 3 ft (block by F. Ezeli)
10:32.0,Defensive rebound by H. Barnes,,31-21,,
10:19.0,K. Thompson misses 3-pt shot from 26 ft,,31-21,,
10:18.0,,,31-21,,Defensive rebound by J. Smith
10:07.0,,,31-21,,Shooting foul by K. Thompson (drawn by I. Shumpert)
10:07.0,,,31-21,,I. Shumpert misses free throw 1 of 2
10:07.0,,,31-21,,Offensive rebound by Team
10:07.0,,,31-22,1,I. Shumpert makes free throw 2 of 2
9:52.0,Offensive foul by K. Thompson,,31-22,,
9:52.0,Turnover by K. Thompson (offensive foul),,31-22,,
9:52.0,S. Curry enters the game for K. Thompson,,31-22,,
9:36.0,,,31-24,2,J. Jones makes 2-pt shot from 6 ft (assist by L. James)
9:26.0,S. Livingston misses 2-pt shot from 15 ft,,31-24,,
9:25.0,Offensive rebound by F. Ezeli,,31-24,,
9:23.0,F. Ezeli misses 2-pt shot from 1 ft,,31-24,,
9:22.0,,,31-24,,Defensive rebound by Team
9:12.0,,,31-24,,L. James misses 2-pt shot from 10 ft
9:09.0,,,31-24,,Offensive rebound by T. Mozgov
9:04.0,,,31-24,,J. Jones misses 3-pt shot from 24 ft
9:03.0,Defensive rebound by S. Curry,,31-24,,
8:56.0,L. Barbosa misses 3-pt shot from 25 ft,,31-24,,
8:56.0,Offensive rebound by Team,,31-24,,
8:56.0,,,31-24,,Loose ball foul by T. Mozgov (drawn by F. Ezeli)
8:56.0,Official timeout,,31-24,,
8:56.0,,,31-24,,T. Thompson enters the game for J. Smith
8:56.0,A. Iguodala enters the game for H. Barnes,,31-24,,
8:56.0,D. Green enters the game for F. Ezeli,,31-24,,
8:48.0,D. Green misses 3-pt shot from 25 ft,,31-24,,
8:47.0,,,31-24,,Defensive rebound by L. James
8:42.0,Violation by A. Iguodala (kicked ball),,31-24,,
8:23.0,,,31-24,,T. Thompson misses 2-pt shot from 6 ft
8:21.0,Defensive rebound by D. Green,,31-24,,
8:16.0,H. Barnes enters the game for S. Livingston,,31-24,,
8:16.0,Jump ball: D. Green vs. I. Shumpert (A. Iguodala gains possession),,,,Jump ball: D. Green vs. I. Shumpert (A. Iguodala gains possession)
8:11.0,A. Iguodala misses 2-pt shot from 2 ft (block by T. Mozgov),,31-24,,
8:09.0,Offensive rebound by L. Barbosa,,31-24,,
8:06.0,Shooting foul by T. Mozgov (drawn by A. Iguodala),,31-24,,
8:06.0,A. Iguodala makes free throw 1 of 2,1,32-24,,
8:06.0,A. Iguodala misses free throw 2 of 2,,32-24,,
8:05.0,,,32-24,,Defensive rebound by T. Mozgov
7:51.0,,,32-24,,Offensive foul by J. Jones
7:51.0,,,32-24,,Turnover by J. Jones (offensive foul)
7:42.0,H. Barnes misses 2-pt shot from 2 ft (block by T. Mozgov),,32-24,,
7:39.0,,,32-24,,Defensive rebound by T. Thompson
7:33.0,,,32-26,2,L. James makes 2-pt shot at rim
7:21.0,,,32-26,,Personal foul by I. Shumpert (drawn by D. Green)
7:13.0,S. Curry misses 3-pt shot from 24 ft,,32-26,,
7:12.0,,,32-26,,Defensive rebound by T. Mozgov
7:08.0,,,32-26,,I. Shumpert misses 2-pt shot from 2 ft (block by D. Green)
7:07.0,Defensive rebound by D. Green,,32-26,,
6:53.0,S. Curry misses 2-pt shot from 7 ft (block by T. Mozgov),,32-26,,
6:51.0,,,32-26,,Defensive rebound by J. Jones
6:36.0,,,32-26,,Shooting foul by H. Barnes (drawn by T. Thompson)
6:36.0,,,32-27,1,T. Thompson makes free throw 1 of 2
6:36.0,S. Livingston enters the game for L. Barbosa,,32-27,,
6:36.0,,,32-27,,T. Thompson misses free throw 2 of 2
6:35.0,Defensive rebound by A. Iguodala,,32-27,,
6:13.0,D. Green makes 2-pt shot from 7 ft,2,34-27,,
5:55.0,,,34-29,2,I. Shumpert makes 2-pt shot from 14 ft
5:39.0,H. Barnes misses 2-pt shot from 8 ft,,34-29,,
5:38.0,,,34-29,,Defensive rebound by T. Thompson
5:14.0,,,34-29,,Turnover by T. Mozgov (lost ball; steal by D. Green)
5:07.0,H. Barnes makes 3-pt shot from 24 ft (assist by A. Iguodala),3,37-29,,
4:51.0,Personal foul by A. Iguodala (drawn by T. Mozgov),,37-29,,
4:51.0,,,37-29,,Cleveland full timeout
4:51.0,,,37-30,1,T. Mozgov makes free throw 1 of 2
4:51.0,,,37-31,1,T. Mozgov makes free throw 2 of 2
4:37.0,A. Iguodala makes 2-pt shot from 18 ft (assist by S. Curry),2,39-31,,
4:28.0,,,39-31,,T. Mozgov misses 2-pt shot from 2 ft
4:26.0,Defensive rebound by D. Green,,39-31,,
4:17.0,A. Iguodala misses 2-pt shot from 1 ft,,39-31,,
4:14.0,,,39-31,,Defensive rebound by T. Thompson
4:10.0,,,39-31,,I. Shumpert misses 2-pt shot from 1 ft
4:09.0,,,39-31,,Offensive rebound by T. Mozgov
4:07.0,,,39-31,,Shooting foul by D. Green (drawn by T. Mozgov)
4:07.0,,,39-32,1,T. Mozgov makes free throw 1 of 2
4:07.0,,,39-32,,M. Dellavedova enters the game for J. Jones
4:07.0,,,39-33,1,T. Mozgov makes free throw 2 of 2
4:00.0,,,39-33,,Personal foul by I. Shumpert (drawn by A. Iguodala)
4:00.0,,,39-33,,J. Smith enters the game for I. Shumpert
3:48.0,D. Green misses 3-pt shot from 22 ft,,39-33,,
3:47.0,,,39-33,,Defensive rebound by T. Mozgov
3:37.0,Personal foul by A. Iguodala (drawn by L. James),,39-33,,
3:37.0,,,39-33,,L. James misses free throw 1 of 2
3:37.0,,,39-33,,Offensive rebound by Team
3:37.0,Golden State full timeout,,39-33,,
3:37.0,D. Lee enters the game for A. Iguodala,,39-33,,
3:37.0,,,39-33,,J. Jones enters the game for T. Mozgov
3:37.0,,,39-33,,L. James misses free throw 2 of 2
3:35.0,Defensive rebound by D. Green,,39-33,,
3:23.0,Shooting foul by L. James (drawn by S. Livingston),,39-33,,
3:23.0,S. Livingston makes free throw 1 of 2,1,40-33,,
3:23.0,L. Barbosa enters the game for D. Green,,40-33,,
3:23.0,S. Livingston makes free throw 2 of 2,1,41-33,,
3:12.0,,,41-35,2,L. James makes 2-pt shot from 1 ft
2:54.0,D. Lee misses 2-pt shot from 2 ft,,41-35,,
2:53.0,,,41-35,,Defensive rebound by M. Dellavedova
2:38.0,,,41-35,,Turnover by L. James (bad pass; steal by S. Curry)
2:33.0,S. Curry makes 2-pt shot from 1 ft (assist by L. Barbosa),2,43-35,,
2:28.0,,,43-35,,Turnover by M. Dellavedova (bad pass; steal by L. Barbosa)
2:24.0,Turnover by S. Curry (bad pass),,43-35,,
2:24.0,D. Green enters the game for D. Lee,,43-35,,
2:04.0,,,43-38,3,L. James makes 3-pt shot from 25 ft (assist by M. Dellavedova)
1:54.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,45-38,,
1:40.0,Personal foul by L. Barbosa (drawn by T. Thompson),,45-38,,
1:40.0,,,45-39,1,L. James makes free throw 1 of 2
1:40.0,,,45-39,,L. James misses free throw 2 of 2
1:39.0,Defensive rebound by Team,,45-39,,
1:21.0,S. Livingston misses 2-pt shot from 14 ft,,45-39,,
1:20.0,,,45-39,,Defensive rebound by L. James
1:09.0,,,45-41,2,T. Thompson makes 2-pt shot from 1 ft (assist by L. James)
0:59.0,Turnover by D. Green (traveling),,45-41,,
0:40.0,,,45-41,,L. James misses 3-pt shot from 26 ft
0:39.0,Defensive rebound by L. Barbosa,,45-41,,
0:26.0,H. Barnes misses 2-pt shot from 2 ft,,45-41,,
0:24.0,,,45-41,,Defensive rebound by T. Thompson
0:04.0,,,45-41,,L. James misses 2-pt shot from 11 ft
0:03.0,,,45-41,,Offensive rebound by T. Thompson
0:03.0,,,45-43,2,T. Thompson makes 2-pt shot at rim
