time,Oklahoma City,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. N. Noel (R. Westbrook gains possession),,,,Jump ball: S. Adams vs. N. Noel (R. Westbrook gains possession)
11:39.0,K. Durant makes 3-pt shot from 24 ft (assist by R. Westbrook),3,3-0,,
11:32.0,,,3-0,,Turnover by N. Noel (bad pass)
11:17.0,S. Adams makes 2-pt shot at rim (assist by R. Westbrook),2,5-0,,
10:55.0,,,5-2,2,N. Noel makes 2-pt shot from 2 ft (assist by M. Carter-Williams)
10:34.0,R. Westbrook misses 2-pt shot from 16 ft,,5-2,,
10:33.0,,,5-2,,Defensive rebound by N. Noel
10:21.0,Personal foul by R. Westbrook (drawn by M. Carter-Williams),,5-2,,
10:08.0,,,5-2,,M. Carter-Williams misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by K. Durant,,5-2,,
9:52.0,S. Ibaka misses 2-pt shot from 13 ft,,5-2,,
9:50.0,Offensive rebound by S. Ibaka,,5-2,,
9:44.0,A. Roberson makes 2-pt shot at rim (assist by K. Durant),2,7-2,,
9:44.0,,,7-2,,Philadelphia full timeout
9:35.0,,,7-2,,Turnover by L. Mbah a Moute (lost ball)
9:21.0,R. Westbrook misses 2-pt shot from 18 ft,,7-2,,
9:19.0,,,7-2,,Defensive rebound by H. Sims
9:09.0,,,7-4,2,H. Sims makes 2-pt shot from 18 ft (assist by M. Carter-Williams)
8:43.0,K. Durant misses 2-pt shot from 14 ft,,7-4,,
8:41.0,,,7-4,,Defensive rebound by L. Mbah a Moute
8:21.0,,,7-4,,H. Sims misses 2-pt shot from 3 ft (block by S. Ibaka)
8:19.0,Defensive rebound by A. Roberson,,7-4,,
8:15.0,S. Ibaka makes 2-pt shot from 1 ft (assist by R. Westbrook),2,9-4,,
8:01.0,,,9-7,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by M. Carter-Williams)
7:47.0,Turnover by R. Westbrook (bad pass),,9-7,,
7:47.0,,,9-7,,K. McDaniels enters the game for H. Thompson
