time,Detroit,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. T. Mozgov (K. Caldwell-Pope gains possession),,,,Jump ball: A. Drummond vs. T. Mozgov (K. Caldwell-Pope gains possession)
11:40.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by K. Faried
11:25.0,,,0-0,,T. Mozgov misses 3-pt shot from 24 ft
11:23.0,,,0-0,,Offensive rebound by K. Faried
11:23.0,,,0-2,2,K. Faried makes 2-pt shot at rim
11:11.0,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings),2,2-2,,
10:55.0,,,2-4,2,K. Faried makes 2-pt shot from 2 ft (assist by D. Gallinari)
10:44.0,J. Smith misses 3-pt shot from 24 ft,,2-4,,
10:41.0,,,2-4,,Defensive rebound by T. Mozgov
10:31.0,,,2-6,2,T. Mozgov makes 2-pt shot at rim (assist by T. Lawson)
10:16.0,Shooting foul by K. Faried (drawn by J. Smith),,2-6,,
10:16.0,J. Smith makes free throw 1 of 2,1,3-6,,
10:16.0,J. Smith makes free throw 2 of 2,1,4-6,,
9:55.0,,,4-6,,D. Gallinari misses 2-pt shot from 19 ft
9:55.0,,,4-6,,Offensive rebound by A. Afflalo
9:55.0,,,4-6,,A. Afflalo misses 2-pt shot from 13 ft (block by K. Caldwell-Pope)
9:55.0,,,4-6,,Offensive rebound by Team
9:51.0,,,4-8,2,T. Mozgov makes 2-pt shot from 1 ft (assist by D. Gallinari)
9:39.0,B. Jennings makes 2-pt shot from 11 ft,2,6-8,,
9:32.0,,,6-8,,Turnover by K. Faried (3 sec)
9:13.0,J. Smith misses 2-pt shot from 18 ft,,6-8,,
9:11.0,,,6-8,,Defensive rebound by T. Mozgov
8:57.0,,,6-8,,T. Lawson misses 3-pt shot from 24 ft
8:54.0,Defensive rebound by Team,,6-8,,
8:32.0,A. Drummond makes 2-pt shot from 1 ft,2,8-8,,
8:10.0,,,8-8,,K. Faried misses 2-pt shot from 3 ft
8:09.0,Defensive rebound by A. Drummond,,8-8,,
7:56.0,J. Smith makes 2-pt shot from 2 ft,2,10-8,,
7:42.0,,,10-8,,T. Mozgov misses 2-pt shot from 17 ft
7:40.0,Defensive rebound by B. Jennings,,10-8,,
7:39.0,,,10-8,,Personal foul by T. Lawson (drawn by B. Jennings)
7:31.0,Shooting foul by T. Mozgov (drawn by J. Smith),,10-8,,
7:31.0,,,10-8,,Denver full timeout
7:31.0,J. Smith misses free throw 1 of 2,,10-8,,
7:31.0,Offensive rebound by Team,,10-8,,
7:31.0,J. Smith misses free throw 2 of 2,,10-8,,
7:29.0,,,10-8,,Defensive rebound by T. Mozgov
7:19.0,,,10-8,,A. Afflalo misses 2-pt shot from 16 ft
7:18.0,Defensive rebound by A. Drummond,,10-8,,
7:08.0,B. Jennings misses 2-pt shot from 20 ft,,10-8,,
7:08.0,Offensive rebound by Team,,10-8,,
7:02.0,K. Caldwell-Pope misses 2-pt shot from 5 ft (block by T. Mozgov),,10-8,,
7:02.0,Offensive rebound by Team,,10-8,,
6:49.0,J. Smith makes 2-pt shot from 18 ft (assist by B. Jennings),2,12-8,,
6:28.0,,,12-8,,Shooting foul by K. Singler (drawn by D. Gallinari)
6:28.0,,,12-9,1,D. Gallinari makes free throw 1 of 2
6:28.0,,,12-10,1,D. Gallinari makes free throw 2 of 2
6:12.0,A. Drummond misses 2-pt shot from 2 ft,,12-10,,
6:10.0,,,12-10,,Defensive rebound by A. Afflalo
5:56.0,,,12-12,2,K. Faried makes 2-pt shot at rim (assist by T. Lawson)
5:36.0,K. Singler misses 2-pt shot from 10 ft,,12-12,,
5:34.0,,,12-12,,Defensive rebound by K. Faried
5:27.0,,,12-12,,Shooting foul by K. Singler (drawn by D. Gallinari)
5:27.0,,,12-13,1,D. Gallinari makes free throw 1 of 2
5:27.0,C. Butler enters the game for K. Singler,,12-13,,
5:27.0,,,12-13,,J. Nurkic enters the game for T. Mozgov
5:27.0,,,12-14,1,D. Gallinari makes free throw 2 of 2
5:13.0,J. Smith makes 2-pt shot from 17 ft (assist by K. Caldwell-Pope),2,14-14,,
4:49.0,,,14-14,,Turnover by T. Lawson (bad pass; steal by C. Butler)
4:42.0,K. Caldwell-Pope misses 2-pt shot at rim (block by D. Gallinari),,14-14,,
4:40.0,,,14-14,,Defensive rebound by A. Afflalo
4:31.0,,,14-14,,T. Lawson misses 2-pt shot at rim (block by J. Smith)
4:29.0,Defensive rebound by K. Caldwell-Pope,,14-14,,
4:27.0,Turnover by C. Butler (bad pass; steal by D. Gallinari),,14-14,,
4:25.0,,,14-14,,Offensive charge foul by D. Gallinari
4:25.0,,,14-14,,Turnover by D. Gallinari (offensive foul)
4:25.0,,,14-14,,W. Chandler enters the game for D. Gallinari
4:25.0,,,14-14,,R. Foye enters the game for T. Lawson
4:14.0,B. Jennings makes 2-pt shot from 1 ft (assist by J. Smith),2,16-14,,
4:11.0,Personal foul by A. Drummond (drawn by J. Nurkic),,16-14,,
4:11.0,S. Dinwiddie enters the game for K. Caldwell-Pope,,16-14,,
4:01.0,,,16-16,2,A. Afflalo makes 2-pt shot from 7 ft (assist by K. Faried)
3:48.0,Shooting foul by K. Faried (drawn by J. Smith),,16-16,,
3:48.0,J. Smith makes free throw 1 of 2,1,17-16,,
3:48.0,,,17-16,,D. Arthur enters the game for K. Faried
3:48.0,J. Smith misses free throw 2 of 2,,17-16,,
3:45.0,,,17-16,,Defensive rebound by J. Nurkic
3:26.0,,,17-18,2,J. Nurkic makes 2-pt shot from 2 ft (assist by D. Arthur)
3:15.0,Shooting foul by D. Arthur (drawn by A. Drummond),,17-18,,
3:15.0,A. Drummond misses free throw 1 of 2,,17-18,,
3:15.0,Offensive rebound by Team,,17-18,,
3:15.0,A. Drummond misses free throw 2 of 2,,17-18,,
3:14.0,,,17-18,,Defensive rebound by D. Arthur
3:08.0,Personal foul by S. Dinwiddie (drawn by A. Afflalo),,17-18,,
3:08.0,J. Anthony enters the game for A. Drummond,,17-18,,
2:56.0,,,17-18,,J. Nurkic misses 2-pt shot from 2 ft
2:55.0,Defensive rebound by C. Butler,,17-18,,
2:43.0,J. Smith misses 2-pt shot from 15 ft,,17-18,,
2:41.0,,,17-18,,Defensive rebound by W. Chandler
2:35.0,,,17-21,3,W. Chandler makes 3-pt shot from 25 ft
2:15.0,J. Smith misses 2-pt shot from 9 ft,,17-21,,
2:13.0,Offensive rebound by J. Smith,,17-21,,
2:09.0,J. Smith makes 2-pt shot from 2 ft,2,19-21,,
2:00.0,,,19-21,,D. Arthur misses 2-pt shot from 19 ft
1:58.0,Defensive rebound by B. Jennings,,19-21,,
1:52.0,Turnover by B. Jennings (lost ball; steal by R. Foye),,19-21,,
1:49.0,,,19-23,2,A. Afflalo makes 2-pt shot from 1 ft
1:49.0,,,19-23,,Shooting foul by J. Smith (drawn by A. Afflalo)
1:49.0,Detroit full timeout,,19-23,,
1:49.0,D. Augustin enters the game for B. Jennings,,19-23,,
1:49.0,,,19-23,,A. Afflalo misses free throw 1 of 1
1:46.0,Defensive rebound by J. Smith,,19-23,,
1:26.0,C. Butler misses 3-pt shot from 26 ft,,19-23,,
1:24.0,,,19-23,,Defensive rebound by J. Nurkic
1:10.0,,,19-23,,Turnover by W. Chandler (traveling)
0:55.0,D. Augustin misses 2-pt shot from 20 ft,,19-23,,
0:53.0,,,19-23,,Defensive rebound by D. Arthur
0:42.0,,,19-23,,D. Arthur misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by J. Anthony,,19-23,,
0:26.0,J. Smith makes 2-pt shot from 18 ft (assist by S. Dinwiddie),2,21-23,,
0:05.0,,,21-23,,R. Foye misses 2-pt shot from 18 ft
0:04.0,Defensive rebound by J. Smith,,21-23,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,,,21-23,,D. Arthur misses 2-pt shot from 20 ft
11:51.0,Defensive rebound by C. Butler,,21-23,,
11:35.0,D. Augustin makes 2-pt shot from 8 ft,2,23-23,,
11:17.0,,,23-23,,W. Chandler misses 3-pt shot from 23 ft
11:15.0,Defensive rebound by J. Jerebko,,23-23,,
11:00.0,,,23-23,,J. McGee enters the game for J. Nurkic
10:55.0,S. Dinwiddie misses 2-pt shot from 19 ft,,23-23,,
10:55.0,,,23-23,,Defensive rebound by Team
10:41.0,,,23-23,,N. Robinson misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by D. Augustin,,23-23,,
10:33.0,D. Augustin misses 3-pt shot from 23 ft,,23-23,,
10:32.0,,,23-23,,Defensive rebound by D. Arthur
10:31.0,,,23-23,,Turnover by D. Arthur (lost ball)
10:16.0,Turnover by J. Anthony (lost ball; steal by R. Foye),,23-23,,
10:07.0,,,23-25,2,R. Foye makes 2-pt shot from 21 ft
9:52.0,D. Augustin makes 3-pt shot from 24 ft,3,26-25,,
9:26.0,,,26-27,2,J. McGee makes 2-pt shot from 2 ft (assist by D. Arthur)
9:12.0,D. Augustin makes 2-pt shot from 1 ft,2,28-27,,
8:53.0,,,28-29,2,D. Arthur makes 2-pt shot from 19 ft (assist by N. Robinson)
8:32.0,J. Jerebko misses 2-pt shot from 1 ft (block by J. McGee),,28-29,,
8:31.0,Offensive rebound by C. Butler,,28-29,,
8:31.0,Official timeout,,28-29,,
8:31.0,K. Caldwell-Pope enters the game for S. Dinwiddie,,28-29,,
8:31.0,Jump ball: D. Arthur vs. C. Butler,,,,Jump ball: D. Arthur vs. C. Butler
8:18.0,C. Butler misses 2-pt shot from 20 ft,,28-29,,
8:17.0,,,28-29,,Defensive rebound by J. McGee
8:07.0,,,28-29,,N. Robinson misses 2-pt shot from 17 ft
8:05.0,Defensive rebound by D. Augustin,,28-29,,
7:51.0,Shooting foul by J. McGee (drawn by D. Augustin),,28-29,,
7:51.0,D. Augustin makes free throw 1 of 2,1,29-29,,
7:51.0,K. Singler enters the game for C. Butler,,29-29,,
7:51.0,A. Drummond enters the game for J. Anthony,,29-29,,
7:51.0,,,29-29,,K. Faried enters the game for D. Arthur
7:51.0,D. Augustin misses free throw 2 of 2,,29-29,,
7:49.0,,,29-29,,Defensive rebound by K. Faried
7:35.0,,,29-31,2,N. Robinson makes 2-pt shot from 2 ft (assist by K. Faried)
7:35.0,,,29-31,,Shooting foul by J. Jerebko (drawn by N. Robinson)
7:35.0,,,29-32,1,N. Robinson makes free throw 1 of 1
7:15.0,J. Jerebko makes 3-pt shot from 24 ft (assist by D. Augustin),3,32-32,,
6:57.0,,,32-32,,Turnover by J. McGee (3 sec)
6:44.0,Shooting foul by R. Foye (drawn by A. Drummond),,32-32,,
6:44.0,A. Drummond misses free throw 1 of 2,,32-32,,
6:44.0,Offensive rebound by Team,,32-32,,
6:44.0,,,32-32,,T. Lawson enters the game for R. Foye
6:44.0,,,32-32,,T. Mozgov enters the game for J. McGee
6:44.0,A. Drummond makes free throw 2 of 2,1,33-32,,
6:27.0,,,33-32,,Turnover by W. Chandler (bad pass; steal by A. Drummond)
6:22.0,K. Caldwell-Pope makes 2-pt shot from 1 ft (assist by A. Drummond),2,35-32,,
6:09.0,,,35-32,,N. Robinson misses 3-pt shot from 24 ft
6:07.0,Defensive rebound by K. Singler,,35-32,,
5:59.0,K. Singler makes 3-pt shot from 25 ft (assist by K. Caldwell-Pope),3,38-32,,
5:53.0,,,38-32,,Denver full timeout
5:53.0,,,38-32,,A. Afflalo enters the game for N. Robinson
5:53.0,J. Smith enters the game for J. Jerebko,,38-32,,
5:37.0,,,38-32,,W. Chandler misses 3-pt shot from 26 ft
5:36.0,,,38-32,,Offensive rebound by K. Faried
5:31.0,,,38-32,,Turnover by K. Faried (bad pass; steal by J. Smith)
5:14.0,Offensive foul by J. Smith,,38-32,,
5:14.0,Turnover by J. Smith (offensive foul),,38-32,,
5:14.0,,,38-32,,D. Gallinari enters the game for W. Chandler
5:06.0,,,38-32,,Shooting foul by D. Augustin (drawn by K. Faried)
5:06.0,,,38-32,,K. Faried misses free throw 1 of 2
5:06.0,,,38-32,,Offensive rebound by Team
5:06.0,,,38-33,1,K. Faried makes free throw 2 of 2
4:45.0,J. Smith misses 2-pt shot from 8 ft,,38-33,,
4:44.0,,,38-33,,Defensive rebound by T. Mozgov
4:24.0,,,38-33,,D. Gallinari misses 3-pt shot from 25 ft
4:23.0,,,38-33,,Offensive rebound by K. Faried
4:20.0,,,38-35,2,K. Faried makes 2-pt shot from 2 ft
4:06.0,J. Smith misses 2-pt shot from 17 ft,,38-35,,
4:05.0,,,38-35,,Defensive rebound by D. Gallinari
3:50.0,,,38-35,,K. Faried misses 2-pt shot from 2 ft (block by A. Drummond)
3:48.0,,,38-35,,Offensive rebound by K. Faried
3:42.0,,,38-35,,A. Afflalo misses 2-pt shot from 18 ft
