time,Denver,pts.away,score,pts.home,Phoenix
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Mozgov vs. M. Plumlee (K. Faried gains possession),,,,Jump ball: T. Mozgov vs. M. Plumlee (K. Faried gains possession)
11:54.0,Turnover by K. Faried (lost ball; steal by E. Bledsoe),,0-0,,
11:43.0,,,0-2,2,M. Morris makes 2-pt shot from 13 ft
11:21.0,T. Lawson misses 2-pt shot from 5 ft (block by M. Morris),,0-2,,
11:19.0,,,0-2,,Defensive rebound by M. Plumlee
11:00.0,,,0-2,,M. Morris misses 2-pt shot from 16 ft
10:57.0,,,0-2,,Offensive rebound by M. Plumlee
10:54.0,,,0-5,3,M. Morris makes 3-pt shot from 25 ft (assist by M. Plumlee)
10:37.0,Shooting foul by M. Morris (drawn by K. Faried),,0-5,,
10:37.0,K. Faried misses free throw 1 of 2,,0-5,,
10:37.0,Offensive rebound by Team,,0-5,,
10:37.0,K. Faried makes free throw 2 of 2,1,1-5,,
10:21.0,,,1-5,,M. Plumlee misses 2-pt shot from 10 ft
10:19.0,Defensive rebound by A. Afflalo,,1-5,,
10:09.0,A. Afflalo misses 2-pt shot from 6 ft,,1-5,,
10:07.0,Offensive rebound by T. Mozgov,,1-5,,
10:01.0,A. Afflalo makes 2-pt shot from 7 ft,2,3-5,,
9:43.0,,,3-5,,M. Morris misses 2-pt shot from 3 ft
9:43.0,,,3-5,,Offensive rebound by M. Plumlee
9:43.0,,,3-7,2,M. Plumlee makes 2-pt shot from 2 ft
9:21.0,T. Mozgov makes 2-pt shot from 2 ft (assist by T. Lawson),2,5-7,,
9:05.0,,,5-7,,M. Morris misses 2-pt shot from 6 ft
9:03.0,Defensive rebound by W. Chandler,,5-7,,
8:57.0,W. Chandler misses 2-pt shot from 10 ft,,5-7,,
8:54.0,Offensive rebound by W. Chandler,,5-7,,
8:54.0,W. Chandler makes 2-pt shot from 2 ft,2,7-7,,
8:35.0,,,7-9,2,G. Dragic makes 2-pt shot from 14 ft
8:13.0,A. Afflalo makes 3-pt shot from 25 ft (assist by T. Lawson),3,10-9,,
8:00.0,,,10-9,,G. Dragic misses 2-pt shot from 5 ft
7:58.0,Defensive rebound by T. Mozgov,,10-9,,
7:55.0,K. Faried makes 2-pt shot at rim (assist by W. Chandler),2,12-9,,
7:55.0,Shooting foul by E. Bledsoe (drawn by K. Faried),,12-9,,
7:55.0,,,12-9,,Technical foul by M. Morris
7:55.0,A. Afflalo makes technical free throw,1,13-9,,
7:55.0,K. Faried makes free throw 1 of 1,1,14-9,,
7:42.0,,,14-9,,M. Morris misses 2-pt shot from 16 ft
7:40.0,Defensive rebound by W. Chandler,,14-9,,
7:34.0,Turnover by W. Chandler (offensive foul),,14-9,,
7:34.0,Offensive charge foul by W. Chandler,,14-9,,
7:18.0,,,14-11,2,E. Bledsoe makes 2-pt shot from 15 ft
7:06.0,T. Lawson misses 3-pt shot from 24 ft,,14-11,,
7:04.0,Offensive rebound by T. Mozgov,,14-11,,
6:57.0,Turnover by K. Faried (lost ball; steal by E. Bledsoe),,14-11,,
6:52.0,,,14-13,2,M. Morris makes 2-pt shot from 11 ft (assist by E. Bledsoe)
6:25.0,W. Chandler misses 2-pt shot from 7 ft (block by M. Plumlee),,14-13,,
6:22.0,Offensive rebound by T. Lawson,,14-13,,
6:20.0,T. Lawson misses 3-pt shot from 25 ft,,14-13,,
6:18.0,Offensive rebound by T. Mozgov,,14-13,,
6:14.0,T. Mozgov makes 2-pt shot from 18 ft (assist by T. Lawson),2,16-13,,
6:02.0,,,16-16,3,M. Morris makes 3-pt shot from 24 ft
5:48.0,K. Faried misses 2-pt shot from 9 ft,,16-16,,
