time,Atlanta,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Horford vs. B. Lopez (T. Young gains possession),,,,Jump ball: A. Horford vs. B. Lopez (T. Young gains possession)
11:42.0,,,0-2,2,T. Young makes 2-pt shot from 2 ft (assist by J. Johnson)
11:23.0,K. Korver makes 3-pt shot from 26 ft (assist by J. Teague),3,3-2,,
11:05.0,,,3-4,2,J. Johnson makes 2-pt shot from 7 ft
10:46.0,,,3-4,,Personal foul by B. Lopez (drawn by P. Millsap)
10:35.0,D. Carroll makes 3-pt shot from 24 ft (assist by J. Teague),3,6-4,,
10:18.0,,,6-4,,D. Williams misses 2-pt shot from 2 ft
10:16.0,Defensive rebound by A. Horford,,6-4,,
10:10.0,P. Millsap misses 3-pt shot from 25 ft,,6-4,,
10:09.0,,,6-4,,Defensive rebound by D. Williams
10:00.0,Violation by K. Korver (kicked ball),,6-4,,
9:51.0,,,6-4,,T. Young misses 2-pt shot from 15 ft
9:50.0,,,6-4,,Offensive rebound by B. Lopez
9:49.0,,,6-4,,Shooting foul by D. Carroll (drawn by B. Lopez)
9:49.0,,,6-5,1,B. Lopez makes free throw 1 of 2
9:49.0,,,6-6,1,B. Lopez makes free throw 2 of 2
9:31.0,Shooting foul by J. Johnson (drawn by P. Millsap),,6-6,,
9:31.0,P. Millsap misses free throw 1 of 2,,6-6,,
9:31.0,Offensive rebound by Team,,6-6,,
9:31.0,P. Millsap makes free throw 2 of 2,1,7-6,,
9:19.0,,,7-6,,B. Lopez misses 2-pt shot from 20 ft
9:18.0,Defensive rebound by D. Carroll,,7-6,,
9:09.0,,,7-6,,Personal foul by T. Young (drawn by A. Horford)
9:01.0,A. Horford makes 2-pt shot from 2 ft (assist by J. Teague),2,9-6,,
8:39.0,,,9-6,,Turnover by B. Bogdanovic (bad pass)
8:22.0,J. Teague misses 2-pt shot from 8 ft,,9-6,,
8:21.0,,,9-6,,Defensive rebound by B. Lopez
8:10.0,,,9-6,,B. Lopez misses 2-pt shot from 8 ft
8:09.0,Defensive rebound by A. Horford,,9-6,,
8:04.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,11-6,,
8:04.0,Shooting foul by D. Williams (drawn by P. Millsap),,11-6,,
8:04.0,P. Millsap misses free throw 1 of 1,,11-6,,
8:02.0,,,11-6,,Defensive rebound by T. Young
7:47.0,,,11-8,2,D. Williams makes 2-pt shot from 18 ft (assist by J. Johnson)
7:32.0,Turnover by D. Carroll (bad pass; steal by J. Johnson),,11-8,,
7:22.0,,,11-8,,Shooting foul by J. Teague (drawn by D. Williams)
7:22.0,,,11-9,1,D. Williams makes free throw 1 of 3
7:22.0,,,11-9,,D. Williams misses free throw 2 of 3
7:22.0,,,11-9,,Offensive rebound by Team
7:22.0,,,11-9,,M. Plumlee enters the game for B. Lopez
7:22.0,,,11-10,1,D. Williams makes free throw 3 of 3
7:12.0,A. Horford misses 2-pt shot from 7 ft,,11-10,,
7:11.0,,,11-10,,Defensive rebound by B. Bogdanovic
7:01.0,,,11-10,,T. Young misses 2-pt shot from 9 ft
6:59.0,Defensive rebound by A. Horford,,11-10,,
6:38.0,D. Carroll makes 2-pt shot from 2 ft (assist by P. Millsap),2,13-10,,
6:21.0,,,13-10,,D. Williams misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by K. Korver,,13-10,,
6:01.0,A. Horford makes 2-pt shot from 4 ft (assist by J. Teague),2,15-10,,
5:44.0,,,15-10,,J. Johnson misses 3-pt shot from 26 ft
5:43.0,Defensive rebound by K. Korver,,15-10,,
5:37.0,P. Millsap makes 2-pt shot from 2 ft (assist by K. Korver),2,17-10,,
5:36.0,,,17-10,,Brooklyn full timeout
5:36.0,P. Antic enters the game for A. Horford,,17-10,,
5:36.0,K. Bazemore enters the game for D. Carroll,,17-10,,
5:36.0,,,17-10,,B. Lopez enters the game for T. Young
5:23.0,,,17-10,,Turnover by D. Williams (bad pass)
5:04.0,K. Korver makes 3-pt shot from 23 ft (assist by P. Millsap),3,20-10,,
4:51.0,Personal foul by P. Antic (drawn by B. Bogdanovic),,20-10,,
4:51.0,,,20-10,,J. Jack enters the game for M. Plumlee
4:39.0,,,20-12,2,B. Lopez makes 2-pt shot from 5 ft (assist by D. Williams)
4:25.0,K. Korver makes 3-pt shot from 27 ft (assist by J. Teague),3,23-12,,
3:55.0,,,23-12,,D. Williams misses 2-pt shot from 18 ft
3:54.0,Defensive rebound by P. Millsap,,23-12,,
3:45.0,J. Teague misses 2-pt shot from 2 ft,,23-12,,
3:44.0,,,23-12,,Defensive rebound by J. Jack
3:41.0,,,23-12,,Turnover by D. Williams (lost ball)
3:41.0,,,23-12,,A. Anderson enters the game for B. Bogdanovic
3:41.0,Atlanta full timeout,,23-12,,
3:41.0,D. Schroder enters the game for J. Teague,,23-12,,
3:32.0,Turnover by K. Korver (bad pass; steal by A. Anderson),,23-12,,
3:28.0,,,23-12,,B. Lopez misses 2-pt shot from 1 ft
3:26.0,,,23-12,,Offensive rebound by Team
3:26.0,Loose ball foul by K. Bazemore (drawn by B. Lopez),,23-12,,
3:11.0,,,23-14,2,B. Lopez makes 2-pt shot from 2 ft (assist by J. Johnson)
2:55.0,,,23-14,,Personal foul by A. Anderson (drawn by P. Millsap)
2:55.0,P. Millsap makes free throw 1 of 2,1,24-14,,
2:55.0,P. Millsap makes free throw 2 of 2,1,25-14,,
2:38.0,,,25-16,2,B. Lopez makes 2-pt shot from 5 ft (assist by D. Williams)
2:23.0,D. Schroder misses 3-pt shot from 25 ft,,25-16,,
2:22.0,,,25-16,,Defensive rebound by J. Jack
2:07.0,,,25-18,2,D. Williams makes 2-pt shot from 2 ft (assist by J. Johnson)
1:37.0,D. Schroder makes 2-pt shot from 2 ft,2,27-18,,
1:21.0,,,27-18,,Turnover by J. Jack (lost ball; steal by K. Korver)
1:13.0,,,27-18,,Personal foul by A. Anderson (drawn by K. Korver)
1:13.0,K. Korver makes free throw 1 of 2,1,28-18,,
1:13.0,D. Carroll enters the game for P. Millsap,,28-18,,
1:13.0,,,28-18,,M. Teletovic enters the game for D. Williams
1:13.0,A. Horford enters the game for K. Bazemore,,28-18,,
1:13.0,K. Korver makes free throw 2 of 2,1,29-18,,
1:00.0,,,29-20,2,B. Lopez makes 2-pt shot from 8 ft
1:00.0,,,29-20,,Shooting foul by P. Antic (drawn by B. Lopez)
1:00.0,K. Bazemore enters the game for K. Korver,,29-20,,
1:00.0,,,29-20,,B. Bogdanovic enters the game for A. Anderson
1:00.0,,,29-21,1,B. Lopez makes free throw 1 of 1
0:54.0,D. Schroder makes 2-pt shot from 2 ft,2,31-21,,
0:39.0,,,31-21,,Turnover by B. Lopez (lost ball; steal by K. Bazemore)
0:36.0,D. Schroder makes 2-pt shot from 1 ft,2,33-21,,
0:22.0,,,33-23,2,J. Jack makes 2-pt shot from 15 ft
0:01.0,D. Carroll makes 3-pt shot from 26 ft (assist by D. Schroder),3,36-23,,
0:00.0,,,36-23,,J. Johnson misses 3-pt shot from 50 ft
0:00.0,,,36-23,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Turnover by D. Schroder (lost ball),,36-23,,
11:31.0,,,36-23,,B. Lopez misses 2-pt shot from 4 ft
11:30.0,,,36-23,,Offensive rebound by Team
11:22.0,,,36-23,,A. Anderson misses 3-pt shot from 23 ft
11:21.0,,,36-23,,Offensive rebound by B. Bogdanovic
11:20.0,,,36-23,,B. Bogdanovic misses 2-pt shot from 7 ft
11:19.0,Defensive rebound by Team,,36-23,,
11:04.0,A. Horford misses 2-pt shot from 18 ft,,36-23,,
11:03.0,,,36-23,,Defensive rebound by B. Bogdanovic
10:54.0,,,36-23,,Turnover by B. Bogdanovic (lost ball)
10:41.0,D. Schroder makes 2-pt shot from 20 ft (assist by A. Horford),2,38-23,,
10:25.0,,,38-25,2,T. Young makes 2-pt shot from 3 ft (assist by J. Jack)
10:25.0,,,38-25,,Shooting foul by D. Carroll (drawn by T. Young)
10:25.0,,,38-25,,T. Young misses free throw 1 of 1
10:24.0,Defensive rebound by A. Horford,,38-25,,
10:10.0,K. Bazemore misses 3-pt shot from 25 ft,,38-25,,
10:09.0,,,38-25,,Defensive rebound by T. Young
9:55.0,Personal foul by D. Carroll (drawn by A. Anderson),,38-25,,
9:55.0,K. Korver enters the game for D. Carroll,,38-25,,
9:55.0,S. Mack enters the game for K. Bazemore,,38-25,,
9:44.0,,,38-25,,A. Anderson misses 2-pt shot from 11 ft
9:43.0,,,38-25,,Offensive rebound by B. Lopez
9:42.0,,,38-25,,B. Lopez misses 2-pt shot from 3 ft
9:41.0,Defensive rebound by Team,,38-25,,
9:36.0,K. Korver misses 3-pt shot from 25 ft,,38-25,,
9:35.0,,,38-25,,Defensive rebound by B. Bogdanovic
9:19.0,,,38-27,2,T. Young makes 2-pt shot from 5 ft
8:58.0,D. Schroder misses 2-pt shot from 10 ft (block by T. Young),,38-27,,
8:55.0,,,38-27,,Defensive rebound by A. Anderson
8:48.0,,,38-27,,A. Anderson misses 2-pt shot from 18 ft
8:47.0,,,38-27,,Offensive rebound by T. Young
