time,Portland,pts.away,score,pts.home,Memphis
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession),,,,Jump ball: M. Gasol vs. R. Lopez (Z. Randolph gains possession)
11:38.0,,,0-0,,T. Allen misses 2-pt shot from 20 ft
11:37.0,Defensive rebound by L. Aldridge,,0-0,,
11:31.0,Turnover by D. Lillard (bad pass),,0-0,,
11:18.0,,,0-2,2,Z. Randolph makes 2-pt shot from 1 ft
11:04.0,Turnover by A. Afflalo (lost ball; steal by T. Allen),,0-2,,
10:54.0,,,0-4,2,Z. Randolph makes 2-pt shot from 17 ft (assist by N. Calathes)
10:38.0,D. Lillard misses 2-pt shot from 21 ft,,0-4,,
10:37.0,,,0-4,,Defensive rebound by Z. Randolph
10:28.0,Violation by N. Batum (kicked ball),,0-4,,
10:19.0,,,0-6,2,Z. Randolph makes 2-pt shot from 19 ft (assist by C. Lee)
10:12.0,,,0-6,,Personal foul by Z. Randolph (drawn by L. Aldridge)
10:02.0,L. Aldridge misses 2-pt shot from 8 ft (block by T. Allen),,0-6,,
10:00.0,,,0-6,,Defensive rebound by Z. Randolph
9:53.0,,,0-6,,Turnover by Z. Randolph (bad pass)
9:37.0,A. Afflalo misses 2-pt shot from 7 ft,,0-6,,
9:35.0,,,0-6,,Defensive rebound by M. Gasol
9:26.0,,,0-8,2,C. Lee makes 2-pt shot from 19 ft
9:25.0,Portland full timeout,,0-8,,
9:03.0,Turnover by L. Aldridge (bad pass; steal by C. Lee),,0-8,,
8:58.0,,,0-10,2,C. Lee makes 2-pt shot from 13 ft
8:43.0,D. Lillard misses 3-pt shot from 25 ft,,0-10,,
8:42.0,,,0-10,,Defensive rebound by T. Allen
8:22.0,,,0-10,,N. Calathes misses 3-pt shot from 24 ft (block by D. Lillard)
8:20.0,Defensive rebound by N. Batum,,0-10,,
8:06.0,Shooting foul by C. Lee (drawn by N. Batum),,0-10,,
8:06.0,N. Batum misses free throw 1 of 2,,0-10,,
8:06.0,Offensive rebound by Team,,0-10,,
8:06.0,N. Batum makes free throw 2 of 2,1,1-10,,
7:52.0,Personal foul by R. Lopez (drawn by M. Gasol),,1-10,,
7:42.0,,,1-13,3,T. Allen makes 3-pt shot from 23 ft (assist by N. Calathes)
7:30.0,D. Lillard makes 2-pt shot from 1 ft,2,3-13,,
7:06.0,,,3-15,2,Z. Randolph makes 2-pt shot from 20 ft (assist by M. Gasol)
6:54.0,N. Batum makes 3-pt shot from 26 ft (assist by L. Aldridge),3,6-15,,
6:38.0,,,6-15,,Turnover by N. Calathes (lost ball)
6:38.0,M. Leonard enters the game for A. Afflalo,,6-15,,
6:38.0,C. McCollum enters the game for R. Lopez,,6-15,,
6:17.0,Turnover by D. Lillard (bad pass; steal by T. Allen),,6-15,,
6:03.0,,,6-15,,Shooting foul by M. Leonard (drawn by T. Allen)
6:03.0,,,6-16,1,T. Allen makes free throw 1 of 2
6:03.0,,,6-16,,T. Allen misses free throw 2 of 2
6:02.0,Defensive rebound by N. Batum,,6-16,,
5:45.0,N. Batum misses 3-pt shot from 26 ft,,6-16,,
5:44.0,,,6-16,,Defensive rebound by M. Gasol
5:24.0,,,6-16,,Turnover by M. Gasol (back court)
5:17.0,D. Lillard makes 2-pt shot from 1 ft,2,8-16,,
4:53.0,,,8-18,2,M. Gasol makes 2-pt shot from 10 ft (assist by N. Calathes)
4:44.0,D. Lillard misses 2-pt shot from 1 ft (block by M. Gasol),,8-18,,
4:40.0,,,8-18,,Defensive rebound by M. Gasol
4:30.0,,,8-18,,Z. Randolph misses 2-pt shot from 6 ft (block by L. Aldridge)
4:30.0,,,8-18,,Offensive rebound by Team
4:30.0,,,8-18,,B. Udrih enters the game for N. Calathes
4:21.0,,,8-18,,Z. Randolph misses 2-pt shot from 6 ft
4:19.0,,,8-18,,Offensive rebound by T. Allen
4:17.0,,,8-18,,Z. Randolph misses 2-pt shot from 3 ft
4:15.0,Defensive rebound by C. McCollum,,8-18,,
4:09.0,C. McCollum makes 2-pt shot from 2 ft,2,10-18,,
4:02.0,,,10-18,,Memphis full timeout
4:02.0,,,10-18,,J. Green enters the game for T. Allen
3:45.0,,,10-18,,J. Green misses 2-pt shot from 14 ft
3:44.0,,,10-18,,Offensive rebound by Team
3:44.0,Loose ball foul by M. Leonard (drawn by M. Gasol),,10-18,,
3:34.0,,,10-18,,B. Udrih misses 3-pt shot from 26 ft
3:33.0,Defensive rebound by D. Lillard,,10-18,,
3:17.0,L. Aldridge misses 2-pt shot from 4 ft,,10-18,,
3:15.0,Offensive rebound by M. Leonard,,10-18,,
3:15.0,,,10-18,,Personal foul by M. Gasol (drawn by M. Leonard)
3:12.0,D. Lillard makes 2-pt shot from 1 ft,2,12-18,,
3:12.0,Shooting foul by B. Udrih (drawn by D. Lillard),,12-18,,
3:12.0,R. Lopez enters the game for L. Aldridge,,12-18,,
3:12.0,D. Lillard makes free throw 1 of 1,1,13-18,,
2:57.0,,,13-18,,C. Lee misses 3-pt shot from 25 ft
2:56.0,Defensive rebound by R. Lopez,,13-18,,
2:50.0,,,13-18,,Personal foul by J. Green (drawn by D. Lillard)
2:50.0,D. Lillard makes free throw 1 of 2,1,14-18,,
2:50.0,D. Lillard makes free throw 2 of 2,1,15-18,,
2:30.0,,,15-20,2,M. Gasol makes 2-pt shot from 6 ft
2:14.0,C. McCollum makes 2-pt shot from 7 ft,2,17-20,,
1:55.0,,,17-20,,Z. Randolph misses 2-pt shot from 5 ft
1:53.0,Defensive rebound by R. Lopez,,17-20,,
