time,Charlotte,pts.away,score,pts.home,Golden State
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Bogut vs. A. Jefferson (S. Curry gains possession),,,,Jump ball: A. Bogut vs. A. Jefferson (S. Curry gains possession)
11:46.0,,,0-0,,S. Curry misses 3-pt shot from 26 ft
11:45.0,Defensive rebound by M. Williams,,0-0,,
11:25.0,M. Williams misses 2-pt shot at rim,,0-0,,
11:24.0,,,0-0,,Defensive rebound by H. Barnes
11:16.0,,,0-0,,Offensive foul by H. Barnes
11:16.0,,,0-0,,Turnover by H. Barnes (offensive foul)
11:00.0,Turnover by L. Stephenson (lost ball; steal by K. Thompson),,0-0,,
10:44.0,,,0-3,3,H. Barnes makes 3-pt shot from 22 ft (assist by S. Curry)
10:31.0,P. Hairston misses 2-pt shot from 2 ft,,0-3,,
10:30.0,,,0-3,,Defensive rebound by A. Bogut
10:21.0,,,0-3,,H. Barnes misses 2-pt shot from 17 ft
10:20.0,Defensive rebound by K. Walker,,0-3,,
10:12.0,A. Jefferson misses 2-pt shot from 19 ft,,0-3,,
10:11.0,,,0-3,,Defensive rebound by K. Thompson
9:53.0,,,0-3,,D. Green misses 2-pt shot from 2 ft
9:50.0,,,0-3,,Offensive rebound by A. Bogut
9:50.0,,,0-5,2,A. Bogut makes 2-pt shot at rim
9:39.0,L. Stephenson makes 3-pt shot from 26 ft,3,3-5,,
9:21.0,,,3-7,2,D. Green makes 2-pt shot from 2 ft
9:00.0,L. Stephenson makes 2-pt shot from 8 ft,2,5-7,,
8:43.0,,,5-9,2,A. Bogut makes 2-pt shot from 10 ft (assist by S. Curry)
8:27.0,M. Williams misses 3-pt shot from 25 ft,,5-9,,
8:27.0,,,5-9,,Defensive rebound by Team
8:16.0,,,5-9,,K. Thompson misses 2-pt shot from 20 ft
8:15.0,Defensive rebound by A. Jefferson,,5-9,,
7:55.0,A. Jefferson makes 2-pt shot from 16 ft (assist by K. Walker),2,7-9,,
7:44.0,,,7-9,,S. Curry misses 3-pt shot from 26 ft
7:43.0,,,7-9,,Offensive rebound by A. Bogut
7:43.0,,,7-9,,Shooting foul by A. Jefferson (drawn by A. Bogut)
7:43.0,,,7-9,,A. Bogut misses free throw 1 of 2
7:43.0,,,7-9,,Offensive rebound by Team
7:43.0,,,7-10,1,A. Bogut makes free throw 2 of 2
7:29.0,L. Stephenson makes 2-pt shot from 1 ft,2,9-10,,
7:08.0,,,9-12,2,H. Barnes makes 2-pt shot from 8 ft
6:45.0,P. Hairston makes 3-pt shot from 25 ft (assist by A. Jefferson),3,12-12,,
6:32.0,,,12-14,2,S. Curry makes 2-pt shot from 17 ft
6:18.0,,,12-14,,Personal foul by S. Curry (drawn by K. Walker)
6:18.0,G. Henderson enters the game for P. Hairston,,12-14,,
6:12.0,A. Jefferson makes 2-pt shot from 16 ft (assist by L. Stephenson),2,14-14,,
6:02.0,,,14-14,,Turnover by A. Bogut (bad pass; steal by G. Henderson)
5:51.0,A. Jefferson makes 2-pt shot at rim (assist by L. Stephenson),2,16-14,,
5:36.0,,,16-16,2,A. Bogut makes 2-pt shot from 13 ft (assist by K. Thompson)
5:25.0,L. Stephenson misses 2-pt shot from 17 ft,,16-16,,
5:24.0,,,16-16,,Defensive rebound by H. Barnes
5:19.0,,,16-16,,K. Thompson misses 3-pt shot from 26 ft
5:18.0,Defensive rebound by A. Jefferson,,16-16,,
5:15.0,Charlotte full timeout,,16-16,,
5:15.0,C. Zeller enters the game for M. Williams,,16-16,,
5:15.0,,,16-16,,A. Iguodala enters the game for H. Barnes
5:09.0,K. Walker misses 2-pt shot from 18 ft,,16-16,,
5:08.0,,,16-16,,Defensive rebound by D. Green
4:56.0,,,16-16,,K. Thompson misses 2-pt shot from 18 ft
4:54.0,Defensive rebound by G. Henderson,,16-16,,
4:43.0,A. Jefferson misses 2-pt shot from 10 ft,,16-16,,
4:42.0,,,16-16,,Defensive rebound by A. Bogut
4:32.0,,,16-18,2,A. Bogut makes 2-pt shot at rim (assist by S. Curry)
4:12.0,A. Jefferson makes 2-pt shot from 17 ft (assist by L. Stephenson),2,18-18,,
4:03.0,,,18-20,2,S. Curry makes 2-pt shot from 18 ft
3:46.0,A. Jefferson makes 2-pt shot from 4 ft,2,20-20,,
3:39.0,,,20-22,2,S. Curry makes 2-pt shot from 19 ft
3:17.0,L. Stephenson makes 2-pt shot from 10 ft,2,22-22,,
3:07.0,,,22-24,2,D. Green makes 2-pt shot at rim (assist by S. Curry)
2:48.0,A. Jefferson misses 2-pt shot from 16 ft,,22-24,,
2:47.0,,,22-24,,Defensive rebound by D. Green
2:43.0,,,22-24,,Golden State full timeout
2:43.0,B. Biyombo enters the game for L. Stephenson,,22-24,,
2:43.0,G. Neal enters the game for A. Jefferson,,22-24,,
2:43.0,,,22-24,,L. Barbosa enters the game for K. Thompson
2:34.0,,,22-24,,S. Curry misses 3-pt shot from 27 ft
2:33.0,Defensive rebound by C. Zeller,,22-24,,
2:23.0,C. Zeller misses 2-pt shot from 20 ft,,22-24,,
2:23.0,,,22-24,,Defensive rebound by S. Curry
2:15.0,,,22-24,,S. Curry misses 2-pt shot from 10 ft
2:14.0,Defensive rebound by G. Neal,,22-24,,
2:07.0,G. Henderson misses 2-pt shot from 15 ft,,22-24,,
2:06.0,,,22-24,,Defensive rebound by L. Barbosa
2:02.0,Personal foul by G. Henderson (drawn by A. Iguodala),,22-24,,
2:02.0,,,22-24,,M. Speights enters the game for A. Bogut
1:57.0,B. Roberts enters the game for K. Walker,,22-24,,
1:48.0,,,22-24,,L. Barbosa misses 2-pt shot from 4 ft
1:47.0,,,22-24,,Offensive rebound by D. Green
1:44.0,,,22-26,2,M. Speights makes 2-pt shot from 1 ft (assist by D. Green)
1:24.0,Turnover by G. Henderson (lost ball; steal by L. Barbosa),,22-26,,
1:19.0,,,22-28,2,L. Barbosa makes 2-pt shot at rim (assist by S. Curry)
1:04.0,C. Zeller misses 2-pt shot from 19 ft,,22-28,,
1:04.0,,,22-28,,Defensive rebound by Team
1:04.0,Loose ball foul by B. Biyombo (drawn by M. Speights),,22-28,,
1:04.0,,,22-28,,H. Barnes enters the game for D. Green
1:04.0,,,22-28,,S. Livingston enters the game for S. Curry
0:46.0,,,22-28,,A. Iguodala misses 2-pt shot from 22 ft
0:44.0,Defensive rebound by G. Neal,,22-28,,
0:37.0,G. Neal misses 2-pt shot from 7 ft,,22-28,,
0:35.0,,,22-28,,Defensive rebound by M. Speights
0:30.0,,,22-28,,H. Barnes misses 3-pt shot from 27 ft
0:29.0,Defensive rebound by B. Biyombo,,22-28,,
0:08.0,B. Roberts misses 2-pt shot from 18 ft,,22-28,,
0:08.0,Offensive rebound by C. Zeller,,22-28,,
0:07.0,Shooting foul by L. Barbosa (drawn by C. Zeller),,22-28,,
0:07.0,C. Zeller makes free throw 1 of 2,1,23-28,,
0:07.0,C. Zeller misses free throw 2 of 2,,23-28,,
0:06.0,,,23-28,,Defensive rebound by A. Iguodala
0:01.0,,,23-28,,Turnover by A. Iguodala (lost ball; steal by G. Henderson)
0:00.0,End of 1st quarter,,,,End of 1st quarter
