time,Detroit,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Drummond vs. L. Sanders (D. Augustin gains possession),,,,Jump ball: A. Drummond vs. L. Sanders (D. Augustin gains possession)
11:41.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,0-0,,
11:40.0,,,0-0,,Defensive rebound by B. Knight
11:18.0,,,0-0,,L. Sanders misses 2-pt shot from 3 ft
11:17.0,,,0-0,,Offensive rebound by J. Parker
11:09.0,,,0-0,,G. Antetokounmpo misses 2-pt shot at rim
11:07.0,,,0-0,,Offensive rebound by G. Antetokounmpo
11:04.0,,,0-0,,G. Antetokounmpo misses 2-pt shot from 2 ft
11:03.0,,,0-0,,Offensive rebound by J. Parker
11:03.0,,,0-2,2,J. Parker makes 2-pt shot at rim
10:37.0,D. Augustin misses 2-pt shot from 13 ft,,0-2,,
10:37.0,,,0-2,,Defensive rebound by Team
10:18.0,,,0-2,,G. Antetokounmpo misses 3-pt shot from 26 ft
10:16.0,Defensive rebound by A. Drummond,,0-2,,
10:06.0,G. Monroe misses 2-pt shot from 5 ft,,0-2,,
10:05.0,,,0-2,,Defensive rebound by L. Sanders
9:59.0,,,0-4,2,J. Parker makes 2-pt shot from 2 ft (assist by B. Knight)
9:47.0,J. Smith misses 2-pt shot from 2 ft,,0-4,,
9:46.0,Offensive rebound by J. Smith,,0-4,,
9:45.0,J. Smith makes 2-pt shot at rim,2,2-4,,
9:30.0,,,2-4,,G. Antetokounmpo misses 2-pt shot at rim
9:28.0,Defensive rebound by A. Drummond,,2-4,,
9:20.0,,,2-4,,Personal foul by J. Parker (drawn by G. Monroe)
9:13.0,Turnover by A. Drummond (3 sec),,2-4,,
9:02.0,,,2-4,,J. Parker misses 2-pt shot from 1 ft
9:00.0,,,2-4,,Offensive rebound by L. Sanders
9:00.0,,,2-6,2,L. Sanders makes 2-pt shot at rim
8:42.0,G. Monroe makes 2-pt shot at rim,2,4-6,,
8:19.0,,,4-6,,Turnover by G. Antetokounmpo (lost ball; steal by K. Caldwell-Pope)
8:14.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,6-6,,
8:02.0,,,6-8,2,L. Sanders makes 2-pt shot at rim (assist by O. Mayo)
7:38.0,J. Smith makes 3-pt shot from 24 ft (assist by D. Augustin),3,9-8,,
7:20.0,,,9-10,2,O. Mayo makes 2-pt shot from 5 ft
7:20.0,,,9-10,,Shooting foul by A. Drummond (drawn by O. Mayo)
7:20.0,,,9-11,1,O. Mayo makes free throw 1 of 1
7:04.0,,,9-11,,Personal foul by B. Knight (drawn by D. Augustin)
6:53.0,G. Monroe misses 2-pt shot from 2 ft (block by L. Sanders),,9-11,,
6:53.0,Offensive rebound by Team,,9-11,,
6:52.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,11-11,,
6:39.0,,,11-14,3,B. Knight makes 3-pt shot from 25 ft
6:28.0,Turnover by J. Smith (bad pass),,11-14,,
6:15.0,,,11-16,2,J. Parker makes 2-pt shot from 19 ft (assist by B. Knight)
5:54.0,K. Caldwell-Pope makes 3-pt shot from 24 ft,3,14-16,,
5:39.0,,,14-16,,O. Mayo misses 2-pt shot from 14 ft
5:38.0,Defensive rebound by G. Monroe,,14-16,,
5:32.0,A. Drummond misses 2-pt shot at rim,,14-16,,
5:29.0,,,14-16,,Defensive rebound by G. Antetokounmpo
5:23.0,,,14-16,,Turnover by B. Knight (bad pass; steal by K. Caldwell-Pope)
5:19.0,D. Augustin makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,16-16,,
5:10.0,,,16-16,,Milwaukee full timeout
5:10.0,C. Butler enters the game for G. Monroe,,16-16,,
5:04.0,Personal foul by K. Caldwell-Pope (drawn by O. Mayo),,16-16,,
4:57.0,,,16-18,2,L. Sanders makes 2-pt shot at rim (assist by O. Mayo)
4:41.0,J. Smith misses 2-pt shot from 2 ft,,16-18,,
4:39.0,Offensive rebound by J. Smith,,16-18,,
4:39.0,J. Smith makes 2-pt shot at rim,2,18-18,,
4:23.0,,,18-18,,J. Parker misses 2-pt shot from 1 ft (block by A. Drummond)
4:20.0,Defensive rebound by J. Smith,,18-18,,
4:17.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,20-18,,
4:07.0,,,20-18,,O. Mayo misses 3-pt shot from 24 ft
4:06.0,,,20-18,,Offensive rebound by L. Sanders
4:05.0,,,20-20,2,L. Sanders makes 2-pt shot at rim
3:50.0,Turnover by D. Augustin (lost ball),,20-20,,
3:39.0,,,20-22,2,B. Knight makes 2-pt shot from 9 ft
3:14.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,20-22,,
3:13.0,,,20-22,,Defensive rebound by J. Parker
3:12.0,,,20-22,,Turnover by J. Parker (lost ball)
3:12.0,,,20-22,,K. Middleton enters the game for O. Mayo
3:03.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,22-22,,
2:50.0,Personal foul by D. Augustin (drawn by L. Sanders),,22-22,,
2:50.0,Detroit full timeout,,22-22,,
2:50.0,,,22-22,,E. Ilyasova enters the game for J. Parker
2:50.0,,,22-22,,J. Bayless enters the game for B. Knight
2:43.0,,,22-22,,G. Antetokounmpo misses 2-pt shot from 2 ft (block by A. Drummond)
2:40.0,,,22-22,,Offensive rebound by L. Sanders
2:40.0,,,22-24,2,L. Sanders makes 2-pt shot at rim
2:28.0,J. Smith misses 2-pt shot at rim,,22-24,,
2:26.0,,,22-24,,Defensive rebound by L. Sanders
2:20.0,,,22-24,,K. Middleton misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by A. Drummond,,22-24,,
2:07.0,K. Caldwell-Pope misses 2-pt shot from 10 ft,,22-24,,
2:07.0,,,22-24,,Defensive rebound by Team
2:07.0,K. Singler enters the game for K. Caldwell-Pope,,22-24,,
1:56.0,,,22-24,,E. Ilyasova misses 2-pt shot from 14 ft
1:56.0,Defensive rebound by Team,,22-24,,
1:56.0,,,22-24,,Loose ball foul by L. Sanders (drawn by A. Drummond)
1:48.0,,,22-24,,Personal foul by J. Bayless (drawn by D. Augustin)
1:48.0,D. Augustin makes free throw 1 of 2,1,23-24,,
1:48.0,D. Augustin makes free throw 2 of 2,1,24-24,,
1:33.0,,,24-24,,K. Middleton misses 2-pt shot from 9 ft
1:32.0,Defensive rebound by A. Drummond,,24-24,,
1:23.0,K. Singler makes 3-pt shot from 23 ft (assist by J. Smith),3,27-24,,
1:06.0,,,27-26,2,G. Antetokounmpo makes 2-pt shot from 15 ft
0:53.0,A. Drummond makes 2-pt shot at rim (assist by J. Smith),2,29-26,,
0:45.0,,,29-26,,E. Ilyasova misses 3-pt shot from 24 ft
0:43.0,Defensive rebound by A. Drummond,,29-26,,
0:33.0,A. Drummond makes 2-pt shot at rim (assist by D. Augustin),2,31-26,,
0:16.0,,,31-26,,Turnover by J. Bayless (bad pass; steal by J. Smith)
0:12.0,Turnover by J. Smith (bad pass; steal by G. Antetokounmpo),,31-26,,
0:11.0,,,31-26,,Offensive foul by G. Antetokounmpo
0:11.0,,,31-26,,Turnover by G. Antetokounmpo (offensive foul)
0:11.0,G. Monroe enters the game for A. Drummond,,31-26,,
0:11.0,,,31-26,,Z. Pachulia enters the game for L. Sanders
0:01.0,J. Smith misses 2-pt shot from 22 ft,,31-26,,
0:00.0,Offensive rebound by Team,,31-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,31-26,,Turnover by J. Henson (traveling)
11:22.0,K. Singler misses 3-pt shot from 26 ft,,31-26,,
11:21.0,,,31-26,,Defensive rebound by J. Dudley
10:59.0,,,31-29,3,E. Ilyasova makes 3-pt shot from 24 ft (assist by J. Bayless)
10:39.0,C. Butler makes 2-pt shot from 15 ft (assist by J. Smith),2,33-29,,
10:23.0,Personal foul by J. Smith (drawn by J. Bayless),,33-29,,
10:23.0,J. Jerebko enters the game for J. Smith,,33-29,,
10:23.0,S. Dinwiddie enters the game for D. Augustin,,33-29,,
10:15.0,,,33-29,,E. Ilyasova misses 2-pt shot from 17 ft
10:13.0,,,33-29,,Offensive rebound by J. Henson
10:11.0,,,33-29,,J. Henson misses 2-pt shot from 1 ft
10:10.0,Defensive rebound by K. Singler,,33-29,,
10:00.0,Turnover by C. Butler (bad pass; steal by K. Middleton),,33-29,,
9:49.0,,,33-32,3,K. Middleton makes 3-pt shot from 25 ft (assist by J. Bayless)
9:29.0,C. Butler makes 2-pt shot from 21 ft (assist by S. Dinwiddie),2,35-32,,
9:10.0,,,35-34,2,E. Ilyasova makes 2-pt shot at rim
8:51.0,Turnover by G. Monroe (lost ball),,35-34,,
8:51.0,Official timeout,,35-34,,
8:38.0,,,35-34,,E. Ilyasova misses 2-pt shot from 1 ft
8:36.0,Defensive rebound by G. Monroe,,35-34,,
8:17.0,S. Dinwiddie misses 2-pt shot at rim,,35-34,,
8:15.0,Offensive rebound by G. Monroe,,35-34,,
8:15.0,G. Monroe misses 2-pt shot at rim,,35-34,,
8:14.0,,,35-34,,Defensive rebound by J. Dudley
8:08.0,,,35-36,2,J. Bayless makes 2-pt shot at rim
8:05.0,,,35-36,,Personal take foul by J. Dudley (drawn by S. Dinwiddie)
8:05.0,,,35-36,,Z. Pachulia enters the game for J. Henson
7:53.0,Turnover by S. Dinwiddie (lost ball; steal by J. Bayless),,35-36,,
7:44.0,,,35-36,,Turnover by J. Bayless (bad pass; steal by J. Jerebko)
7:25.0,G. Monroe makes 2-pt shot at rim (assist by S. Dinwiddie),2,37-36,,
7:00.0,,,37-36,,Z. Pachulia misses 2-pt shot from 12 ft
7:00.0,,,37-36,,Offensive rebound by Team
7:00.0,,,37-36,,Turnover by Team (shot clock)
6:49.0,,,37-36,,Personal foul by Z. Pachulia (drawn by K. Singler)
6:49.0,,,37-36,,B. Knight enters the game for J. Bayless
6:34.0,C. Butler misses 2-pt shot from 18 ft,,37-36,,
6:33.0,Offensive rebound by J. Jerebko,,37-36,,
6:22.0,,,37-36,,Personal foul by J. Dudley (drawn by G. Monroe)
6:07.0,K. Singler makes 3-pt shot from 23 ft (assist by S. Dinwiddie),3,40-36,,
5:52.0,,,40-36,,Turnover by K. Middleton (traveling)
5:52.0,,,40-36,,Milwaukee full timeout
5:52.0,,,40-36,,J. Parker enters the game for K. Middleton
5:52.0,,,40-36,,O. Mayo enters the game for E. Ilyasova
5:52.0,,,40-36,,G. Antetokounmpo enters the game for J. Dudley
5:42.0,G. Monroe makes 2-pt shot at rim,2,42-36,,
5:23.0,,,42-36,,Turnover by O. Mayo (bad pass; steal by S. Dinwiddie)
5:19.0,Turnover by C. Butler (bad pass),,42-36,,
5:16.0,,,42-36,,Turnover by B. Knight (bad pass)
5:00.0,C. Butler misses 2-pt shot from 17 ft,,42-36,,
4:59.0,,,42-36,,Defensive rebound by O. Mayo
4:35.0,,,42-36,,B. Knight misses 2-pt shot from 17 ft
4:34.0,Defensive rebound by K. Singler,,42-36,,
4:31.0,K. Singler makes 2-pt shot at rim,2,44-36,,
4:15.0,,,44-38,2,O. Mayo makes 2-pt shot from 17 ft (assist by B. Knight)
