time,Memphis,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gasol vs. L. Sanders (J. Dudley gains possession),,,,Jump ball: M. Gasol vs. L. Sanders (J. Dudley gains possession)
11:43.0,Personal block foul by Z. Randolph (drawn by E. Ilyasova),,0-0,,
11:32.0,,,0-3,3,B. Knight makes 3-pt shot from 23 ft (assist by J. Parker)
11:15.0,Turnover by T. Allen (bad pass; steal by L. Sanders),,0-3,,
11:05.0,,,0-5,2,J. Parker makes 2-pt shot from 14 ft (assist by B. Knight)
10:41.0,C. Lee misses 2-pt shot from 19 ft,,0-5,,
10:40.0,,,0-5,,Defensive rebound by E. Ilyasova
10:32.0,,,0-5,,L. Sanders misses 2-pt shot at rim
10:31.0,,,0-5,,Offensive rebound by L. Sanders
10:31.0,,,0-7,2,L. Sanders makes 2-pt shot at rim
10:31.0,Memphis full timeout,,0-7,,
10:12.0,Turnover by C. Lee (bad pass; steal by L. Sanders),,0-7,,
10:08.0,,,0-7,,J. Parker misses 2-pt shot at rim
10:06.0,Defensive rebound by C. Lee,,0-7,,
10:00.0,T. Allen misses 2-pt shot from 1 ft (block by J. Parker),,0-7,,
9:57.0,Offensive rebound by Team,,0-7,,
9:57.0,Jump ball: T. Allen vs. J. Parker (M. Conley gains possession),,,,Jump ball: T. Allen vs. J. Parker (M. Conley gains possession)
9:42.0,M. Gasol makes 2-pt shot from 4 ft (assist by C. Lee),2,2-7,,
9:15.0,,,2-7,,E. Ilyasova misses 2-pt shot from 1 ft
9:15.0,,,2-7,,Offensive rebound by Team
9:15.0,,,2-7,,Turnover by Team (shot clock)
9:00.0,T. Allen misses 2-pt shot from 1 ft,,2-7,,
8:58.0,,,2-7,,Defensive rebound by E. Ilyasova
8:50.0,,,2-7,,Turnover by B. Knight (bad pass; steal by M. Conley)
8:46.0,C. Lee makes 2-pt shot at rim (assist by M. Conley),2,4-7,,
8:32.0,,,4-9,2,E. Ilyasova makes 2-pt shot from 20 ft (assist by B. Knight)
8:20.0,,,4-9,,Shooting block foul by E. Ilyasova (drawn by Z. Randolph)
8:20.0,Z. Randolph makes free throw 1 of 2,1,5-9,,
8:20.0,Z. Randolph makes free throw 2 of 2,1,6-9,,
7:58.0,,,6-12,3,J. Parker makes 3-pt shot from 23 ft (assist by B. Knight)
7:49.0,T. Allen misses 2-pt shot from 4 ft (block by L. Sanders),,6-12,,
7:47.0,,,6-12,,Defensive rebound by L. Sanders
7:43.0,,,6-12,,Turnover by L. Sanders (offensive goaltending)
7:31.0,,,6-12,,Personal foul by L. Sanders (drawn by M. Gasol)
7:31.0,T. Prince enters the game for T. Allen,,6-12,,
7:22.0,,,6-12,,Def 3 sec tech foul by J. Parker
7:22.0,C. Lee makes technical free throw,1,7-12,,
7:14.0,T. Prince makes 2-pt shot from 18 ft (assist by M. Conley),2,9-12,,
7:01.0,,,9-14,2,B. Knight makes 2-pt shot from 18 ft
6:55.0,,,9-14,,Shooting block foul by L. Sanders (drawn by T. Prince)
6:55.0,T. Prince makes free throw 1 of 2,1,10-14,,
6:55.0,,,10-14,,Z. Pachulia enters the game for L. Sanders
6:55.0,,,10-14,,G. Antetokounmpo enters the game for J. Parker
6:55.0,T. Prince makes free throw 2 of 2,1,11-14,,
6:42.0,,,11-14,,J. Dudley misses 2-pt shot from 10 ft
6:42.0,Defensive rebound by Team,,11-14,,
6:42.0,,,11-14,,Loose ball foul by Z. Pachulia (drawn by M. Gasol)
6:25.0,T. Prince misses 2-pt shot from 14 ft,,11-14,,
6:24.0,Offensive rebound by Z. Randolph,,11-14,,
6:13.0,Z. Randolph misses 2-pt shot from 11 ft,,11-14,,
6:12.0,,,11-14,,Defensive rebound by B. Knight
6:04.0,Shooting block foul by T. Prince (drawn by E. Ilyasova),,11-14,,
6:04.0,,,11-14,,E. Ilyasova misses free throw 1 of 2
6:04.0,,,11-14,,Offensive rebound by Team
6:04.0,,,11-15,1,E. Ilyasova makes free throw 2 of 2
5:47.0,Turnover by M. Gasol (3 sec),,11-15,,
5:47.0,J. Leuer enters the game for Z. Randolph,,11-15,,
5:37.0,,,11-15,,Turnover by B. Knight (lost ball; steal by T. Prince)
5:33.0,J. Leuer misses 2-pt shot from 2 ft,,11-15,,
5:30.0,Offensive rebound by M. Gasol,,11-15,,
5:29.0,M. Gasol makes 2-pt shot at rim,2,13-15,,
5:06.0,,,13-17,2,E. Ilyasova makes 2-pt shot from 17 ft (assist by J. Dudley)
4:53.0,M. Conley misses 2-pt shot from 5 ft,,13-17,,
4:52.0,,,13-17,,Defensive rebound by E. Ilyasova
4:40.0,,,13-17,,G. Antetokounmpo misses 2-pt shot from 11 ft
4:39.0,Defensive rebound by J. Leuer,,13-17,,
4:31.0,,,13-17,,Personal foul by Z. Pachulia (drawn by M. Gasol)
4:31.0,M. Gasol makes free throw 1 of 2,1,14-17,,
4:31.0,M. Gasol makes free throw 2 of 2,1,15-17,,
4:21.0,,,15-17,,Turnover by B. Knight (lost ball; steal by M. Conley)
4:07.0,Turnover by M. Conley (traveling),,15-17,,
3:58.0,,,15-17,,Turnover by J. Dudley (back court)
3:50.0,,,15-17,,Personal foul by B. Knight (drawn by M. Conley)
3:50.0,M. Conley makes free throw 1 of 2,1,16-17,,
3:50.0,,,16-17,,O. Mayo enters the game for J. Dudley
3:50.0,M. Conley makes free throw 2 of 2,1,17-17,,
3:39.0,,,17-17,,Turnover by O. Mayo (bad pass)
3:25.0,T. Prince makes 2-pt shot from 18 ft (assist by M. Conley),2,19-17,,
3:24.0,,,19-17,,Milwaukee full timeout
3:24.0,,,19-17,,J. Bayless enters the game for B. Knight
2:59.0,,,19-17,,O. Mayo misses 2-pt shot from 16 ft
2:58.0,Defensive rebound by J. Leuer,,19-17,,
2:43.0,M. Conley misses 2-pt shot at rim,,19-17,,
2:41.0,,,19-17,,Defensive rebound by G. Antetokounmpo
2:26.0,,,19-19,2,Z. Pachulia makes 2-pt shot at rim (assist by G. Antetokounmpo)
2:04.0,Shooting foul by G. Antetokounmpo (drawn by M. Gasol),,19-19,,
2:04.0,M. Gasol makes free throw 1 of 2,1,20-19,,
2:04.0,B. Udrih enters the game for M. Conley,,20-19,,
2:04.0,Q. Pondexter enters the game for C. Lee,,20-19,,
2:04.0,M. Gasol makes free throw 2 of 2,1,21-19,,
1:44.0,,,21-21,2,E. Ilyasova makes 2-pt shot at rim (assist by O. Mayo)
1:23.0,M. Gasol misses 2-pt shot from 15 ft,,21-21,,
1:23.0,,,21-21,,Defensive rebound by Team
1:23.0,Loose ball foul by J. Leuer (drawn by E. Ilyasova),,21-21,,
1:11.0,,,21-21,,Turnover by O. Mayo (palming)
0:56.0,B. Udrih misses 3-pt shot from 25 ft,,21-21,,
0:55.0,,,21-21,,Defensive rebound by E. Ilyasova
0:45.0,,,21-21,,Turnover by J. Bayless (bad pass; steal by M. Gasol)
0:38.0,Q. Pondexter misses 3-pt shot from 24 ft,,21-21,,
0:36.0,Offensive rebound by J. Leuer,,21-21,,
0:28.0,T. Prince misses 2-pt shot from 13 ft,,21-21,,
0:27.0,Offensive rebound by J. Leuer,,21-21,,
0:27.0,J. Leuer makes 2-pt shot at rim,2,23-21,,
0:01.0,,,23-21,,J. Bayless misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by Q. Pondexter,,23-21,,
0:00.0,Q. Pondexter misses 3-pt shot from 39 ft,,23-21,,
0:00.0,Offensive rebound by Team,,23-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,Q. Pondexter makes 2-pt shot at rim,2,25-21,,
11:16.0,,,25-23,2,O. Mayo makes 2-pt shot from 6 ft (assist by J. Henson)
10:50.0,J. Leuer makes 2-pt shot from 10 ft (assist by Q. Pondexter),2,27-23,,
10:29.0,,,27-23,,J. Henson misses 2-pt shot at rim
10:28.0,,,27-23,,Offensive rebound by Team
10:18.0,,,27-25,2,J. Parker makes 2-pt shot from 15 ft (assist by O. Mayo)
10:04.0,Turnover by J. Leuer (bad pass; steal by O. Mayo),,27-25,,
9:59.0,,,27-27,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
9:49.0,Turnover by B. Udrih (lost ball; steal by J. Bayless),,27-27,,
9:49.0,Personal foul by B. Udrih (drawn by J. Bayless),,27-27,,
9:36.0,Shooting block foul by J. Leuer (drawn by G. Antetokounmpo),,27-27,,
9:36.0,,,27-28,1,G. Antetokounmpo makes free throw 1 of 2
9:36.0,T. Allen enters the game for T. Prince,,27-28,,
9:36.0,,,27-29,1,G. Antetokounmpo makes free throw 2 of 2
9:16.0,Q. Pondexter misses 3-pt shot from 25 ft,,27-29,,
9:15.0,,,27-29,,Defensive rebound by O. Mayo
9:12.0,,,27-29,,Turnover by O. Mayo (lost ball; steal by T. Allen)
9:04.0,Q. Pondexter makes 2-pt shot at rim (assist by T. Allen),2,29-29,,
8:49.0,,,29-31,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
8:33.0,K. Koufos makes 2-pt shot at rim (assist by T. Allen),2,31-31,,
8:31.0,,,31-31,,Milwaukee full timeout
8:31.0,Z. Randolph enters the game for J. Leuer,,31-31,,
8:17.0,,,31-33,2,G. Antetokounmpo makes 2-pt shot from 17 ft
8:05.0,Shooting foul by O. Mayo (drawn by Q. Pondexter),,31-33,,
8:05.0,Q. Pondexter misses free throw 1 of 2,,31-33,,
8:05.0,Offensive rebound by Team,,31-33,,
8:05.0,Q. Pondexter makes free throw 2 of 2,1,32-33,,
7:52.0,,,32-33,,J. Parker misses 3-pt shot from 24 ft
7:50.0,,,32-33,,Offensive rebound by J. Henson
7:48.0,,,32-33,,J. Henson misses 2-pt shot from 2 ft
7:47.0,Defensive rebound by Z. Randolph,,32-33,,
7:41.0,Offensive foul by K. Koufos,,32-33,,
7:41.0,Turnover by K. Koufos (offensive foul),,32-33,,
7:25.0,,,32-33,,J. Bayless misses 2-pt shot from 2 ft
7:23.0,,,32-33,,Offensive rebound by J. Henson
7:17.0,,,32-33,,G. Antetokounmpo misses 2-pt shot from 2 ft
7:15.0,Defensive rebound by Z. Randolph,,32-33,,
7:05.0,,,32-33,,Personal foul by G. Antetokounmpo (drawn by Z. Randolph)
6:52.0,Q. Pondexter misses 2-pt shot at rim,,32-33,,
6:50.0,Offensive rebound by K. Koufos,,32-33,,
6:50.0,K. Koufos misses 2-pt shot at rim,,32-33,,
6:50.0,Offensive rebound by Team,,32-33,,
6:48.0,Q. Pondexter misses 2-pt shot at rim (block by G. Antetokounmpo),,32-33,,
6:45.0,,,32-33,,Defensive rebound by J. Parker
6:44.0,,,32-35,2,J. Parker makes 2-pt shot at rim (assist by J. Bayless)
6:44.0,Memphis full timeout,,32-35,,
6:44.0,C. Lee enters the game for Q. Pondexter,,32-35,,
6:29.0,C. Lee misses 3-pt shot from 24 ft,,32-35,,
6:27.0,,,32-35,,Defensive rebound by O. Mayo
6:21.0,,,32-35,,O. Mayo misses 3-pt shot from 26 ft
6:19.0,Defensive rebound by C. Lee,,32-35,,
6:15.0,Shooting foul by J. Bayless (drawn by Z. Randolph),,32-35,,
6:15.0,Z. Randolph makes free throw 1 of 2,1,33-35,,
6:15.0,Z. Randolph makes free throw 2 of 2,1,34-35,,
5:54.0,,,34-35,,G. Antetokounmpo misses 2-pt shot from 5 ft
5:53.0,Defensive rebound by C. Lee,,34-35,,
5:43.0,T. Allen makes 2-pt shot from 4 ft,2,36-35,,
5:21.0,,,36-35,,G. Antetokounmpo misses 3-pt shot from 26 ft
5:20.0,Defensive rebound by K. Koufos,,36-35,,
4:58.0,C. Lee makes 3-pt shot from 23 ft (assist by K. Koufos),3,39-35,,
4:32.0,,,39-37,2,O. Mayo makes 2-pt shot from 15 ft
4:10.0,K. Koufos misses 2-pt shot from 1 ft,,39-37,,
4:09.0,Offensive rebound by Z. Randolph,,39-37,,
4:09.0,Z. Randolph makes 2-pt shot at rim,2,41-37,,
4:00.0,,,41-37,,J. Parker misses 2-pt shot from 15 ft
3:57.0,Defensive rebound by Z. Randolph,,41-37,,
3:43.0,B. Udrih misses 3-pt shot from 23 ft,,41-37,,
3:42.0,,,41-37,,Defensive rebound by J. Parker
3:38.0,,,41-39,2,J. Henson makes 2-pt shot at rim (assist by O. Mayo)
3:21.0,Memphis full timeout,,41-39,,
3:21.0,M. Gasol enters the game for B. Udrih,,41-39,,
3:21.0,M. Conley enters the game for K. Koufos,,41-39,,
3:21.0,,,41-39,,L. Sanders enters the game for J. Bayless
3:21.0,,,41-39,,B. Knight enters the game for J. Henson
3:14.0,Turnover by M. Gasol (3 sec),,41-39,,
2:57.0,,,41-39,,L. Sanders misses 2-pt shot at rim
2:55.0,Defensive rebound by C. Lee,,41-39,,
2:34.0,Shooting foul by L. Sanders (drawn by M. Gasol),,41-39,,
2:34.0,Official timeout,,41-39,,
2:34.0,,,41-39,,E. Ilyasova enters the game for G. Antetokounmpo
2:34.0,,,41-39,,J. Dudley enters the game for O. Mayo
2:34.0,M. Gasol makes free throw 1 of 3,1,42-39,,
2:34.0,M. Gasol makes free throw 2 of 3,1,43-39,,
2:34.0,,,43-39,,Z. Pachulia enters the game for L. Sanders
2:34.0,M. Gasol makes free throw 3 of 3,1,44-39,,
2:15.0,,,44-39,,E. Ilyasova misses 3-pt shot from 26 ft
2:15.0,,,44-39,,Offensive rebound by Team
2:15.0,Loose ball foul by T. Allen (drawn by J. Parker),,44-39,,
2:09.0,,,44-39,,J. Dudley misses 2-pt shot from 20 ft
2:07.0,,,44-39,,Offensive rebound by J. Parker
2:04.0,,,44-39,,J. Parker misses 2-pt shot from 6 ft
2:03.0,,,44-39,,Offensive rebound by Z. Pachulia
1:50.0,,,44-39,,J. Dudley misses 2-pt shot from 7 ft
1:50.0,Defensive rebound by Team,,44-39,,
1:50.0,,,44-39,,Loose ball foul by E. Ilyasova (drawn by Z. Randolph)
1:50.0,Z. Randolph makes free throw 1 of 2,1,45-39,,
1:50.0,Z. Randolph makes free throw 2 of 2,1,46-39,,
1:27.0,,,46-41,2,Z. Pachulia makes 2-pt shot at rim (assist by B. Knight)
1:08.0,M. Gasol misses 2-pt shot from 17 ft,,46-41,,
1:06.0,,,46-41,,Defensive rebound by E. Ilyasova
0:56.0,,,46-44,3,J. Dudley makes 3-pt shot from 23 ft (assist by E. Ilyasova)
0:44.0,Offensive foul by Z. Randolph,,46-44,,
0:44.0,Turnover by Z. Randolph (offensive foul),,46-44,,
0:36.0,,,46-44,,E. Ilyasova misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by C. Lee,,46-44,,
0:24.0,M. Conley makes 2-pt shot at rim,2,48-44,,
0:02.0,,,48-44,,Turnover by J. Dudley (traveling)
0:00.0,Z. Randolph makes 3-pt shot from 42 ft (assist by T. Allen),3,51-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,M. Gasol misses 2-pt shot at rim,,51-44,,
11:40.0,,,51-44,,Defensive rebound by B. Knight
11:27.0,,,51-44,,Turnover by B. Knight (bad pass; steal by T. Allen)
11:20.0,Turnover by M. Gasol (bad pass; steal by L. Sanders),,51-44,,
11:19.0,Personal foul by T. Allen (drawn by J. Parker),,51-44,,
11:05.0,,,51-46,2,E. Ilyasova makes 2-pt shot from 16 ft (assist by K. Middleton)
