time,LA Lakers,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. R. Sacre (K. Middleton gains possession),,,,Jump ball: J. Henson vs. R. Sacre (K. Middleton gains possession)
11:42.0,,,0-0,,Shooting foul by R. Sacre (drawn by G. Antetokounmpo)
11:42.0,,,0-1,1,G. Antetokounmpo makes free throw 1 of 2
11:42.0,,,0-2,1,G. Antetokounmpo makes free throw 2 of 2
11:24.0,R. Sacre misses 2-pt shot from 5 ft,,0-2,,
11:23.0,,,0-2,,Defensive rebound by K. Middleton
11:18.0,,,0-4,2,G. Antetokounmpo makes 2-pt shot at rim (assist by K. Middleton)
10:51.0,W. Ellington misses 2-pt shot from 18 ft,,0-4,,
10:50.0,Offensive rebound by R. Sacre,,0-4,,
10:40.0,R. Sacre makes 2-pt shot at rim (assist by T. Black),2,2-4,,
10:17.0,,,2-4,,K. Middleton misses 3-pt shot from 23 ft
10:16.0,Defensive rebound by T. Black,,2-4,,
10:04.0,W. Ellington makes 3-pt shot from 24 ft (assist by R. Kelly),3,5-4,,
9:43.0,,,5-6,2,J. Dudley makes 2-pt shot from 12 ft (assist by K. Middleton)
9:18.0,W. Ellington misses 3-pt shot from 26 ft,,5-6,,
9:17.0,,,5-6,,Defensive rebound by G. Antetokounmpo
8:57.0,,,5-6,,J. Henson misses 2-pt shot from 5 ft
8:56.0,Defensive rebound by R. Kelly,,5-6,,
8:45.0,R. Kelly misses 3-pt shot from 26 ft,,5-6,,
8:44.0,,,5-6,,Defensive rebound by K. Middleton
8:37.0,,,5-8,2,J. Henson makes 2-pt shot from 1 ft (assist by B. Knight)
8:09.0,J. Clarkson misses 2-pt shot from 18 ft,,5-8,,
8:08.0,,,5-8,,Defensive rebound by B. Knight
8:02.0,,,5-8,,B. Knight misses 2-pt shot from 15 ft
8:01.0,Defensive rebound by R. Sacre,,5-8,,
7:54.0,Offensive foul by T. Black,,5-8,,
7:54.0,Turnover by T. Black (offensive foul),,5-8,,
7:35.0,,,5-11,3,K. Middleton makes 3-pt shot from 22 ft (assist by J. Henson)
7:10.0,W. Ellington makes 3-pt shot from 25 ft (assist by R. Sacre),3,8-11,,
6:54.0,,,8-11,,B. Knight misses 2-pt shot from 14 ft
6:53.0,Defensive rebound by J. Clarkson,,8-11,,
6:44.0,R. Sacre makes 2-pt shot at rim (assist by J. Clarkson),2,10-11,,
6:28.0,,,10-13,2,J. Dudley makes 2-pt shot from 17 ft (assist by K. Middleton)
6:10.0,T. Black makes 2-pt shot at rim,2,12-13,,
5:54.0,Personal foul by T. Black (drawn by J. Dudley),,12-13,,
5:54.0,,,12-13,,Milwaukee full timeout
5:54.0,J. Lin enters the game for T. Black,,12-13,,
5:54.0,E. Davis enters the game for R. Sacre,,12-13,,
5:54.0,C. Boozer enters the game for J. Clarkson,,12-13,,
5:54.0,,,12-13,,O. Mayo enters the game for G. Antetokounmpo
5:40.0,,,12-13,,Turnover by Team (shot clock)
5:27.0,R. Kelly misses 2-pt shot at rim (block by J. Henson),,12-13,,
5:25.0,,,12-13,,Defensive rebound by J. Henson
5:21.0,,,12-13,,Turnover by O. Mayo (lost ball; steal by R. Kelly)
5:15.0,J. Lin misses 2-pt shot from 21 ft,,12-13,,
5:14.0,,,12-13,,Defensive rebound by J. Henson
5:07.0,,,12-16,3,J. Dudley makes 3-pt shot from 25 ft (assist by K. Middleton)
4:48.0,Shooting foul by J. Dudley (drawn by E. Davis),,12-16,,
4:48.0,E. Davis makes free throw 1 of 2,1,13-16,,
4:48.0,E. Davis makes free throw 2 of 2,1,14-16,,
4:37.0,,,14-19,3,O. Mayo makes 3-pt shot from 23 ft (assist by B. Knight)
4:11.0,R. Kelly misses 3-pt shot from 26 ft,,14-19,,
4:10.0,,,14-19,,Defensive rebound by B. Knight
4:06.0,,,14-19,,K. Middleton misses 2-pt shot at rim
