time,Detroit,pts.away,score,pts.home,Oklahoma City
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Adams vs. A. Drummond (B. Jennings gains possession),,,,Jump ball: S. Adams vs. A. Drummond (B. Jennings gains possession)
11:33.0,G. Monroe makes 2-pt shot from 7 ft (assist by B. Jennings),2,2-0,,
11:19.0,,,2-2,2,J. Lamb makes 2-pt shot from 15 ft
10:57.0,Shooting foul by J. Lamb (drawn by K. Caldwell-Pope),,2-2,,
10:57.0,K. Caldwell-Pope misses free throw 1 of 2,,2-2,,
10:57.0,Offensive rebound by Team,,2-2,,
10:57.0,K. Caldwell-Pope makes free throw 2 of 2,1,3-2,,
10:42.0,,,3-4,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Jackson)
10:26.0,G. Monroe makes 2-pt shot from 3 ft,2,5-4,,
10:10.0,,,5-4,,R. Jackson misses 2-pt shot from 19 ft
10:09.0,,,5-4,,Offensive rebound by S. Ibaka
10:07.0,,,5-4,,S. Ibaka misses 2-pt shot from 3 ft
10:05.0,Defensive rebound by J. Smith,,5-4,,
9:49.0,J. Smith makes 3-pt shot from 22 ft (assist by A. Drummond),3,8-4,,
9:36.0,,,8-4,,S. Ibaka misses 3-pt shot from 24 ft
9:35.0,Defensive rebound by A. Drummond,,8-4,,
9:20.0,K. Caldwell-Pope makes 2-pt shot from 10 ft,2,10-4,,
9:05.0,,,10-4,,S. Adams misses 2-pt shot from 5 ft
9:04.0,Defensive rebound by J. Smith,,10-4,,
8:42.0,B. Jennings misses 2-pt shot from 3 ft,,10-4,,
8:41.0,Offensive rebound by G. Monroe,,10-4,,
8:39.0,G. Monroe makes 2-pt shot from 1 ft,2,12-4,,
8:35.0,,,12-4,,Oklahoma City full timeout
8:28.0,,,12-6,2,R. Jackson makes 2-pt shot from 15 ft
8:05.0,G. Monroe misses 2-pt shot from 4 ft,,12-6,,
8:04.0,Offensive rebound by G. Monroe,,12-6,,
7:59.0,Turnover by G. Monroe (bad pass; steal by J. Lamb),,12-6,,
7:45.0,,,12-9,3,J. Lamb makes 3-pt shot from 24 ft (assist by L. Thomas)
7:27.0,A. Drummond misses 2-pt shot from 4 ft,,12-9,,
7:24.0,Offensive rebound by A. Drummond,,12-9,,
7:21.0,Turnover by A. Drummond (bad pass; steal by J. Lamb),,12-9,,
7:15.0,,,12-9,,L. Thomas misses 2-pt shot from 1 ft (block by B. Jennings)
7:14.0,Defensive rebound by B. Jennings,,12-9,,
7:10.0,A. Drummond makes 2-pt shot from 1 ft (assist by B. Jennings),2,14-9,,
6:53.0,,,14-11,2,J. Lamb makes 2-pt shot from 1 ft (assist by R. Jackson)
6:42.0,B. Jennings makes 2-pt shot from 1 ft,2,16-11,,
6:20.0,,,16-11,,S. Ibaka misses 2-pt shot from 16 ft
6:19.0,Defensive rebound by B. Jennings,,16-11,,
6:14.0,J. Smith makes 2-pt shot at rim (assist by B. Jennings),2,18-11,,
5:58.0,Personal foul by B. Jennings (drawn by R. Jackson),,18-11,,
5:58.0,,,18-11,,K. Perkins enters the game for S. Adams
5:58.0,C. Butler enters the game for G. Monroe,,18-11,,
5:47.0,,,18-14,3,R. Jackson makes 3-pt shot from 24 ft (assist by J. Lamb)
5:30.0,J. Smith makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,20-14,,
5:13.0,,,20-17,3,S. Ibaka makes 3-pt shot from 24 ft (assist by J. Lamb)
4:53.0,J. Smith misses 2-pt shot from 18 ft,,20-17,,
4:52.0,,,20-17,,Defensive rebound by L. Thomas
4:45.0,,,20-17,,Turnover by J. Lamb (bad pass; steal by J. Smith)
4:43.0,Turnover by J. Smith (bad pass; steal by R. Jackson),,20-17,,
4:41.0,,,20-19,2,S. Ibaka makes 2-pt shot at rim (assist by R. Jackson)
4:30.0,Detroit full timeout,,20-19,,
4:19.0,J. Smith misses 2-pt shot from 8 ft,,20-19,,
4:19.0,,,20-19,,Defensive rebound by Team
4:19.0,Loose ball foul by A. Drummond (drawn by K. Perkins),,20-19,,
4:03.0,,,20-21,2,R. Jackson makes 2-pt shot from 13 ft
3:42.0,J. Smith misses 2-pt shot from 6 ft,,20-21,,
3:41.0,,,20-21,,Defensive rebound by J. Lamb
3:33.0,,,20-21,,J. Lamb misses 2-pt shot from 1 ft
3:32.0,Defensive rebound by C. Butler,,20-21,,
3:17.0,J. Smith misses 2-pt shot from 3 ft,,20-21,,
3:16.0,,,20-21,,Defensive rebound by K. Perkins
3:08.0,,,20-23,2,L. Thomas makes 2-pt shot from 7 ft (assist by R. Jackson)
2:50.0,A. Drummond misses 2-pt shot from 6 ft,,20-23,,
