time,Boston,pts.away,score,pts.home,Detroit
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: B. Bass vs. A. Drummond (G. Monroe gains possession),,,,Jump ball: B. Bass vs. A. Drummond (G. Monroe gains possession)
11:39.0,,,0-0,,A. Drummond misses 2-pt shot from 5 ft
11:36.0,Defensive rebound by E. Turner,,0-0,,
11:30.0,T. Zeller makes 2-pt shot from 14 ft (assist by E. Turner),2,2-0,,
11:13.0,,,2-2,2,A. Drummond makes 2-pt shot from 1 ft (assist by K. Caldwell-Pope)
10:55.0,T. Zeller misses 2-pt shot from 19 ft,,2-2,,
10:54.0,,,2-2,,Defensive rebound by C. Butler
10:46.0,,,2-2,,C. Butler misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by T. Zeller,,2-2,,
10:29.0,E. Turner makes 2-pt shot from 13 ft,2,4-2,,
10:12.0,,,4-2,,Turnover by A. Drummond (lost ball; steal by E. Turner)
10:06.0,E. Turner misses 2-pt shot from 10 ft,,4-2,,
10:05.0,,,4-2,,Defensive rebound by C. Butler
9:48.0,,,4-2,,Turnover by K. Caldwell-Pope (lost ball; steal by A. Bradley)
9:40.0,A. Bradley misses 2-pt shot from 20 ft,,4-2,,
9:39.0,,,4-2,,Defensive rebound by A. Drummond
9:26.0,,,4-2,,G. Monroe misses 2-pt shot from 1 ft
9:23.0,,,4-2,,Offensive rebound by A. Drummond
9:21.0,,,4-4,2,A. Drummond makes 2-pt shot from 4 ft
9:04.0,B. Bass makes 2-pt shot from 16 ft (assist by M. Smart),2,6-4,,
8:37.0,,,6-6,2,G. Monroe makes 2-pt shot at rim (assist by R. Jackson)
8:19.0,Turnover by T. Zeller (bad pass; steal by R. Jackson),,6-6,,
8:13.0,,,6-6,,K. Caldwell-Pope misses 2-pt shot from 3 ft
8:11.0,,,6-6,,Offensive rebound by G. Monroe
8:09.0,,,6-8,2,G. Monroe makes 2-pt shot at rim
7:53.0,T. Zeller misses 2-pt shot from 7 ft,,6-8,,
7:53.0,Offensive rebound by B. Bass,,6-8,,
7:53.0,Shooting foul by A. Drummond (drawn by B. Bass),,6-8,,
7:53.0,B. Bass makes free throw 1 of 2,1,7-8,,
7:53.0,B. Bass makes free throw 2 of 2,1,8-8,,
7:40.0,,,8-10,2,R. Jackson makes 2-pt shot from 3 ft
7:26.0,A. Bradley misses 3-pt shot from 25 ft,,8-10,,
7:25.0,,,8-10,,Defensive rebound by Team
7:10.0,,,8-10,,Turnover by R. Jackson (bad pass)
7:01.0,A. Bradley misses 2-pt shot from 21 ft,,8-10,,
7:00.0,,,8-10,,Defensive rebound by G. Monroe
6:42.0,,,8-12,2,G. Monroe makes 2-pt shot from 5 ft (assist by R. Jackson)
6:35.0,T. Zeller misses 2-pt shot from 6 ft,,8-12,,
6:34.0,,,8-12,,Defensive rebound by C. Butler
6:26.0,,,8-14,2,A. Drummond makes 2-pt shot from 4 ft (assist by R. Jackson)
6:26.0,Boston full timeout,,8-14,,
6:26.0,I. Thomas enters the game for B. Bass,,8-14,,
6:26.0,J. Crowder enters the game for T. Zeller,,8-14,,
6:26.0,K. Olynyk enters the game for M. Smart,,8-14,,
6:15.0,Turnover by J. Crowder (traveling),,8-14,,
5:57.0,,,8-14,,A. Drummond misses 2-pt shot from 1 ft
5:57.0,,,8-14,,Offensive rebound by A. Drummond
5:57.0,,,8-14,,A. Drummond misses 2-pt shot from 1 ft
5:57.0,,,8-14,,Offensive rebound by Team
5:38.0,,,8-14,,Turnover by G. Monroe (bad pass)
5:28.0,J. Crowder makes 2-pt shot from 18 ft (assist by I. Thomas),2,10-14,,
5:03.0,,,10-14,,C. Butler misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by A. Bradley,,10-14,,
4:54.0,K. Olynyk misses 3-pt shot from 25 ft,,10-14,,
4:53.0,,,10-14,,Defensive rebound by A. Drummond
4:40.0,Personal foul by J. Crowder (drawn by G. Monroe),,10-14,,
4:40.0,,,10-14,,A. Tolliver enters the game for G. Monroe
4:33.0,,,10-14,,Turnover by A. Drummond (lost ball)
4:24.0,,,10-14,,Personal foul by A. Drummond (drawn by I. Thomas)
4:24.0,,,10-14,,J. Anthony enters the game for A. Drummond
4:17.0,I. Thomas makes 2-pt shot from 16 ft (assist by E. Turner),2,12-14,,
4:02.0,,,12-14,,Shooting foul by K. Olynyk (drawn by K. Caldwell-Pope)
4:02.0,,,12-15,1,K. Caldwell-Pope makes free throw 1 of 2
4:02.0,,,12-16,1,K. Caldwell-Pope makes free throw 2 of 2
3:51.0,K. Olynyk makes 2-pt shot from 17 ft (assist by J. Crowder),2,14-16,,
3:30.0,,,14-16,,R. Jackson misses 2-pt shot from 17 ft
3:30.0,Defensive rebound by Team,,14-16,,
3:30.0,J. Jerebko enters the game for E. Turner,,14-16,,
3:11.0,A. Bradley makes 3-pt shot from 27 ft (assist by J. Crowder),3,17-16,,
2:56.0,,,17-16,,R. Jackson misses 2-pt shot from 3 ft (block by J. Jerebko)
2:56.0,Defensive rebound by Team,,17-16,,
2:56.0,,,17-16,,Detroit full timeout
2:56.0,,,17-16,,J. Lucas III enters the game for R. Jackson
2:44.0,J. Jerebko misses 2-pt shot at rim,,17-16,,
2:44.0,Offensive rebound by Team,,17-16,,
2:44.0,,,17-16,,Personal foul by C. Butler (drawn by J. Jerebko)
2:35.0,Shooting foul by J. Anthony (drawn by I. Thomas),,17-16,,
2:35.0,I. Thomas makes free throw 1 of 2,1,18-16,,
2:35.0,I. Thomas makes free throw 2 of 2,1,19-16,,
2:22.0,,,19-16,,K. Caldwell-Pope misses 2-pt shot from 13 ft
2:21.0,Defensive rebound by K. Olynyk,,19-16,,
2:03.0,J. Jerebko makes 2-pt shot from 8 ft (assist by A. Bradley),2,21-16,,
1:39.0,,,21-16,,K. Caldwell-Pope misses 2-pt shot from 20 ft
1:37.0,Defensive rebound by J. Jerebko,,21-16,,
1:30.0,Shooting foul by K. Caldwell-Pope (drawn by I. Thomas),,21-16,,
1:30.0,I. Thomas makes free throw 1 of 2,1,22-16,,
1:30.0,,,22-16,,J. Meeks enters the game for K. Caldwell-Pope
1:30.0,,,22-16,,T. Prince enters the game for C. Butler
1:30.0,I. Thomas makes free throw 2 of 2,1,23-16,,
1:17.0,,,23-16,,Turnover by J. Lucas III (bad pass; steal by K. Olynyk)
1:00.0,K. Olynyk makes 2-pt shot at rim,2,25-16,,
0:40.0,,,25-16,,J. Lucas III misses 2-pt shot from 19 ft
0:39.0,Defensive rebound by J. Jerebko,,25-16,,
