time,Philadelphia,pts.away,score,pts.home,Milwaukee
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: N. Noel vs. L. Sanders (T. Wroten gains possession),,,,Jump ball: N. Noel vs. L. Sanders (T. Wroten gains possession)
11:39.0,N. Noel misses 2-pt shot from 6 ft,,0-0,,
11:38.0,,,0-0,,Defensive rebound by J. Parker
11:21.0,,,0-0,,L. Sanders misses 2-pt shot from 3 ft (block by N. Noel)
11:19.0,,,0-0,,Offensive rebound by J. Parker
11:12.0,,,0-3,3,J. Parker makes 3-pt shot from 25 ft
11:05.0,H. Sims makes 2-pt shot from 14 ft (assist by T. Wroten),2,2-3,,
10:48.0,,,2-6,3,K. Middleton makes 3-pt shot from 26 ft (assist by J. Dudley)
10:33.0,N. Noel misses 2-pt shot from 16 ft,,2-6,,
10:33.0,,,2-6,,Defensive rebound by Team
10:19.0,,,2-8,2,L. Sanders makes 2-pt shot from 13 ft (assist by K. Middleton)
9:59.0,N. Noel makes 2-pt shot at rim (assist by T. Wroten),2,4-8,,
9:43.0,,,4-8,,Offensive foul by L. Sanders
9:43.0,,,4-8,,Turnover by L. Sanders (offensive foul)
9:34.0,C. Johnson misses 2-pt shot from 13 ft,,4-8,,
9:33.0,,,4-8,,Defensive rebound by J. Parker
9:29.0,,,4-8,,L. Sanders misses 2-pt shot from 1 ft
9:27.0,,,4-8,,Offensive rebound by L. Sanders
9:25.0,,,4-8,,L. Sanders misses 2-pt shot at rim
9:24.0,Defensive rebound by Team,,4-8,,
9:08.0,Shooting foul by B. Knight (drawn by T. Wroten),,4-8,,
9:08.0,T. Wroten misses free throw 1 of 2,,4-8,,
9:08.0,Offensive rebound by Team,,4-8,,
9:08.0,T. Wroten misses free throw 2 of 2,,4-8,,
9:07.0,,,4-8,,Defensive rebound by B. Knight
8:51.0,,,4-8,,Turnover by B. Knight (lost ball; steal by T. Wroten)
8:47.0,T. Wroten misses 2-pt shot from 2 ft (block by L. Sanders),,4-8,,
8:43.0,,,4-8,,Defensive rebound by B. Knight
8:39.0,,,4-8,,J. Dudley misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by C. Johnson,,4-8,,
8:36.0,Shooting foul by K. Middleton (drawn by T. Wroten),,4-8,,
8:36.0,T. Wroten makes free throw 1 of 2,1,5-8,,
8:36.0,T. Wroten misses free throw 2 of 2,,5-8,,
8:35.0,,,5-8,,Defensive rebound by J. Dudley
8:10.0,,,5-8,,K. Middleton misses 2-pt shot from 21 ft
8:08.0,Defensive rebound by N. Noel,,5-8,,
8:03.0,C. Johnson misses 3-pt shot from 25 ft,,5-8,,
8:02.0,Offensive rebound by N. Noel,,5-8,,
8:00.0,N. Noel makes 2-pt shot at rim,2,7-8,,
7:42.0,Def 3 sec tech foul by H. Sims,,7-8,,
7:42.0,,,7-9,1,B. Knight makes technical free throw
7:35.0,Personal foul by H. Sims (drawn by L. Sanders),,7-9,,
7:27.0,,,7-9,,K. Middleton misses 2-pt shot from 18 ft
7:26.0,Defensive rebound by H. Sims,,7-9,,
7:18.0,C. Johnson misses 2-pt shot from 2 ft (block by L. Sanders),,7-9,,
7:16.0,Offensive rebound by C. Johnson,,7-9,,
