time,Charlotte,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
11:43.0,,,0-0,,J. Redick misses 2-pt shot from 22 ft
12:00.0,Jump ball: A. Jefferson vs. D. Jordan (C. Paul gains possession),,,,Jump ball: A. Jefferson vs. D. Jordan (C. Paul gains possession)
11:42.0,Defensive rebound by M. Williams,,0-0,,
11:27.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by G. Henderson),2,2-0,,
11:10.0,Personal foul by M. Williams (drawn by B. Griffin),,2-0,,
11:00.0,,,2-0,,J. Redick misses 2-pt shot from 20 ft
10:58.0,Defensive rebound by M. Williams,,2-0,,
10:42.0,G. Henderson misses 2-pt shot from 14 ft,,2-0,,
10:41.0,,,2-0,,Defensive rebound by D. Jordan
10:28.0,,,2-0,,Turnover by H. Turkoglu (bad pass; steal by M. Williams)
10:21.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft,2,4-0,,
10:01.0,,,4-2,2,J. Redick makes 2-pt shot from 15 ft (assist by B. Griffin)
9:39.0,Turnover by G. Henderson (lost ball; steal by B. Griffin),,4-2,,
9:29.0,,,4-2,,J. Redick misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by A. Jefferson,,4-2,,
9:14.0,,,4-2,,Personal foul by C. Paul (drawn by M. Williams)
9:05.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,4-2,,
9:04.0,,,4-2,,Defensive rebound by B. Griffin
8:51.0,,,4-5,3,H. Turkoglu makes 3-pt shot from 24 ft (assist by B. Griffin)
8:34.0,A. Jefferson misses 2-pt shot from 5 ft,,4-5,,
8:31.0,,,4-5,,Defensive rebound by C. Paul
8:20.0,,,4-7,2,B. Griffin makes 2-pt shot from 12 ft (assist by C. Paul)
8:08.0,M. Williams misses 2-pt shot from 16 ft,,4-7,,
8:07.0,,,4-7,,Defensive rebound by D. Jordan
7:50.0,,,4-7,,B. Griffin misses 2-pt shot from 20 ft
7:49.0,Defensive rebound by M. Williams,,4-7,,
7:39.0,A. Jefferson makes 2-pt shot from 8 ft (assist by G. Henderson),2,6-7,,
7:39.0,Shooting foul by D. Jordan (drawn by A. Jefferson),,6-7,,
7:39.0,A. Jefferson makes free throw 1 of 1,1,7-7,,
7:33.0,Personal foul by G. Henderson (drawn by J. Redick),,7-7,,
7:28.0,,,7-7,,H. Turkoglu misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by M. Kidd-Gilchrist,,7-7,,
7:17.0,M. Williams misses 3-pt shot from 24 ft,,7-7,,
7:15.0,Offensive rebound by M. Kidd-Gilchrist,,7-7,,
7:10.0,G. Henderson makes 2-pt shot from 4 ft (assist by M. Kidd-Gilchrist),2,9-7,,
6:58.0,,,9-7,,C. Paul misses 2-pt shot from 16 ft
6:58.0,,,9-7,,Offensive rebound by Team
6:48.0,,,9-7,,J. Redick misses 2-pt shot from 2 ft (block by A. Jefferson)
6:46.0,Defensive rebound by M. Williams,,9-7,,
6:32.0,A. Jefferson makes 2-pt shot from 17 ft (assist by M. Williams),2,11-7,,
6:17.0,,,11-9,2,C. Paul makes 2-pt shot from 20 ft (assist by B. Griffin)
5:52.0,M. Williams makes 2-pt shot from 9 ft,2,13-9,,
5:40.0,Personal foul by M. Williams (drawn by B. Griffin),,13-9,,
5:40.0,,,13-9,,LA Clippers full timeout
5:40.0,J. Maxiell enters the game for M. Williams,,13-9,,
5:27.0,,,13-11,2,J. Redick makes 2-pt shot from 21 ft (assist by D. Jordan)
5:12.0,M. Williams makes 2-pt shot from 14 ft,2,15-11,,
5:01.0,Personal foul by G. Henderson (drawn by J. Redick),,15-11,,
5:01.0,K. Walker enters the game for G. Henderson,,15-11,,
