time,Philadelphia,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. N. Noel (L. Mbah a Moute gains possession),,,,Jump ball: A. Davis vs. N. Noel (L. Mbah a Moute gains possession)
11:42.0,Turnover by N. Noel (lost ball; steal by A. Davis),,0-0,,
11:34.0,,,0-0,,E. Gordon misses 3-pt shot from 22 ft
11:32.0,,,0-0,,Offensive rebound by A. Davis
11:17.0,,,0-2,2,E. Gordon makes 2-pt shot from 1 ft
11:09.0,H. Sims makes 2-pt shot from 17 ft (assist by L. Drew),2,2-2,,
10:54.0,,,2-2,,Turnover by O. Asik (lost ball; steal by H. Sims)
10:48.0,R. Covington misses 3-pt shot from 25 ft,,2-2,,
10:46.0,Offensive rebound by L. Drew,,2-2,,
10:33.0,L. Drew makes 2-pt shot from 7 ft,2,4-2,,
10:09.0,,,4-2,,A. Davis misses 2-pt shot from 16 ft
10:05.0,Defensive rebound by L. Drew,,4-2,,
10:02.0,Turnover by L. Drew (bad pass),,4-2,,
9:48.0,,,4-4,2,O. Asik makes 2-pt shot from 2 ft (assist by E. Gordon)
9:26.0,Turnover by L. Drew (bad pass; steal by E. Gordon),,4-4,,
9:15.0,,,4-7,3,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans)
9:00.0,H. Sims makes 2-pt shot from 20 ft (assist by N. Noel),2,6-7,,
8:41.0,,,6-7,,A. Davis misses 2-pt shot from 17 ft
8:40.0,Defensive rebound by N. Noel,,6-7,,
8:21.0,L. Mbah a Moute makes 2-pt shot from 1 ft (assist by N. Noel),2,8-7,,
8:05.0,,,8-7,,A. Davis misses 2-pt shot from 2 ft
8:02.0,,,8-7,,Offensive rebound by O. Asik
8:02.0,,,8-7,,O. Asik misses 2-pt shot from 2 ft
8:00.0,Defensive rebound by N. Noel,,8-7,,
7:56.0,L. Drew makes 2-pt shot from 1 ft,2,10-7,,
7:35.0,,,10-9,2,O. Asik makes 2-pt shot from 1 ft
7:14.0,H. Sims misses 2-pt shot from 17 ft,,10-9,,
7:13.0,,,10-9,,Defensive rebound by A. Davis
7:03.0,,,10-11,2,A. Davis makes 2-pt shot from 1 ft (assist by T. Evans)
6:48.0,Shooting foul by O. Asik (drawn by L. Mbah a Moute),,10-11,,
6:48.0,L. Mbah a Moute makes free throw 1 of 2,1,11-11,,
6:48.0,L. Mbah a Moute makes free throw 2 of 2,1,12-11,,
6:25.0,,,12-13,2,E. Gordon makes 2-pt shot from 6 ft (assist by D. Cunningham)
6:09.0,L. Mbah a Moute misses 2-pt shot from 2 ft (block by A. Davis),,12-13,,
6:09.0,Offensive rebound by Team,,12-13,,
6:09.0,J. Sampson enters the game for L. Mbah a Moute,,12-13,,
6:03.0,H. Sims misses 2-pt shot from 20 ft,,12-13,,
6:01.0,,,12-13,,Defensive rebound by T. Evans
5:39.0,,,12-15,2,D. Cunningham makes 2-pt shot from 3 ft (assist by T. Evans)
5:32.0,N. Noel misses 2-pt shot from 1 ft,,12-15,,
5:29.0,,,12-15,,Defensive rebound by O. Asik
5:19.0,,,12-15,,E. Gordon misses 3-pt shot from 24 ft
5:17.0,,,12-15,,Offensive rebound by Team
5:17.0,,,12-15,,New Orleans full timeout
