time,Washington,pts.away,score,pts.home,LA Clippers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. D. Jordan (C. Paul gains possession),,,,Jump ball: M. Gortat vs. D. Jordan (C. Paul gains possession)
11:39.0,,,0-0,,J. Redick misses 2-pt shot from 17 ft
11:36.0,Defensive rebound by P. Pierce,,0-0,,
11:17.0,P. Pierce makes 3-pt shot from 24 ft (assist by J. Wall),3,3-0,,
11:00.0,,,3-3,3,M. Barnes makes 3-pt shot from 23 ft (assist by J. Redick)
10:49.0,P. Pierce misses 3-pt shot from 24 ft,,3-3,,
10:47.0,,,3-3,,Defensive rebound by B. Griffin
10:38.0,,,3-3,,C. Paul misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by N. Hilario,,3-3,,
10:28.0,M. Gortat makes 2-pt shot from 14 ft (assist by J. Wall),2,5-3,,
10:08.0,,,5-3,,M. Barnes misses 3-pt shot from 24 ft
10:06.0,Defensive rebound by M. Gortat,,5-3,,
10:01.0,Turnover by M. Gortat (lost ball; steal by B. Griffin),,5-3,,
9:55.0,,,5-6,3,J. Redick makes 3-pt shot from 24 ft (assist by C. Paul)
9:39.0,J. Wall misses 2-pt shot from 21 ft,,5-6,,
9:37.0,,,5-6,,Defensive rebound by M. Barnes
9:32.0,,,5-9,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
9:13.0,J. Wall makes 2-pt shot from 15 ft (assist by M. Gortat),2,7-9,,
8:54.0,,,7-9,,B. Griffin misses 2-pt shot from 12 ft
8:52.0,,,7-9,,Offensive rebound by Team
8:42.0,,,7-9,,M. Barnes misses 3-pt shot from 23 ft
8:41.0,,,7-9,,Offensive rebound by D. Jordan
8:36.0,,,7-11,2,B. Griffin makes 2-pt shot from 1 ft (assist by D. Jordan)
8:28.0,P. Pierce misses 2-pt shot from 1 ft (block by B. Griffin),,7-11,,
8:26.0,,,7-11,,Defensive rebound by C. Paul
8:21.0,,,7-13,2,C. Paul makes 2-pt shot from 12 ft
8:10.0,N. Hilario makes 2-pt shot from 18 ft (assist by J. Wall),2,9-13,,
7:53.0,,,9-15,2,B. Griffin makes 2-pt shot from 17 ft (assist by C. Paul)
7:42.0,J. Wall misses 3-pt shot from 23 ft,,9-15,,
7:41.0,,,9-15,,Defensive rebound by M. Barnes
7:24.0,,,9-17,2,M. Barnes makes 2-pt shot from 14 ft (assist by B. Griffin)
7:20.0,Washington full timeout,,9-17,,
7:02.0,Turnover by J. Wall (bad pass; steal by C. Paul),,9-17,,
7:00.0,,,9-17,,Shooting foul by B. Beal (drawn by B. Griffin)
7:00.0,,,9-17,,B. Griffin misses free throw 1 of 2
7:00.0,,,9-17,,Offensive rebound by Team
7:00.0,,,9-18,1,B. Griffin makes free throw 2 of 2
6:44.0,J. Wall makes 2-pt shot from 1 ft (assist by N. Hilario),2,11-18,,
6:44.0,Shooting foul by C. Paul (drawn by J. Wall),,11-18,,
6:44.0,J. Wall makes free throw 1 of 1,1,12-18,,
6:29.0,,,12-18,,Turnover by B. Griffin (bad pass)
6:07.0,N. Hilario misses 2-pt shot from 5 ft,,12-18,,
6:04.0,,,12-18,,Defensive rebound by B. Griffin
6:00.0,,,12-21,3,M. Barnes makes 3-pt shot from 24 ft (assist by B. Griffin)
5:45.0,,,12-21,,Def 3 sec tech foul by M. Barnes
5:45.0,B. Beal makes technical free throw,1,13-21,,
5:34.0,,,13-21,,Personal foul by M. Barnes (drawn by M. Gortat)
5:25.0,P. Pierce misses 2-pt shot from 12 ft,,13-21,,
5:24.0,Offensive rebound by Team,,13-21,,
5:16.0,B. Beal misses 2-pt shot from 19 ft,,13-21,,
5:15.0,,,13-21,,Defensive rebound by M. Barnes
5:10.0,Personal foul by J. Wall (drawn by J. Redick),,13-21,,
5:04.0,,,13-21,,J. Redick misses 2-pt shot from 21 ft
5:03.0,Defensive rebound by M. Gortat,,13-21,,
4:54.0,N. Hilario misses 2-pt shot from 18 ft,,13-21,,
4:52.0,Offensive rebound by J. Wall,,13-21,,
4:49.0,J. Wall misses 2-pt shot from 1 ft,,13-21,,
4:45.0,,,13-21,,Defensive rebound by D. Jordan
4:38.0,,,13-21,,C. Paul misses 2-pt shot from 6 ft (block by P. Pierce)
4:37.0,Defensive rebound by P. Pierce,,13-21,,
4:31.0,J. Wall misses 2-pt shot at rim,,13-21,,
4:29.0,Offensive rebound by N. Hilario,,13-21,,
4:28.0,N. Hilario misses 2-pt shot from 1 ft,,13-21,,
4:27.0,,,13-21,,Defensive rebound by D. Jordan
4:21.0,,,13-23,2,C. Paul makes 2-pt shot from 7 ft
4:02.0,Shooting foul by B. Griffin (drawn by B. Beal),,13-23,,
4:02.0,B. Beal makes free throw 1 of 2,1,14-23,,
4:02.0,B. Beal makes free throw 2 of 2,1,15-23,,
3:50.0,,,15-23,,C. Paul misses 2-pt shot from 18 ft
3:48.0,Defensive rebound by B. Beal,,15-23,,
3:43.0,P. Pierce misses 3-pt shot from 22 ft,,15-23,,
3:41.0,,,15-23,,Defensive rebound by B. Griffin
3:40.0,Personal foul by M. Gortat (drawn by B. Griffin),,15-23,,
3:40.0,,,15-23,,LA Clippers full timeout
3:40.0,R. Sessions enters the game for B. Beal,,15-23,,
3:32.0,,,15-23,,Offensive foul by D. Jordan
3:32.0,,,15-23,,Turnover by D. Jordan (offensive foul)
3:32.0,,,15-23,,A. Rivers enters the game for J. Redick
3:17.0,M. Gortat misses 2-pt shot from 13 ft,,15-23,,
3:15.0,,,15-23,,Defensive rebound by D. Jordan
3:05.0,,,15-25,2,B. Griffin makes 2-pt shot from 16 ft (assist by C. Paul)
2:42.0,R. Sessions misses 2-pt shot from 5 ft,,15-25,,
2:41.0,,,15-25,,Defensive rebound by B. Griffin
2:31.0,,,15-25,,M. Barnes misses 3-pt shot from 22 ft
2:30.0,,,15-25,,Offensive rebound by Team
2:30.0,D. Gooden enters the game for N. Hilario,,15-25,,
2:30.0,Personal foul by D. Gooden (drawn by B. Griffin),,15-25,,
2:24.0,,,15-27,2,C. Paul makes 2-pt shot from 20 ft (assist by B. Griffin)
2:08.0,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall),2,17-27,,
1:54.0,,,17-29,2,B. Griffin makes 2-pt shot from 4 ft (assist by C. Paul)
1:40.0,P. Pierce misses 3-pt shot from 24 ft,,17-29,,
1:39.0,,,17-29,,Defensive rebound by A. Rivers
