time,Golden State,pts.away,score,pts.home,Denver
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: K. Faried vs. D. Lee (J. Nelson gains possession),,,,Jump ball: K. Faried vs. D. Lee (J. Nelson gains possession)
11:37.0,,,0-0,,D. Gallinari misses 2-pt shot at rim
11:35.0,,,0-0,,Offensive rebound by K. Faried
11:35.0,,,0-2,2,K. Faried makes 2-pt shot from 1 ft
11:19.0,D. Lee misses 2-pt shot from 2 ft,,0-2,,
11:18.0,,,0-2,,Defensive rebound by K. Faried
11:17.0,,,0-2,,Turnover by J. Nelson (bad pass)
11:04.0,Turnover by D. Green (bad pass),,0-2,,
10:47.0,,,0-2,,J. Nelson misses 3-pt shot from 24 ft
10:46.0,,,0-2,,Offensive rebound by K. Faried
10:43.0,,,0-2,,K. Faried misses 2-pt shot from 1 ft
10:42.0,Defensive rebound by H. Barnes,,0-2,,
10:33.0,H. Barnes misses 3-pt shot from 25 ft,,0-2,,
10:31.0,,,0-2,,Defensive rebound by K. Faried
10:23.0,,,0-4,2,J. Nelson makes 2-pt shot from 1 ft
10:13.0,Shooting foul by K. Faried (drawn by D. Lee),,0-4,,
10:13.0,D. Lee misses free throw 1 of 2,,0-4,,
10:13.0,Offensive rebound by Team,,0-4,,
10:13.0,D. Lee makes free throw 2 of 2,1,1-4,,
9:56.0,,,1-4,,Shooting foul by S. Livingston (drawn by W. Chandler)
9:56.0,,,1-4,,W. Chandler misses free throw 1 of 2
9:56.0,,,1-4,,Offensive rebound by Team
9:56.0,,,1-4,,W. Chandler misses free throw 2 of 2
9:54.0,Defensive rebound by H. Barnes,,1-4,,
9:41.0,J. Holiday misses 3-pt shot from 25 ft,,1-4,,
9:40.0,,,1-4,,Defensive rebound by R. Foye
9:33.0,,,1-7,3,R. Foye makes 3-pt shot from 25 ft
9:23.0,D. Green makes 2-pt shot from 1 ft,2,3-7,,
9:07.0,,,3-9,2,D. Gallinari makes 2-pt shot at rim (assist by J. Nelson)
8:56.0,J. Holiday misses 3-pt shot from 22 ft,,3-9,,
8:55.0,,,3-9,,Defensive rebound by D. Gallinari
8:49.0,,,3-9,,R. Foye misses 3-pt shot from 26 ft
8:49.0,,,3-9,,Offensive rebound by Team
8:49.0,Loose ball foul by H. Barnes (drawn by K. Faried),,3-9,,
8:38.0,,,3-11,2,K. Faried makes 2-pt shot at rim (assist by R. Foye)
8:25.0,D. Green misses 3-pt shot from 25 ft,,3-11,,
8:24.0,,,3-11,,Defensive rebound by Team
8:04.0,,,3-13,2,W. Chandler makes 2-pt shot from 1 ft (assist by J. Nelson)
8:00.0,Golden State full timeout,,3-13,,
7:52.0,,,3-13,,Personal foul by W. Chandler (drawn by H. Barnes)
7:45.0,Turnover by H. Barnes (bad pass; steal by R. Foye),,3-13,,
7:43.0,,,3-13,,Turnover by R. Foye (bad pass)
7:31.0,J. Holiday makes 3-pt shot from 26 ft (assist by D. Lee),3,6-13,,
7:18.0,,,6-15,2,K. Faried makes 2-pt shot at rim (assist by R. Foye)
7:03.0,Shooting foul by J. Nelson (drawn by S. Livingston),,6-15,,
7:03.0,S. Livingston makes free throw 1 of 2,1,7-15,,
7:03.0,S. Livingston makes free throw 2 of 2,1,8-15,,
6:50.0,,,8-15,,R. Foye misses 3-pt shot from 24 ft
6:49.0,Defensive rebound by D. Green,,8-15,,
6:33.0,D. Lee makes 2-pt shot from 8 ft (assist by H. Barnes),2,10-15,,
6:23.0,,,10-15,,W. Chandler misses 2-pt shot from 3 ft
6:21.0,,,10-15,,Offensive rebound by K. Faried
6:21.0,,,10-17,2,K. Faried makes 2-pt shot at rim
6:09.0,J. Holiday makes 3-pt shot from 24 ft (assist by S. Livingston),3,13-17,,
5:57.0,,,13-17,,D. Gallinari misses 3-pt shot from 25 ft
5:56.0,,,13-17,,Offensive rebound by K. Faried
5:55.0,,,13-17,,K. Faried misses 2-pt shot from 2 ft
5:54.0,Defensive rebound by S. Livingston,,13-17,,
5:53.0,D. Green makes 2-pt shot from 3 ft (assist by S. Livingston),2,15-17,,
5:53.0,Shooting foul by D. Gallinari (drawn by D. Green),,15-17,,
5:53.0,D. Green makes free throw 1 of 1,1,16-17,,
5:41.0,,,16-19,2,K. Faried makes 2-pt shot from 10 ft (assist by R. Foye)
5:32.0,Offensive foul by S. Livingston,,16-19,,
5:32.0,Turnover by S. Livingston (offensive foul),,16-19,,
5:17.0,,,16-19,,Turnover by J. Nelson (bad pass; steal by D. Lee)
5:12.0,J. Holiday misses 2-pt shot from 2 ft,,16-19,,
5:09.0,,,16-19,,Defensive rebound by D. Gallinari
4:59.0,,,16-21,2,W. Chandler makes 2-pt shot from 1 ft (assist by R. Foye)
4:43.0,D. Lee misses 2-pt shot from 3 ft,,16-21,,
4:42.0,,,16-21,,Defensive rebound by Team
4:42.0,L. Barbosa enters the game for J. Holiday,,16-21,,
4:42.0,B. Rush enters the game for S. Livingston,,16-21,,
4:30.0,,,16-23,2,R. Foye makes 2-pt shot from 1 ft
4:09.0,D. Green makes 2-pt shot from 7 ft,2,18-23,,
4:09.0,Shooting foul by K. Faried (drawn by D. Green),,18-23,,
4:09.0,,,18-23,,J. Hickson enters the game for K. Faried
4:09.0,F. Ezeli enters the game for D. Lee,,18-23,,
4:09.0,D. Green makes free throw 1 of 1,1,19-23,,
3:54.0,,,19-23,,D. Gallinari misses 2-pt shot from 16 ft
3:54.0,Defensive rebound by Team,,19-23,,
3:32.0,H. Barnes misses 2-pt shot from 17 ft,,19-23,,
3:31.0,,,19-23,,Defensive rebound by J. Nelson
3:22.0,,,19-26,3,D. Gallinari makes 3-pt shot from 23 ft (assist by W. Chandler)
3:22.0,,,19-26,,Shooting foul by D. Green (drawn by D. Gallinari)
3:22.0,,,19-26,,J. Nurkic enters the game for W. Chandler
3:22.0,,,19-26,,W. Barton enters the game for J. Nelson
3:22.0,,,19-26,,D. Gallinari misses free throw 1 of 1
3:20.0,Defensive rebound by D. Green,,19-26,,
3:11.0,H. Barnes misses 2-pt shot from 14 ft,,19-26,,
3:10.0,,,19-26,,Defensive rebound by D. Gallinari
3:04.0,,,19-26,,Shooting foul by D. Green (drawn by D. Gallinari)
3:04.0,,,19-27,1,D. Gallinari makes free throw 1 of 2
3:04.0,J. McAdoo enters the game for D. Green,,19-27,,
3:04.0,,,19-28,1,D. Gallinari makes free throw 2 of 2
2:44.0,F. Ezeli misses 2-pt shot from 15 ft,,19-28,,
2:43.0,,,19-28,,Defensive rebound by J. Hickson
2:30.0,,,19-28,,W. Barton misses 2-pt shot from 4 ft (block by B. Rush)
2:28.0,Defensive rebound by F. Ezeli,,19-28,,
2:23.0,L. Barbosa misses 2-pt shot from 2 ft,,19-28,,
2:21.0,,,19-28,,Defensive rebound by J. Hickson
2:11.0,,,19-28,,Turnover by J. Nurkic (lost ball; steal by H. Barnes)
2:07.0,,,19-28,,Personal foul by R. Foye (drawn by J. McAdoo)
2:07.0,,,19-28,,Denver full timeout
2:07.0,J. Holiday enters the game for H. Barnes,,19-28,,
2:07.0,,,19-28,,G. Harris enters the game for D. Gallinari
2:07.0,,,19-28,,E. Green enters the game for R. Foye
2:07.0,J. McAdoo makes free throw 1 of 2,1,20-28,,
2:07.0,J. McAdoo makes free throw 2 of 2,1,21-28,,
1:57.0,,,21-28,,Loose ball foul by E. Green (drawn by L. Barbosa)
1:57.0,,,21-28,,Turnover by E. Green (offensive foul)
1:57.0,L. Barbosa makes free throw 1 of 2,1,22-28,,
1:57.0,L. Barbosa misses free throw 2 of 2,,22-28,,
1:55.0,,,22-28,,Defensive rebound by J. Nurkic
1:37.0,,,22-30,2,W. Barton makes 2-pt shot from 4 ft
1:14.0,F. Ezeli makes 2-pt shot from 7 ft (assist by L. Barbosa),2,24-30,,
0:51.0,,,24-30,,G. Harris misses 2-pt shot from 15 ft
0:51.0,,,24-30,,Offensive rebound by J. Nurkic
0:51.0,,,24-32,2,J. Nurkic makes 2-pt shot from 1 ft
0:43.0,L. Barbosa misses 2-pt shot from 2 ft,,24-32,,
0:43.0,Offensive rebound by F. Ezeli,,24-32,,
0:43.0,F. Ezeli makes 2-pt shot at rim,2,26-32,,
0:24.0,,,26-32,,G. Harris misses 2-pt shot from 2 ft (block by F. Ezeli)
0:23.0,,,26-32,,Offensive rebound by Team
0:22.0,Personal foul by F. Ezeli (drawn by J. Nurkic),,26-32,,
0:22.0,,,26-33,1,J. Nurkic makes free throw 1 of 2
0:22.0,,,26-34,1,J. Nurkic makes free throw 2 of 2
0:03.0,J. McAdoo misses 2-pt shot at rim,,26-34,,
0:02.0,,,26-34,,Defensive rebound by E. Green
0:01.0,,,26-34,,E. Green misses 2-pt shot from 11 ft
0:00.0,,,26-34,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,B. Rush misses 3-pt shot from 25 ft,,26-34,,
11:40.0,,,26-34,,Defensive rebound by G. Harris
11:25.0,,,26-34,,Turnover by W. Barton (bad pass; steal by J. McAdoo)
11:20.0,J. McAdoo makes 2-pt shot at rim (assist by B. Rush),2,28-34,,
10:52.0,,,28-36,2,J. Hickson makes 2-pt shot from 7 ft
10:43.0,,,28-36,,Violation by J. Nurkic (def goaltending)
