time,Atlanta,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Gortat vs. A. Horford (N. Hilario gains possession),,,,Jump ball: M. Gortat vs. A. Horford (N. Hilario gains possession)
11:45.0,,,0-0,,Turnover by N. Hilario (traveling)
11:28.0,K. Korver misses 3-pt shot from 25 ft,,0-0,,
11:27.0,,,0-0,,Defensive rebound by Team
11:11.0,,,0-3,3,P. Pierce makes 3-pt shot from 26 ft (assist by B. Beal)
11:03.0,,,0-3,,Personal foul by N. Hilario (drawn by P. Millsap)
10:57.0,A. Horford makes 2-pt shot from 1 ft (assist by K. Korver),2,2-3,,
10:38.0,,,2-6,3,R. Sessions makes 3-pt shot from 28 ft (assist by N. Hilario)
10:25.0,P. Millsap makes 2-pt shot from 2 ft (assist by J. Teague),2,4-6,,
9:57.0,,,4-6,,B. Beal misses 2-pt shot from 15 ft (block by K. Korver)
9:57.0,,,4-6,,Offensive rebound by Team
9:57.0,,,4-6,,Turnover by Team (shot clock)
9:44.0,D. Carroll misses 2-pt shot from 18 ft,,4-6,,
9:43.0,,,4-6,,Defensive rebound by M. Gortat
9:39.0,Personal foul by D. Carroll (drawn by P. Pierce),,4-6,,
9:30.0,,,4-6,,B. Beal misses 2-pt shot from 20 ft
9:29.0,Defensive rebound by D. Carroll,,4-6,,
9:15.0,P. Millsap misses 3-pt shot from 26 ft,,4-6,,
9:14.0,Offensive rebound by A. Horford,,4-6,,
9:09.0,P. Millsap makes 2-pt shot from 1 ft (assist by K. Korver),2,6-6,,
8:50.0,,,6-9,3,P. Pierce makes 3-pt shot from 25 ft (assist by B. Beal)
8:29.0,J. Teague makes 2-pt shot from 2 ft (assist by P. Millsap),2,8-9,,
8:13.0,,,8-11,2,N. Hilario makes 2-pt shot from 15 ft (assist by B. Beal)
7:53.0,P. Millsap makes 2-pt shot from 2 ft,2,10-11,,
