time,Miami,pts.away,score,pts.home,Philadelphia
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: M. Beasley vs. H. Sims (T. Johnson gains possession),,,,Jump ball: M. Beasley vs. H. Sims (T. Johnson gains possession)
11:46.0,M. Beasley misses 2-pt shot from 11 ft,,0-0,,
11:44.0,,,0-0,,Defensive rebound by J. Grant
11:32.0,,,0-0,,J. Grant misses 2-pt shot from 4 ft (block by M. Beasley)
11:28.0,Defensive rebound by M. Beasley,,0-0,,
11:21.0,H. Walker makes 3-pt shot from 23 ft (assist by T. Johnson),3,3-0,,
11:03.0,,,3-0,,R. Covington misses 2-pt shot from 17 ft
11:01.0,Defensive rebound by T. Johnson,,3-0,,
10:49.0,Z. Dragic misses 3-pt shot from 23 ft,,3-0,,
10:47.0,,,3-0,,Defensive rebound by G. Robinson
10:37.0,,,3-0,,J. Sampson misses 3-pt shot from 27 ft
10:35.0,Defensive rebound by H. Walker,,3-0,,
10:23.0,T. Johnson misses 2-pt shot from 7 ft,,3-0,,
10:22.0,,,3-0,,Defensive rebound by J. Sampson
10:14.0,,,3-0,,R. Covington misses 3-pt shot from 26 ft
10:12.0,Defensive rebound by T. Johnson,,3-0,,
10:05.0,Z. Dragic makes 3-pt shot from 23 ft (assist by J. Ennis),3,6-0,,
9:43.0,,,6-2,2,H. Sims makes 2-pt shot from 6 ft
9:32.0,Turnover by H. Walker (traveling),,6-2,,
9:13.0,,,6-2,,G. Robinson misses 3-pt shot from 25 ft
9:11.0,Defensive rebound by H. Walker,,6-2,,
9:04.0,J. Ennis misses 3-pt shot from 26 ft,,6-2,,
9:03.0,,,6-2,,Defensive rebound by J. Grant
8:44.0,,,6-2,,Shooting foul by T. Johnson (drawn by R. Covington)
8:44.0,,,6-3,1,R. Covington makes free throw 1 of 2
8:44.0,,,6-4,1,R. Covington makes free throw 2 of 2
8:34.0,T. Johnson makes 2-pt shot at rim (assist by M. Beasley),2,8-4,,
8:08.0,,,8-6,2,G. Robinson makes 2-pt shot from 5 ft
7:53.0,M. Beasley misses 2-pt shot from 19 ft,,8-6,,
7:52.0,Offensive rebound by T. Johnson,,8-6,,
7:41.0,Z. Dragic makes 2-pt shot at rim,2,10-6,,
7:23.0,,,10-6,,J. Sampson misses 2-pt shot from 2 ft
7:21.0,Defensive rebound by M. Beasley,,10-6,,
7:18.0,,,10-6,,Personal foul by H. Sims (drawn by M. Beasley)
7:12.0,Turnover by J. Ennis (lost ball),,10-6,,
6:52.0,,,10-6,,Shooting foul by Z. Dragic (drawn by R. Covington)
6:52.0,,,10-7,1,R. Covington makes free throw 1 of 2
6:52.0,,,10-8,1,R. Covington makes free throw 2 of 2
6:41.0,Turnover by M. Beasley (bad pass; steal by G. Robinson),,10-8,,
6:36.0,,,10-10,2,G. Robinson makes 2-pt shot at rim
6:17.0,H. Walker makes 3-pt shot from 24 ft,3,13-10,,
6:16.0,,,13-10,,Philadelphia full timeout
5:58.0,,,13-10,,J. Grant misses 3-pt shot from 26 ft
5:56.0,Defensive rebound by T. Johnson,,13-10,,
5:44.0,M. Beasley misses 2-pt shot from 1 ft,,13-10,,
5:43.0,Offensive rebound by M. Beasley,,13-10,,
5:43.0,M. Beasley makes 2-pt shot from 1 ft,2,15-10,,
5:26.0,,,15-10,,J. Grant misses 2-pt shot from 6 ft
5:24.0,Defensive rebound by J. Ennis,,15-10,,
5:18.0,Z. Dragic makes 3-pt shot from 23 ft (assist by J. Ennis),3,18-10,,
5:01.0,Personal foul by Z. Dragic (drawn by J. Sampson),,18-10,,
5:01.0,,,18-10,,H. Thompson enters the game for G. Robinson
5:00.0,,,18-10,,T. Robinson enters the game for H. Sims
4:56.0,,,18-13,3,R. Covington makes 3-pt shot from 25 ft (assist by J. Sampson)
4:39.0,H. Walker misses 3-pt shot from 25 ft,,18-13,,
4:37.0,,,18-13,,Defensive rebound by H. Thompson
4:23.0,,,18-13,,H. Thompson misses 3-pt shot from 25 ft
4:21.0,Defensive rebound by M. Beasley,,18-13,,
4:19.0,Turnover by M. Beasley (bad pass; steal by J. Sampson),,18-13,,
4:14.0,,,18-15,2,H. Thompson makes 2-pt shot at rim (assist by J. Sampson)
4:03.0,T. Johnson misses 2-pt shot from 17 ft,,18-15,,
4:02.0,,,18-15,,Defensive rebound by R. Covington
3:53.0,,,18-15,,J. Grant misses 2-pt shot from 4 ft
3:51.0,Defensive rebound by J. Ennis,,18-15,,
3:44.0,J. Ennis misses 2-pt shot from 3 ft (block by R. Covington),,18-15,,
3:41.0,,,18-15,,Defensive rebound by T. Robinson
3:36.0,,,18-15,,R. Covington misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by J. Ennis,,18-15,,
3:20.0,Turnover by Z. Dragic (traveling),,18-15,,
2:55.0,,,18-17,2,T. Robinson makes 2-pt shot from 10 ft (assist by H. Thompson)
2:41.0,M. Beasley makes 2-pt shot from 14 ft,2,20-17,,
2:21.0,,,20-19,2,J. Sampson makes 2-pt shot at rim (assist by R. Covington)
2:11.0,,,20-19,,Personal foul by H. Thompson (drawn by Z. Dragic)
2:11.0,Miami full timeout,,20-19,,
2:11.0,,,20-19,,G. Robinson enters the game for J. Sampson
2:11.0,,,20-19,,H. Sims enters the game for J. Grant
2:02.0,Shooting foul by T. Robinson (drawn by H. Walker),,20-19,,
2:02.0,H. Walker makes free throw 1 of 3,1,21-19,,
2:02.0,H. Walker misses free throw 2 of 3,,21-19,,
2:02.0,Offensive rebound by Team,,21-19,,
2:02.0,H. Walker makes free throw 3 of 3,1,22-19,,
1:46.0,,,22-19,,R. Covington misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by M. Beasley,,22-19,,
1:31.0,J. Ennis makes 3-pt shot from 23 ft (assist by Z. Dragic),3,25-19,,
1:31.0,Violation by Team (delay of game),,25-19,,
1:17.0,,,25-19,,Offensive foul by T. Robinson
1:17.0,,,25-19,,Turnover by T. Robinson (offensive foul)
1:17.0,,,25-19,,J. Grant enters the game for R. Covington
1:00.0,Z. Dragic makes 2-pt shot at rim (assist by M. Beasley),2,27-19,,
0:43.0,,,27-21,2,H. Thompson makes 2-pt shot from 14 ft
0:29.0,M. Beasley makes 2-pt shot at rim,2,29-21,,
0:16.0,,,29-23,2,H. Sims makes 2-pt shot at rim (assist by G. Robinson)
0:01.0,M. Beasley misses 2-pt shot from 3 ft,,29-23,,
0:00.0,,,29-23,,Defensive rebound by H. Sims
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-23,,J. Grant misses 3-pt shot from 25 ft
11:41.0,,,29-23,,Offensive rebound by G. Robinson
11:36.0,,,29-26,3,H. Thompson makes 3-pt shot from 26 ft (assist by G. Robinson)
11:18.0,Turnover by Z. Dragic (bad pass),,29-26,,
10:57.0,,,29-29,3,H. Thompson makes 3-pt shot from 25 ft (assist by G. Robinson)
10:38.0,M. Beasley misses 2-pt shot from 9 ft,,29-29,,
10:36.0,,,29-29,,Defensive rebound by T. Robinson
10:18.0,,,29-31,2,G. Robinson makes 2-pt shot at rim (assist by T. Robinson)
10:04.0,J. Ennis makes 2-pt shot from 18 ft (assist by T. Johnson),2,31-31,,
9:55.0,,,31-31,,Turnover by T. Robinson (bad pass)
9:32.0,J. Ennis makes 2-pt shot from 1 ft (assist by H. Walker),2,33-31,,
9:27.0,,,33-31,,Philadelphia full timeout
9:13.0,,,33-31,,H. Sims misses 2-pt shot from 21 ft
9:11.0,Defensive rebound by T. Johnson,,33-31,,
8:57.0,H. Walker makes 3-pt shot from 25 ft (assist by J. Ennis),3,36-31,,
8:35.0,,,36-31,,H. Sims misses 2-pt shot from 17 ft
8:34.0,,,36-31,,Offensive rebound by T. Robinson
8:34.0,,,36-33,2,T. Robinson makes 2-pt shot at rim
8:14.0,H. Walker makes 3-pt shot from 26 ft,3,39-33,,
7:58.0,,,39-33,,Turnover by H. Sims (bad pass; steal by T. Johnson)
7:57.0,,,39-33,,Personal foul by H. Thompson (drawn by Z. Dragic)
7:57.0,,,39-33,,J. Sampson enters the game for G. Robinson
7:57.0,,,39-33,,R. Covington enters the game for H. Sims
