time,Dallas,pts.away,score,pts.home,Brooklyn
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Plumlee (J. Jack gains possession),,,,Jump ball: T. Chandler vs. M. Plumlee (J. Jack gains possession)
11:42.0,,,0-2,2,B. Lopez makes 2-pt shot from 15 ft
11:25.0,M. Ellis misses 2-pt shot from 20 ft,,0-2,,
11:24.0,,,0-2,,Defensive rebound by B. Lopez
11:00.0,,,0-2,,J. Jack misses 3-pt shot from 24 ft
10:59.0,Defensive rebound by M. Ellis,,0-2,,
10:49.0,Turnover by M. Ellis (bad pass; steal by J. Johnson),,0-2,,
10:46.0,,,0-4,2,M. Plumlee makes 2-pt shot at rim (assist by J. Johnson)
10:29.0,C. Parsons misses 3-pt shot from 23 ft,,0-4,,
10:28.0,Offensive rebound by D. Nowitzki,,0-4,,
10:18.0,R. Rondo misses 2-pt shot from 19 ft,,0-4,,
10:17.0,Offensive rebound by Team,,0-4,,
10:17.0,,,0-4,,Loose ball foul by S. Karasev (drawn by D. Nowitzki)
10:06.0,D. Nowitzki makes 2-pt shot from 19 ft (assist by R. Rondo),2,2-4,,
9:43.0,,,2-4,,S. Karasev misses 3-pt shot from 22 ft
9:42.0,Defensive rebound by R. Rondo,,2-4,,
9:25.0,D. Nowitzki misses 2-pt shot from 20 ft,,2-4,,
9:24.0,,,2-4,,Defensive rebound by J. Jack
9:16.0,,,2-6,2,B. Lopez makes 2-pt shot from 2 ft (assist by S. Karasev)
9:10.0,M. Ellis makes 2-pt shot from 2 ft (assist by R. Rondo),2,4-6,,
8:58.0,,,4-8,2,B. Lopez makes 2-pt shot from 20 ft (assist by J. Jack)
8:45.0,R. Rondo misses 2-pt shot from 18 ft,,4-8,,
8:44.0,,,4-8,,Defensive rebound by B. Lopez
8:36.0,,,4-8,,J. Jack misses 2-pt shot from 10 ft
8:35.0,,,4-8,,Offensive rebound by Team
8:27.0,,,4-8,,M. Plumlee misses 2-pt shot from 1 ft
8:25.0,Defensive rebound by D. Nowitzki,,4-8,,
8:18.0,D. Nowitzki misses 2-pt shot from 18 ft,,4-8,,
8:17.0,,,4-8,,Defensive rebound by B. Lopez
8:01.0,,,4-10,2,B. Lopez makes 2-pt shot from 16 ft (assist by J. Johnson)
7:48.0,D. Nowitzki misses 2-pt shot from 17 ft,,4-10,,
7:47.0,Offensive rebound by T. Chandler,,4-10,,
7:45.0,T. Chandler makes 2-pt shot at rim,2,6-10,,
7:32.0,,,6-12,2,B. Lopez makes 2-pt shot from 20 ft (assist by J. Jack)
7:16.0,T. Chandler makes 2-pt shot at rim (assist by R. Rondo),2,8-12,,
7:13.0,Personal foul by R. Rondo (drawn by J. Jack),,8-12,,
7:13.0,C. Villanueva enters the game for D. Nowitzki,,8-12,,
7:13.0,D. Harris enters the game for R. Rondo,,8-12,,
6:56.0,,,8-12,,B. Lopez misses 2-pt shot from 16 ft
6:54.0,Defensive rebound by M. Ellis,,8-12,,
6:49.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,10-12,,
6:23.0,,,10-14,2,M. Plumlee makes 2-pt shot from 2 ft (assist by J. Johnson)
