time,Dallas,pts.away,score,pts.home,Washington
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. M. Gortat (J. Wall gains possession),,,,Jump ball: T. Chandler vs. M. Gortat (J. Wall gains possession)
11:43.0,,,0-2,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
11:21.0,J. Nelson misses 2-pt shot from 14 ft,,0-2,,
11:21.0,,,0-2,,Defensive rebound by M. Gortat
11:11.0,,,0-2,,J. Wall misses 2-pt shot from 16 ft
11:10.0,Defensive rebound by T. Chandler,,0-2,,
11:09.0,Turnover by J. Nelson (traveling),,0-2,,
10:57.0,,,0-2,,P. Pierce misses 2-pt shot from 13 ft
10:56.0,Defensive rebound by J. Nelson,,0-2,,
10:45.0,M. Ellis makes 2-pt shot from 21 ft,2,2-2,,
10:33.0,,,2-2,,M. Gortat misses 2-pt shot at rim (block by T. Chandler)
10:31.0,Defensive rebound by J. Nelson,,2-2,,
10:18.0,D. Nowitzki misses 2-pt shot from 17 ft,,2-2,,
10:17.0,,,2-2,,Defensive rebound by N. Hilario
10:14.0,Personal block foul by C. Parsons (drawn by J. Wall),,2-2,,
10:02.0,,,2-4,2,M. Gortat makes 2-pt shot from 10 ft
9:42.0,C. Parsons misses 2-pt shot from 20 ft,,2-4,,
9:41.0,,,2-4,,Defensive rebound by Team
9:15.0,,,2-4,,J. Wall misses 2-pt shot from 21 ft
9:14.0,,,2-4,,Offensive rebound by N. Hilario
9:11.0,,,2-4,,J. Wall misses 2-pt shot from 4 ft
9:10.0,Defensive rebound by D. Nowitzki,,2-4,,
9:01.0,Turnover by M. Ellis (lost ball; steal by G. Temple),,2-4,,
8:57.0,,,2-6,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
8:41.0,J. Nelson misses 2-pt shot from 20 ft,,2-6,,
8:40.0,,,2-6,,Defensive rebound by P. Pierce
8:29.0,,,2-6,,N. Hilario misses 2-pt shot from 15 ft
8:28.0,Defensive rebound by T. Chandler,,2-6,,
8:23.0,,,2-6,,Personal foul by N. Hilario (drawn by D. Nowitzki)
8:14.0,D. Nowitzki misses 3-pt shot from 25 ft,,2-6,,
8:13.0,,,2-6,,Defensive rebound by M. Gortat
8:08.0,,,2-8,2,P. Pierce makes 2-pt shot from 14 ft (assist by J. Wall)
8:02.0,Dallas full timeout,,2-8,,
7:49.0,Shooting foul by G. Temple (drawn by D. Nowitzki),,2-8,,
7:49.0,D. Nowitzki makes free throw 1 of 2,1,3-8,,
7:49.0,D. Nowitzki makes free throw 2 of 2,1,4-8,,
7:31.0,,,4-8,,M. Gortat misses 2-pt shot from 6 ft
7:30.0,Defensive rebound by D. Nowitzki,,4-8,,
7:24.0,J. Nelson makes 2-pt shot at rim (assist by D. Nowitzki),2,6-8,,
7:20.0,,,6-8,,Shooting foul by D. Nowitzki (drawn by G. Temple)
