time,Milwaukee,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: Z. Pachulia vs. J. Thompson (G. Antetokounmpo gains possession),,,,Jump ball: Z. Pachulia vs. J. Thompson (G. Antetokounmpo gains possession)
11:40.0,Z. Pachulia misses 2-pt shot from 17 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by R. Gay
11:21.0,,,0-0,,Turnover by D. Collison (bad pass; steal by O. Mayo)
11:18.0,O. Mayo makes 2-pt shot at rim,2,2-0,,
11:09.0,,,2-0,,J. Thompson misses 2-pt shot from 2 ft
11:09.0,Defensive rebound by Z. Pachulia,,2-0,,
11:02.0,B. Knight misses 2-pt shot from 18 ft,,2-0,,
11:01.0,,,2-0,,Defensive rebound by B. McLemore
10:51.0,,,2-2,2,B. McLemore makes 2-pt shot from 1 ft (assist by R. Gay)
10:38.0,O. Mayo makes 2-pt shot at rim (assist by Z. Pachulia),2,4-2,,
10:17.0,,,4-4,2,D. Cousins makes 2-pt shot from 13 ft (assist by B. McLemore)
10:03.0,J. O'Bryant misses 2-pt shot from 16 ft,,4-4,,
10:02.0,,,4-4,,Defensive rebound by D. Collison
9:49.0,Def 3 sec tech foul by G. Antetokounmpo,,4-4,,
9:49.0,,,4-5,1,D. Collison makes technical free throw
9:42.0,,,4-7,2,D. Collison makes 2-pt shot from 13 ft
9:32.0,Z. Pachulia misses 2-pt shot from 16 ft,,4-7,,
9:31.0,,,4-7,,Defensive rebound by R. Gay
9:30.0,Violation by Z. Pachulia (kicked ball),,4-7,,
9:25.0,,,4-9,2,D. Cousins makes 2-pt shot from 1 ft (assist by D. Collison)
9:15.0,Turnover by B. Knight (bad pass; steal by D. Collison),,4-9,,
9:09.0,,,4-11,2,B. McLemore makes 2-pt shot at rim (assist by R. Gay)
8:58.0,Offensive foul by J. O'Bryant,,4-11,,
8:58.0,Turnover by J. O'Bryant (offensive foul),,4-11,,
8:44.0,,,4-14,3,B. McLemore makes 3-pt shot from 22 ft (assist by D. Cousins)
8:39.0,Milwaukee full timeout,,4-14,,
8:31.0,,,4-14,,Personal foul by D. Cousins (drawn by O. Mayo)
8:15.0,G. Antetokounmpo misses 2-pt shot from 16 ft,,4-14,,
8:14.0,,,4-14,,Defensive rebound by R. Gay
8:08.0,,,4-14,,Shooting foul by Z. Pachulia (drawn by D. Cousins)
8:08.0,,,4-15,1,D. Cousins makes free throw 1 of 2
