time,Minnesota,pts.away,score,pts.home,Dallas
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: T. Chandler vs. N. Pekovic (J. Barea gains possession),,,,Jump ball: T. Chandler vs. N. Pekovic (J. Barea gains possession)
11:31.0,,,0-2,2,J. Barea makes 2-pt shot from 20 ft (assist by T. Chandler)
11:09.0,N. Pekovic misses 2-pt shot from 11 ft,,0-2,,
11:08.0,,,0-2,,Defensive rebound by D. Nowitzki
10:53.0,,,0-2,,J. Barea misses 2-pt shot from 10 ft
10:52.0,Defensive rebound by T. Young,,0-2,,
10:44.0,R. Rubio misses 2-pt shot from 21 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by C. Parsons
10:23.0,,,0-4,2,C. Parsons makes 2-pt shot at rim (assist by T. Chandler)
10:01.0,Offensive foul by N. Pekovic,,0-4,,
10:01.0,Turnover by N. Pekovic (offensive foul),,0-4,,
9:49.0,,,0-4,,J. Barea misses 2-pt shot from 1 ft
9:48.0,,,0-4,,Offensive rebound by T. Chandler
9:37.0,,,0-6,2,D. Nowitzki makes 2-pt shot from 11 ft (assist by M. Ellis)
9:21.0,Turnover by N. Pekovic (bad pass; steal by M. Ellis),,0-6,,
9:17.0,,,0-6,,J. Barea misses 2-pt shot from 1 ft (block by A. Wiggins)
9:15.0,Defensive rebound by K. Martin,,0-6,,
9:10.0,T. Young misses 2-pt shot from 2 ft (block by T. Chandler),,0-6,,
9:08.0,,,0-6,,Defensive rebound by T. Chandler
9:04.0,Shooting block foul by K. Martin (drawn by M. Ellis),,0-6,,
9:04.0,,,0-7,1,M. Ellis makes free throw 1 of 2
9:04.0,,,0-8,1,M. Ellis makes free throw 2 of 2
8:48.0,A. Wiggins misses 2-pt shot from 14 ft,,0-8,,
8:47.0,Offensive rebound by N. Pekovic,,0-8,,
8:47.0,N. Pekovic misses 2-pt shot from 1 ft,,0-8,,
8:46.0,,,0-8,,Defensive rebound by T. Chandler
8:38.0,,,0-10,2,D. Nowitzki makes 2-pt shot from 15 ft (assist by J. Barea)
8:36.0,Minnesota full timeout,,0-10,,
8:23.0,K. Martin misses 2-pt shot from 18 ft,,0-10,,
8:22.0,,,0-10,,Defensive rebound by T. Chandler
8:10.0,,,0-10,,M. Ellis misses 2-pt shot from 16 ft
8:08.0,Defensive rebound by Team,,0-10,,
7:51.0,R. Rubio makes 2-pt shot from 21 ft,2,2-10,,
7:38.0,,,2-10,,J. Barea misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by K. Martin,,2-10,,
7:29.0,R. Rubio misses 3-pt shot from 22 ft,,2-10,,
7:28.0,,,2-10,,Defensive rebound by T. Chandler
7:20.0,,,2-12,2,C. Parsons makes 2-pt shot from 1 ft
7:05.0,T. Young makes 2-pt shot from 1 ft (assist by R. Rubio),2,4-12,,
6:49.0,Shooting block foul by N. Pekovic (drawn by T. Chandler),,4-12,,
6:49.0,,,4-13,1,T. Chandler makes free throw 1 of 2
6:49.0,,,4-13,,D. Harris enters the game for J. Barea
6:49.0,,,4-13,,A. Aminu enters the game for D. Nowitzki
6:49.0,G. Dieng enters the game for N. Pekovic,,4-13,,
6:49.0,,,4-14,1,T. Chandler makes free throw 2 of 2
6:39.0,R. Rubio makes 2-pt shot from 1 ft,2,6-14,,
6:23.0,,,6-17,3,D. Harris makes 3-pt shot from 24 ft (assist by C. Parsons)
6:09.0,G. Dieng misses 2-pt shot from 4 ft (block by T. Chandler),,6-17,,
6:08.0,,,6-17,,Defensive rebound by D. Harris
6:01.0,,,6-17,,M. Ellis misses 2-pt shot from 4 ft
6:01.0,Defensive rebound by G. Dieng,,6-17,,
6:01.0,,,6-17,,Loose ball foul by T. Chandler (drawn by G. Dieng)
6:01.0,,,6-17,,G. Smith enters the game for T. Chandler
5:38.0,R. Rubio makes 2-pt shot from 17 ft (assist by A. Wiggins),2,8-17,,
5:30.0,,,8-17,,M. Ellis misses 2-pt shot from 1 ft
5:28.0,,,8-17,,Offensive rebound by A. Aminu
5:19.0,,,8-17,,C. Parsons misses 2-pt shot from 5 ft
5:17.0,Defensive rebound by T. Young,,8-17,,
5:13.0,K. Martin misses 2-pt shot from 2 ft,,8-17,,
5:10.0,,,8-17,,Defensive rebound by A. Aminu
4:57.0,M. Williams enters the game for R. Rubio,,8-17,,
4:54.0,,,8-17,,Turnover by A. Aminu (lost ball; steal by K. Martin)
4:50.0,K. Martin makes 2-pt shot at rim (assist by T. Young),2,10-17,,
4:50.0,,,10-17,,Dallas full timeout
4:28.0,,,10-17,,D. Harris misses 3-pt shot from 25 ft
4:28.0,Defensive rebound by G. Dieng,,10-17,,
4:18.0,Shooting foul by C. Parsons (drawn by A. Wiggins),,10-17,,
4:18.0,A. Wiggins makes free throw 1 of 2,1,11-17,,
4:18.0,A. Wiggins makes free throw 2 of 2,1,12-17,,
4:05.0,,,12-19,2,G. Smith makes 2-pt shot at rim (assist by A. Aminu)
3:53.0,Turnover by A. Wiggins (lost ball; steal by C. Parsons),,12-19,,
3:42.0,,,12-19,,D. Harris misses 3-pt shot from 24 ft
3:40.0,Defensive rebound by M. Williams,,12-19,,
3:29.0,K. Martin makes 2-pt shot from 17 ft,2,14-19,,
3:02.0,,,14-22,3,A. Aminu makes 3-pt shot from 24 ft (assist by D. Harris)
2:43.0,M. Williams makes 3-pt shot from 24 ft (assist by G. Dieng),3,17-22,,
2:32.0,,,17-24,2,M. Ellis makes 2-pt shot at rim (assist by D. Harris)
2:13.0,T. Young misses 3-pt shot from 24 ft,,17-24,,
2:11.0,Offensive rebound by A. Wiggins,,17-24,,
2:10.0,K. Martin misses 2-pt shot from 2 ft,,17-24,,
2:09.0,Offensive rebound by G. Dieng,,17-24,,
2:08.0,G. Dieng makes 2-pt shot from 2 ft,2,19-24,,
1:57.0,,,19-26,2,M. Ellis makes 2-pt shot from 19 ft
1:47.0,Shooting foul by M. Ellis (drawn by G. Dieng),,19-26,,
1:47.0,G. Dieng misses free throw 1 of 2,,19-26,,
1:47.0,Offensive rebound by Team,,19-26,,
1:47.0,,,19-26,,D. Nowitzki enters the game for C. Parsons
1:47.0,C. Budinger enters the game for A. Wiggins,,19-26,,
1:47.0,,,19-26,,D. Powell enters the game for G. Smith
1:47.0,,,19-26,,J. Barea enters the game for M. Ellis
1:47.0,G. Dieng makes free throw 2 of 2,1,20-26,,
1:31.0,Personal foul by G. Dieng (drawn by D. Powell),,20-26,,
1:17.0,,,20-26,,A. Aminu misses 3-pt shot from 23 ft
1:16.0,Defensive rebound by K. Martin,,20-26,,
1:08.0,K. Martin misses 2-pt shot from 8 ft,,20-26,,
1:07.0,,,20-26,,Defensive rebound by A. Aminu
1:00.0,,,20-28,2,D. Harris makes 2-pt shot from 2 ft
0:44.0,Turnover by K. Martin (bad pass; steal by D. Harris),,20-28,,
0:40.0,,,20-30,2,A. Aminu makes 2-pt shot at rim (assist by D. Harris)
0:27.0,C. Budinger misses 2-pt shot from 7 ft,,20-30,,
0:25.0,,,20-30,,Defensive rebound by D. Nowitzki
0:04.0,,,20-30,,J. Barea misses 2-pt shot from 9 ft
0:03.0,Defensive rebound by T. Young,,20-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,A. Bennett makes 2-pt shot at rim (assist by M. Williams),2,22-30,,
11:20.0,,,22-33,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by J. Barea)
11:01.0,A. Wiggins misses 2-pt shot from 5 ft,,22-33,,
11:00.0,,,22-33,,Defensive rebound by C. Villanueva
10:53.0,,,22-36,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by A. Aminu)
10:51.0,Minnesota full timeout,,22-36,,
10:51.0,,,22-36,,R. Felton enters the game for D. Harris
10:36.0,M. Williams misses 3-pt shot from 22 ft,,22-36,,
10:34.0,Offensive rebound by G. Dieng,,22-36,,
10:21.0,A. Wiggins misses 2-pt shot from 19 ft,,22-36,,
10:20.0,Offensive rebound by A. Bennett,,22-36,,
10:14.0,Turnover by M. Williams (bad pass; steal by D. Nowitzki),,22-36,,
10:12.0,,,22-36,,Turnover by A. Aminu (bad pass; steal by A. Wiggins)
10:02.0,A. Wiggins misses 2-pt shot from 7 ft,,22-36,,
10:01.0,,,22-36,,Defensive rebound by C. Villanueva
9:39.0,,,22-36,,C. Villanueva misses 3-pt shot from 22 ft
9:38.0,Defensive rebound by A. Bennett,,22-36,,
9:28.0,G. Dieng makes 2-pt shot from 1 ft,2,24-36,,
9:16.0,,,24-36,,C. Villanueva misses 3-pt shot from 25 ft
9:15.0,Defensive rebound by A. Bennett,,24-36,,
9:15.0,,,24-36,,Loose ball foul by A. Aminu (drawn by A. Bennett)
9:15.0,R. Rubio enters the game for M. Williams,,24-36,,
9:04.0,A. Bennett misses 2-pt shot from 21 ft,,24-36,,
9:03.0,Offensive rebound by G. Dieng,,24-36,,
