time,Oklahoma City,pts.away,score,pts.home,Cleveland
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: S. Ibaka vs. T. Mozgov (K. Perkins gains possession),,,,Jump ball: S. Ibaka vs. T. Mozgov (K. Perkins gains possession)
11:41.0,K. Durant misses 2-pt shot from 14 ft,,0-0,,
11:39.0,,,0-0,,Defensive rebound by K. Love
11:34.0,,,0-0,,L. James misses 2-pt shot from 10 ft
11:33.0,Defensive rebound by S. Ibaka,,0-0,,
11:26.0,R. Westbrook misses 2-pt shot from 8 ft,,0-0,,
11:24.0,,,0-0,,Defensive rebound by K. Love
11:01.0,,,0-2,2,L. James makes 2-pt shot from 13 ft
10:44.0,S. Ibaka misses 3-pt shot from 23 ft,,0-2,,
10:43.0,,,0-2,,Defensive rebound by Team
10:21.0,,,0-2,,J. Smith misses 3-pt shot from 27 ft
10:19.0,Defensive rebound by S. Ibaka,,0-2,,
10:08.0,S. Ibaka misses 2-pt shot from 16 ft,,0-2,,
10:07.0,,,0-2,,Defensive rebound by L. James
10:02.0,,,0-2,,Shooting foul by K. Durant (drawn by L. James)
10:02.0,,,0-2,,L. James misses free throw 1 of 2
10:02.0,,,0-2,,Offensive rebound by Team
10:02.0,,,0-3,1,L. James makes free throw 2 of 2
9:43.0,R. Westbrook misses 2-pt shot from 2 ft (block by T. Mozgov),,0-3,,
9:43.0,Offensive rebound by Team,,0-3,,
9:37.0,S. Ibaka misses 3-pt shot from 25 ft,,0-3,,
9:35.0,Offensive rebound by A. Roberson,,0-3,,
9:31.0,K. Durant misses 3-pt shot from 25 ft,,0-3,,
9:30.0,,,0-3,,Defensive rebound by K. Love
9:21.0,,,0-3,,Turnover by K. Irving (lost ball; steal by S. Ibaka)
9:11.0,K. Durant misses 2-pt shot from 6 ft,,0-3,,
9:09.0,,,0-3,,Defensive rebound by L. James
9:05.0,,,0-3,,L. James misses 2-pt shot at rim
9:02.0,Defensive rebound by S. Ibaka,,0-3,,
8:54.0,K. Durant makes 3-pt shot from 24 ft (assist by A. Roberson),3,3-3,,
8:36.0,,,3-3,,J. Smith misses 3-pt shot from 25 ft
8:35.0,,,3-3,,Offensive rebound by K. Love
8:30.0,,,3-3,,L. James misses 2-pt shot from 1 ft
8:29.0,Defensive rebound by S. Ibaka,,3-3,,
8:26.0,R. Westbrook misses 2-pt shot from 6 ft (block by T. Mozgov),,3-3,,
8:25.0,,,3-3,,Defensive rebound by K. Love
8:21.0,,,3-3,,L. James misses 2-pt shot at rim (block by A. Roberson)
8:21.0,Defensive rebound by K. Durant,,3-3,,
8:15.0,Shooting foul by T. Mozgov (drawn by K. Durant),,3-3,,
8:15.0,K. Durant makes free throw 1 of 2,1,4-3,,
8:15.0,K. Durant makes free throw 2 of 2,1,5-3,,
7:53.0,,,5-6,3,K. Love makes 3-pt shot from 24 ft (assist by K. Irving)
7:27.0,R. Westbrook misses 2-pt shot from 16 ft,,5-6,,
7:26.0,,,5-6,,Defensive rebound by K. Love
7:16.0,D. Waiters enters the game for A. Roberson,,5-6,,
7:03.0,,,5-6,,J. Smith misses 3-pt shot from 23 ft
7:01.0,,,5-6,,Offensive rebound by K. Love
7:01.0,,,5-6,,K. Love misses 2-pt shot at rim
7:00.0,Defensive rebound by S. Ibaka,,5-6,,
6:48.0,K. Durant makes 2-pt shot from 2 ft,2,7-6,,
6:40.0,,,7-9,3,J. Smith makes 3-pt shot from 23 ft (assist by T. Mozgov)
6:22.0,S. Ibaka misses 2-pt shot at rim,,7-9,,
6:21.0,,,7-9,,Defensive rebound by K. Love
6:11.0,,,7-9,,Shooting foul by D. Waiters (drawn by J. Smith)
6:11.0,,,7-10,1,J. Smith makes free throw 1 of 2
6:11.0,,,7-11,1,J. Smith makes free throw 2 of 2
5:52.0,R. Westbrook makes 3-pt shot from 27 ft (assist by D. Waiters),3,10-11,,
5:32.0,,,10-11,,Turnover by L. James (traveling)
5:32.0,,,10-11,,Cleveland full timeout
5:32.0,N. Collison enters the game for S. Ibaka,,10-11,,
5:17.0,K. Perkins makes 2-pt shot at rim (assist by R. Westbrook),2,12-11,,
4:59.0,,,12-11,,K. Irving misses 2-pt shot from 5 ft (block by R. Westbrook)
4:59.0,,,12-11,,Offensive rebound by Team
4:59.0,A. Morrow enters the game for K. Durant,,12-11,,
4:58.0,Loose ball foul by R. Westbrook (drawn by K. Love),,12-11,,
4:43.0,,,12-13,2,L. James makes 2-pt shot from 19 ft
4:30.0,D. Waiters makes 3-pt shot from 24 ft,3,15-13,,
4:13.0,,,15-13,,J. Smith misses 2-pt shot from 19 ft
4:12.0,Defensive rebound by D. Waiters,,15-13,,
3:53.0,Turnover by R. Westbrook (bad pass; steal by T. Mozgov),,15-13,,
3:48.0,,,15-15,2,L. James makes 2-pt shot at rim (assist by J. Smith)
3:37.0,N. Collison makes 2-pt shot at rim (assist by R. Westbrook),2,17-15,,
3:18.0,,,17-15,,K. Love misses 3-pt shot from 23 ft
3:17.0,Defensive rebound by R. Westbrook,,17-15,,
3:11.0,R. Westbrook makes 2-pt shot from 14 ft,2,19-15,,
2:54.0,,,19-15,,K. Irving misses 2-pt shot from 1 ft
2:53.0,Defensive rebound by R. Westbrook,,19-15,,
2:48.0,A. Morrow makes 3-pt shot from 23 ft (assist by R. Westbrook),3,22-15,,
2:41.0,,,22-15,,Cleveland full timeout
2:41.0,Oklahoma City full timeout,,22-15,,
2:41.0,S. Ibaka enters the game for K. Perkins,,22-15,,
2:41.0,,,22-15,,T. Thompson enters the game for L. James
2:41.0,,,22-15,,S. Marion enters the game for T. Mozgov
2:29.0,,,22-15,,J. Smith misses 3-pt shot from 25 ft
2:28.0,,,22-15,,Offensive rebound by Team
2:28.0,Loose ball foul by N. Collison (drawn by K. Love),,22-15,,
2:12.0,Personal foul by N. Collison (drawn by K. Love),,22-15,,
2:12.0,,,22-15,,K. Love misses free throw 1 of 2
2:12.0,,,22-15,,Offensive rebound by Team
2:12.0,,,22-15,,I. Shumpert enters the game for J. Smith
2:12.0,,,22-16,1,K. Love makes free throw 2 of 2
1:51.0,R. Westbrook misses 2-pt shot from 14 ft,,22-16,,
1:50.0,,,22-16,,Defensive rebound by T. Thompson
1:44.0,,,22-16,,K. Irving misses 2-pt shot at rim (block by S. Ibaka)
1:41.0,Defensive rebound by D. Waiters,,22-16,,
1:29.0,D. Waiters misses 2-pt shot at rim (block by T. Thompson),,22-16,,
1:27.0,,,22-16,,Defensive rebound by K. Love
1:18.0,,,22-16,,Turnover by I. Shumpert (lost ball; steal by S. Ibaka)
1:13.0,D. Waiters makes 2-pt shot at rim (assist by S. Ibaka),2,24-16,,
0:56.0,,,24-16,,Shooting foul by S. Ibaka (drawn by T. Thompson)
0:56.0,,,24-17,1,T. Thompson makes free throw 1 of 2
0:56.0,,,24-17,,T. Mozgov enters the game for K. Love
0:56.0,K. Durant enters the game for R. Westbrook,,24-17,,
0:56.0,R. Jackson enters the game for N. Collison,,24-17,,
0:56.0,,,24-18,1,T. Thompson makes free throw 2 of 2
0:34.0,R. Jackson makes 2-pt shot from 7 ft,2,26-18,,
0:13.0,,,26-18,,T. Thompson misses 2-pt shot from 4 ft
0:12.0,,,26-18,,Offensive rebound by S. Marion
0:12.0,,,26-20,2,S. Marion makes 2-pt shot at rim
0:00.0,K. Durant misses 3-pt shot from 26 ft,,26-20,,
0:00.0,Offensive rebound by Team,,26-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,26-20,,Shooting foul by R. Jackson (drawn by L. James)
11:37.0,,,26-21,1,L. James makes free throw 1 of 2
11:37.0,,,26-22,1,L. James makes free throw 2 of 2
11:16.0,S. Ibaka misses 2-pt shot from 6 ft,,26-22,,
11:14.0,,,26-22,,Defensive rebound by T. Thompson
11:04.0,,,26-22,,Shooting foul by A. Morrow (drawn by L. James)
11:04.0,,,26-23,1,L. James makes free throw 1 of 2
11:04.0,,,26-24,1,L. James makes free throw 2 of 2
10:46.0,S. Ibaka makes 2-pt shot from 8 ft (assist by K. Durant),2,28-24,,
10:35.0,,,28-24,,Turnover by L. James (bad pass)
10:25.0,A. Morrow misses 3-pt shot from 23 ft,,28-24,,
10:23.0,,,28-24,,Defensive rebound by T. Mozgov
10:16.0,,,28-24,,L. James misses 2-pt shot from 9 ft
10:14.0,Defensive rebound by R. Jackson,,28-24,,
10:09.0,R. Jackson misses 2-pt shot from 16 ft,,28-24,,
10:08.0,,,28-24,,Defensive rebound by T. Thompson
9:58.0,,,28-27,3,I. Shumpert makes 3-pt shot from 22 ft (assist by L. James)
9:37.0,K. Durant misses 2-pt shot from 15 ft,,28-27,,
9:36.0,,,28-27,,Defensive rebound by T. Mozgov
9:32.0,,,28-29,2,L. James makes 2-pt shot at rim
9:32.0,,,28-29,,Shooting foul by S. Ibaka (drawn by L. James)
9:32.0,,,28-29,,M. Dellavedova enters the game for S. Marion
9:32.0,,,28-30,1,L. James makes free throw 1 of 1
9:12.0,K. Durant misses 2-pt shot from 6 ft,,28-30,,
9:12.0,Offensive rebound by Team,,28-30,,
9:09.0,S. Ibaka makes 3-pt shot from 25 ft (assist by D. Waiters),3,31-30,,
8:51.0,,,31-32,2,L. James makes 2-pt shot at rim
8:33.0,R. Jackson misses 2-pt shot from 7 ft,,31-32,,
8:31.0,Offensive rebound by R. Jackson,,31-32,,
8:27.0,D. Waiters misses 3-pt shot from 25 ft,,31-32,,
8:26.0,,,31-32,,Defensive rebound by T. Thompson
8:06.0,,,31-32,,L. James misses 2-pt shot from 21 ft
8:04.0,,,31-32,,Offensive rebound by T. Mozgov
8:03.0,,,31-32,,T. Mozgov misses 2-pt shot at rim (block by K. Durant)
