time,Indiana,pts.away,score,pts.home,Sacramento
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: R. Hibbert vs. J. Thompson (R. Gay gains possession),,,,Jump ball: R. Hibbert vs. J. Thompson (R. Gay gains possession)
11:43.0,,,0-0,,Turnover by B. McLemore (lost ball; steal by C. Copeland)
11:25.0,D. West makes 2-pt shot from 5 ft,2,2-0,,
11:08.0,,,2-2,2,R. Hollins makes 2-pt shot at rim (assist by R. Gay)
10:44.0,Shooting foul by R. Hollins (drawn by R. Hibbert),,2-2,,
10:44.0,R. Hibbert misses free throw 1 of 2,,2-2,,
10:44.0,Offensive rebound by Team,,2-2,,
10:44.0,R. Hibbert makes free throw 2 of 2,1,3-2,,
10:29.0,,,3-4,2,B. McLemore makes 2-pt shot from 8 ft (assist by D. Collison)
10:12.0,R. Hibbert makes 2-pt shot from 5 ft (assist by R. Stuckey),2,5-4,,
10:04.0,Personal foul by R. Stuckey (drawn by D. Collison),,5-4,,
9:59.0,,,5-4,,D. Collison misses 3-pt shot from 24 ft
9:58.0,Defensive rebound by R. Hibbert,,5-4,,
9:44.0,D. West misses 2-pt shot from 16 ft,,5-4,,
9:43.0,,,5-4,,Defensive rebound by R. Hollins
9:33.0,,,5-6,2,R. Gay makes 2-pt shot from 4 ft (assist by R. Hollins)
9:16.0,R. Stuckey misses 2-pt shot from 7 ft (block by J. Thompson),,5-6,,
9:16.0,Offensive rebound by Team,,5-6,,
9:01.0,C. Copeland makes 3-pt shot from 24 ft (assist by D. West),3,8-6,,
8:47.0,,,8-8,2,R. Gay makes 2-pt shot from 5 ft (assist by D. Collison)
8:39.0,Turnover by R. Hibbert (offensive foul),,8-8,,
8:39.0,Offensive charge foul by R. Hibbert,,8-8,,
8:18.0,,,8-11,3,R. Gay makes 3-pt shot from 26 ft
7:59.0,S. Hill misses 2-pt shot from 6 ft,,8-11,,
7:58.0,Offensive rebound by S. Hill,,8-11,,
7:39.0,R. Stuckey makes 3-pt shot from 23 ft (assist by R. Hibbert),3,11-11,,
7:25.0,,,11-13,2,R. Hollins makes 2-pt shot at rim (assist by R. Gay)
7:11.0,D. West misses 2-pt shot from 18 ft,,11-13,,
7:10.0,,,11-13,,Defensive rebound by R. Gay
6:53.0,,,11-13,,R. Hollins misses 2-pt shot from 1 ft (block by R. Hibbert)
6:46.0,Defensive rebound by Team,,11-13,,
6:38.0,Turnover by S. Hill (bad pass; steal by D. Collison),,11-13,,
6:35.0,,,11-13,,Shooting foul by R. Stuckey (drawn by D. Collison)
6:35.0,,,11-13,,D. Collison misses free throw 1 of 2
6:35.0,,,11-13,,Offensive rebound by Team
6:35.0,C. Watson enters the game for R. Stuckey,,11-13,,
6:35.0,,,11-14,1,D. Collison makes free throw 2 of 2
6:17.0,D. West misses 2-pt shot from 19 ft,,11-14,,
6:17.0,,,11-14,,Defensive rebound by B. McLemore
6:06.0,,,11-16,2,J. Thompson makes 2-pt shot from 2 ft
6:06.0,,,11-16,,Shooting foul by R. Hibbert (drawn by J. Thompson)
6:06.0,I. Mahinmi enters the game for R. Hibbert,,11-16,,
6:06.0,,,11-16,,J. Thompson misses free throw 1 of 1
6:05.0,Defensive rebound by C. Copeland,,11-16,,
5:51.0,C. Copeland misses 3-pt shot from 25 ft,,11-16,,
5:50.0,,,11-16,,Defensive rebound by B. McLemore
5:42.0,,,11-18,2,D. Collison makes 2-pt shot from 18 ft
5:35.0,Indiana full timeout,,11-18,,
5:24.0,D. West misses 2-pt shot from 8 ft,,11-18,,
5:23.0,,,11-18,,Defensive rebound by R. Gay
5:14.0,,,11-18,,J. Thompson misses 2-pt shot from 3 ft
5:11.0,Defensive rebound by D. West,,11-18,,
5:01.0,Turnover by C. Watson (lost ball; steal by D. Collison),,11-18,,
4:58.0,,,11-20,2,D. Collison makes 2-pt shot at rim (assist by R. Gay)
4:37.0,C. Watson misses 2-pt shot from 16 ft,,11-20,,
4:36.0,Offensive rebound by I. Mahinmi,,11-20,,
4:33.0,I. Mahinmi misses 2-pt shot from 3 ft,,11-20,,
4:31.0,,,11-20,,Defensive rebound by J. Thompson
4:27.0,,,11-20,,D. Collison misses 2-pt shot from 2 ft (block by I. Mahinmi)
4:25.0,,,11-20,,Offensive rebound by R. Hollins
4:25.0,,,11-20,,R. Hollins misses 2-pt shot from 3 ft
4:24.0,Defensive rebound by D. West,,11-20,,
4:11.0,C. Copeland misses 2-pt shot from 6 ft (block by R. Hollins),,11-20,,
4:09.0,Offensive rebound by C. Copeland,,11-20,,
4:08.0,C. Copeland misses 2-pt shot from 4 ft,,11-20,,
4:07.0,,,11-20,,Defensive rebound by B. McLemore
4:03.0,,,11-20,,B. McLemore misses 2-pt shot from 3 ft
4:02.0,Defensive rebound by D. West,,11-20,,
3:54.0,S. Hill misses 3-pt shot from 23 ft,,11-20,,
3:52.0,,,11-20,,Defensive rebound by J. Thompson
3:39.0,,,11-22,2,R. Gay makes 2-pt shot from 10 ft (assist by R. Hollins)
3:20.0,Turnover by S. Hill (lost ball; steal by D. Collison),,11-22,,
3:17.0,L. Scola enters the game for D. West,,11-22,,
3:17.0,D. Rudez enters the game for C. Copeland,,11-22,,
3:08.0,,,11-22,,Shooting foul by S. Hill (drawn by R. Gay)
3:08.0,,,11-23,1,R. Gay makes free throw 1 of 2
3:08.0,,,11-24,1,R. Gay makes free throw 2 of 2
2:56.0,Turnover by D. Rudez (lost ball; steal by B. McLemore),,11-24,,
2:54.0,,,11-24,,Shooting foul by L. Scola (drawn by B. McLemore)
2:54.0,,,11-24,,Sacramento full timeout
2:54.0,,,11-25,1,B. McLemore makes free throw 1 of 2
2:54.0,,,11-26,1,B. McLemore makes free throw 2 of 2
2:34.0,S. Hill makes 2-pt shot from 21 ft (assist by L. Scola),2,13-26,,
2:22.0,,,13-26,,Turnover by R. Gay (lost ball; steal by D. Rudez)
2:20.0,Shooting foul by R. Hollins (drawn by D. Rudez),,13-26,,
2:20.0,D. Rudez misses free throw 1 of 2,,13-26,,
2:20.0,Offensive rebound by Team,,13-26,,
2:20.0,,,13-26,,O. Casspi enters the game for B. McLemore
2:20.0,,,13-26,,N. Stauskas enters the game for R. Gay
2:20.0,D. Rudez makes free throw 2 of 2,1,14-26,,
2:06.0,,,14-28,2,D. Collison makes 2-pt shot from 1 ft
1:47.0,C. Watson makes 2-pt shot from 1 ft,2,16-28,,
1:32.0,,,16-28,,D. Collison misses 2-pt shot from 18 ft
1:31.0,Defensive rebound by I. Mahinmi,,16-28,,
1:31.0,,,16-28,,Personal foul by O. Casspi (drawn by I. Mahinmi)
1:31.0,C. Miles enters the game for S. Hill,,16-28,,
1:22.0,,,16-28,,Personal foul by J. Thompson (drawn by C. Watson)
1:22.0,C. Watson makes free throw 1 of 2,1,17-28,,
1:22.0,C. Watson makes free throw 2 of 2,1,18-28,,
1:04.0,,,18-28,,Sacramento full timeout
1:04.0,,,18-28,,C. Landry enters the game for R. Hollins
