time,Minnesota,pts.away,score,pts.home,New Orleans
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: A. Davis vs. G. Dieng (O. Asik gains possession),,,,Jump ball: A. Davis vs. G. Dieng (O. Asik gains possession)
11:37.0,,,0-2,2,J. Holiday makes 2-pt shot from 10 ft
11:21.0,K. Martin misses 2-pt shot from 17 ft,,0-2,,
11:20.0,,,0-2,,Defensive rebound by T. Evans
11:11.0,,,0-4,2,O. Asik makes 2-pt shot from 2 ft (assist by T. Evans)
10:50.0,N. Pekovic misses 2-pt shot from 6 ft (block by A. Davis),,0-4,,
10:48.0,,,0-4,,Defensive rebound by A. Davis
10:43.0,,,0-7,3,J. Holiday makes 3-pt shot from 26 ft (assist by A. Davis)
10:29.0,Shooting foul by E. Gordon (drawn by K. Martin),,0-7,,
10:29.0,K. Martin makes free throw 1 of 2,1,1-7,,
10:29.0,K. Martin makes free throw 2 of 2,1,2-7,,
10:19.0,,,2-9,2,A. Davis makes 2-pt shot from 17 ft (assist by J. Holiday)
10:02.0,A. Wiggins misses 2-pt shot from 14 ft,,2-9,,
10:01.0,Offensive rebound by N. Pekovic,,2-9,,
10:01.0,N. Pekovic makes 2-pt shot from 2 ft,2,4-9,,
9:48.0,,,4-9,,A. Davis misses 2-pt shot from 17 ft
9:47.0,Defensive rebound by Z. LaVine,,4-9,,
9:41.0,Z. LaVine makes 2-pt shot from 19 ft,2,6-9,,
9:25.0,,,6-11,2,J. Holiday makes 2-pt shot from 9 ft
9:07.0,Z. LaVine misses 2-pt shot from 22 ft,,6-11,,
9:06.0,,,6-11,,Defensive rebound by O. Asik
9:00.0,,,6-11,,T. Evans misses 2-pt shot from 19 ft
8:59.0,Defensive rebound by K. Martin,,6-11,,
8:49.0,,,6-11,,Personal foul by O. Asik (drawn by N. Pekovic)
8:41.0,,,6-11,,Personal foul by T. Evans (drawn by A. Wiggins)
8:33.0,N. Pekovic misses 2-pt shot from 1 ft,,6-11,,
8:32.0,,,6-11,,Defensive rebound by O. Asik
8:22.0,,,6-13,2,E. Gordon makes 2-pt shot from 2 ft
8:18.0,Minnesota full timeout,,6-13,,
8:04.0,Turnover by K. Martin (bad pass),,6-13,,
7:52.0,Def 3 sec tech foul by N. Pekovic,,6-13,,
7:52.0,,,6-14,1,J. Holiday makes technical free throw
7:45.0,,,6-17,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Holiday)
7:45.0,,,6-17,,Shooting foul by K. Martin (drawn by E. Gordon)
7:45.0,,,6-18,1,E. Gordon makes free throw 1 of 1
7:23.0,Turnover by K. Martin (bad pass; steal by O. Asik),,6-18,,
7:18.0,,,6-20,2,T. Evans makes 2-pt shot at rim (assist by O. Asik)
7:02.0,,,6-20,,Personal foul by E. Gordon (drawn by A. Wiggins)
7:02.0,A. Bennett enters the game for G. Dieng,,6-20,,
7:02.0,,,6-20,,A. Rivers enters the game for E. Gordon
6:50.0,K. Martin misses 2-pt shot from 22 ft,,6-20,,
6:48.0,Offensive rebound by A. Wiggins,,6-20,,
6:43.0,A. Wiggins makes 3-pt shot from 22 ft,3,9-20,,
6:29.0,,,9-22,2,O. Asik makes 2-pt shot at rim (assist by J. Holiday)
6:15.0,Shooting foul by J. Holiday (drawn by A. Wiggins),,9-22,,
6:15.0,A. Wiggins misses free throw 1 of 2,,9-22,,
6:15.0,Offensive rebound by Team,,9-22,,
6:15.0,M. Williams enters the game for Z. LaVine,,9-22,,
6:15.0,A. Wiggins misses free throw 2 of 2,,9-22,,
6:14.0,,,9-22,,Defensive rebound by T. Evans
5:59.0,,,9-24,2,A. Davis makes 2-pt shot from 15 ft
5:41.0,A. Bennett misses 2-pt shot from 21 ft,,9-24,,
5:40.0,,,9-24,,Defensive rebound by O. Asik
5:34.0,,,9-24,,T. Evans misses 2-pt shot from 1 ft
5:32.0,Defensive rebound by N. Pekovic,,9-24,,
5:28.0,Offensive foul by A. Wiggins,,9-24,,
5:28.0,Turnover by A. Wiggins (offensive foul),,9-24,,
5:10.0,,,9-24,,T. Evans misses 2-pt shot from 18 ft
5:09.0,Defensive rebound by A. Bennett,,9-24,,
4:54.0,N. Pekovic misses 2-pt shot from 3 ft,,9-24,,
4:53.0,,,9-24,,Defensive rebound by A. Davis
4:43.0,Shooting block foul by N. Pekovic (drawn by A. Davis),,9-24,,
4:43.0,,,9-24,,A. Davis misses free throw 1 of 2
4:43.0,,,9-24,,Offensive rebound by Team
4:43.0,,,9-24,,L. Babbitt enters the game for T. Evans
4:43.0,,,9-25,1,A. Davis makes free throw 2 of 2
4:29.0,Offensive foul by K. Martin,,9-25,,
4:29.0,Turnover by K. Martin (offensive foul),,9-25,,
4:29.0,G. Dieng enters the game for N. Pekovic,,9-25,,
4:29.0,C. Brewer enters the game for K. Martin,,9-25,,
4:29.0,,,9-25,,R. Anderson enters the game for O. Asik
4:17.0,,,9-27,2,J. Holiday makes 2-pt shot from 19 ft (assist by A. Davis)
4:02.0,C. Brewer misses 2-pt shot from 18 ft,,9-27,,
4:00.0,,,9-27,,Defensive rebound by L. Babbitt
3:54.0,,,9-27,,R. Anderson misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by M. Williams,,9-27,,
3:50.0,Shooting foul by L. Babbitt (drawn by A. Bennett),,9-27,,
3:50.0,A. Bennett makes free throw 1 of 2,1,10-27,,
3:50.0,S. Muhammad enters the game for A. Wiggins,,10-27,,
3:50.0,A. Bennett makes free throw 2 of 2,1,11-27,,
3:41.0,,,11-30,3,L. Babbitt makes 3-pt shot from 24 ft (assist by J. Holiday)
3:23.0,C. Brewer makes 2-pt shot at rim (assist by M. Williams),2,13-30,,
3:06.0,,,13-32,2,A. Davis makes 2-pt shot at rim (assist by J. Holiday)
2:54.0,A. Bennett misses 2-pt shot from 21 ft,,13-32,,
2:53.0,,,13-32,,Defensive rebound by R. Anderson
2:35.0,,,13-34,2,R. Anderson makes 2-pt shot from 19 ft
2:32.0,Minnesota full timeout,,13-34,,
2:32.0,,,13-34,,New Orleans full timeout
2:32.0,,,13-34,,D. Miller enters the game for J. Holiday
2:23.0,Shooting foul by L. Babbitt (drawn by C. Brewer),,13-34,,
2:23.0,C. Brewer makes free throw 1 of 2,1,14-34,,
2:23.0,C. Brewer makes free throw 2 of 2,1,15-34,,
2:08.0,,,15-36,2,A. Rivers makes 2-pt shot from 2 ft (assist by A. Davis)
1:54.0,C. Brewer misses 2-pt shot from 17 ft,,15-36,,
1:53.0,,,15-36,,Defensive rebound by L. Babbitt
1:42.0,,,15-38,2,A. Rivers makes 2-pt shot from 9 ft
1:22.0,S. Muhammad makes 2-pt shot from 2 ft,2,17-38,,
1:07.0,,,17-40,2,A. Rivers makes 2-pt shot from 2 ft
0:56.0,Turnover by M. Williams (bad pass; steal by A. Davis),,17-40,,
0:56.0,Loose ball foul by S. Muhammad (drawn by A. Davis),,17-40,,
0:42.0,,,17-40,,R. Anderson misses 2-pt shot from 14 ft
0:41.0,Defensive rebound by C. Brewer,,17-40,,
