time,Milwaukee,pts.away,score,pts.home,Toronto
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Henson vs. J. Valanciunas (K. Middleton gains possession),,,,Jump ball: J. Henson vs. J. Valanciunas (K. Middleton gains possession)
11:42.0,G. Antetokounmpo misses 2-pt shot from 19 ft,,0-0,,
11:42.0,,,0-0,,Defensive rebound by Team
11:17.0,,,0-0,,J. Valanciunas misses 2-pt shot from 15 ft
11:16.0,Defensive rebound by J. Gutierrez,,0-0,,
11:06.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Dudley),2,2-0,,
10:48.0,,,2-0,,D. DeRozan misses 3-pt shot from 22 ft
10:47.0,Defensive rebound by Team,,2-0,,
10:37.0,Turnover by J. Gutierrez (bad pass; steal by D. DeRozan),,2-0,,
10:20.0,,,2-0,,Turnover by A. Johnson (lost ball; steal by J. Henson)
10:14.0,K. Middleton makes 2-pt shot from 9 ft (assist by J. Dudley),2,4-0,,
9:54.0,,,4-0,,Shooting foul by J. Henson (drawn by D. DeRozan)
9:54.0,,,4-0,,D. DeRozan misses free throw 1 of 2
9:54.0,,,4-0,,Offensive rebound by Team
9:54.0,,,4-1,1,D. DeRozan makes free throw 2 of 2
9:38.0,J. Dudley misses 3-pt shot from 25 ft,,4-1,,
9:37.0,,,4-1,,Defensive rebound by Team
9:21.0,,,4-1,,K. Lowry misses 2-pt shot from 15 ft
9:20.0,,,4-1,,Offensive rebound by J. Valanciunas
9:18.0,,,4-3,2,J. Valanciunas makes 2-pt shot from 2 ft
9:02.0,J. Henson makes 2-pt shot at rim (assist by J. Gutierrez),2,6-3,,
8:41.0,,,6-3,,D. DeRozan misses 2-pt shot from 1 ft (block by J. Dudley)
8:38.0,,,6-3,,Offensive rebound by J. Valanciunas
8:36.0,,,6-5,2,J. Valanciunas makes 2-pt shot from 2 ft
8:24.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Dudley),2,8-5,,
7:58.0,,,8-5,,D. DeRozan misses 2-pt shot from 5 ft
7:57.0,Defensive rebound by K. Middleton,,8-5,,
7:49.0,J. Dudley makes 2-pt shot from 17 ft (assist by G. Antetokounmpo),2,10-5,,
7:40.0,,,10-5,,Toronto full timeout
7:35.0,,,10-5,,D. DeRozan misses 2-pt shot from 6 ft (block by J. Henson)
7:35.0,,,10-5,,Offensive rebound by Team
7:29.0,,,10-7,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by A. Johnson)
7:13.0,J. Gutierrez misses 2-pt shot from 17 ft,,10-7,,
7:12.0,,,10-7,,Defensive rebound by Team
6:53.0,,,10-7,,G. Vasquez misses 3-pt shot from 24 ft
6:52.0,Defensive rebound by J. Henson,,10-7,,
6:34.0,K. Middleton misses 2-pt shot from 15 ft (block by A. Johnson),,10-7,,
6:32.0,,,10-7,,Defensive rebound by A. Johnson
6:27.0,,,10-7,,Turnover by K. Lowry (bad pass)
6:13.0,J. Henson makes 2-pt shot from 4 ft (assist by J. Gutierrez),2,12-7,,
5:49.0,,,12-10,3,A. Johnson makes 3-pt shot from 26 ft (assist by D. DeRozan)
5:30.0,K. Middleton makes 3-pt shot from 24 ft (assist by J. Gutierrez),3,15-10,,
5:17.0,,,15-10,,G. Vasquez misses 3-pt shot from 25 ft
5:16.0,,,15-10,,Offensive rebound by J. Valanciunas
5:13.0,,,15-10,,J. Valanciunas misses 2-pt shot from 2 ft
5:12.0,,,15-10,,Offensive rebound by J. Valanciunas
5:10.0,,,15-10,,J. Valanciunas misses 2-pt shot from 3 ft
5:09.0,,,15-10,,Offensive rebound by J. Valanciunas
5:07.0,,,15-12,2,J. Valanciunas makes 2-pt shot at rim
4:58.0,,,15-12,,Personal block foul by J. Valanciunas (drawn by J. Henson)
4:58.0,,,15-12,,L. Williams enters the game for G. Vasquez
4:46.0,K. Middleton makes 2-pt shot from 14 ft,2,17-12,,
4:28.0,,,17-12,,A. Johnson misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
4:26.0,Defensive rebound by J. Dudley,,17-12,,
4:21.0,J. Henson misses 2-pt shot at rim,,17-12,,
4:20.0,,,17-12,,Defensive rebound by D. DeRozan
4:14.0,Personal foul by G. Antetokounmpo (drawn by D. DeRozan),,17-12,,
4:14.0,J. Bayless enters the game for J. Gutierrez,,17-12,,
4:14.0,K. Martin enters the game for J. Henson,,17-12,,
4:04.0,,,17-12,,K. Lowry misses 2-pt shot from 19 ft
4:03.0,Defensive rebound by G. Antetokounmpo,,17-12,,
3:56.0,G. Antetokounmpo misses 2-pt shot from 4 ft,,17-12,,
3:55.0,,,17-12,,Defensive rebound by J. Valanciunas
3:49.0,,,17-12,,K. Lowry misses 2-pt shot from 18 ft
3:48.0,Defensive rebound by K. Middleton,,17-12,,
3:41.0,Shooting foul by L. Williams (drawn by J. Dudley),,17-12,,
3:41.0,J. Dudley misses free throw 1 of 2,,17-12,,
3:41.0,Offensive rebound by Team,,17-12,,
3:41.0,,,17-12,,G. Vasquez enters the game for K. Lowry
3:41.0,,,17-12,,P. Patterson enters the game for A. Johnson
3:41.0,J. Dudley misses free throw 2 of 2,,17-12,,
3:40.0,,,17-12,,Defensive rebound by J. Valanciunas
3:22.0,,,17-12,,Turnover by D. DeRozan (lost ball; steal by K. Martin)
3:16.0,K. Middleton makes 2-pt shot from 20 ft (assist by J. Bayless),2,19-12,,
2:59.0,,,19-12,,P. Patterson misses 2-pt shot from 7 ft
2:58.0,Defensive rebound by J. Bayless,,19-12,,
2:52.0,J. Bayless misses 2-pt shot from 3 ft (block by G. Vasquez),,19-12,,
2:52.0,Offensive rebound by Team,,19-12,,
2:52.0,Milwaukee full timeout,,19-12,,
2:52.0,,,19-12,,T. Hansbrough enters the game for D. DeRozan
2:52.0,,,19-12,,T. Ross enters the game for J. Valanciunas
2:52.0,O. Mayo enters the game for J. Dudley,,19-12,,
2:52.0,J. O'Bryant enters the game for K. Middleton,,19-12,,
2:38.0,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Bayless),2,21-12,,
2:20.0,,,21-12,,Turnover by G. Vasquez (bad pass; steal by O. Mayo)
2:15.0,J. O'Bryant misses 2-pt shot from 3 ft,,21-12,,
2:15.0,Offensive rebound by Team,,21-12,,
2:15.0,,,21-12,,Loose ball foul by P. Patterson (drawn by J. O'Bryant)
2:06.0,Turnover by J. Bayless (bad pass; steal by P. Patterson),,21-12,,
1:57.0,,,21-14,2,T. Ross makes 2-pt shot from 16 ft
1:39.0,O. Mayo makes 2-pt shot from 19 ft (assist by J. Bayless),2,23-14,,
1:20.0,,,23-14,,L. Williams misses 2-pt shot from 15 ft
1:19.0,Defensive rebound by J. Bayless,,23-14,,
1:11.0,J. Bayless misses 2-pt shot from 7 ft,,23-14,,
1:10.0,,,23-14,,Defensive rebound by P. Patterson
1:02.0,,,23-14,,L. Williams misses 2-pt shot from 2 ft
1:02.0,,,23-14,,Offensive rebound by Team
0:47.0,,,23-14,,T. Ross misses 2-pt shot from 20 ft
0:46.0,,,23-14,,Offensive rebound by T. Hansbrough
