time,Sacramento,pts.away,score,pts.home,LA Lakers
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: J. Hill vs. J. Thompson (D. Collison gains possession),,,,Jump ball: J. Hill vs. J. Thompson (D. Collison gains possession)
11:42.0,B. McLemore misses 3-pt shot from 23 ft,,0-0,,
11:40.0,Offensive rebound by R. Evans,,0-0,,
11:26.0,R. Gay makes 2-pt shot from 18 ft (assist by B. McLemore),2,2-0,,
11:11.0,Personal foul by R. Evans (drawn by E. Davis),,2-0,,
11:00.0,,,2-0,,W. Johnson misses 3-pt shot from 25 ft
10:58.0,Defensive rebound by B. McLemore,,2-0,,
10:50.0,D. Collison makes 2-pt shot from 1 ft (assist by B. McLemore),2,4-0,,
10:37.0,,,4-0,,K. Bryant misses 2-pt shot from 22 ft
10:36.0,Defensive rebound by R. Evans,,4-0,,
10:23.0,D. Collison misses 2-pt shot from 10 ft (block by W. Johnson),,4-0,,
10:22.0,,,4-0,,Defensive rebound by R. Price
10:13.0,,,4-0,,W. Johnson misses 2-pt shot from 15 ft
10:09.0,Defensive rebound by Team,,4-0,,
9:56.0,R. Gay misses 2-pt shot from 15 ft,,4-0,,
9:54.0,Offensive rebound by J. Thompson,,4-0,,
9:53.0,Shooting foul by J. Hill (drawn by J. Thompson),,4-0,,
9:53.0,J. Thompson makes free throw 1 of 2,1,5-0,,
9:53.0,J. Thompson makes free throw 2 of 2,1,6-0,,
9:38.0,,,6-2,2,K. Bryant makes 2-pt shot from 21 ft (assist by J. Hill)
9:25.0,B. McLemore misses 2-pt shot from 1 ft,,6-2,,
9:19.0,,,6-2,,Defensive rebound by J. Hill
9:06.0,,,6-2,,K. Bryant misses 3-pt shot from 24 ft
9:05.0,,,6-2,,Offensive rebound by Team
9:05.0,Violation by R. Gay (kicked ball),,6-2,,
9:00.0,,,6-2,,R. Price misses 2-pt shot from 21 ft
8:59.0,Defensive rebound by J. Thompson,,6-2,,
8:49.0,J. Thompson misses 2-pt shot from 6 ft,,6-2,,
8:47.0,,,6-2,,Defensive rebound by J. Hill
8:37.0,,,6-4,2,E. Davis makes 2-pt shot from 2 ft (assist by R. Price)
8:24.0,Turnover by J. Thompson (bad pass; steal by J. Hill),,6-4,,
8:16.0,,,6-6,2,J. Hill makes 2-pt shot at rim (assist by E. Davis)
7:54.0,J. Thompson misses 2-pt shot from 13 ft,,6-6,,
7:53.0,,,6-6,,Defensive rebound by E. Davis
7:34.0,,,6-6,,R. Price misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by D. Collison,,6-6,,
7:19.0,Shooting foul by R. Price (drawn by B. McLemore),,6-6,,
7:19.0,B. McLemore makes free throw 1 of 2,1,7-6,,
7:19.0,B. McLemore makes free throw 2 of 2,1,8-6,,
7:08.0,,,8-6,,W. Johnson misses 2-pt shot from 17 ft
7:07.0,Defensive rebound by J. Thompson,,8-6,,
6:57.0,Shooting foul by J. Hill (drawn by J. Thompson),,8-6,,
6:57.0,J. Thompson makes free throw 1 of 2,1,9-6,,
6:57.0,J. Thompson misses free throw 2 of 2,,9-6,,
6:56.0,,,9-6,,Defensive rebound by E. Davis
6:41.0,,,9-8,2,W. Johnson makes 2-pt shot from 17 ft (assist by E. Davis)
6:28.0,R. Gay misses 2-pt shot from 14 ft (block by W. Johnson),,9-8,,
6:27.0,,,9-8,,Defensive rebound by E. Davis
6:27.0,Personal foul by R. Gay (drawn by W. Johnson),,9-8,,
6:10.0,,,9-10,2,K. Bryant makes 2-pt shot from 14 ft (assist by W. Johnson)
5:48.0,D. Collison makes 2-pt shot from 21 ft,2,11-10,,
5:24.0,,,11-10,,K. Bryant misses 2-pt shot from 8 ft
5:22.0,,,11-10,,Offensive rebound by K. Bryant
5:19.0,,,11-10,,K. Bryant misses 2-pt shot from 9 ft
5:19.0,,,11-10,,Offensive rebound by Team
5:19.0,Loose ball foul by J. Thompson (drawn by J. Hill),,11-10,,
5:19.0,,,11-10,,LA Lakers full timeout
5:19.0,,,11-10,,C. Boozer enters the game for J. Hill
5:16.0,,,11-10,,K. Bryant misses 2-pt shot from 1 ft
5:13.0,Defensive rebound by R. Evans,,11-10,,
5:08.0,Turnover by B. McLemore (traveling),,11-10,,
4:59.0,,,11-10,,K. Bryant misses 2-pt shot from 14 ft
4:58.0,Defensive rebound by J. Thompson,,11-10,,
4:44.0,R. Gay makes 2-pt shot from 13 ft,2,13-10,,
4:34.0,,,13-12,2,E. Davis makes 2-pt shot at rim (assist by R. Price)
4:10.0,R. Gay makes 3-pt shot from 24 ft (assist by J. Thompson),3,16-12,,
3:52.0,,,16-12,,R. Price misses 3-pt shot from 25 ft
3:50.0,Defensive rebound by R. Gay,,16-12,,
3:35.0,D. Collison makes 2-pt shot from 2 ft (assist by J. Thompson),2,18-12,,
3:19.0,,,18-12,,R. Price misses 3-pt shot from 24 ft
3:18.0,,,18-12,,Offensive rebound by E. Davis
3:17.0,,,18-12,,Shooting foul by R. Gay (drawn by E. Davis)
3:17.0,,,18-12,,E. Davis misses free throw 1 of 2
3:17.0,,,18-12,,Offensive rebound by Team
3:17.0,,,18-12,,J. Lin enters the game for R. Price
3:17.0,,,18-12,,N. Young enters the game for W. Johnson
3:17.0,D. Williams enters the game for R. Gay,,18-12,,
3:17.0,,,18-12,,E. Davis misses free throw 2 of 2
3:16.0,Defensive rebound by D. Williams,,18-12,,
2:59.0,D. Collison makes 2-pt shot from 15 ft,2,20-12,,
2:51.0,,,20-14,2,K. Bryant makes 2-pt shot from 3 ft (assist by J. Lin)
2:51.0,,,20-14,,Shooting foul by B. McLemore (drawn by K. Bryant)
2:51.0,Sacramento full timeout,,20-14,,
2:51.0,,,20-14,,R. Sacre enters the game for E. Davis
2:51.0,,,20-15,1,K. Bryant makes free throw 1 of 1
2:42.0,D. Williams misses 3-pt shot from 24 ft,,20-15,,
2:42.0,,,20-15,,Defensive rebound by Team
2:42.0,C. Landry enters the game for R. Evans,,20-15,,
2:31.0,,,20-15,,K. Bryant misses 3-pt shot from 23 ft
