time,Milwaukee,pts.away,score,pts.home,New York
12:00.0,Start of 1st quarter,,,,Start of 1st quarter
12:00.0,Jump ball: C. Aldrich vs. Z. Pachulia (Q. Acy gains possession),,,,Jump ball: C. Aldrich vs. Z. Pachulia (Q. Acy gains possession)
11:46.0,,,0-0,,Turnover by J. Calderon (bad pass; steal by G. Antetokounmpo)
11:22.0,Z. Pachulia misses 2-pt shot from 13 ft,,0-0,,
11:21.0,,,0-0,,Defensive rebound by Q. Acy
11:07.0,,,0-2,2,C. Aldrich makes 2-pt shot from 1 ft (assist by J. Smith)
10:59.0,B. Knight misses 3-pt shot from 25 ft,,0-2,,
10:57.0,Offensive rebound by J. O'Bryant,,0-2,,
10:49.0,Turnover by K. Middleton (bad pass),,0-2,,
10:35.0,,,0-2,,Turnover by T. Hardaway (bad pass; steal by Z. Pachulia)
10:31.0,Offensive foul by G. Antetokounmpo,,0-2,,
10:31.0,Turnover by G. Antetokounmpo (offensive foul),,0-2,,
10:13.0,,,0-2,,J. Smith misses 3-pt shot from 24 ft
10:10.0,Defensive rebound by G. Antetokounmpo,,0-2,,
10:03.0,B. Knight makes 2-pt shot at rim,2,2-2,,
9:44.0,,,2-2,,C. Aldrich misses 2-pt shot from 4 ft
9:42.0,Defensive rebound by Z. Pachulia,,2-2,,
9:32.0,Turnover by Z. Pachulia (lost ball; steal by Q. Acy),,2-2,,
9:27.0,,,2-2,,T. Hardaway misses 2-pt shot from 3 ft (block by G. Antetokounmpo)
9:27.0,,,2-2,,Offensive rebound by Team
9:25.0,,,2-2,,C. Aldrich misses 2-pt shot from 4 ft
9:23.0,Defensive rebound by Z. Pachulia,,2-2,,
9:15.0,B. Knight misses 2-pt shot from 17 ft,,2-2,,
9:14.0,Offensive rebound by Z. Pachulia,,2-2,,
9:13.0,Shooting foul by T. Hardaway (drawn by Z. Pachulia),,2-2,,
9:13.0,Z. Pachulia makes free throw 1 of 2,1,3-2,,
9:13.0,Z. Pachulia makes free throw 2 of 2,1,4-2,,
9:00.0,,,4-4,2,C. Aldrich makes 2-pt shot at rim (assist by J. Smith)
8:38.0,K. Middleton misses 3-pt shot from 25 ft,,4-4,,
8:36.0,,,4-4,,Defensive rebound by C. Aldrich
8:27.0,,,4-7,3,J. Calderon makes 3-pt shot from 24 ft (assist by T. Hardaway)
8:13.0,J. O'Bryant makes 2-pt shot from 19 ft (assist by B. Knight),2,6-7,,
7:56.0,Violation by Z. Pachulia (kicked ball),,6-7,,
7:48.0,,,6-7,,Turnover by J. Smith (bad pass; steal by Z. Pachulia)
7:43.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Middleton),2,8-7,,
7:24.0,,,8-9,2,Q. Acy makes 2-pt shot from 1 ft (assist by J. Calderon)
7:01.0,K. Middleton misses 2-pt shot from 19 ft,,8-9,,
7:00.0,,,8-9,,Defensive rebound by C. Aldrich
6:54.0,,,8-12,3,T. Hardaway makes 3-pt shot from 25 ft
6:40.0,G. Antetokounmpo makes 2-pt shot at rim (assist by Z. Pachulia),2,10-12,,
6:33.0,,,10-12,,T. Hardaway misses 2-pt shot from 1 ft (block by G. Antetokounmpo)
6:30.0,Defensive rebound by K. Middleton,,10-12,,
6:22.0,Shooting foul by C. Aldrich (drawn by G. Antetokounmpo),,10-12,,
6:22.0,G. Antetokounmpo makes free throw 1 of 2,1,11-12,,
6:22.0,J. Dudley enters the game for J. O'Bryant,,11-12,,
