time,Orlando,pts.away,score,pts.home,Memphis
7:16.0,N. Vucevic makes 2-pt shot from 18 ft (assist by E. Payton),2,63-75,,
6:57.0,,,63-75,,M. Conley misses 3-pt shot from 25 ft
6:56.0,,,63-75,,Offensive rebound by M. Gasol
6:56.0,,,63-75,,M. Gasol misses 2-pt shot from 2 ft
6:53.0,Defensive rebound by V. Oladipo,,63-75,,
6:46.0,Offensive foul by D. Dedmon,,63-75,,
6:46.0,Turnover by D. Dedmon (offensive foul),,63-75,,
6:23.0,,,63-75,,C. Lee misses 2-pt shot from 9 ft
6:21.0,,,63-75,,Offensive rebound by M. Gasol
6:20.0,,,63-75,,M. Gasol misses 2-pt shot from 2 ft
6:20.0,,,63-75,,Offensive rebound by M. Gasol
6:20.0,,,63-75,,Shooting foul by N. Vucevic (drawn by M. Gasol)
6:20.0,,,63-76,1,M. Gasol makes free throw 1 of 2
6:20.0,,,63-77,1,M. Gasol makes free throw 2 of 2
6:05.0,Turnover by E. Payton (bad pass; steal by M. Gasol),,63-77,,
5:52.0,,,63-77,,Turnover by J. Green (bad pass; steal by N. Vucevic)
5:42.0,N. Vucevic misses 2-pt shot from 12 ft,,63-77,,
5:41.0,,,63-77,,Defensive rebound by C. Lee
5:30.0,,,63-77,,Turnover by M. Conley (lost ball)
5:30.0,,,63-77,,Memphis full timeout
5:19.0,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo),2,65-77,,
5:02.0,,,65-77,,Shooting foul by D. Dedmon (drawn by Z. Randolph)
5:02.0,,,65-78,1,Z. Randolph makes free throw 1 of 2
5:02.0,T. Harris enters the game for A. Gordon,,65-78,,
5:02.0,,,65-79,1,Z. Randolph makes free throw 2 of 2
4:46.0,V. Oladipo makes 2-pt shot from 3 ft,2,67-79,,
4:32.0,,,67-81,2,J. Green makes 2-pt shot from 1 ft (assist by Z. Randolph)
4:12.0,D. Dedmon misses 2-pt shot from 1 ft (block by M. Gasol),,67-81,,
4:10.0,,,67-81,,Defensive rebound by J. Green
3:50.0,,,67-81,,M. Conley misses 2-pt shot from 1 ft
3:47.0,Defensive rebound by N. Vucevic,,67-81,,
3:43.0,T. Harris misses 2-pt shot from 1 ft,,67-81,,
3:42.0,Offensive rebound by V. Oladipo,,67-81,,
