time,Orlando,pts.away,score,pts.home,Memphis
1:10.0,Defensive rebound by N. Vucevic,,91-101,,
1:07.0,Shooting foul by M. Gasol (drawn by E. Payton),,91-101,,
1:07.0,E. Payton makes free throw 1 of 2,1,92-101,,
1:07.0,E. Payton misses free throw 2 of 2,,92-101,,
1:06.0,Offensive rebound by D. Dedmon,,92-101,,
1:01.0,V. Oladipo misses 3-pt shot from 25 ft,,92-101,,
1:00.0,,,92-101,,Defensive rebound by Z. Randolph
0:46.0,,,92-101,,Z. Randolph misses 2-pt shot from 16 ft
0:45.0,Defensive rebound by V. Oladipo,,92-101,,
0:38.0,V. Oladipo misses 2-pt shot from 2 ft (block by Z. Randolph),,92-101,,
0:35.0,,,92-101,,Defensive rebound by Z. Randolph
0:34.0,,,92-103,2,B. Udrih makes 2-pt shot at rim
0:24.0,E. Payton makes 2-pt shot from 18 ft,2,94-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
